"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72444213009202115132.ret"
""
"Cadastrado título novo: 9000006573 3297 - ASSOC ADM DO LOTEAME 29/10/2021 RG 312,3 0"
"Cadastrado título novo: 9000006574 5501 - FERREIRA EMPREENDIME 29/10/2021 RG 329,49 0"
"Cadastrado título novo: 9000006575 7345 - IGREJA DO NAZARENO-D 29/10/2021 RG 130,62 0"
"Cadastrado título novo: 9000006576 2220 - FANAL PIRACICABA COM 29/10/2021 RG 924,55 0"
"Pago título: 2118002126 1547 - SOCER BRASIL INDUST 30/09/2021 LQ 570,6 570,6"
"Pago título: 2118002150 1567 - RPR CAPTACAO E TRAN 30/09/2021 LQ 912,66 912,66"
"Pago título: 2118002158 1575 - SO AGUA COMERCIO E 30/09/2021 LQ 2194,98 2194,98"
"Pago título: 2118002166 1591 - TQA INDUSTRIA E COM 30/09/2021 LQ 311,07 311,07"
"Pago título: 2118002174 1592 - MICROSAL INDUSTRIA 30/09/2021 LQ 1164,8 1164,8"
"Pago título: 2118002182 1603 - OLIVEIRA & LOPES LT 30/09/2021 LQ 219,74 219,74"
"Pago título: 2118002190 1609 - GRANITEC IND E COM 30/09/2021 LQ 214,35 214,35"
"Pago título: 2118002198 1618 - NAZATO PIRACICABA T 30/09/2021 LQ 356,68 356,68"
"Pago título: 2118002214 1638 - LEITESOL INDUSTRIA 30/09/2021 LQ 764,29 764,29"
"Pago título: 2118002222 1666 - VOTORANTIM CIMENTOS 30/09/2021 LQ 334,9 334,9"
"Pago título: 2118002230 1675 - ASSOCIACAO DOS MORA 30/09/2021 LQ 315,7 315,7"
"Pago título: 2118002238 1676 - CASSOL PRE  FABRICA 30/09/2021 LQ 281,54 281,54"
"Pago título: 2118002262 1701 - TINTURARIA E ESTAMP 30/09/2021 LQ 257,73 257,73"
"Pago título: 2118002270 1705 - SAINT-GOBAIN DO BRA 30/09/2021 LQ 250,03 250,03"
"Pago título: 2118002278 1713 - JACOBS DOUWE EGBERT 30/09/2021 LQ 309,24 309,24"
"Pago título: 2118002286 1742 - CONDOMINIO SERANILA 30/09/2021 LQ 216,21 216,21"
"Pago título: 2118002294 1749 - USINA PAULISTA DE B 30/09/2021 LQ 282,62 282,62"
"Pago título: 2118002326 1813 - MAXLAV LAVANDERIA E 30/09/2021 LQ 332,09 332,09"
"Pago título: 2118002350 1818 - MARLES INDUSTRIA TE 30/09/2021 LQ 765,51 765,51"
"Pago título: 2118002358 1829 - NHEEL QUIMICA LTDA 30/09/2021 LQ 347,66 347,66"
"Pago título: 2118002366 1830 - SUOMINEN BRASIL IND 30/09/2021 LQ 202,7 202,7"
"Pago título: 2118002374 1846 - COMPANHIA NACIONAL 30/09/2021 LQ 819,09 819,09"
"Pago título: 2118002382 1848 - PREFEITURA MUNICIPA 30/09/2021 LQ 2111,58 2111,58"
"Pago título: 2118002390 1859 - CWS CABLE PARKS LTD 30/09/2021 LQ 407,43 407,43"
"Pago título: 2118002406 1885 - A PRESS TRANSPORTES 30/09/2021 LQ 210,79 210,79"
"Pago título: 2118002414 1902 - KENJI EXTRACAO E CO 30/09/2021 LQ 294,45 294,45"
"Pago título: 2118002446 1976 - SOL INVEST EMPREEND 30/09/2021 LQ 254,76 254,76"
"Pago título: 2118002454 1979 - QUIMICA AMPARO LTDA 30/09/2021 LQ 622,13 622,13"
"Pago título: 2118002470 1990 - PEDREIRA FAZENDA VE 30/09/2021 LQ 599,71 599,71"
"Pago título: 2118002478 2019 - BAERLOCHER DO BRASI 30/09/2021 LQ 994,48 994,48"
"Pago título: 2118002486 2074 - SALTORELLI TINTURAR 30/09/2021 LQ 895,5 895,5"
"Pago título: 2118002494 2083 - HANIER ESPECIALIDAD 30/09/2021 LQ 357,34 357,34"
"Pago título: 2118002502 2088 - ASSOCIA  O DE PROPR 30/09/2021 LQ 534,3 534,3"
"Pago título: 2118002526 2114 - MAXLAV LAVANDERIA E 30/09/2021 LQ 294,6 294,6"
"Pago título: 2118002534 2139 - INDUSTRIAS ROMI S/A 30/09/2021 LQ 561,63 561,63"
"Pago título: 2118002550 2168 - EMEPE INDUSTRIA GRA 30/09/2021 LQ 201,28 201,28"
"Pago título: 2118002558 2170 - ISOTERM INDUSTRIA E 30/09/2021 LQ 811,56 811,56"
"Pago título: 2118002566 2172 - FARMINA PET FOODS B 30/09/2021 LQ 330,67 330,67"
"Pago título: 2118002582 2175 - INDUSTRIA E COMERCI 30/09/2021 LQ 685,46 685,46"
"Pago título: 2118002590 2176 - EVONIK BRASIL LTDA 30/09/2021 LQ 2600,51 2600,51"
"Pago título: 2118002614 2239 - CERAMICA RAMOS LTDA 30/09/2021 LQ 458,03 458,03"
"Pago título: 2118002638 2284 -  GUA VIDA TRANSPORT 30/09/2021 LQ 585,53 585,53"
"Pago título: 2118002646 2289 - ADVANCE IND STRIA T 30/09/2021 LQ 2623,91 2623,91"
"Pago título: 2118002654 2293 - BRUNO NICOLETTI TEC 30/09/2021 LQ 212,29 212,29"
"Pago título: 2118002678 2324 - BASF S/A 30/09/2021 LQ 333,75 333,75"
"Pago título: 2118002702 2337 - CERAMICA CARMELO FI 30/09/2021 LQ 791,72 791,72"
"Pago título: 2118002710 2348 - RAUL FERREIRA LEITE 30/09/2021 LQ 475,75 475,75"
"Pago título: 2118002726 2361 - TECELAGEM JOLITEX L 30/09/2021 LQ 496,76 496,76"
"Pago título: 2118002750 2392 - NEW PARQUE TENIS 30/09/2021 LQ 240,8 240,8"
"Pago título: 2118002758 2433 - INTERNATIONAL PAPER 30/09/2021 LQ 550,1 550,1"
"Pago título: 2118002766 2457 - HYUNDAI MOTOR BRASI 30/09/2021 LQ 920,24 920,24"
"Pago título: 2118002774 2458 - SENPAR TERRAS DE S 30/09/2021 LQ 322,41 322,41"
"Pago título: 2118002782 2464 - SPARTAN DO BRASIL P 30/09/2021 LQ 629,25 629,25"
"Pago título: 2118002790 2474 - DE MARCHI INDUSTRIA 30/09/2021 LQ 501,55 501,55"
"Pago título: 2118002798 2478 - ASSOC DOS PROPRIET 30/09/2021 LQ 320,45 320,45"
"Pago título: 2118002806 2497 - CARVALHEIRA IND STR 30/09/2021 LQ 1122,16 1122,16"
"Pago título: 2118002814 2538 - APTAR DO BRASIL EMB 30/09/2021 LQ 238,47 238,47"
"Pago título: 2118002830 2559 - CONDOMINIO RESIDENC 30/09/2021 LQ 265,32 265,32"
"Pago título: 2118002838 2575 - LUBRASIL LUBRIFICAN 30/09/2021 LQ 224,24 224,24"
"Pago título: 2118002846 2583 - FRESENIUS MEDICAL C 30/09/2021 LQ 1562,01 1562,01"
"Pago título: 2118002878 2675 - CORR PLASTIK LTDA 30/09/2021 LQ 215,92 215,92"
"Pago título: 2118002886 2684 - ANTONIO SERGIO LEIT 30/09/2021 LQ 365,96 365,96"
"Pago título: 2118002918 2740 - EUCATEX IND STRIA E 30/09/2021 LQ 1027,74 1027,74"
"Pago título: 2118002926 2743 - SORVETES JUNDI  IND 30/09/2021 LQ 1027,97 1027,97"
"Pago título: 2118002934 2745 - CONDOM NIO DO SHOPP 30/09/2021 LQ 429,65 429,65"
"Pago título: 2118002942 2747 - SINTO BRASIL PRODUT 30/09/2021 LQ 761,63 761,63"
"Pago título: 2118002950 2748 - QUALITY BENEFICIADO 30/09/2021 LQ 477,2 477,2"
"Pago título: 2118002958 2750 - SERVICO AUTONOMO DE 30/09/2021 LQ 1165,23 1165,23"
"Pago título: 2118002966 2751 - SERVICO AUTONOMO DE 30/09/2021 LQ 941,17 941,17"
"Pago título: 2118002974 2752 - PREFEITURA DO MUNIC 30/09/2021 LQ 713,14 713,14"
"Pago título: 2118002982 2757 - CARAVITA EMPRESA DE 30/09/2021 LQ 847,23 847,23"
"Pago título: 2118002990 2773 - SOCIEDADE DE ARMAZE 30/09/2021 LQ 352,63 352,63"
"Pago título: 2118002998 2776 - KARINA PISOS E REVE 30/09/2021 LQ 263,49 263,49"
"Pago título: 2118003014 2783 - PIRELLI PNEUS LTDA 30/09/2021 LQ 560,6 560,6"
"Pago título: 2118003022 2814 - REAL INDUSTRIA E CO 30/09/2021 LQ 254,49 254,49"
"Pago título: 2118003030 2845 - SIND DO EMPREGADOS 30/09/2021 LQ 264,04 264,04"
"Pago título: 2118003038 2846 - AGUAS DAS TERRAS SO 30/09/2021 LQ 512,34 512,34"
"Pago título: 2118003046 2861 - KORIN AGROPECU RIA 30/09/2021 LQ 2011,08 2011,08"
"Pago título: 2118003054 2889 - I & M PAP IS E EMBA 30/09/2021 LQ 463,45 463,45"
"Pago título: 2118003062 2897 - REQUIPH METAL RGICA 30/09/2021 LQ 252,66 252,66"
"Pago título: 2118003070 2901 - A D RICARDO  GUA - 30/09/2021 LQ 427,66 427,66"
"Pago título: 2118003102 2952 - EXTRA  O E COM RCIO 30/09/2021 LQ 890,87 890,87"
"Pago título: 2118003110 2956 - CENTER GIRO TRANSPO 30/09/2021 LQ 215,43 215,43"
"Pago título: 2118003126 2965 - JAGUARI COMERCIAL E 30/09/2021 LQ 938,75 938,75"
"Pago título: 2118003142 2981 - VIVA PISOS E REVEST 30/09/2021 LQ 384,25 384,25"
"Pago título: 2118003150 2988 - K & G IND STRIA E C 30/09/2021 LQ 201,47 201,47"
"Pago título: 2118003214 3094 - RENATO PASSARIN & F 30/09/2021 LQ 329,36 329,36"
"Pago título: 2118003222 3097 - CISOL DO BRASIL EXP 30/09/2021 LQ 201,64 201,64"
"Pago título: 2118003230 3107 - RUY R. DA ROCHA PRO 30/09/2021 LQ 219,58 219,58"
"Pago título: 2118003238 3111 - BRASWELL PAPEL E CE 30/09/2021 LQ 989,84 989,84"
"Pago título: 2118003246 3112 - SUELI TADOKORO MURA 30/09/2021 LQ 208,74 208,74"
"Pago título: 2118003286 3160 - VIA APPIA FESTAS E 30/09/2021 LQ 207,09 207,09"
"Pago título: 2118003294 3163 - RESIDENCIAL FAZENDA 30/09/2021 LQ 355,21 355,21"
"Pago título: 2118003310 3196 - CEDASA IND STRIA E 30/09/2021 LQ 713,62 713,62"
"Pago título: 2118003334 3253 - COPASIL QUIMICA IND 30/09/2021 LQ 387,77 387,77"
"Pago título: 2118003342 3262 - ASSOCIA  O DE AMIGO 30/09/2021 LQ 771,28 771,28"
"Pago título: 2118003358 3310 - ELDER COSTA RODRIGU 30/09/2021 LQ 866,2 866,2"
"Pago título: 2118003366 3328 - EXPRESSO CAMPIBUS L 30/09/2021 LQ 452,43 452,43"
"Pago título: 2118003382 3336 - CONDOM NIO RESIDENC 30/09/2021 LQ 438,44 438,44"
"Pago título: 2118003406 3365 - MALIBER INDUSTRIA E 30/09/2021 LQ 505,31 505,31"
"Pago título: 2118003430 3377 - COMERCIO DE  GUAS E 30/09/2021 LQ 274,47 274,47"
"Pago título: 2118003470 3384 - FRIGODELISS LTDA 30/09/2021 LQ 3168,13 3168,13"
"Pago título: 2118003478 3389 - CONDOM NIO RESIDENC 30/09/2021 LQ 618,17 618,17"
"Pago título: 2118003494 3413 - TUIUTI ECO PARK EMP 30/09/2021 LQ 294,93 294,93"
"Pago título: 2118003502 3423 - A. A. DE MELO & CIA 30/09/2021 LQ 224,04 224,04"
"Pago título: 2118003534 3449 - CER MICA CARMELO FI 30/09/2021 LQ 829,17 829,17"
"Pago título: 2118003542 3453 - CER MICA SAVANE LTD 30/09/2021 LQ 453,72 453,72"
"Pago título: 2118003558 3471 - ALTO DA COLINA VERD 30/09/2021 LQ 252,88 252,88"
"Pago título: 2118003566 3480 - MEDI HOUSE IND E CO 30/09/2021 LQ 343,31 343,31"
"Pago título: 2118003590 3514 - CER MICA GRESCA G3 30/09/2021 LQ 263,49 263,49"
"Pago título: 2118003598 3535 - JOFEGE FIA  O E TEC 30/09/2021 LQ 1142,17 1142,17"
"Pago título: 2118003614 3590 -  GUA DO CAMPO TRANS 30/09/2021 LQ 411,41 411,41"
"Pago título: 2118003654 3637 - PICOLI & CARRARA CO 30/09/2021 LQ 439,15 439,15"
"Pago título: 2118003662 3644 - IBG CRYO IND STRIA 30/09/2021 LQ 304,94 304,94"
"Pago título: 2118003670 3660 - SO AGUA COMERCIAL E 30/09/2021 LQ 351,32 351,32"
"Pago título: 2118003678 3662 - ASSOCIA  O RESIDENC 30/09/2021 LQ 616,64 616,64"
"Pago título: 2118003686 3666 - RAUL FERREIRA LEITE 30/09/2021 LQ 420,85 420,85"
"Pago título: 2118003694 3673 - PLATLOG IMPORTA  O, 30/09/2021 LQ 2144 2144"
"Pago título: 2118003702 3679 - CMR IND STRIA E COM 30/09/2021 LQ 392,99 392,99"
"Pago título: 2118003710 3683 - NOVAPORCELANATO IND 30/09/2021 LQ 988,09 988,09"
"Pago título: 2118003726 3701 - ASSOCIA  O DE S CIO 30/09/2021 LQ 1207,67 1207,67"
"Pago título: 2118003742 3704 - I.S. COM RCIO DE  G 30/09/2021 LQ 279,96 279,96"
"Pago título: 2118003750 3720 - J.L. PAULO & CIA LT 30/09/2021 LQ 209,34 209,34"
"Pago título: 2118003798 3851 - USINA GRANELLI LTDA 30/09/2021 LQ 1587,98 1587,98"
"Pago título: 2118003806 3857 - CRS MINERA  O IND S 30/09/2021 LQ 997,11 997,11"
"Pago título: 2118003814 3879 - CATALISE IND STRIA 30/09/2021 LQ 292,76 292,76"
"Pago título: 2118003830 3908 - TANSAN IND STRIA QU 30/09/2021 LQ 856,8 856,8"
"Pago título: 2118003838 3926 - HWT PROMO  ES ESPOR 30/09/2021 LQ 337,6 337,6"
"Pago título: 2118003862 3961 - INSTITUTO EDUCACION 30/09/2021 LQ 356,61 356,61"
"Pago título: 2118003870 3971 - VIEIRA E RODRIGUES 30/09/2021 LQ 219,58 219,58"
"Pago título: 2118003886 3984 - BELEM TRANSPORTES E 30/09/2021 LQ 372,67 372,67"
"Pago título: 2118003894 3992 - HOTEL FAZENDA HARAS 30/09/2021 LQ 428,17 428,17"
"Pago título: 2118003902 4014 - ASSOC DOS PROPRIET 30/09/2021 LQ 658,73 658,73"
"Pago título: 2118003910 4059 - ATI GEL FRUTAS CONG 30/09/2021 LQ 205,58 205,58"
"Pago título: 2118003918 4116 - TARTALIA EMPREENDIM 30/09/2021 LQ 475,75 475,75"
"Pago título: 2118003942 4131 - ASSOCIACAO DE AMIGO 30/09/2021 LQ 241,35 241,35"
"Pago título: 2118003950 4197 - ASSOCIA  O DOS PROP 30/09/2021 LQ 365,96 365,96"
"Pago título: 2118003974 4288 - PTM AGRICOLA E PART 30/09/2021 LQ 471,78 471,78"
"Pago título: 2118003990 4315 - AGE DO BRASIL INDUS 30/09/2021 LQ 219,58 219,58"
"Pago título: 2118004006 4330 - CPD LOCADORA DE VEI 30/09/2021 LQ 1097,88 1097,88"
"Pago título: 2118004014 4356 - CONDOMINIO RESIDENC 30/09/2021 LQ 219,58 219,58"
"Pago título: 2118004022 4358 - CONSTIC EMPREENDIME 30/09/2021 LQ 523,14 523,14"
"Pago título: 2118004030 4361 - RAUL FERREIRA LEITE 30/09/2021 LQ 402,55 402,55"
"Pago título: 2118004046 4385 - MATEUS CAVALCANTI I 30/09/2021 LQ 237,88 237,88"
"Pago título: 2118004062 4481 - CLARIPEL INDUSTRIA 30/09/2021 LQ 1308,92 1308,92"
"Pago título: 2118004078 4519 - IVO ZARZUR ADMINIST 30/09/2021 LQ 5271,63 5271,63"
"Pago título: 2118004086 4556 - ASSOCIA  O DE MELHO 30/09/2021 LQ 372 372"
"Pago título: 2118004102 4600 - ALMEIDA PISOS E REV 30/09/2021 LQ 274,47 274,47"
"Pago título: 2118004110 4631 - AGROPECU RIA CAPUAV 30/09/2021 LQ 365,96 365,96"
"Pago título: 2118004118 4641 - DYNATECH IND STRIAS 30/09/2021 LQ 394,42 394,42"
"Pago título: 2118004126 4653 - SERVI O DE  GUA E E 30/09/2021 LQ 424,47 424,47"
"Pago título: 2118004134 4654 - ASSOC DOS PROP DE L 30/09/2021 LQ 365,96 365,96"
"Pago título: 2118004142 4697 - MARFRIG GLOBAL FOOD 30/09/2021 LQ 326,66 326,66"
"Pago título: 2118004150 4762 - MINERA  O ANGICO LT 30/09/2021 LQ 283,44 283,44"
"Pago título: 2118004174 4783 - CORREIAS MERC RIO S 30/09/2021 LQ 212,99 212,99"
"Pago título: 2118004182 4784 - ASSOCIA  O DOS PROP 30/09/2021 LQ 394,32 394,32"
"Pago título: 2118004198 4827 - BOM PEIXE INDUSTRIA 30/09/2021 LQ 234,21 234,21"
"Pago título: 2118004222 4869 - ASSOCIA  O DOS MORA 30/09/2021 LQ 296,43 296,43"
"Pago título: 2118004230 4870 - ASSOCIA  O MELHORES 30/09/2021 LQ 312,9 312,9"
"Pago título: 2118004238 4891 - LOTEAMENTO IMPERIAL 30/09/2021 LQ 731,92 731,92"
"Pago título: 2118004262 4916 - CLUBE ATL TICO VALI 30/09/2021 LQ 216,01 216,01"
"Pago título: 2118004294 4992 - AGUA NOGUEIRENSE LT 30/09/2021 LQ 365,96 365,96"
"Pago título: 2118004318 5040 - CONDOM NIO GARNET 30/09/2021 LQ 397,43 397,43"
"Pago título: 2118004358 5082 - ELLOS EMPREENDIMENT 30/09/2021 LQ 296,43 296,43"
"Pago título: 2118004366 5161 - MISTER GELO IND. DE 30/09/2021 LQ 454,12 454,12"
"Pago título: 2118004374 5168 - NEMPOP IND STRIA QU 30/09/2021 LQ 496,79 496,79"
"Pago título: 2118004390 5261 - CIA DE SANEAMENTO B 30/09/2021 LQ 11345,15 11345,15"
"Pago título: 2118004406 5306 - ASSOCIACAO DE AMIGO 30/09/2021 LQ 274,47 274,47"
"Pago título: 2118004414 5323 - ERCA IND STRIA E CO 30/09/2021 LQ 463,56 463,56"
"Pago título: 2118004454 5404 - ASSOC DE CONGRESSOS 30/09/2021 LQ 539,47 539,47"
"Pago título: 2118004462 5409 - TATIANA CRISTINA DE 30/09/2021 LQ 212,08 212,08"
"Pago título: 2118004478 5416 - ZARAPLAST S.A 30/09/2021 LQ 561,75 561,75"
"Pago título: 2118004510 5443 - ASSOC DOS PROP E MO 30/09/2021 LQ 208,65 208,65"
"Pago título: 2118004542 5487 - ASSOC DOS PROPR DE 30/09/2021 LQ 329,36 329,36"
"Pago título: 2118004550 5504 - LUIZ GUILHERME SART 30/09/2021 LQ 365,96 365,96"
"Pago título: 2118004558 5514 -  GUAS DO MIRANTE 30/09/2021 LQ 294,6 294,6"
"Pago título: 2118004574 5531 - MARILIZE PEZZO ROSS 30/09/2021 LQ 786,08 786,08"
"Pago título: 2118004582 5539 - SPEEDY INCORPORA  E 30/09/2021 LQ 315,91 315,91"
"Pago título: 2118004598 5553 - ASSOCIA  O MASTER D 30/09/2021 LQ 1212,27 1212,27"
"Pago título: 2118004614 5560 - WT NEG CIOS IMOBILI 30/09/2021 LQ 481,6 481,6"
"Pago título: 2118004638 5599 - COOPERATIVA PECU RI 30/09/2021 LQ 3716 3716"
"Pago título: 2118004646 5601 - ASSOCIA  O DOS PROP 30/09/2021 LQ 1939,58 1939,58"
"Pago título: 2118004654 5606 - AROMA BIOENERGIA LT 30/09/2021 LQ 211,02 211,02"
"Pago título: 2118004662 5628 - SAFRA INDUSTRIA E C 30/09/2021 LQ 1600,51 1600,51"
"Pago título: 2118004670 5643 - MARCELO ALVES PEREI 30/09/2021 LQ 214,09 214,09"
"Pago título: 2118004686 5652 - CONDOM NIO D. PEDRO 30/09/2021 LQ 527,33 527,33"
"Pago título: 2118004710 5694 - R. BOQUINO TRANSPOR 30/09/2021 LQ 567,3 567,3"
"Pago título: 2118004734 5773 - OWB INDUSTRIA DE AU 30/09/2021 LQ 230,15 230,15"
"Pago título: 2118004750 5803 - ASSOCIA  O DOS AMIG 30/09/2021 LQ 488,78 488,78"
"Pago título: 2118004758 5805 - QUIBRITA MINERADORA 30/09/2021 LQ 456,2 456,2"
"Pago título: 2118004766 5861 - ASSOCIA  O DESPORTI 30/09/2021 LQ 336,65 336,65"
"Pago título: 2118004774 5865 - CONDOMINIO VILLA UN 30/09/2021 LQ 468,55 468,55"
"Pago título: 2118004782 5870 - VILA HIPICA EMPREEN 30/09/2021 LQ 342,54 342,54"
"Pago título: 2118004806 5938 - CLAUDETE APARECIDA 30/09/2021 LQ 289,83 289,83"
"Pago título: 2118004838 6366 - SOCIEDADE AGOSTINIA 30/09/2021 LQ 505,48 505,48"
"Pago título: 2118004846 6490 - USINA IRB S.A. 30/09/2021 LQ 10793,41 10793,41"
"Pago título: 2118004870 6729 - ANTONIO RENAN FERRO 30/09/2021 LQ 731,92 731,92"
"Pago título: 2118004894 6849 - ASSOCIACAO DOS MORA 30/09/2021 LQ 895,55 895,55"
"Pago título: 2118004902 6889 - EXTRAMIX CONCRETO L 30/09/2021 LQ 376,46 376,46"
"Pago título: 2118004926 6918 - RAMOS & RIBEIRO EMP 30/09/2021 LQ 489,4 489,4"
"Pago título: 2118004934 6923 - PAULO CASTEJON GUER 30/09/2021 LQ 2788,6 2788,6"
"Pago título: 2118004950 6962 - BRAVO ARMAZ NS GERA 30/09/2021 LQ 209,15 209,15"
"Pago título: 2118004958 6966 - TONINPAR EMPREENDIM 30/09/2021 LQ 564,21 564,21"
"Pago título: 2118004966 6995 - SPAL IND STRIA BRAS 30/09/2021 LQ 688,28 688,28"
"Pago título: 2118004974 7002 - R PIDO LUXO CAMPINA 30/09/2021 LQ 421,1 421,1"
"Pago título: 2118004990 7011 - JS ESPUMAS FLEX VEI 30/09/2021 LQ 259,08 259,08"
"Pago título: 2118005006 7051 - IRM OS SEGEREN AGRO 30/09/2021 LQ 307,79 307,79"
"Pago título: 2118005014 7129 - POUSADA CHALES DO T 30/09/2021 LQ 588,28 588,28"
"Pago título: 2118005030 7132 - REDE DOM PEDRO DE P 30/09/2021 LQ 573,96 573,96"
"Pago título: 2118005038 7159 - FLAVOUR MIX INDUSTR 30/09/2021 LQ 540,88 540,88"
"Pago título: 2118005062 7226 - ASSOCIA  O DE MORAD 30/09/2021 LQ 1303,27 1303,27"
"Pago título: 2118005070 7252 - CRJP LOTEAMENTOS SP 30/09/2021 LQ 508,44 508,44"
"Pago título: 2118005078 7294 - ASSOCIA  O DE PROPR 30/09/2021 LQ 249,86 249,86"
"Pago título: 2118005086 7298 - J. ANDRADE EMPREEND 30/09/2021 LQ 470,63 470,63"
"Pago título: 2118005094 7306 - TRANSPORTADORA FREZ 30/09/2021 LQ 454,76 454,76"
"Pago título: 2118005102 7308 - MARIA CRISTINA RODR 30/09/2021 LQ 1012,44 1012,44"
"Pago título: 2118005110 7321 - COMPANHIA DE SANEAM 30/09/2021 LQ 605,83 605,83"
"Pago título: 2118005118 7322 - CAMARGO COMPANHIA D 30/09/2021 LQ 400,25 400,25"
"Pago título: 2118005206 7373 - LEVISSIMA DISTRIBUI 30/09/2021 LQ 1265,23 1265,23"
"Pago título: 2118005214 7379 - AGROPLANTAS FLORES 30/09/2021 LQ 319,35 319,35"
"Pago título: 9000005845 2748 - QUALITY BENEFICIADOR 30/09/2021 LQ 2679,6 2679,6"
"Pago título: 9000005941 59 - FUND CPQD - CENTRO PES 30/09/2021 LQ 599,55 599,55"
"Pago título: 9000005981 392 - CONDOMINIO SHOPPING C 30/09/2021 LQ 1162,72 1162,72"
"Pago título: 9000005995 2359 - AGROPECUARIA TUIUTI 30/09/2021 LQ 3712,5 3712,5"
"Pago título: 9000006013 828 - SERVICO AUTONOMO DE A 30/09/2021 LQ 49153,61 49153,61"
"Pago título: 9000006025 822 - AGUAS DE HOLAMBRA SAN 30/09/2021 LQ 9511,91 9511,91"
"Pago título: 9000006041 1173 - MASTERCOR BENEFICIAM 30/09/2021 LQ 224,71 224,71"
"Pago título: 9000006055 2655 - JOAO CARLOS LEME RIB 30/09/2021 LQ 588,98 588,98"
"Pago título: 9000006063 1862 - DOR RIO CONFECCAO LT 30/09/2021 LQ 395,99 395,99"
"Pago título: 9000006090 3491 - H2ORA DISTRIBUIDORA 30/09/2021 LQ 2213,14 2213,14"
"Pago título: 9000006105 3119 - FDC - EMPREENDIMENTO 30/09/2021 LQ 408,36 408,36"
"Pago título: 9000006141 7213 - AGUAS DE MAIRIPORA L 30/09/2021 LQ 975,89 975,89"
"Pago título: 9000006211 4862 - PSS DE CAMARGO SERVI 30/09/2021 LQ 434,48 434,48"
"Pago título: 9000006262 7689 - WICKBOLD e NOSSO PAO 30/09/2021 LQ 1065,9 1065,9"
"Pago título: 9000006347 3444 - ALOIZIO MERCADANTE O 30/09/2021 LQ 370,08 370,08"
"Pago título: 9000006403 2329 - NOVA MIX INDUSTRIAL 30/09/2021 LQ 598,63 598,63"
"Pago título: 9000006412 1559 - DIALISA SERVICOS MED 30/09/2021 LQ 2206,01 2206,01"
"Pago título: 9000006413 4900 - UNIDADE DE TERAPIA R 30/09/2021 LQ 2265,75 2265,75"
"Pago título: 9000006480 7373 - LEVISSIMA DISTRIBUIC 30/09/2021 LQ 553,26 553,26"
"Pago título: 9000006491 28 - BRASALPLA BRASIL INDUS 30/09/2021 LQ 67,99 67,99"
"Pago título: 9000006494 2461 - BASALTO PEDREIRA E P 30/09/2021 LQ 1046,08 1046,08"
"Pago título: 9000006500 4050 - JAGUAR INDUSTRIA E C 30/09/2021 LQ 559,98 559,98"
"Pago título: 9000006501 1689 - AJINOMOTO DO BRASIL 30/09/2021 LQ 914,93 914,93"
"Pago título: 9000006507 4127 - CONSORCIO BACIAS PAR 30/09/2021 LQ 3078,17 3078,17"
"Pago título: 9000006509 3325 - GOODMAN ITUPEVA EMPR 30/09/2021 LQ 911,87 911,87"
"Pago título: 9000006510 2719 - E-TECNO EMPREENDIMEN 30/09/2021 LQ 805,41 805,41"
"Pago título: 9000006513 2444 - TNT MERCURIO CARGAS 30/09/2021 LQ 1463,91 1463,91"
"Pago título: 9000006516 5805 - QUIBRITA MINERADORA 30/09/2021 LQ 1927,35 1927,35"
"Pago título: 9000006524 2450 - ASSOC DE PROPRIETARI 30/09/2021 LQ 307,67 307,67"
"Pago título: 9000006525 3057 - NICOLETTI INDUSTRIA 30/09/2021 LQ 452,28 452,28"
"Pago título: 9000006532 5654 - FUNDICAO REGALI BRAS 30/09/2021 LQ 1021,89 1021,89"
"Pago título: 9000006537 7664 - ASSOCIACAO DOS MORAD 30/09/2021 LQ 710,59 710,59"
"Pago título: 9000006543 2854 - AREA DO NUCLEO DO PO 30/09/2021 LQ 274,62 274,62"
"Pago título: 9000006544 5524 - BCS INCORPORADORA E 30/09/2021 LQ 892,24 892,24"
"Pago título: 9000006546 6729 - ANTONIO RENAN FERRO 30/09/2021 LQ 769,18 769,18"
"Pago título: 9000006557 1121 - SATA BRASIL LTDA 30/09/2021 LQ 295,36 295,36"
"Pago título: 9000006563 7132 - REDE DOM PEDRO DE PO 30/09/2021 LQ 597,21 597,21"
"Pago título: 9000006567 2375 - PRODUTOS ALIMENTICIO 30/09/2021 LQ 498,86 498,86"
