"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72453083108202313107.ret"
""
"Cadastrado título novo: 9000007618 1598 - ARTEC PISOS E REVEST 29/09/2023 RG 249,08 0"
"Pago título: 2230002684 4136 - STORAGE ADMINISTRACA 31/08/2023 LQ 210,79 210,79"
"Pago título: 2230002689 4327 - CEETEPS-CENTRO ESTAD 31/08/2023 LQ 216,65 216,65"
"Pago título: 2230002704 4972 - ADAUTO CONSERVANI 31/08/2023 LQ 221,33 221,33"
"Pago título: 2230002764 7011 - JS ESPUMAS FLEXIVEIS 31/08/2023 LQ 221,17 221,17"
"Pago título: 2230002769 7294 - ASSOCIACAO DE PROPRI 31/08/2023 LQ 234,21 234,21"
"Pago título: 2230002784 7741 - ASSOCIACAO DOS PROP 31/08/2023 LQ 221,87 221,87"
"Pago título: 2230002789 7749 - CONCREPAV PARTICIPAC 31/08/2023 LQ 200,2 200,2"
"Pago título: 2230002812 12 - AGUAJATO TRANSPORTES L 31/08/2023 LQ 2545,06 2545,06"
"Pago título: 2230002818 14 - BORGWARNER INDUSTRIA E 31/08/2023 LQ 206,43 206,43"
"Pago título: 2230002830 22 - HONDA AUTOMOVEIS DO BR 31/08/2023 LQ 1634,45 1634,45"
"Pago título: 2230002836 24 - ASSOCIACAO DOS PROPRIE 31/08/2023 LQ 601,7 601,7"
"Pago título: 2230002842 25 - EXTRACAO E COMERCIO DE 31/08/2023 LQ 737,67 737,67"
"Pago título: 2230002848 26 - CERAMICA FORMIGRES LTD 31/08/2023 LQ 3109,49 3109,49"
"Pago título: 2230002878 43 - CONDOMINIO RESIDENCIAL 31/08/2023 LQ 1976,17 1976,17"
"Pago título: 2230002914 63 - ZERMATT EMPREENDIMENTO 31/08/2023 LQ 487,95 487,95"
"Pago título: 2230002920 68 - ASSOCIACAO GREEN VILLA 31/08/2023 LQ 342,9 342,9"
"Pago título: 2230002926 69 - PLASTEK DO BRASIL INDU 31/08/2023 LQ 423,78 423,78"
"Pago título: 2230002938 73 - NARDINI PISOS E REVEST 31/08/2023 LQ 292,77 292,77"
"Pago título: 2230002950 94 - SERVICO SOCIAL DA INDU 31/08/2023 LQ 487,95 487,95"
"Pago título: 2230002956 96 - TAGMA BRASIL INDUSTRIA 31/08/2023 LQ 707,52 707,52"
"Pago título: 2230002962 98 - SOCIEDADE RESIDENCIAL 31/08/2023 LQ 2925,71 2925,71"
"Pago título: 2230002974 112 - LUME CERAMICA LTDA 31/08/2023 LQ 292,77 292,77"
"Pago título: 2230002998 142 - SOCIEDADE DE MELHORAM 31/08/2023 LQ 606,52 606,52"
"Pago título: 2230003004 149 - GREEN GOLF CLUB 31/08/2023 LQ 297,3 297,3"
"Pago título: 2230003016 157 - CONDOMINIO TECH TOWN 31/08/2023 LQ 1177,76 1177,76"
"Pago título: 2230003022 160 - ASSOCIACAO RESIDENCIA 31/08/2023 LQ 3278,99 3278,99"
"Pago título: 2230003028 163 - SABARA QUIMICOS E ING 31/08/2023 LQ 601,5 601,5"
"Pago título: 2230003040 182 - UNIPEL INDUSTRIA E CO 31/08/2023 LQ 403,61 403,61"
"Pago título: 2230003046 183 - TEXTIL BASSETO LTDA 31/08/2023 LQ 290,27 290,27"
"Pago título: 2230003052 184 - TECELAGEM JOLITEX LTD 31/08/2023 LQ 1904,97 1904,97"
"Pago título: 2230003058 186 - OBER S/A INDUSTRIA E 31/08/2023 LQ 213,23 213,23"
"Pago título: 2230003064 191 - COOPERATIVA NOVA ESPE 31/08/2023 LQ 1081,18 1081,18"
"Pago título: 2230003070 202 - NOVA PLAST IND E COM 31/08/2023 LQ 262,08 262,08"
"Pago título: 2230003076 203 - TINTURARIA E ESTAMPAR 31/08/2023 LQ 1343,04 1343,04"
"Pago título: 2230003082 206 - ROUSSELOT GELATINAS D 31/08/2023 LQ 2597,39 2597,39"
"Pago título: 2230003088 211 - FERNANDEZ S.A. INDUST 31/08/2023 LQ 517,14 517,14"
"Pago título: 2230003100 219 - SI GROUP CRIOS RESINA 31/08/2023 LQ 2443,08 2443,08"
"Pago título: 2230003106 223 - VIVA PISOS E REVESTIM 31/08/2023 LQ 862,69 862,69"
"Pago título: 2230003130 237 - IPLASA - INDUSTRIA E 31/08/2023 LQ 585,53 585,53"
"Pago título: 2230003148 246 - 3M DO BRASIL LTDA 31/08/2023 LQ 1958,57 1958,57"
"Pago título: 2230003160 257 - PASTIFICIO SELMI S/A 31/08/2023 LQ 2004,04 2004,04"
"Pago título: 2230003166 262 - INDUSTRIA CAMPINEIRA 31/08/2023 LQ 395,24 395,24"
"Pago título: 2230003172 265 - ADERE PRODUTOS AUTO-A 31/08/2023 LQ 315,22 315,22"
"Pago título: 2230003178 281 - BIO SPRINGER DO BRASI 31/08/2023 LQ 1136,41 1136,41"
"Pago título: 2230003196 293 - OMAMORI INDUSTRIA DE 31/08/2023 LQ 402,33 402,33"
"Pago título: 2230003202 297 - CERAMICA CRISTOFOLETT 31/08/2023 LQ 585,53 585,53"
"Pago título: 2230003214 312 - FIACAO ALPINA LTDA 31/08/2023 LQ 1061,86 1061,86"
"Pago título: 2230003226 324 - DEDINI S/A INDUSTRIAS 31/08/2023 LQ 858,58 858,58"
"Pago título: 2230003232 332 - CRS BRANDS INDUSTRIA 31/08/2023 LQ 4783,81 4783,81"
"Pago título: 2230003238 335 - ANTONIO BORIN SA IND 31/08/2023 LQ 428,34 428,34"
"Pago título: 2230003286 375 - CAPUAVA S/A INDUSTRIA 31/08/2023 LQ 1088,48 1088,48"
"Pago título: 2230003292 383 - EATON LTDA 31/08/2023 LQ 1263,47 1263,47"
"Pago título: 2230003298 390 - TOYOBO DO BRASIL LTDA 31/08/2023 LQ 841,64 841,64"
"Pago título: 2230003304 391 - CONDOMINIO EDIFICIO E 31/08/2023 LQ 232,33 232,33"
"Pago título: 2230003310 392 - CONDOMINIO SHOPPING C 31/08/2023 LQ 843,68 843,68"
"Pago título: 2230003316 400 - FRICOCK FRIGORIFICACA 31/08/2023 LQ 962,68 962,68"
"Pago título: 2230003334 417 - EMBRAMACO EMPRESA BRA 31/08/2023 LQ 4044,79 4044,79"
"Pago título: 2230003340 421 - MARTINREA HONSEL BRAS 31/08/2023 LQ 1156,45 1156,45"
"Pago título: 2230003346 426 - RUY R. DA ROCHA PRODU 31/08/2023 LQ 439,15 439,15"
"Pago título: 2230003370 449 - ASSOCIACAO PRO AGUA T 31/08/2023 LQ 997,24 997,24"
"Pago título: 2230003382 455 - TBK MINERACAO LTDA 31/08/2023 LQ 754,85 754,85"
"Pago título: 2230003388 461 - J.R.M. - PARTICIPACOE 31/08/2023 LQ 994,48 994,48"
"Pago título: 2230003394 462 - AD ORO S/A 31/08/2023 LQ 4632,68 4632,68"
"Pago título: 2230003406 473 - TECELAGEM CHUAHY LTDA 31/08/2023 LQ 213,04 213,04"
"Pago título: 2230003418 476 - CLUBE DE CAMPO VALINH 31/08/2023 LQ 2607,38 2607,38"
"Pago título: 2230003430 482 - TAVARES PINHEIRO INDU 31/08/2023 LQ 707,52 707,52"
"Pago título: 2230003436 487 - USINA ACUCAREIRA ESTE 31/08/2023 LQ 27234,28 27234,28"
"Pago título: 2230003442 490 - SAINT-GOBAIN DO BRASI 31/08/2023 LQ 1388,16 1388,16"
"Pago título: 2230003454 495 - NEUMAYER TEKFOR AUTOM 31/08/2023 LQ 226,22 226,22"
"Pago título: 2230003460 497 - ALCOOL FERREIRA S/A 31/08/2023 LQ 698,5 698,5"
"Pago título: 2230003472 500 - BIGNARDI IND E COM DE 31/08/2023 LQ 7070,23 7070,23"
"Pago título: 2230003478 503 - FLAMBOIA ALIMENTOS LT 31/08/2023 LQ 855,62 855,62"
"Pago título: 2230003484 505 - ASSOCIACAO AMIGOS DO 31/08/2023 LQ 1493,97 1493,97"
"Pago título: 2230003490 507 - TINTURARIA UNIVERSO L 31/08/2023 LQ 1430,69 1430,69"
"Pago título: 2230003496 521 - SPG PRINTS BRASIL LTD 31/08/2023 LQ 228,11 228,11"
"Pago título: 2230003508 529 - OWENS CORNING FIBERGL 31/08/2023 LQ 3302,72 3302,72"
"Pago título: 2230003538 563 - PLAZA INDUSTRIA E COM 31/08/2023 LQ 271,35 271,35"
"Pago título: 2230003544 585 - TEKA - TECELAGEM KUEN 31/08/2023 LQ 2158,31 2158,31"
"Pago título: 2230003562 680 - JOSE EDUARDO ANNICCHI 31/08/2023 LQ 243,97 243,97"
"Pago título: 2230003568 760 - LETICIA APARECIDA MAR 31/08/2023 LQ 217,47 217,47"
"Pago título: 2230003586 824 - UNIVERSIDADE DE SAO P 31/08/2023 LQ 1263,82 1263,82"
"Pago título: 2230003592 826 - DEPARTAMENTO AUTONOMO 31/08/2023 LQ 118046,64 118046,64"
"Pago título: 2230003598 828 - SERVICO AUTONOMO DE A 31/08/2023 LQ 66566,16 66566,16"
"Pago título: 2230003610 831 - DEPARTAMENTO DE AGUAS 31/08/2023 LQ 45502,62 45502,62"
"Pago título: 2230003616 832 - SANEAMENTO BASICO VIN 31/08/2023 LQ 38330,31 38330,31"
"Pago título: 2230003622 839 - BUTILAMIL INDUSTRIAS 31/08/2023 LQ 4792,57 4792,57"
"Pago título: 2230003634 842 - REGIMAR COMERCIAL S/A 31/08/2023 LQ 2609,6 2609,6"
"Pago título: 2230003640 844 - COIM BRASIL LTDA 31/08/2023 LQ 557,12 557,12"
"Pago título: 2230003646 845 - THYSSENKRUPP METALURG 31/08/2023 LQ 6626,37 6626,37"
"Pago título: 2230003652 851 - KROMBERG & SCHUBERT D 31/08/2023 LQ 369,13 369,13"
"Pago título: 2230003658 852 - ECOFABRIL INDUSTRIA E 31/08/2023 LQ 371 371"
"Pago título: 2230003664 855 - LOG & PRINT GRAFICA E 31/08/2023 LQ 283,5 283,5"
"Pago título: 2230003694 867 - EUCATEX INDUSTRIA E C 31/08/2023 LQ 53008,88 53008,88"
"Pago título: 2230003700 868 - PREFEITURA MUNICIPAL 31/08/2023 LQ 5625,52 5625,52"
"Pago título: 2230003712 880 - MD PAPEIS LTDA 31/08/2023 LQ 5132,01 5132,01"
"Pago título: 2230003724 885 - CP KELCO BRASIL S/A 31/08/2023 LQ 7191,1 7191,1"
"Pago título: 2230003736 888 - INCOPISOS INDUSTRIA E 31/08/2023 LQ 1200,34 1200,34"
"Pago título: 2230003742 891 - TIMAVO DO BRASIL S/A 31/08/2023 LQ 4167,41 4167,41"
"Pago título: 2230003748 892 - A. AZEVEDO INDUSTRIA 31/08/2023 LQ 1743,78 1743,78"
"Pago título: 2230003754 895 - FRIGORIFICO ANGELELLI 31/08/2023 LQ 2147,82 2147,82"
"Pago título: 2230003760 896 - PREFEITURA MUNICIPAL 31/08/2023 LQ 1728,95 1728,95"
"Pago título: 2230003766 898 - SERVICO MUNICIPAL DE 31/08/2023 LQ 332002,15 332002,15"
"Pago título: 2230003778 903 - MINASA TRADING INTERN 31/08/2023 LQ 1557,15 1557,15"
"Pago título: 2230003784 906 - TINTURARIA E ESTAMPAR 31/08/2023 LQ 2311,51 2311,51"
"Pago título: 2230003790 907 - SERRA AZUL WATER PARK 31/08/2023 LQ 2060,93 2060,93"
"Pago título: 2230003796 908 - PREFEITURA MUNICIPAL 31/08/2023 LQ 1556 1556"
"Pago título: 2230003802 909 - FLEX PARQUE EMPRESARI 31/08/2023 LQ 934,42 934,42"
"Pago título: 2230003814 917 - BMB BELGO MINEIRA BEK 31/08/2023 LQ 1419,27 1419,27"
"Pago título: 2230003820 919 - COMPANHIA DE DESENVOL 31/08/2023 LQ 57073,69 57073,69"
"Pago título: 2230003826 920 - ELEKEIROZ S/A 31/08/2023 LQ 11137,49 11137,49"
"Pago título: 2230003844 930 - SERVICO AUTONOMO DE A 31/08/2023 LQ 45696,21 45696,21"
"Pago título: 2230003862 938 - MIRACEMA NUODEX INDUS 31/08/2023 LQ 474,84 474,84"
"Pago título: 2230003868 939 - LEF PISOS E REVESTIME 31/08/2023 LQ 1026,61 1026,61"
"Pago título: 2230003898 944 - PREFEITURA MUNICIPAL 31/08/2023 LQ 21207,58 21207,58"
"Pago título: 2230003904 946 - HOTEL CAMPING ESTANCI 31/08/2023 LQ 995,41 995,41"
"Pago título: 2230003910 948 - QUINTA DA BARONEZA GO 31/08/2023 LQ 3882,08 3882,08"
"Pago título: 2230003928 955 - PREFEITURA DO MUNICIP 31/08/2023 LQ 5687,31 5687,31"
"Pago título: 2230003934 959 - ASK PRODUTOS QUIMICOS 31/08/2023 LQ 226,08 226,08"
"Pago título: 2230003940 962 - SAO MARTINHO S.A. 31/08/2023 LQ 44735,33 44735,33"
"Pago título: 2230003952 966 - SERVICO DE AGUA E ESG 31/08/2023 LQ 24904,28 24904,28"
"Pago título: 2230003970 975 - BANN QUIMICA LTDA 31/08/2023 LQ 210,81 210,81"
"Pago título: 2230003976 976 - SOCIEDADE DE ABASTECI 31/08/2023 LQ 44650,43 44650,43"
"Pago título: 2230003988 981 - PIRACAIA IND E COM EX 31/08/2023 LQ 914,64 914,64"
"Pago título: 2230003994 985 - CONDOMINIO FAZENDA DU 31/08/2023 LQ 390,9 390,9"
"Pago título: 2230004000 986 - PREFEITURA MUNICIPAL 31/08/2023 LQ 48182,36 48182,36"
"Pago título: 2230004018 1000 - CIA SANEAMENTO BASIC 31/08/2023 LQ 2977,62 2977,62"
"Pago título: 2230004024 1001 - CIA SANEAMENTO BASIC 31/08/2023 LQ 1059,78 1059,78"
"Pago título: 2230004030 1002 - CIA SANEAMENTO BASIC 31/08/2023 LQ 2139,08 2139,08"
"Pago título: 2230004036 1004 - BRANYL COMERCIO E IN 31/08/2023 LQ 1199,56 1199,56"
"Pago título: 2230004048 1033 - CCS TECNOLOGIA E SER 31/08/2023 LQ 298,03 298,03"
"Pago título: 2230004060 1047 - QUIMICA AMPARO LTDA 31/08/2023 LQ 5765,68 5765,68"
"Pago título: 2230004072 1050 - CIA SANEAMENTO BASIC 31/08/2023 LQ 922,17 922,17"
"Pago título: 2230004084 1054 - CIA SANEAMENTO BASIC 31/08/2023 LQ 2781,29 2781,29"
"Pago título: 2230004090 1055 - CARTONIFICIO VALINHO 31/08/2023 LQ 1846,21 1846,21"
"Pago título: 2230004096 1057 - CIA SANEAMENTO BASIC 31/08/2023 LQ 19277,88 19277,88"
"Pago título: 2230004102 1058 - CIA SANEAMENTO BASIC 31/08/2023 LQ 9318,78 9318,78"
"Pago título: 2230004108 1060 - CIA SANEAMENTO BASIC 31/08/2023 LQ 5090,4 5090,4"
"Pago título: 2230004114 1063 - CIA SANEAMENTO BASIC 31/08/2023 LQ 3818,66 3818,66"
"Pago título: 2230004120 1064 - CIA SANEAMENTO BASIC 31/08/2023 LQ 710,79 710,79"
"Pago título: 2230004126 1065 - CIA SANEAMENTO BASIC 31/08/2023 LQ 32349,45 32349,45"
"Pago título: 2230004132 1066 - CIA SANEAMENTO BASIC 31/08/2023 LQ 1538,25 1538,25"
"Pago título: 2230004138 1067 - CIA SANEAMENTO BASIC 31/08/2023 LQ 9552,93 9552,93"
"Pago título: 2230004144 1070 - CIA SANEAMENTO BASIC 31/08/2023 LQ 5153,11 5153,11"
"Pago título: 2230004150 1073 - CIA SANEAMENTO BASIC 31/08/2023 LQ 12498,14 12498,14"
"Pago título: 2230004156 1074 - CIA SANEAMENTO BASIC 31/08/2023 LQ 1849,81 1849,81"
"Pago título: 2230004162 1075 - TINTEX TINTURARIA TE 31/08/2023 LQ 2547,88 2547,88"
"Pago título: 2230004174 1078 - DAE S/A AGUA E ESGOT 31/08/2023 LQ 144045,96 144045,96"
"Pago título: 2230004180 1082 - LENA & CIA LTDA 31/08/2023 LQ 425,43 425,43"
"Pago título: 2230004186 1084 - COMPANHIA DE SANEAME 31/08/2023 LQ 27062,38 27062,38"
"Pago título: 2230004192 1085 - YAKULT S/A INDUSTRIA 31/08/2023 LQ 369,37 369,37"
"Pago título: 2230004198 1086 - ENGENHO SAO PEDRO AG 31/08/2023 LQ 2149,33 2149,33"
"Pago título: 2230004204 1087 - TOYOTA DO BRASIL LTD 31/08/2023 LQ 2691,13 2691,13"
"Pago título: 2230004210 1091 - DEPARTAMENTO DE AGUA 31/08/2023 LQ 492,72 492,72"
"Pago título: 2230004216 1097 - TERRAR INDUSTRIA E C 31/08/2023 LQ 229,5 229,5"
"Pago título: 2230004222 1103 - ASSOCIACAO FAZENDA C 31/08/2023 LQ 929,53 929,53"
"Pago título: 2230004234 1110 - SERVICO AUTONOMO DE 31/08/2023 LQ 5361,71 5361,71"
"Pago título: 2230004240 1111 - CIA SANEAMENTO BASIC 31/08/2023 LQ 537248,28 537248,28"
"Pago título: 2230004246 1112 - CIA SANEAMENTO BASIC 31/08/2023 LQ 20238,79 20238,79"
"Pago título: 2230004252 1113 - PPC SANTANA EQUIPAME 31/08/2023 LQ 223,29 223,29"
"Pago título: 2230004258 1116 - CROWN  EMBALAGENS ME 31/08/2023 LQ 2111,47 2111,47"
"Pago título: 2230004264 1120 - MOTOROLA MOBILITY CO 31/08/2023 LQ 1127,15 1127,15"
"Pago título: 2230004270 1122 - PPC SANTANA EQUIPAME 31/08/2023 LQ 388,99 388,99"
"Pago título: 2230004276 1123 - CIA SANEAMENTO BASIC 31/08/2023 LQ 16853,47 16853,47"
"Pago título: 2230004294 1130 - BRASALIMENT INDUSTRI 31/08/2023 LQ 254,6 254,6"
"Pago título: 2230004306 1136 - VILLARES METALS S/A 31/08/2023 LQ 1898,6 1898,6"
"Pago título: 2230004312 1137 - SICAD DO BRASIL FITA 31/08/2023 LQ 265,81 265,81"
"Pago título: 2230004330 1143 - CASTELO ALIMENTOS S/ 31/08/2023 LQ 1336,38 1336,38"
"Pago título: 2230004336 1144 - ASSOCIACAO PROPRIET. 31/08/2023 LQ 365,96 365,96"
"Pago título: 2230004342 1145 - JOBEMA DISTRIBUIDORA 31/08/2023 LQ 1218,79 1218,79"
"Pago título: 2230004354 1154 - GREENBRIER MAXION EQ 31/08/2023 LQ 592,31 592,31"
"Pago título: 2230004360 1158 - SI GROUP RESINAS S.A 31/08/2023 LQ 394,87 394,87"
"Pago título: 2230004366 1169 - MINERACAO JUNDU LTDA 31/08/2023 LQ 6480,43 6480,43"
"Pago título: 2230004378 1193 - TEXTIL CANATIBA LTDA 31/08/2023 LQ 869,22 869,22"
"Pago título: 2230004384 1194 - TEXTIL CANATIBA LTDA 31/08/2023 LQ 2301,52 2301,52"
"Pago título: 2230004390 1195 - TEXTIL CANATIBA LTDA 31/08/2023 LQ 2878,43 2878,43"
"Pago título: 2230004402 1221 - NORQUIMA PRODUTOS QU 31/08/2023 LQ 582,49 582,49"
"Pago título: 2230004414 1231 - COVOLAN INDUSTRIA TE 31/08/2023 LQ 11292,34 11292,34"
"Pago título: 2230004420 1243 - ASSOCIACAO PROPRIETA 31/08/2023 LQ 439,15 439,15"
"Pago título: 2230004444 1274 - GUAINUMBY TEXTIL LTD 31/08/2023 LQ 603,79 603,79"
"Pago título: 2230004450 1276 - INDUSTRIA E COMERCIO 31/08/2023 LQ 213,45 213,45"
"Pago título: 2230004456 1289 - ASGA S/A 31/08/2023 LQ 390,36 390,36"
"Pago título: 2230004462 1308 - INDUSTRIA DE BEBIDAS 31/08/2023 LQ 237,17 237,17"
"Pago título: 2230004468 1313 - KIKKOMAN DO BRASIL I 31/08/2023 LQ 352,42 352,42"
"Pago título: 2230004474 1323 - TEXTIL SUCCI LTDA-ME 31/08/2023 LQ 214,33 214,33"
"Pago título: 2230004492 1414 - CERVEJARIA ASHBY LTD 31/08/2023 LQ 210,03 210,03"
"Pago título: 2230004498 1415 - DPV PRODUTOS QUIMICO 31/08/2023 LQ 218,63 218,63"
"Pago título: 2230004510 1420 - MIRVI BRASIL LTDA 31/08/2023 LQ 626,27 626,27"
"Pago título: 2230004516 1423 - TASA TINTURARIA AMER 31/08/2023 LQ 935,14 935,14"
"Pago título: 2230004534 1429 - ASSOCIACAO ADMINISTR 31/08/2023 LQ 990,53 990,53"
"Pago título: 2230004540 1437 - CONDOMINIO EDIFICIO 31/08/2023 LQ 203,86 203,86"
"Pago título: 2230004546 1456 - ASSOC DOS PROP DO LO 31/08/2023 LQ 463,55 463,55"
"Pago título: 2230004552 1459 - CIA SANEAMENTO BASIC 31/08/2023 LQ 504,78 504,78"
"Pago título: 2230004558 1465 - BBC INDUSTRIA E COME 31/08/2023 LQ 450,44 450,44"
"Pago título: 2230004564 1477 - JETFIO INDUSTRIA TEX 31/08/2023 LQ 440,09 440,09"
"Pago título: 2230004582 1484 - DELTA INDUSTRIA CERA 31/08/2023 LQ 10926,41 10926,41"
"Pago título: 2230004594 1547 - SOCER BRASIL INDUSTR 31/08/2023 LQ 525,94 525,94"
"Pago título: 2230004612 1567 - RPR CAPTACAO E TRANS 31/08/2023 LQ 1216,88 1216,88"
"Pago título: 2230004624 1591 - TQA INDUSTRIA E COME 31/08/2023 LQ 414,75 414,75"
"Pago título: 2230004630 1592 - MICROSAL INDUSTRIA E 31/08/2023 LQ 990,04 990,04"
"Pago título: 2230004636 1603 - OLIVEIRA & LOPES LTD 31/08/2023 LQ 336,51 336,51"
"Pago título: 2230004642 1609 - GRANITEC IND E COM D 31/08/2023 LQ 285,05 285,05"
"Pago título: 2230004648 1618 - NAZATO PIRACICABA TR 31/08/2023 LQ 510,34 510,34"
"Pago título: 2230004660 1638 - LEITESOL INDUSTRIA E 31/08/2023 LQ 369,11 369,11"
"Pago título: 2230004666 1649 - CONDOMINIO CASA GRAN 31/08/2023 LQ 210,79 210,79"
"Pago título: 2230004696 1689 - AJINOMOTO DO BRASIL 31/08/2023 LQ 609,95 609,95"
"Pago título: 2230004702 1692 - LALLEMAND SOLUCOES B 31/08/2023 LQ 488,65 488,65"
"Pago título: 2230004714 1701 - TINTURARIA E ESTAMPA 31/08/2023 LQ 343,64 343,64"
"Pago título: 2230004732 1742 - CONDOMINIO SERANILA 31/08/2023 LQ 263,49 263,49"
"Pago título: 2230004738 1743 - EDSON CHINARELLI TRA 31/08/2023 LQ 2615,38 2615,38"
"Pago título: 2230004750 1750 - PREFEITURA MUNICIPAL 31/08/2023 LQ 574,87 574,87"
"Pago título: 2230004762 1789 - CENTRAIS DE ABASTECI 31/08/2023 LQ 796,48 796,48"
"Pago título: 2230004780 1813 - MAXLAV LAVANDERIA ES 31/08/2023 LQ 442,79 442,79"
"Pago título: 2230004792 1818 - MARLES INDUSTRIA TEX 31/08/2023 LQ 1020,68 1020,68"
"Pago título: 2230004798 1829 - NHEEL QUIMICA LTDA 31/08/2023 LQ 1080,05 1080,05"
"Pago título: 2230004804 1830 - SUOMINEN BRASIL INDU 31/08/2023 LQ 333,52 333,52"
"Pago título: 2230004810 1846 - COMPANHIA NACIONAL D 31/08/2023 LQ 713,92 713,92"
"Pago título: 2230004816 1848 - PREFEITURA MUNICIPAL 31/08/2023 LQ 2815,44 2815,44"
"Pago título: 2230004834 1870 - MALIBER INDUSTRIA E 31/08/2023 LQ 248,85 248,85"
"Pago título: 2230004840 1885 - A PRESS TRANSPORTES 31/08/2023 LQ 281,06 281,06"
"Pago título: 2230004870 1965 - ASSOC DE PROPRIETARI 31/08/2023 LQ 683,12 683,12"
"Pago título: 2230004882 1976 - SOL INVEST EMPREENDI 31/08/2023 LQ 339,68 339,68"
"Pago título: 2230004888 1979 - QUIMICA AMPARO LTDA 31/08/2023 LQ 829,51 829,51"
"Pago título: 2230004894 1985 - CONJUNTO RESIDENCIAL 31/08/2023 LQ 381,57 381,57"
"Pago título: 2230004900 1993 - CABLENA DO BRASIL LT 31/08/2023 LQ 256,67 256,67"
"Pago título: 2230004906 2019 - BAERLOCHER DO BRASIL 31/08/2023 LQ 1372,32 1372,32"
"Pago título: 2230004912 2028 - TERMOTECNICA LTDA 31/08/2023 LQ 243,97 243,97"
"Pago título: 2230004918 2047 - ITARARE TRANSPORTE D 31/08/2023 LQ 240,63 240,63"
"Pago título: 2230004924 2069 - TRANSPORTES  21 LTDA 31/08/2023 LQ 234,21 234,21"
"Pago título: 2230004930 2074 - SALTORELLI TINTURARI 31/08/2023 LQ 1157,28 1157,28"
"Pago título: 2230004936 2082 - COLORFLEX ESTAMPARIA 31/08/2023 LQ 256,24 256,24"
"Pago título: 2230004942 2083 - HANIER ESPECIALIDADE 31/08/2023 LQ 476,45 476,45"
"Pago título: 2230004954 2094 - ASSOCIACAO DE PROPRI 31/08/2023 LQ 377,04 377,04"
"Pago título: 2230004966 2114 - MAXLAV LAVANDERIA ES 31/08/2023 LQ 392,8 392,8"
"Pago título: 2230004990 2168 - EMEPE INDUSTRIA GRAF 31/08/2023 LQ 268,37 268,37"
"Pago título: 2230005002 2172 - FARMINA PET FOODS BR 31/08/2023 LQ 416,12 416,12"
"Pago título: 2230005008 2175 - INDUSTRIA E COMERCIO 31/08/2023 LQ 876,26 876,26"
"Pago título: 2230005014 2176 - EVONIK BRASIL LTDA 31/08/2023 LQ 1756,95 1756,95"
"Pago título: 2230005020 2196 - ASSOCIACAO CIVIL PAR 31/08/2023 LQ 260,42 260,42"
"Pago título: 2230005032 2227 - COMSAPE EXTRACAO E C 31/08/2023 LQ 214,03 214,03"
"Pago título: 2230005038 2229 - AUDAX QUIMICA IND E 31/08/2023 LQ 262,54 262,54"
"Pago título: 2230005044 2239 - CERAMICA RAMOS LTDA 31/08/2023 LQ 512,22 512,22"
"Pago título: 2230005062 2284 - AGUA VIDA TRANSPORTE 31/08/2023 LQ 780,71 780,71"
"Pago título: 2230005068 2289 - ADVANCE INDUSTRIA TE 31/08/2023 LQ 3444,24 3444,24"
"Pago título: 2230005074 2293 - BRUNO NICOLETTI TECI 31/08/2023 LQ 283,05 283,05"
"Pago título: 2230005092 2310 - AQUACHER COMERCIAL L 31/08/2023 LQ 486,72 486,72"
"Pago título: 2230005098 2324 - BASF S/A 31/08/2023 LQ 445,01 445,01"
"Pago título: 2230005128 2348 - RAUL FERREIRA LEITE 31/08/2023 LQ 634,33 634,33"
"Pago título: 2230005140 2361 - TECELAGEM JOLITEX LT 31/08/2023 LQ 2288,13 2288,13"
"Pago título: 2230005146 2362 - ASSOCIACAO  PROPRIET 31/08/2023 LQ 229,26 229,26"
"Pago título: 2230005158 2392 - NEW PARQUE TENIS 31/08/2023 LQ 321,07 321,07"
"Pago título: 2230005164 2407 - FERRASPARI S/A INDUS 31/08/2023 LQ 235,25 235,25"
"Pago título: 2230005182 2457 - HYUNDAI MOTOR BRASIL 31/08/2023 LQ 1543,06 1543,06"
"Pago título: 2230005194 2464 - SPARTAN DO BRASIL PR 31/08/2023 LQ 684,59 684,59"
"Pago título: 2230005206 2474 - DE MARCHI INDUSTRIA 31/08/2023 LQ 668,73 668,73"
"Pago título: 2230005212 2478 - ASSOC DOS PROPRIETAR 31/08/2023 LQ 528,62 528,62"
"Pago título: 2230005218 2497 - CARVALHEIRA INDUSTRI 31/08/2023 LQ 3286,38 3286,38"
"Pago título: 2230005224 2528 - MULTILOG BRASIL S.A. 31/08/2023 LQ 219,58 219,58"
"Pago título: 2230005254 2575 - LUBRASIL LUBRIFICANT 31/08/2023 LQ 298,99 298,99"
"Pago título: 2230005266 2590 - DIERBERGER OLEOS ESS 31/08/2023 LQ 555,04 555,04"
"Pago título: 2230005278 2653 - TANQUE MATERIAS PARA 31/08/2023 LQ 219,24 219,24"
"Pago título: 2230005284 2655 - JOAO CARLOS LEME RIB 31/08/2023 LQ 687,15 687,15"
"Pago título: 2230005302 2684 - ANTONIO SERGIO LEITE 31/08/2023 LQ 487,95 487,95"
"Pago título: 2230005308 2686 - BOM PEIXE INDUSTRIA 31/08/2023 LQ 226,77 226,77"
"Pago título: 2230005314 2687 - ROTOCROM INDUSTRIA E 31/08/2023 LQ 203,76 203,76"
