"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448573108202222900.ret"
""
"Cadastrado título novo: 9000007058 2492 - PRENSA JUNDIAI S/A 30/09/2022 RG 465,02 0"
"Cadastrado título novo: 9000007059 302 - TEXTIL IRINEU MENEGHE 30/09/2022 RG 490,03 0"
"Pago título: 2220003895 842 - REGIMAR COMERCIAL S/A 31/08/2022 LQ 2236,8 2236,8"
"Pago título: 2220003902 206 - ROUSSELOT GELATINAS D 31/08/2022 LQ 2226,34 2226,34"
"Pago título: 2220003909 5601 - ASSOCIACAO DOS PROPR 31/08/2022 LQ 2216,66 2216,66"
"Pago título: 2220003916 1075 - TINTEX TINTURARIA TE 31/08/2022 LQ 2183,9 2183,9"
"Pago título: 2220003923 12 - AGUAJATO TRANSPORTES L 31/08/2022 LQ 2180,75 2180,75"
"Pago título: 2220003930 219 - SI GROUP CRIOS RESINA 31/08/2022 LQ 2133,8 2133,8"
"Pago título: 2220003958 1074 - CIA SANEAMENTO BASIC 31/08/2022 LQ 2066,32 2066,32"
"Pago título: 2220003965 2861 - KORIN AGROPECUARIA L 31/08/2022 LQ 2063,59 2063,59"
"Pago título: 2220003972 1194 - TEXTIL CANATIBA LTDA 31/08/2022 LQ 1972,73 1972,73"
"Pago título: 2220003993 2361 - TECELAGEM JOLITEX LT 31/08/2022 LQ 1961,25 1961,25"
"Pago título: 2220004000 906 - TINTURARIA E ESTAMPAR 31/08/2022 LQ 1934,34 1934,34"
"Pago título: 2220004007 839 - BUTILAMIL INDUSTRIAS 31/08/2022 LQ 1933,31 1933,31"
"Pago título: 2220004021 1002 - CIA SANEAMENTO BASIC 31/08/2022 LQ 1918,74 1918,74"
"Pago título: 2220004028 1459 - CIA SANEAMENTO BASIC 31/08/2022 LQ 1910,84 1910,84"
"Pago título: 2220004035 480 - PAPIRUS INDUSTRIA DE 31/08/2022 LQ 1853,08 1853,08"
"Pago título: 2220004042 585 - TEKA - TECELAGEM KUEN 31/08/2022 LQ 1849,98 1849,98"
"Pago título: 2220004056 1086 - ENGENHO SAO PEDRO AG 31/08/2022 LQ 1842,28 1842,28"
"Pago título: 2220004063 895 - FRIGORIFICO ANGELELLI 31/08/2022 LQ 1840,99 1840,99"
"Pago título: 2220004077 880 - MD PAPEIS LTDA 31/08/2022 LQ 1814,51 1814,51"
"Pago título: 2220004084 1116 - CROWN  EMBALAGENS ME 31/08/2022 LQ 1809,83 1809,83"
"Pago título: 2220004105 6923 - PAULO CASTEJON GUERR 31/08/2022 LQ 1752,42 1752,42"
"Pago título: 2220004112 257 - PASTIFICIO SELMI S/A 31/08/2022 LQ 1725,7 1725,7"
"Pago título: 2220004147 1001 - CIA SANEAMENTO BASIC 31/08/2022 LQ 1642,23 1642,23"
"Pago título: 2220004154 184 - TECELAGEM JOLITEX LTD 31/08/2022 LQ 1632,83 1632,83"
"Pago título: 2220004161 1136 - VILLARES METALS S/A 31/08/2022 LQ 1627,37 1627,37"
"Pago título: 2220004175 1055 - CARTONIFICIO VALINHO 31/08/2022 LQ 1582,47 1582,47"
"Pago título: 2220004196 3535 - JOFEGE FIACAO E TECE 31/08/2022 LQ 1524,61 1524,61"
"Pago título: 2220004210 2750 - SERVICO AUTONOMO DE 31/08/2022 LQ 1485,9 1485,9"
"Pago título: 2220004217 372 - ASSOCIACAO MORAD PROP 31/08/2022 LQ 1465,92 1465,92"
"Pago título: 2220004224 4481 - CLARIPEL INDUSTRIA D 31/08/2022 LQ 1405,93 1405,93"
"Pago título: 2220004231 22 - HONDA AUTOMOVEIS DO BR 31/08/2022 LQ 1400,95 1400,95"
"Pago título: 2220004245 5553 - ASSOCIACAO MASTER DA 31/08/2022 LQ 1385,46 1385,46"
"Pago título: 2220004252 2583 - FRESENIUS MEDICAL CA 31/08/2022 LQ 1383,68 1383,68"
"Pago título: 2220004266 98 - SOCIEDADE RESIDENCIAL 31/08/2022 LQ 1371,79 1371,79"
"Pago título: 2220004280 903 - MINASA TRADING INTERN 31/08/2022 LQ 1334,7 1334,7"
"Pago título: 2220004294 2497 - CARVALHEIRA INDUSTRI 31/08/2022 LQ 1314,02 1314,02"
"Pago título: 2220004301 505 - ASSOCIACAO AMIGOS DO 31/08/2022 LQ 1280,55 1280,55"
"Pago título: 2220004308 1054 - CIA SANEAMENTO BASIC 31/08/2022 LQ 1273,94 1273,94"
"Pago título: 2220004315 462 - AD'ORO S/A 31/08/2022 LQ 1268,24 1268,24"
"Pago título: 2220004322 923 - EMS S/A 31/08/2022 LQ 1260,99 1260,99"
"Pago título: 2220004329 4330 - CPD LOCADORA DE VEIC 31/08/2022 LQ 1254,71 1254,71"
"Pago título: 2220004336 507 - TINTURARIA UNIVERSO L 31/08/2022 LQ 1242,63 1242,63"
"Pago título: 2220004357 7321 - COMPANHIA DE SANEAME 31/08/2022 LQ 1198,11 1198,11"
"Pago título: 2220004364 2019 - BAERLOCHER DO BRASIL 31/08/2022 LQ 1196,14 1196,14"
"Pago título: 2220004371 490 - SAINT-GOBAIN DO BRASI 31/08/2022 LQ 1189,85 1189,85"
"Pago título: 2220004392 1143 - CASTELO ALIMENTOS S/ 31/08/2022 LQ 1151,82 1151,82"
"Pago título: 2220004399 203 - TINTURARIA E ESTAMPAR 31/08/2022 LQ 1151,18 1151,18"
"Pago título: 2220004413 3111 - BRASWELL PAPEL E CEL 31/08/2022 LQ 1131,25 1131,25"
"Pago título: 2220004420 3683 - NOVAPORCELANATO INDU 31/08/2022 LQ 1129,24 1129,24"
"Pago título: 2220004427 5628 - SAFRA INDUSTRIA E CO 31/08/2022 LQ 1127,15 1127,15"
"Pago título: 2220004434 7373 - LEVISSIMA DISTRIBUIC 31/08/2022 LQ 1104,15 1104,15"
"Pago título: 2220004448 824 - UNIVERSIDADE DE SAO P 31/08/2022 LQ 1083,28 1083,28"
"Pago título: 2220004455 383 - EATON LTDA 31/08/2022 LQ 1082,97 1082,97"
"Pago título: 2220004469 3491 - H2ORA DISTRIBUIDORA 31/08/2022 LQ 1070,48 1070,48"
"Pago título: 2220004476 1050 - CIA SANEAMENTO BASIC 31/08/2022 LQ 1069,92 1069,92"
"Pago título: 2220004504 1145 - JOBEMA DISTRIBUIDORA 31/08/2022 LQ 1044,68 1044,68"
"Pago título: 2220004511 1567 - RPR CAPTACAO E TRANS 31/08/2022 LQ 1043,04 1043,04"
"Pago título: 2220004518 157 - CONDOMINIO TECH TOWN 31/08/2022 LQ 1042,13 1042,13"
"Pago título: 2220004532 1004 - BRANYL COMERCIO E IN 31/08/2022 LQ 1028,19 1028,19"
"Pago título: 2220004546 5599 - COOPERATIVA PECUARIA 31/08/2022 LQ 1018,44 1018,44"
"Pago título: 2220004560 888 - INCOPISOS INDUSTRIA E 31/08/2022 LQ 1003,77 1003,77"
"Pago título: 2220004574 2074 - SALTORELLI TINTURARI 31/08/2022 LQ 991,96 991,96"
"Pago título: 2220004588 281 - BIO SPRINGER DO BRASI 31/08/2022 LQ 974,06 974,06"
"Pago título: 2220004602 1120 - MOTOROLA MOBILITY CO 31/08/2022 LQ 966,13 966,13"
"Pago título: 2220004616 3908 - TANSAN INDUSTRIA QUI 31/08/2022 LQ 963,23 963,23"
"Pago título: 2220004623 2965 - JAGUARI COMERCIAL E 31/08/2022 LQ 953,99 953,99"
"Pago título: 2220004630 375 - CAPUAVA S/A INDUSTRIA 31/08/2022 LQ 932,98 932,98"
"Pago título: 2220004637 3310 - ELDER COSTA RODRIGUE 31/08/2022 LQ 932,29 932,29"
"Pago título: 2220004665 191 - COOPERATIVA NOVA ESPE 31/08/2022 LQ 926,73 926,73"
"Pago título: 2220004672 2747 - SINTO BRASIL PRODUTO 31/08/2022 LQ 916,78 916,78"
"Pago título: 2220004679 312 - FIACAO ALPINA LTDA 31/08/2022 LQ 910,16 910,16"
"Pago título: 2220004693 5531 - MARILIZE PEZZO ROSSI 31/08/2022 LQ 898,38 898,38"
"Pago título: 2220004714 939 - LEF PISOS E REVESTIME 31/08/2022 LQ 879,95 879,95"
"Pago título: 2220004728 1818 - MARLES INDUSTRIA TEX 31/08/2022 LQ 874,87 874,87"
"Pago título: 2220004735 1592 - MICROSAL INDUSTRIA E 31/08/2022 LQ 873,93 873,93"
"Pago título: 2220004742 1638 - LEITESOL INDUSTRIA E 31/08/2022 LQ 873,47 873,47"
"Pago título: 2220004763 946 - HOTEL CAMPING ESTANCI 31/08/2022 LQ 853,21 853,21"
"Pago título: 2220004770 461 - J.R.M. - PARTICIPACOE 31/08/2022 LQ 852,41 852,41"
"Pago título: 2220004777 1429 - ASSOCIACAO ADMINISTR 31/08/2022 LQ 849,02 849,02"
"Pago título: 2220004784 7689 - WICKBOLD & NOSSO PAO 31/08/2022 LQ 845,64 845,64"
"Pago título: 2220004812 7213 - AGUAS DE MAIRIPORA L 31/08/2022 LQ 836,48 836,48"
"Pago título: 2220004819 4891 - LOTEAMENTO IMPERIAL 31/08/2022 LQ 836,48 836,48"
"Pago título: 2220004840 3196 - CEDASA INDUSTRIA E C 31/08/2022 LQ 815,57 815,57"
"Pago título: 2220004847 3060 - ASSOCIACAO DOS PROPR 31/08/2022 LQ 815,56 815,56"
"Pago título: 2220004861 1423 - TASA TINTURARIA AMER 31/08/2022 LQ 801,55 801,55"
"Pago título: 2220004868 909 - FLEX PARQUE EMPRESARI 31/08/2022 LQ 800,93 800,93"
"Pago título: 2220004882 981 - PIRACAIA IND E COM EX 31/08/2022 LQ 783,97 783,97"
"Pago título: 2220004889 211 - FERNANDEZ S.A. INDUST 31/08/2022 LQ 771,95 771,95"
"Pago título: 2220004917 2329 - NOVA MIX INDUSTRIAL 31/08/2022 LQ 756,09 756,09"
"Pago título: 2220004945 2175 - INDUSTRIA E COMERCIO 31/08/2022 LQ 751,08 751,08"
"Pago título: 2220004966 1193 - TEXTIL CANATIBA LTDA 31/08/2022 LQ 745,05 745,05"
"Pago título: 2220004980 223 - VIVA PISOS E REVESTIM 31/08/2022 LQ 739,45 739,45"
"Pago título: 2220004987 324 - DEDINI S/A INDUSTRIAS 31/08/2022 LQ 735,92 735,92"
"Pago título: 2220005001 503 - FLAMBOIA ALIMENTOS LT 31/08/2022 LQ 733,39 733,39"
"Pago título: 2220005015 7707 - SORVETES JUNDIA INDU 31/08/2022 LQ 729,64 729,64"
"Pago título: 2220005022 390 - TOYOBO DO BRASIL LTDA 31/08/2022 LQ 721,41 721,41"
"Pago título: 2220005029 900 - DANA INDUSTRIAS LTDA 31/08/2022 LQ 717,37 717,37"
"Pago título: 2220005043 1979 - QUIMICA AMPARO LTDA 31/08/2022 LQ 711 711"
"Pago título: 2220005057 5416 - ZARAPLAST S.A 31/08/2022 LQ 701,61 701,61"
"Pago título: 2220005064 7324 - THEIA EMPREENDIMENTO 31/08/2022 LQ 700,97 700,97"
"Pago título: 2220005071 1420 - MIRVI BRASIL LTDA 31/08/2022 LQ 696,67 696,67"
"Pago título: 2220005099 1789 - CENTRAIS DE ABASTECI 31/08/2022 LQ 682,69 682,69"
"Pago título: 2220005113 2284 - AGUA VIDA TRANSPORTE 31/08/2022 LQ 669,18 669,18"
"Pago título: 2220005169 455 - TBK MINERACAO LTDA 31/08/2022 LQ 647,01 647,01"
"Pago título: 2220005176 7715 - CHT BRASIL QUIMICA L 31/08/2022 LQ 645,8 645,8"
"Pago título: 2220005211 356 - ESTANCIA ARVORE DA VI 31/08/2022 LQ 634,44 634,44"
"Pago título: 2220005218 25 - EXTRACAO E COMERCIO DE 31/08/2022 LQ 632,29 632,29"
"Pago título: 2220005232 26 - CERAMICA FORMIGRES LTD 31/08/2022 LQ 625,13 625,13"
"Pago título: 2220005239 1139 - HOPI HARI S/A 31/08/2022 LQ 617,91 617,91"
"Pago título: 2220005246 7704 - ASS DOS PROPRIETARIO 31/08/2022 LQ 617,9 617,9"
"Pago título: 2220005281 1846 - COMPANHIA NACIONAL D 31/08/2022 LQ 611,93 611,93"
"Pago título: 2220005288 2088 - ASSOCIACAO DE PROPRI 31/08/2022 LQ 610,63 610,63"
"Pago título: 2220005295 6849 - ASSOCIACAO DOS MORAD 31/08/2022 LQ 606,45 606,45"
"Pago título: 2220005302 482 - TAVARES PINHEIRO INDU 31/08/2022 LQ 606,44 606,44"
"Pago título: 2220005323 497 - ALCOOL FERREIRA S/A 31/08/2022 LQ 598,71 598,71"
"Pago título: 2220005330 4358 - CONSTIC EMPREENDIMEN 31/08/2022 LQ 597,87 597,87"
"Pago título: 2220005337 244 - CONFIBRA INDUSTRIA E 31/08/2022 LQ 594,27 594,27"
"Pago título: 2220005358 2464 - SPARTAN DO BRASIL PR 31/08/2022 LQ 586,79 586,79"
"Pago título: 2220005379 2474 - DE MARCHI INDUSTRIA 31/08/2022 LQ 573,19 573,19"
"Pago título: 2220005414 978 - CHEM-TREND IND E COM 31/08/2022 LQ 564,5 564,5"
"Pago título: 2220005421 163 - SABARA QUIMICOS E ING 31/08/2022 LQ 555,44 555,44"
"Pago título: 2220005428 892 - A. AZEVEDO INDUSTRIA 31/08/2022 LQ 553,36 553,36"
"Pago título: 2220005435 5560 - WT NEGOCIOS IMOBILIA 31/08/2022 LQ 550,4 550,4"
"Pago título: 2220005449 2348 - RAUL FERREIRA LEITE 31/08/2022 LQ 543,71 543,71"
"Pago título: 2220005456 4116 - TARTALIA EMPREENDIME 31/08/2022 LQ 543,71 543,71"
"Pago título: 2220005470 4288 - PTM AGRICOLA E PARTI 31/08/2022 LQ 539,18 539,18"
"Pago título: 2220005477 6995 - SPAL INDUSTRIA BRASI 31/08/2022 LQ 532,77 532,77"
"Pago título: 2220005484 2889 - I & M PAPEIS E EMBAL 31/08/2022 LQ 529,65 529,65"
"Pago título: 2220005505 432 - ASSOCIACAO PROPRIETAR 31/08/2022 LQ 523,95 523,95"
"Pago título: 2220005512 1689 - AJINOMOTO DO BRASIL 31/08/2022 LQ 522,81 522,81"
"Pago título: 2220005526 924 - CONDOMINIO CHACARAS M 31/08/2022 LQ 519,92 519,92"
"Pago título: 2220005533 142 - SOCIEDADE DE MELHORAM 31/08/2022 LQ 519,87 519,87"
"Pago título: 2220005540 1274 - GUAINUMBY TEXTIL LTD 31/08/2022 LQ 517,54 517,54"
"Pago título: 2220005547 3413 - TUIUTI ECO PARK EMPR 31/08/2022 LQ 517,14 517,14"
"Pago título: 2220005554 24 - ASSOCIACAO DOS PROPRIE 31/08/2022 LQ 515,75 515,75"
"Pago título: 2220005561 2952 - EXTRACAO E COMERCIO 31/08/2022 LQ 509,07 509,07"
"Pago título: 2220005568 1154 - GREENBRIER MAXION EQ 31/08/2022 LQ 507,69 507,69"
"Pago título: 2220005575 4697 - MARFRIG GLOBAL FOODS 31/08/2022 LQ 507,56 507,56"
"Pago título: 2220005582 237 - IPLASA - INDUSTRIA E 31/08/2022 LQ 501,89 501,89"
"Pago título: 2220005589 3637 - PICOLI & CARRARA COM 31/08/2022 LQ 501,89 501,89"
"Pago título: 2220005596 297 - CERAMICA CRISTOFOLETT 31/08/2022 LQ 501,89 501,89"
"Pago título: 2220005603 989 - A P LOSA & CIA LTDA 31/08/2022 LQ 501,89 501,89"
"Pago título: 2220005610 4862 - PSS DE CAMARGO SERVI 31/08/2022 LQ 501,89 501,89"
"Pago título: 2220005638 2457 - HYUNDAI MOTOR BRASIL 31/08/2022 LQ 491,02 491,02"
"Pago título: 2220005645 3992 - HOTEL FAZENDA HARAS 31/08/2022 LQ 489,34 489,34"
"Pago título: 2220005666 7252 - CRJP LOTEAMENTOS SPE 31/08/2022 LQ 481,91 481,91"
"Pago título: 2220005673 3666 - RAUL FERREIRA LEITE 31/08/2022 LQ 480,97 480,97"
"Pago título: 2220005680 4784 - ASSOCIACAO DOS PROPR 31/08/2022 LQ 480,45 480,45"
"Pago título: 2220005687 844 - COIM BRASIL LTDA 31/08/2022 LQ 477,53 477,53"
"Pago título: 2220005694 3365 - MALIBER INDUSTRIA E 31/08/2022 LQ 476,26 476,26"
"Pago título: 2220005701 2590 - DIERBERGER OLEOS ESS 31/08/2022 LQ 475,75 475,75"
"Pago título: 2220005708 5539 - SPEEDY INCORPORACOES 31/08/2022 LQ 463,31 463,31"
"Pago título: 2220005729 2478 - ASSOC DOS PROPRIETAR 31/08/2022 LQ 462,04 462,04"
"Pago título: 2220005736 4361 - RAUL FERREIRA LEITE 31/08/2022 LQ 460,06 460,06"
"Pago título: 2220005743 3453 - CERAMICA SAVANE LTDA 31/08/2022 LQ 457,72 457,72"
"Pago título: 2220005750 1859 - CWS CABLE PARKS LTDA 31/08/2022 LQ 455,53 455,53"
"Pago título: 2220005764 1618 - NAZATO PIRACICABA TR 31/08/2022 LQ 452,33 452,33"
"Pago título: 2220005799 2239 - CERAMICA RAMOS LTDA 31/08/2022 LQ 448,98 448,98"
"Pago título: 2220005806 2385 - SOLENIS ESPECIALIDAD 31/08/2022 LQ 310,64 310,64"
"Pago título: 2220005813 1479 - MEAT SNACK PARTNERS 31/08/2022 LQ 444,74 444,74"
"Pago título: 2220005820 3253 - COPASIL QUIMICA INDU 31/08/2022 LQ 443,16 443,16"
"Pago título: 2220005827 2981 - VIVA PISOS E REVESTI 31/08/2022 LQ 439,15 439,15"
"Pago título: 2220005834 7129 - POUSADA CHALES DO TH 31/08/2022 LQ 438,11 438,11"
"Pago título: 2220005855 7159 - FLAVOUR MIX INDUSTRI 31/08/2022 LQ 432,25 432,25"
"Pago título: 2220005869 4779 - FUNDACAO CENTRO DE A 31/08/2022 LQ 429,53 429,53"
"Pago título: 2220005876 152 - SOCIEDADE AMIGOS DO R 31/08/2022 LQ 428,69 428,69"
"Pago título: 2220005890 1091 - DEPARTAMENTO DE AGUA 31/08/2022 LQ 422,33 422,33"
"Pago título: 2220005897 7329 - ESPACO GAIA EMPREEND 31/08/2022 LQ 419,01 419,01"
"Pago título: 2220005904 6034 - ESPACO GAIA EMPREEND 31/08/2022 LQ 419,01 419,01"
"Pago título: 2220005911 6035 - ESPACO GAIA EMPREEND 31/08/2022 LQ 419,01 419,01"
"Pago título: 2220005918 1692 - LALLEMAND SOLUCOES B 31/08/2022 LQ 418,84 418,84"
"Pago título: 2220005925 3954 - MARCO ANTONIO TONOLI 31/08/2022 LQ 418,24 418,24"
"Pago título: 2220005946 2684 - ANTONIO SERGIO LEITE 31/08/2022 LQ 418,24 418,24"
"Pago título: 2220005967 94 - SERVICO SOCIAL DA INDU 31/08/2022 LQ 418,24 418,24"
"Pago título: 2220005974 4631 - AGROPECUARIA CAPUAVA 31/08/2022 LQ 418,24 418,24"
"Pago título: 2220006051 2083 - HANIER ESPECIALIDADE 31/08/2022 LQ 408,38 408,38"
"Pago título: 2220006065 4762 - MINERACAO ANGICO LTD 31/08/2022 LQ 407,35 407,35"
"Pago título: 2220006072 938 - MIRACEMA NUODEX INDUS 31/08/2022 LQ 407,01 407,01"
"Pago título: 2220006086 3163 - RESIDENCIAL FAZENDA 31/08/2022 LQ 405,96 405,96"
"Pago título: 2220006093 2773 - SOCIEDADE DE ARMAZEN 31/08/2022 LQ 403,01 403,01"
"Pago título: 2220006107 1465 - BBC INDUSTRIA E COME 31/08/2022 LQ 400,99 400,99"
"Pago título: 2220006121 1456 - ASSOC DOS PROP DO LO 31/08/2022 LQ 397,33 397,33"
"Pago título: 2220006128 1862 - DOR RIO CONFECCAO LT 31/08/2022 LQ 395,98 395,98"
"Pago título: 2220006156 1477 - JETFIO INDUSTRIA TEX 31/08/2022 LQ 386,16 386,16"
"Pago título: 2220006170 2324 - BASF S/A 31/08/2022 LQ 381,43 381,43"
"Pago título: 2220006184 1813 - MAXLAV LAVANDERIA ES 31/08/2022 LQ 379,53 379,53"
"Pago título: 2220006198 3590 - AGUA DO CAMPO TRANSP 31/08/2022 LQ 378,9 378,9"
"Pago título: 2220006205 265 - ADERE PRODUTOS AUTO-A 31/08/2022 LQ 377,81 377,81"
"Pago título: 2220006212 136 - MARCIA REGINA PEZZENT 31/08/2022 LQ 376,41 376,41"
"Pago título: 2220006219 5487 - ASSOC DOS PROPR DE L 31/08/2022 LQ 376,41 376,41"
"Pago título: 2220006233 4280 - YARA BRASIL FERTILIZ 31/08/2022 LQ 376,41 376,41"
"Pago título: 2220006240 426 - RUY R. DA ROCHA PRODU 31/08/2022 LQ 376,41 376,41"
"Pago título: 2220006254 1243 - ASSOCIACAO PROPRIETA 31/08/2022 LQ 376,41 376,41"
"Pago título: 2220006261 5580 - IRMAOS SEGEREN AGROP 31/08/2022 LQ 376,41 376,41"
"Pago título: 2220006275 545 - SOCIEDADE DE PROPRIET 31/08/2022 LQ 376,36 376,36"
"Pago título: 2220006289 2665 - ASSOC DOS PROPRIET D 31/08/2022 LQ 372,59 372,59"
"Pago título: 2220006331 1082 - LENA & CIA LTDA 31/08/2022 LQ 364,66 364,66"
"Pago título: 2220006345 69 - PLASTEK DO BRASIL INDU 31/08/2022 LQ 363,24 363,24"
"Pago título: 2220006359 1425 - TRANSPORTE E COMERCI 31/08/2022 LQ 359,68 359,68"
"Pago título: 2220006373 3696 - AGUAS DE CAMPINAS TR 31/08/2022 LQ 357,59 357,59"
"Pago título: 2220006387 5323 - ERCA INDUSTRIA E COM 31/08/2022 LQ 357,42 357,42"
"Pago título: 2220006394 2172 - FARMINA PET FOODS BR 31/08/2022 LQ 356,68 356,68"
"Pago título: 2220006401 3221 - LIMEIRENSE FERTILIZA 31/08/2022 LQ 356,28 356,28"
"Pago título: 2220006408 1591 - TQA INDUSTRIA E COME 31/08/2022 LQ 355,5 355,5"
"Pago título: 2220006436 5654 - FUNDICAO REGALI BRAS 31/08/2022 LQ 352,26 352,26"
"Pago título: 2220006443 17 - LEDERVIN INDUSTRIA E C 31/08/2022 LQ 351,32 351,32"
"Pago título: 2220006478 182 - UNIPEL INDUSTRIA E CO 31/08/2022 LQ 345,95 345,95"
"Pago título: 2220006520 4869 - ASSOCIACAO DOS MORAD 31/08/2022 LQ 338,77 338,77"
"Pago título: 2220006541 5938 - CLAUDETE APARECIDA G 31/08/2022 LQ 338,04 338,04"
"Pago título: 2220006548 2114 - MAXLAV LAVANDERIA ES 31/08/2022 LQ 336,68 336,68"
"Pago título: 2220006555 2949 - INSTITUTO ADVENTISTA 31/08/2022 LQ 335,22 335,22"
"Pago título: 2220006562 985 - CONDOMINIO FAZENDA DU 31/08/2022 LQ 335,06 335,06"
"Pago título: 2220006576 4771 - VID'AGUA DISTRIBUICA 31/08/2022 LQ 334,59 334,59"
"Pago título: 2220006590 7322 - CAMARGO COMPANHIA DE 31/08/2022 LQ 334,59 334,59"
"Pago título: 2220006611 1122 - PPC SANTANA EQUIPAME 31/08/2022 LQ 333,42 333,42"
"Pago título: 2220006618 3480 - MEDI HOUSE IND E COM 31/08/2022 LQ 332,65 332,65"
"Pago título: 2220006632 3366 - TECHIMPORT TECNOLOGI 31/08/2022 LQ 331,37 331,37"
"Pago título: 2220006639 3336 - CONDOMINIO RESIDENCI 31/08/2022 LQ 329,82 329,82"
"Pago título: 2220006653 3327 - INPAR PROJETO 86 SPE 31/08/2022 LQ 327,09 327,09"
"Pago título: 2220006667 2745 - CONDOMINIO DO SHOPPI 31/08/2022 LQ 326,44 326,44"
"Pago título: 2220006688 2094 - ASSOCIACAO DE PROPRI 31/08/2022 LQ 323,18 323,18"
"Pago título: 2220006695 1749 - USINA PAULISTA DE BR 31/08/2022 LQ 322,99 322,99"
"Pago título: 2220006702 1676 - CASSOL PRE  FABRICAD 31/08/2022 LQ 321,76 321,76"
"Pago título: 2220006716 3704 - I.S. COMERCIO DE AGU 31/08/2022 LQ 319,95 319,95"
"Pago título: 2220006737 852 - ECOFABRIL INDUSTRIA E 31/08/2022 LQ 318 318"
"Pago título: 2220006744 851 - KROMBERG & SCHUBERT D 31/08/2022 LQ 316,39 316,39"
"Pago título: 2220006758 5803 - ASSOCIACAO DOS AMIGO 31/08/2022 LQ 313,68 313,68"
"Pago título: 2220006765 4600 - ALMEIDA PISOS E REVE 31/08/2022 LQ 313,68 313,68"
"Pago título: 2220006772 5306 - ASSOCIACAO DE AMIGOS 31/08/2022 LQ 313,68 313,68"
"Pago título: 2220006779 1144 - ASSOCIACAO PROPRIET. 31/08/2022 LQ 313,68 313,68"
"Pago título: 2220006793 5161 - MISTER GELO IND. DE 31/08/2022 LQ 313,13 313,13"
"Pago título: 2220006800 3679 - CMR INDUSTRIA E COME 31/08/2022 LQ 311 311"
"Pago título: 2220006821 6918 - RAMOS & RIBEIRO EMPR 31/08/2022 LQ 307,55 307,55"
"Pago título: 2220006863 3514 - CERAMICA GRESCA G3 L 31/08/2022 LQ 301,13 301,13"
"Pago título: 2220006898 1701 - TINTURARIA E ESTAMPA 31/08/2022 LQ 294,55 294,55"
"Pago título: 2220006912 68 - ASSOCIACAO GREEN VILLA 31/08/2022 LQ 293,91 293,91"
"Pago título: 2220006940 2814 - REAL INDUSTRIA E COM 31/08/2022 LQ 290,85 290,85"
"Pago título: 2220006954 3352 - CP KELCO BRASIL S/A 31/08/2022 LQ 290 290"
"Pago título: 2220006982 3323 - HORTOLANDIA INCORPOR 31/08/2022 LQ 288,94 288,94"
"Pago título: 2220006989 6366 - SOCIEDADE AGOSTINIAN 31/08/2022 LQ 288,85 288,85"
"Pago título: 2220006996 2897 - REQUIPH METALURGICA 31/08/2022 LQ 288,76 288,76"
"Pago título: 2220007017 7716 - EXTRAMIX CONCRETO LT 31/08/2022 LQ 288 288"
"Pago título: 2220007024 1830 - SUOMINEN BRASIL INDU 31/08/2022 LQ 285,87 285,87"
"Pago título: 2220007031 1705 - SAINT-GOBAIN DO BRAS 31/08/2022 LQ 285,75 285,75"
"Pago título: 2220007045 7710 - WLM PART E COMERCIO 31/08/2022 LQ 284,39 284,39"
"Pago título: 2220007066 3 - CONDOMINIO RESIDENCIAL 31/08/2022 LQ 281,35 281,35"
"Pago título: 2220007073 5443 - ASSOC DOS PROP E MOR 31/08/2022 LQ 276,01 276,01"
"Pago título: 2220007094 3139 - RAIZEN ENERGIA S/A 31/08/2022 LQ 271,86 271,86"
"Pago título: 2220007101 4385 - MATEUS CAVALCANTI IZ 31/08/2022 LQ 271,86 271,86"
"Pago título: 2220007129 4827 - BOM PEIXE INDUSTRIA 31/08/2022 LQ 267,67 267,67"
"Pago título: 2220007185 1033 - CCS TECNOLOGIA E SER 31/08/2022 LQ 255,45 255,45"
"Pago título: 2220007192 149 - GREEN GOLF CLUB 31/08/2022 LQ 254,83 254,83"
"Pago título: 2220007199 3720 - J.L. PAULO & CIA LTD 31/08/2022 LQ 253,58 253,58"
"Pago título: 2220007220 1603 - OLIVEIRA & LOPES LTD 31/08/2022 LQ 251,13 251,13"
"Pago título: 2220007241 112 - LUME CERAMICA LTDA 31/08/2022 LQ 250,94 250,94"
"Pago título: 2220007255 3107 - RUY R. DA ROCHA PROD 31/08/2022 LQ 250,94 250,94"
"Pago título: 2220007262 73 - NARDINI PISOS E REVEST 31/08/2022 LQ 250,94 250,94"
"Pago título: 2220007283 1173 - MASTERCOR BENEFICIAM 31/08/2022 LQ 250,74 250,74"
"Pago título: 2220007290 183 - TEXTIL BASSETO LTDA 31/08/2022 LQ 248,81 248,81"
"Pago título: 2220007304 4916 - CLUBE ATLETICO VALIN 31/08/2022 LQ 246,87 246,87"
"Pago título: 2220007346 1266 - ASSOCIACAO COMUNITAR 31/08/2022 LQ 244,67 244,67"
"Pago título: 2220007353 563 - PLAZA INDUSTRIA E COM 31/08/2022 LQ 244,5 244,5"
"Pago título: 2220007360 1609 - GRANITEC IND E COM D 31/08/2022 LQ 244,32 244,32"
"Pago título: 2220007367 4783 - CORREIAS MERCURIO S/ 31/08/2022 LQ 243,41 243,41"
"Pago título: 2220007381 2293 - BRUNO NICOLETTI TECI 31/08/2022 LQ 242,62 242,62"
