"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72449393110202224033.ret"
""
"Cadastrado título novo: 9000007216 4820 - TRANSPEDROSA S/A 30/11/2022 RG 989,52 0"
"Pago título: 2220005283 1846 - COMPANHIA NACIONAL D 31/10/2022 LQ 611,93 611,93"
"Pago título: 2220005290 2088 - ASSOCIACAO DE PROPRI 31/10/2022 LQ 610,63 610,63"
"Pago título: 2220005297 6849 - ASSOCIACAO DOS MORAD 31/10/2022 LQ 606,45 606,45"
"Pago título: 2220005304 482 - TAVARES PINHEIRO INDU 31/10/2022 LQ 606,44 606,44"
"Pago título: 2220005325 497 - ALCOOL FERREIRA S/A 31/10/2022 LQ 598,71 598,71"
"Pago título: 2220005332 4358 - CONSTIC EMPREENDIMEN 31/10/2022 LQ 597,87 597,87"
"Pago título: 2220005339 244 - CONFIBRA INDUSTRIA E 31/10/2022 LQ 594,27 594,27"
"Pago título: 2220005346 2655 - JOAO CARLOS LEME RIB 31/10/2022 LQ 588,98 588,98"
"Pago título: 2220005360 2464 - SPARTAN DO BRASIL PR 31/10/2022 LQ 586,79 586,79"
"Pago título: 2220005374 2846 - AGUAS DAS TERRAS SOL 31/10/2022 LQ 585,53 585,53"
"Pago título: 2220005381 2474 - DE MARCHI INDUSTRIA 31/10/2022 LQ 573,19 573,19"
"Pago título: 2220005395 5418 - SAMUEL SAMPAIO TOCAL 31/10/2022 LQ 567,91 567,91"
"Pago título: 2220005423 163 - SABARA QUIMICOS E ING 31/10/2022 LQ 555,44 555,44"
"Pago título: 2220005430 892 - A. AZEVEDO INDUSTRIA 31/10/2022 LQ 553,36 553,36"
"Pago título: 2220005437 5560 - WT NEGOCIOS IMOBILIA 31/10/2022 LQ 550,4 550,4"
"Pago título: 2220005451 2348 - RAUL FERREIRA LEITE 31/10/2022 LQ 543,71 543,71"
"Pago título: 2220005458 4116 - TARTALIA EMPREENDIME 31/10/2022 LQ 543,71 543,71"
"Pago título: 2220005472 4288 - PTM AGRICOLA E PARTI 31/10/2022 LQ 539,18 539,18"
"Pago título: 2220005479 6995 - SPAL INDUSTRIA BRASI 31/10/2022 LQ 532,77 532,77"
"Pago título: 2220005486 2889 - I & M PAPEIS E EMBAL 31/10/2022 LQ 529,65 529,65"
"Pago título: 2220005507 432 - ASSOCIACAO PROPRIETAR 31/10/2022 LQ 523,95 523,95"
"Pago título: 2220005514 1689 - AJINOMOTO DO BRASIL 31/10/2022 LQ 522,81 522,81"
"Pago título: 2220005528 924 - CONDOMINIO CHACARAS M 31/10/2022 LQ 519,92 519,92"
"Pago título: 2220005535 142 - SOCIEDADE DE MELHORAM 31/10/2022 LQ 519,87 519,87"
"Pago título: 2220005542 1274 - GUAINUMBY TEXTIL LTD 31/10/2022 LQ 517,54 517,54"
"Pago título: 2220005549 3413 - TUIUTI ECO PARK EMPR 31/10/2022 LQ 517,14 517,14"
"Pago título: 2220005556 24 - ASSOCIACAO DOS PROPRIE 31/10/2022 LQ 515,75 515,75"
"Pago título: 2220005563 2952 - EXTRACAO E COMERCIO 31/10/2022 LQ 509,07 509,07"
"Pago título: 2220005570 1154 - GREENBRIER MAXION EQ 31/10/2022 LQ 507,69 507,69"
"Pago título: 2220005577 4697 - MARFRIG GLOBAL FOODS 31/10/2022 LQ 507,56 507,56"
"Pago título: 2220005584 237 - IPLASA - INDUSTRIA E 31/10/2022 LQ 501,89 501,89"
"Pago título: 2220005591 3637 - PICOLI & CARRARA COM 31/10/2022 LQ 501,89 501,89"
"Pago título: 2220005598 297 - CERAMICA CRISTOFOLETT 31/10/2022 LQ 501,89 501,89"
"Pago título: 2220005612 4862 - PSS DE CAMARGO SERVI 31/10/2022 LQ 501,89 501,89"
"Pago título: 2220005640 2457 - HYUNDAI MOTOR BRASIL 31/10/2022 LQ 491,02 491,02"
"Pago título: 2220005647 3992 - HOTEL FAZENDA HARAS 31/10/2022 LQ 489,34 489,34"
"Pago título: 2220005668 7252 - CRJP LOTEAMENTOS SPE 31/10/2022 LQ 481,91 481,91"
"Pago título: 2220005675 3666 - RAUL FERREIRA LEITE 31/10/2022 LQ 480,97 480,97"
"Pago título: 2220005689 844 - COIM BRASIL LTDA 31/10/2022 LQ 477,53 477,53"
"Pago título: 2220005696 3365 - MALIBER INDUSTRIA E 31/10/2022 LQ 476,26 476,26"
"Pago título: 2220005703 2590 - DIERBERGER OLEOS ESS 31/10/2022 LQ 475,75 475,75"
"Pago título: 2220005710 5539 - SPEEDY INCORPORACOES 31/10/2022 LQ 463,31 463,31"
"Pago título: 2220005731 2478 - ASSOC DOS PROPRIETAR 31/10/2022 LQ 462,04 462,04"
"Pago título: 2220005738 4361 - RAUL FERREIRA LEITE 31/10/2022 LQ 460,06 460,06"
"Pago título: 2220005745 3453 - CERAMICA SAVANE LTDA 31/10/2022 LQ 457,72 457,72"
"Pago título: 2220005752 1859 - CWS CABLE PARKS LTDA 31/10/2022 LQ 455,53 455,53"
"Pago título: 2220005766 1618 - NAZATO PIRACICABA TR 31/10/2022 LQ 452,33 452,33"
"Pago título: 2220005780 4641 - DYNATECH INDUSTRIAS 31/10/2022 LQ 450,77 450,77"
"Pago título: 2220005801 2239 - CERAMICA RAMOS LTDA 31/10/2022 LQ 448,98 448,98"
"Pago título: 2220005808 2385 - SOLENIS ESPECIALIDAD 31/10/2022 LQ 446,46 446,46"
"Pago título: 2220005822 3253 - COPASIL QUIMICA INDU 31/10/2022 LQ 443,16 443,16"
"Pago título: 2220005829 2981 - VIVA PISOS E REVESTI 31/10/2022 LQ 439,15 439,15"
"Pago título: 2220005836 7129 - POUSADA CHALES DO TH 31/10/2022 LQ 438,11 438,11"
"Pago título: 2220005871 4779 - FUNDACAO CENTRO DE A 31/10/2022 LQ 429,53 429,53"
"Pago título: 2220005878 152 - SOCIEDADE AMIGOS DO R 31/10/2022 LQ 428,69 428,69"
"Pago título: 2220005885 4556 - ASSOCIACAO DE MELHOR 31/10/2022 LQ 425,15 425,15"
"Pago título: 2220005892 1091 - DEPARTAMENTO DE AGUA 31/10/2022 LQ 422,33 422,33"
"Pago título: 2220005920 1692 - LALLEMAND SOLUCOES B 31/10/2022 LQ 418,84 418,84"
"Pago título: 2220005948 2684 - ANTONIO SERGIO LEITE 31/10/2022 LQ 418,24 418,24"
"Pago título: 2220005955 4654 - ASSOC DOS PROP DE LO 31/10/2022 LQ 418,24 418,24"
"Pago título: 2220005969 94 - SERVICO SOCIAL DA INDU 31/10/2022 LQ 418,24 418,24"
"Pago título: 2220005976 4631 - AGROPECUARIA CAPUAVA 31/10/2022 LQ 418,24 418,24"
"Pago título: 2220006018 3926 - HWT PROMOCOES ESPORT 31/10/2022 LQ 415,62 415,62"
"Pago título: 2220006039 2906 - TRANSPORTADORA H2O L 31/10/2022 LQ 414,04 414,04"
"Pago título: 2220006046 6966 - TONINPAR EMPREENDIME 31/10/2022 LQ 413,63 413,63"
"Pago título: 2220006053 2083 - HANIER ESPECIALIDADE 31/10/2022 LQ 408,38 408,38"
"Pago título: 2220006067 4762 - MINERACAO ANGICO LTD 31/10/2022 LQ 407,35 407,35"
"Pago título: 2220006074 938 - MIRACEMA NUODEX INDUS 31/10/2022 LQ 407,01 407,01"
"Pago título: 2220006088 3163 - RESIDENCIAL FAZENDA 31/10/2022 LQ 405,96 405,96"
"Pago título: 2220006095 2773 - SOCIEDADE DE ARMAZEN 31/10/2022 LQ 403,01 403,01"
"Pago título: 2220006102 3660 - SO AGUA COMERCIAL E 31/10/2022 LQ 401,51 401,51"
"Pago título: 2220006109 1465 - BBC INDUSTRIA E COME 31/10/2022 LQ 400,99 400,99"
"Pago título: 2220006123 1456 - ASSOC DOS PROP DO LO 31/10/2022 LQ 397,33 397,33"
"Pago título: 2220006130 1862 - DOR RIO CONFECCAO LT 31/10/2022 LQ 395,98 395,98"
"Pago título: 2220006137 932 - GREMIO RECR EMPREGADO 31/10/2022 LQ 395,69 395,69"
"Pago título: 2220006158 1477 - JETFIO INDUSTRIA TEX 31/10/2022 LQ 386,16 386,16"
"Pago título: 2220006172 2324 - BASF S/A 31/10/2022 LQ 381,43 381,43"
"Pago título: 2220006186 1813 - MAXLAV LAVANDERIA ES 31/10/2022 LQ 379,53 379,53"
"Pago título: 2220006207 265 - ADERE PRODUTOS AUTO-A 31/10/2022 LQ 377,81 377,81"
"Pago título: 2220006214 136 - MARCIA REGINA PEZZENT 31/10/2022 LQ 376,41 376,41"
"Pago título: 2220006221 5487 - ASSOC DOS PROPR DE L 31/10/2022 LQ 376,41 376,41"
"Pago título: 2220006235 4280 - YARA BRASIL FERTILIZ 31/10/2022 LQ 376,41 376,41"
"Pago título: 2220006242 426 - RUY R. DA ROCHA PRODU 31/10/2022 LQ 376,41 376,41"
"Pago título: 2220006256 1243 - ASSOCIACAO PROPRIETA 31/10/2022 LQ 376,41 376,41"
"Pago título: 2220006263 5580 - IRMAOS SEGEREN AGROP 31/10/2022 LQ 376,41 376,41"
"Pago título: 2220006277 545 - SOCIEDADE DE PROPRIET 31/10/2022 LQ 376,36 376,36"
"Pago título: 2220006291 2665 - ASSOC DOS PROPRIET D 31/10/2022 LQ 372,59 372,59"
"Pago título: 2220006298 2458 - SENPAR TERRAS DE SAO 31/10/2022 LQ 368,47 368,47"
"Pago título: 2220006305 335 - ANTONIO BORIN SA IND 31/10/2022 LQ 367,15 367,15"
"Pago título: 2220006333 1082 - LENA & CIA LTDA 31/10/2022 LQ 364,66 364,66"
"Pago título: 2220006347 69 - PLASTEK DO BRASIL INDU 31/10/2022 LQ 363,24 363,24"
"Pago título: 2220006375 3696 - AGUAS DE CAMPINAS TR 31/10/2022 LQ 357,59 357,59"
"Pago título: 2220006389 5323 - ERCA INDUSTRIA E COM 31/10/2022 LQ 357,42 357,42"
"Pago título: 2220006396 2172 - FARMINA PET FOODS BR 31/10/2022 LQ 356,68 356,68"
"Pago título: 2220006403 3221 - LIMEIRENSE FERTILIZA 31/10/2022 LQ 356,28 356,28"
"Pago título: 2220006410 1591 - TQA INDUSTRIA E COME 31/10/2022 LQ 355,5 355,5"
"Pago título: 2220006438 5654 - FUNDICAO REGALI BRAS 31/10/2022 LQ 352,26 352,26"
"Pago título: 2220006445 17 - LEDERVIN INDUSTRIA E C 31/10/2022 LQ 351,32 351,32"
"Pago título: 2220006480 182 - UNIPEL INDUSTRIA E CO 31/10/2022 LQ 345,95 345,95"
"Pago título: 2220006487 293 - OMAMORI INDUSTRIA DE 31/10/2022 LQ 344,85 344,85"
"Pago título: 2220006494 7306 - TRANSPORTADORA FREZZ 31/10/2022 LQ 344,47 344,47"
"Pago título: 2220006522 4869 - ASSOCIACAO DOS MORAD 31/10/2022 LQ 338,77 338,77"
"Pago título: 2220006543 5938 - CLAUDETE APARECIDA G 31/10/2022 LQ 338,04 338,04"
"Pago título: 2220006550 2114 - MAXLAV LAVANDERIA ES 31/10/2022 LQ 336,68 336,68"
"Pago título: 2220006557 2949 - INSTITUTO ADVENTISTA 31/10/2022 LQ 335,22 335,22"
"Pago título: 2220006564 985 - CONDOMINIO FAZENDA DU 31/10/2022 LQ 335,06 335,06"
"Pago título: 2220006578 4771 - VID'AGUA DISTRIBUICA 31/10/2022 LQ 334,59 334,59"
"Pago título: 2220006592 7322 - CAMARGO COMPANHIA DE 31/10/2022 LQ 334,59 334,59"
"Pago título: 2220006606 3879 - CATALISE INDUSTRIA E 31/10/2022 LQ 334,59 334,59"
"Pago título: 2220006613 1122 - PPC SANTANA EQUIPAME 31/10/2022 LQ 333,42 333,42"
"Pago título: 2220006620 3480 - MEDI HOUSE IND E COM 31/10/2022 LQ 332,65 332,65"
"Pago título: 2220006634 3366 - TECHIMPORT TECNOLOGI 31/10/2022 LQ 331,37 331,37"
"Pago título: 2220006641 3336 - CONDOMINIO RESIDENCI 31/10/2022 LQ 329,82 329,82"
"Pago título: 2220006655 3327 - INPAR PROJETO 86 SPE 31/10/2022 LQ 327,09 327,09"
"Pago título: 2220006669 2745 - CONDOMINIO DO SHOPPI 31/10/2022 LQ 326,44 326,44"
"Pago título: 2220006676 965 - IGARATIBA INDUSTRIA E 31/10/2022 LQ 324,15 324,15"
"Pago título: 2220006690 2094 - ASSOCIACAO DE PROPRI 31/10/2022 LQ 323,18 323,18"
"Pago título: 2220006697 1749 - USINA PAULISTA DE BR 31/10/2022 LQ 322,99 322,99"
"Pago título: 2220006704 1676 - CASSOL PRE  FABRICAD 31/10/2022 LQ 321,76 321,76"
"Pago título: 2220006739 852 - ECOFABRIL INDUSTRIA E 31/10/2022 LQ 318 318"
"Pago título: 2220006760 5803 - ASSOCIACAO DOS AMIGO 31/10/2022 LQ 313,68 313,68"
"Pago título: 2220006767 4600 - ALMEIDA PISOS E REVE 31/10/2022 LQ 313,68 313,68"
"Pago título: 2220006781 1144 - ASSOCIACAO PROPRIET. 31/10/2022 LQ 313,68 313,68"
"Pago título: 2220006795 5161 - MISTER GELO IND. DE 31/10/2022 LQ 313,13 313,13"
"Pago título: 2220006802 3679 - CMR INDUSTRIA E COME 31/10/2022 LQ 311 311"
"Pago título: 2220006823 6918 - RAMOS & RIBEIRO EMPR 31/10/2022 LQ 307,55 307,55"
"Pago título: 2220006858 2776 - KARINA PISOS E REVES 31/10/2022 LQ 301,13 301,13"
"Pago título: 2220006865 3514 - CERAMICA GRESCA G3 L 31/10/2022 LQ 301,13 301,13"
"Pago título: 2220006872 5805 - QUIBRITA MINERADORA 31/10/2022 LQ 300,79 300,79"
"Pago título: 2220006914 68 - ASSOCIACAO GREEN VILLA 31/10/2022 LQ 293,91 293,91"
"Pago título: 2220006942 2814 - REAL INDUSTRIA E COM 31/10/2022 LQ 290,85 290,85"
"Pago título: 2220006956 3352 - CP KELCO BRASIL S/A 31/10/2022 LQ 290 290"
"Pago título: 2220006977 3471 - ALTO DA COLINA VERDE 31/10/2022 LQ 289 289"
"Pago título: 2220006984 3323 - HORTOLANDIA INCORPOR 31/10/2022 LQ 288,94 288,94"
"Pago título: 2220006991 6366 - SOCIEDADE AGOSTINIAN 31/10/2022 LQ 288,85 288,85"
"Pago título: 2220006998 2897 - REQUIPH METALURGICA 31/10/2022 LQ 288,76 288,76"
"Pago título: 2220007019 7716 - EXTRAMIX CONCRETO LT 31/10/2022 LQ 288 288"
"Pago título: 2220007026 1830 - SUOMINEN BRASIL INDU 31/10/2022 LQ 285,87 285,87"
"Pago título: 2220007033 1705 - SAINT-GOBAIN DO BRAS 31/10/2022 LQ 285,75 285,75"
"Pago título: 2220007047 7710 - WLM PART E COMERCIO 31/10/2022 LQ 284,39 284,39"
"Pago título: 2220007068 3 - CONDOMINIO RESIDENCIAL 31/10/2022 LQ 281,35 281,35"
"Pago título: 2220007075 5443 - ASSOC DOS PROP E MOR 31/10/2022 LQ 276,01 276,01"
"Pago título: 2220007089 3053 - JR GOMES IMOBILIARIA 31/10/2022 LQ 271,86 271,86"
"Pago título: 2220007103 4385 - MATEUS CAVALCANTI IZ 31/10/2022 LQ 271,86 271,86"
"Pago título: 2220007131 4827 - BOM PEIXE INDUSTRIA 31/10/2022 LQ 267,67 267,67"
"Pago título: 2220007138 1085 - YAKULT S/A INDUSTRIA 31/10/2022 LQ 267,19 267,19"
"Pago título: 2220007180 2575 - LUBRASIL LUBRIFICANT 31/10/2022 LQ 256,28 256,28"
"Pago título: 2220007187 1033 - CCS TECNOLOGIA E SER 31/10/2022 LQ 255,45 255,45"
"Pago título: 2220007201 3720 - J.L. PAULO & CIA LTD 31/10/2022 LQ 253,58 253,58"
"Pago título: 2220007215 2675 - CORR PLASTIK LTDA 31/10/2022 LQ 251,46 251,46"
"Pago título: 2220007222 1603 - OLIVEIRA & LOPES LTD 31/10/2022 LQ 251,13 251,13"
"Pago título: 2220007229 3971 - VIEIRA E RODRIGUES T 31/10/2022 LQ 250,94 250,94"
"Pago título: 2220007243 112 - LUME CERAMICA LTDA 31/10/2022 LQ 250,94 250,94"
"Pago título: 2220007257 3107 - RUY R. DA ROCHA PROD 31/10/2022 LQ 250,94 250,94"
"Pago título: 2220007264 73 - NARDINI PISOS E REVEST 31/10/2022 LQ 250,94 250,94"
"Pago título: 2220007271 4356 - CONDOMINIO RESIDENCI 31/10/2022 LQ 250,94 250,94"
"Pago título: 2220007292 183 - TEXTIL BASSETO LTDA 31/10/2022 LQ 248,81 248,81"
"Pago título: 2220007306 4916 - CLUBE ATLETICO VALIN 31/10/2022 LQ 246,87 246,87"
"Pago título: 2220007313 4485 - PARQUE DOS EUCALIPTO 31/10/2022 LQ 246,55 246,55"
"Pago título: 2220007327 2956 - CENTER GIRO TRANSPOR 31/10/2022 LQ 246,21 246,21"
"Pago título: 2220007341 5643 - MARCELO ALVES PEREIR 31/10/2022 LQ 244,67 244,67"
"Pago título: 2220007348 1266 - ASSOCIACAO COMUNITAR 31/10/2022 LQ 244,67 244,67"
"Pago título: 2220007355 563 - PLAZA INDUSTRIA E COM 31/10/2022 LQ 244,5 244,5"
"Pago título: 2220007362 1609 - GRANITEC IND E COM D 31/10/2022 LQ 244,32 244,32"
"Pago título: 2220007369 4783 - CORREIAS MERCURIO S/ 31/10/2022 LQ 243,41 243,41"
"Pago título: 2220007376 855 - LOG & PRINT GRAFICA E 31/10/2022 LQ 243 243"
"Pago título: 2220007383 2293 - BRUNO NICOLETTI TECI 31/10/2022 LQ 242,62 242,62"
"Pago título: 2220007397 5606 - AROMA BIOENERGIA LTD 31/10/2022 LQ 241,16 241,16"
"Pago título: 2220007404 1885 - A PRESS TRANSPORTES 31/10/2022 LQ 240,9 240,9"
"Pago título: 2220007411 604 - ASSOCIACAO RESIDENCIA 31/10/2022 LQ 239,96 239,96"
"Pago título: 2220007425 6889 - EXTRAMIX CONCRETO LT 31/10/2022 LQ 236,58 236,58"
"Pago título: 2220007439 4059 - ATI GEL FRUTAS CONGE 31/10/2022 LQ 234,94 234,94"
"Pago título: 2220007467 3097 - CISOL DO BRASIL EXPO 31/10/2022 LQ 230,55 230,55"
"Pago título: 2220007474 2988 - K & G INDUSTRIA E CO 31/10/2022 LQ 230,26 230,26"
"Pago título: 2220007488 2168 - EMEPE INDUSTRIA GRAF 31/10/2022 LQ 230,03 230,03"
"Pago título: 2220007495 1137 - SICAD DO BRASIL FITA 31/10/2022 LQ 227,84 227,84"
"Pago título: 2220007516 5303 - ASSOCIACAO DOS MORAD 31/10/2022 LQ 225,85 225,85"
"Pago título: 2220007523 1742 - CONDOMINIO SERANILA 31/10/2022 LQ 225,85 225,85"
"Pago título: 2220007530 4479 - PERFORM PARTICIPACOE 31/10/2022 LQ 225,63 225,63"
"Pago título: 2220007544 5409 - TATIANA CRISTINA DE 31/10/2022 LQ 225,32 225,32"
"Pago título: 2220007558 202 - NOVA PLAST IND E COM 31/10/2022 LQ 224,64 224,64"
"Pago título: 2220007572 2196 - ASSOCIACAO CIVIL PAR 31/10/2022 LQ 223,22 223,22"
"Pago título: 2220007593 2140 - INDUSTRIAS ROMI S/A 31/10/2022 LQ 221,38 221,38"
"Pago título: 2220007600 7711 - PAULO SETUBAL NETO 31/10/2022 LQ 220,83 220,83"
"Pago título: 2220007614 1993 - CABLENA DO BRASIL LT 31/10/2022 LQ 220 220"
"Pago título: 2220007621 2082 - COLORFLEX ESTAMPARIA 31/10/2022 LQ 219,63 219,63"
"Pago título: 2220007642 5575 - FONTE GELO LTDA 31/10/2022 LQ 218,83 218,83"
"Pago título: 2220007649 5350 - CONDOMINIO RESERVA D 31/10/2022 LQ 218,42 218,42"
"Pago título: 2220007656 1130 - BRASALIMENT INDUSTRI 31/10/2022 LQ 218,23 218,23"
"Pago título: 2220007677 1077 - DP & LF TRANSPORTES 31/10/2022 LQ 214,56 214,56"
"Pago título: 2220007684 1870 - MALIBER INDUSTRIA E 31/10/2022 LQ 213,3 213,3"
"Pago título: 2220007691 1652 - RICLAN S/A 31/10/2022 LQ 212,81 212,81"
"Pago título: 2220007740 680 - JOSE EDUARDO ANNICCHI 31/10/2022 LQ 209,12 209,12"
"Pago título: 2220007754 3212 - PEDREIRA NOGUEIRENSE 31/10/2022 LQ 209,12 209,12"
"Pago título: 2220007761 5436 - ANSELMO AGUAS E TRAN 31/10/2022 LQ 209,12 209,12"
"Pago título: 2220007768 2881 - SERVICO DE AGUA E ES 31/10/2022 LQ 209,12 209,12"
"Pago título: 2220007775 4512 - INSTITUTO DE ENSINO 31/10/2022 LQ 209,12 209,12"
"Pago título: 2220007796 2028 - TERMOTECNICA LTDA 31/10/2022 LQ 209,12 209,12"
"Pago título: 2220007803 3170 - MAURICIO ROBERTO FOR 31/10/2022 LQ 209,12 209,12"
"Pago título: 2220007810 3094 - RENATO PASSARIN & FI 31/10/2022 LQ 209,12 209,12"
"Pago título: 2220007817 3592 - CONDOMINIO LAGOS SHA 31/10/2022 LQ 208,91 208,91"
"Pago título: 2220007838 3059 - VIC 01 SBO EMPREENDI 31/10/2022 LQ 208,41 208,41"
"Pago título: 2220007852 5486 - ASSOCIACAO DO BRAGAN 31/10/2022 LQ 206,84 206,84"
"Pago título: 2220007866 5491 - BREW CENTER CERVEJAS 31/10/2022 LQ 206,52 206,52"
"Pago título: 2220007873 7051 - IRMAOS SEGEREN AGROP 31/10/2022 LQ 206,52 206,52"
"Pago título: 2220007880 2047 - ITARARE TRANSPORTE D 31/10/2022 LQ 206,25 206,25"
"Pago título: 2220007887 3423 - A. A. DE MELO & CIA 31/10/2022 LQ 206,16 206,16"
"Pago título: 2220007901 7331 - KOLIBRI ADMINISTRACA 31/10/2022 LQ 204,94 204,94"
"Pago título: 2220007915 1308 - INDUSTRIA DE BEBIDAS 31/10/2022 LQ 203,28 203,28"
"Pago título: 2220007922 4132 - MRGM PARTICIPACOES E 31/10/2022 LQ 203,26 203,26"
"Pago título: 2220007936 1936 - IVO ZARZUR ADMINISTR 31/10/2022 LQ 202,8 202,8"
"Pago título: 2220007943 2407 - FERRASPARI S/A INDUS 31/10/2022 LQ 201,64 201,64"
"Pago título: 2220007957 4315 - AGE DO BRASIL INDUST 31/10/2022 LQ 200,75 200,75"
"Pago título: 2220007964 5449 - CONDOMINIO HOTEL INT 31/10/2022 LQ 200,75 200,75"
"Pago título: 2220007971 4674 - L'OCCITANE OPERA IND 31/10/2022 LQ 200,75 200,75"
"Pago título: 2220007978 2069 - TRANSPORTES  21 LTDA 31/10/2022 LQ 200,75 200,75"
"Pago título: 9000006751 3947 - A. FRIEDBERG DO BRAS 31/10/2022 LQ 301,24 301,24"
"Pago título: 9000006789 4992 - AGUA NOGUEIRENSE LTD 31/10/2022 LQ 744,87 744,87"
"Pago título: 9000006896 1112 - CIA SANEAMENTO BASIC 31/10/2022 LQ 17306,52 17306,52"
"Pago título: 9000006928 6935 - ALTO DO SION EMPREEN 31/10/2022 LQ 376,41 376,41"
"Pago título: 9000006934 1313 - KIKKOMAN DO BRASIL I 31/10/2022 LQ 350,36 350,36"
"Pago título: 9000007065 7731 - ASSOC DOS MORADORES 31/10/2022 LQ 515,91 515,91"
"Pago título: 9000007085 1065 - CIA SANEAMENTO BASIC 31/10/2022 LQ 46888,91 46888,91"
"Pago título: 9000007097 3673 - PLATLOG IMPORTACAO, 31/10/2022 LQ 2010,92 2010,92"
"Pago título: 9000007107 5694 - R. BOQUINO TRANSPORT 31/10/2022 LQ 404,02 404,02"
"Pago título: 9000007109 3439 - CSHG REAL ESTATE FUN 31/10/2022 LQ 1186,79 1186,79"
"Pago título: 9000007111 7648 - MARCOS MONTANARO 31/10/2022 LQ 1024,68 1024,68"
"Pago título: 9000007112 4556 - ASSOCIACAO DE MELHOR 31/10/2022 LQ 1340,39 1340,39"
"Pago título: 9000007116 6966 - TONINPAR EMPREENDIME 31/10/2022 LQ 1304,09 1304,09"
"Pago título: 9000007123 2740 - EUCATEX INDUSTRIA E 31/10/2022 LQ 2533,89 2533,89"
"Pago título: 9000007125 2458 - SENPAR TERRAS DE SAO 31/10/2022 LQ 1541,29 1541,29"
"Pago título: 9000007127 5805 - QUIBRITA MINERADORA 31/10/2022 LQ 1258,21 1258,21"
"Pago título: 9000007128 7379 - AGROPLANTAS FLORES L 31/10/2022 LQ 1206,2 1206,2"
"Pago título: 9000007130 4109 - COND CENTRO DE LOGIS 31/10/2022 LQ 402,76 402,76"
"Pago título: 9000007136 1085 - YAKULT S/A INDUSTRIA 31/10/2022 LQ 1117,67 1117,67"
"Pago título: 9000007138 846 - ASSOCIACAO ECOLOGICA 31/10/2022 LQ 301,43 301,43"
"Pago título: 9000007140 386 - TRANSPORTADORA TRANS 31/10/2022 LQ 280,79 280,79"
"Pago título: 9000007141 2911 - TEADIT JUNTAS LTDA 31/10/2022 LQ 274,99 274,99"
"Pago título: 9000007142 3879 - CATALISE INDUSTRIA E 31/10/2022 LQ 1399,57 1399,57"
"Pago título: 9000007143 2575 - LUBRASIL LUBRIFICANT 31/10/2022 LQ 530,68 530,68"
"Pago título: 9000007144 3305 - HMY DO BRASIL LTDA 31/10/2022 LQ 294,66 294,66"
"Pago título: 9000007145 2675 - CORR PLASTIK LTDA 31/10/2022 LQ 1051,89 1051,89"
"Pago título: 9000007148 2392 - NEW PARQUE TENIS 31/10/2022 LQ 1151,16 1151,16"
"Pago título: 9000007151 3721 - ASSOCIACAO DE PROPRI 31/10/2022 LQ 279,67 279,67"
"Pago título: 9000007153 5075 - INDUSTRIA DE PRODUTO 31/10/2022 LQ 294,22 294,22"
"Pago título: 9000007154 4356 - CONDOMINIO RESIDENCI 31/10/2022 LQ 1049,7 1049,7"
"Pago título: 9000007155 7306 - TRANSPORTADORA FREZZ 31/10/2022 LQ 1440,94 1440,94"
"Pago título: 9000007157 1121 - SATA BRASIL LTDA 31/10/2022 LQ 298,31 298,31"
"Pago título: 9000007163 4148 - CHRISTEYNS BRASIL PR 31/10/2022 LQ 245,6 245,6"
"Pago título: 9000007164 1935 - MINERGUITA MINERACAO 31/10/2022 LQ 747,58 747,58"
"Pago título: 9000007165 2733 - FIRENIGHT MOTEL LTDA 31/10/2022 LQ 302,04 302,04"
"Pago título: 9000007167 2776 - KARINA PISOS E REVES 31/10/2022 LQ 1259,64 1259,64"
"Pago título: 9000007170 5611 - ASSOCIACAO DOS FUNCI 31/10/2022 LQ 766,62 766,62"
"Pago título: 9000007172 1206 - NACIONAL GAS BUTANO 31/10/2022 LQ 247,21 247,21"
"Pago título: 9000007176 4104 - RESSOLAGEM MARQUES P 31/10/2022 LQ 725,9 725,9"
"Pago título: 9000007177 996 - AGROCERES MULTIMIX NU 31/10/2022 LQ 961,05 961,05"
"Pago título: 9000007178 2597 - TATU PREMOLDADOS LTD 31/10/2022 LQ 784,57 784,57"
"Pago título: 9000007181 3023 - JOAO LUIZ MELIKARDI 31/10/2022 LQ 279,67 279,67"
"Pago título: 9000007183 2092 - EMPRESA DE TRANSPORT 31/10/2022 LQ 232,25 232,25"
"Pago título: 9000007184 3230 - CSC SERVICES LAVANDE 31/10/2022 LQ 945,31 945,31"
"Pago título: 9000007191 3471 - ALTO DA COLINA VERDE 31/10/2022 LQ 902,15 902,15"
"Pago título: 9000007192 506 - KLABIN S/A 31/10/2022 LQ 231,09 231,09"
"Pago título: 9000007205 3471 - ALTO DA COLINA VERDE 31/10/2022 LQ 763,78 763,78"
"Pago título: 9000007215 3524 - CMS PUPO INDUSTRIA E 31/10/2022 LQ 378,99 378,99"
"Cancelado título: 9000007174 3062 - CERVEJARIA PETROPOLI 31/10/2022 BX 116,42 0"
