"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72454622212202314855.ret"
""
"Cadastrado título novo: 9000007986 1597 - PREFEITURA MUNICIPAL 29/12/2023 RG 575,16 0"
"Cadastrado título novo: 9000007987 1027 - GRAFICA EDITORA GUTE 29/12/2023 RG 104,16 0"
"Cadastrado título novo: 9000007988 2849 - GERSON FERRAZZO e CI 29/12/2023 RG 444,11 0"
"Pago título: 2230005516 2988 - K & G INDUSTRIA E CO 22/12/2023 LQ 268,63 268,63"
"Pago título: 2230005534 3032 - CONDOMINIO VILLAGE S 22/12/2023 LQ 717,28 717,28"
"Pago título: 2230005576 3094 - RENATO PASSARIN & FI 22/12/2023 LQ 243,97 243,97"
"Pago título: 2230005582 3097 - CISOL DO BRASIL EXPO 22/12/2023 LQ 268,98 268,98"
"Pago título: 2230005588 3107 - RUY R. DA ROCHA PROD 22/12/2023 LQ 292,77 292,77"
"Pago título: 2230005594 3111 - BRASWELL PAPEL E CEL 22/12/2023 LQ 1319,79 1319,79"
"Pago título: 2230005612 3139 - RAIZEN ENERGIA S/A 22/12/2023 LQ 317,17 317,17"
"Pago título: 2230005630 3163 - RESIDENCIAL FAZENDA 22/12/2023 LQ 473,62 473,62"
"Pago título: 2230005636 3170 - MAURICIO ROBERTO FOR 22/12/2023 LQ 243,97 243,97"
"Pago título: 2230005642 3196 - CEDASA INDUSTRIA E C 22/12/2023 LQ 951,49 951,49"
"Pago título: 2230005648 3212 - PEDREIRA NOGUEIRENSE 22/12/2023 LQ 243,97 243,97"
"Pago título: 2230005660 3221 - LIMEIRENSE FERTILIZA 22/12/2023 LQ 485,72 485,72"
"Pago título: 2230005672 3253 - COPASIL QUIMICA INDU 22/12/2023 LQ 517,02 517,02"
"Pago título: 2230005684 3271 - ASSOCIACAO DOS PROPR 22/12/2023 LQ 234,21 234,21"
"Pago título: 2230005690 3310 - ELDER COSTA RODRIGUE 22/12/2023 LQ 1083,71 1083,71"
"Pago título: 2230005720 3345 - SAO PAULO SECRETARIA 22/12/2023 LQ 909,99 909,99"
"Pago título: 2230005726 3352 - CP KELCO BRASIL S/A 22/12/2023 LQ 338,34 338,34"
"Pago título: 2230005732 3365 - MALIBER INDUSTRIA E 22/12/2023 LQ 555,63 555,63"
"Pago título: 2230005774 3384 - FRIGODELISS LTDA 22/12/2023 LQ 2735,94 2735,94"
"Pago título: 2230005786 3397 - PREFEITURA MUNICIPAL 22/12/2023 LQ 332,66 332,66"
"Pago título: 2230005804 3423 - A. A. DE MELO & CIA 22/12/2023 LQ 240,52 240,52"
"Pago título: 2230005810 3439 - CSHG REAL ESTATE FUN 22/12/2023 LQ 439,15 439,15"
"Pago título: 2230005822 3449 - CERAMICA CARMELO FIO 22/12/2023 LQ 975,89 975,89"
"Pago título: 2230005840 3471 - ALTO DA COLINA VERDE 22/12/2023 LQ 337,17 337,17"
"Pago título: 2230005852 3480 - MEDI HOUSE IND E COM 22/12/2023 LQ 388,09 388,09"
"Pago título: 2230005858 3491 - H2ORA DISTRIBUIDORA 22/12/2023 LQ 1232,15 1232,15"
"Pago título: 2230005864 3514 - CERAMICA GRESCA G3 L 22/12/2023 LQ 351,32 351,32"
"Pago título: 2230005876 3535 - JOFEGE FIACAO E TECE 22/12/2023 LQ 1778,71 1778,71"
"Pago título: 2230005912 3600 - RENAN SOUZA SPINA ME 22/12/2023 LQ 231,73 231,73"
"Pago título: 2230005930 3622 - CONDOMINIO CAPELA DO 22/12/2023 LQ 977,8 977,8"
"Pago título: 2230005942 3637 - PICOLI & CARRARA COM 22/12/2023 LQ 585,53 585,53"
"Pago título: 2230005960 3662 - ASSOCIACAO RESIDENCI 22/12/2023 LQ 822,19 822,19"
"Pago título: 2230005966 3666 - RAUL FERREIRA LEITE 22/12/2023 LQ 561,14 561,14"
"Pago título: 2230005972 3670 - TRANS KOTHE TRANSPOR 22/12/2023 LQ 200,3 200,3"
"Pago título: 2230005978 3673 - PLATLOG IMPORTACAO, 22/12/2023 LQ 2254,75 2254,75"
"Pago título: 2230005984 3679 - CMR INDUSTRIA E COME 22/12/2023 LQ 343,79 343,79"
"Pago título: 2230005990 3683 - NOVAPORCELANATO INDU 22/12/2023 LQ 1317,45 1317,45"
"Pago título: 2230006020 3720 - J.L. PAULO & CIA LTD 22/12/2023 LQ 295,84 295,84"
"Pago título: 2230006056 3853 - MONTE COR PROTECAO D 22/12/2023 LQ 221,25 221,25"
"Pago título: 2230006062 3857 - CRS MINERACAO INDUST 22/12/2023 LQ 1329,49 1329,49"
"Pago título: 2230006098 3929 - MINERACAO SAMAMBAIA 22/12/2023 LQ 202,19 202,19"
"Pago título: 2230006122 3992 - HOTEL FAZENDA HARAS 22/12/2023 LQ 570,9 570,9"
"Pago título: 2230006140 4059 - ATI GEL FRUTAS CONGE 22/12/2023 LQ 274,1 274,1"
"Pago título: 2230006158 4132 - MRGM PARTICIPACOES E 22/12/2023 LQ 237,14 237,14"
"Pago título: 2230006188 4288 - PTM AGRICOLA E PARTI 22/12/2023 LQ 629,04 629,04"
"Pago título: 2230006194 4315 - AGE DO BRASIL INDUST 22/12/2023 LQ 234,21 234,21"
"Pago título: 2230006206 4356 - CONDOMINIO RESIDENCI 22/12/2023 LQ 292,77 292,77"
"Pago título: 2230006218 4361 - RAUL FERREIRA LEITE 22/12/2023 LQ 536,74 536,74"
"Pago título: 2230006230 4477 - LAZARO FERNANDES PER 22/12/2023 LQ 207,88 207,88"
"Pago título: 2230006236 4479 - PERFORM PARTICIPACOE 22/12/2023 LQ 263,24 263,24"
"Pago título: 2230006242 4481 - CLARIPEL INDUSTRIA D 22/12/2023 LQ 1621,71 1621,71"
"Pago título: 2230006248 4485 - PARQUE DOS EUCALIPTO 22/12/2023 LQ 287,64 287,64"
"Pago título: 2230006260 4512 - INSTITUTO DE ENSINO 22/12/2023 LQ 243,97 243,97"
"Pago título: 2230006266 4519 - IVO ZARZUR ADMINISTR 22/12/2023 LQ 11083,45 11083,45"
"Pago título: 2230006272 4556 - ASSOCIACAO DE MELHOR 22/12/2023 LQ 496 496"
"Pago título: 2230006290 4600 - ALMEIDA PISOS E REVE 22/12/2023 LQ 365,96 365,96"
"Pago título: 2230006302 4631 - AGROPECUARIA CAPUAVA 22/12/2023 LQ 487,95 487,95"
"Pago título: 2230006338 4697 - MARFRIG GLOBAL FOODS 22/12/2023 LQ 592,16 592,16"
"Pago título: 2230006350 4762 - MINERACAO ANGICO LTD 22/12/2023 LQ 475,24 475,24"
"Pago título: 2230006386 4827 - BOM PEIXE INDUSTRIA 22/12/2023 LQ 312,29 312,29"
"Pago título: 2230006392 4829 - CLUBE RECREATIVO SUM 22/12/2023 LQ 222,02 222,02"
"Pago título: 2230006404 4840 - CIALENE INDUSTRIA E 22/12/2023 LQ 219,58 219,58"
"Pago título: 2230006410 4862 - PSS DE CAMARGO SERVI 22/12/2023 LQ 585,53 585,53"
"Pago título: 2230006416 4869 - ASSOCIACAO DOS MORAD 22/12/2023 LQ 395,24 395,24"
"Pago título: 2230006434 4891 - LOTEAMENTO IMPERIAL 22/12/2023 LQ 975,89 975,89"
"Pago título: 2230006446 4916 - CLUBE ATLETICO VALIN 22/12/2023 LQ 288,01 288,01"
"Pago título: 2230006482 5040 - CONDOMINIO GARNET 22/12/2023 LQ 585,53 585,53"
"Pago título: 2230006488 5050 - CIA DE SANEAMENTO BA 22/12/2023 LQ 6052,06 6052,06"
"Pago título: 2230006512 5161 - MISTER GELO IND. DE 22/12/2023 LQ 360,37 360,37"
"Pago título: 2230006548 5303 - ASSOCIACAO DOS MORAD 22/12/2023 LQ 263,49 263,49"
"Pago título: 2230006578 5355 - CIA DE SANEAMENTO BA 22/12/2023 LQ 9396,35 9396,35"
"Pago título: 2230006602 5409 - TATIANA CRISTINA DE 22/12/2023 LQ 262,88 262,88"
"Pago título: 2230006614 5416 - ZARAPLAST S.A 22/12/2023 LQ 795,36 795,36"
"Pago título: 2230006632 5436 - ANSELMO AGUAS E TRAN 22/12/2023 LQ 243,97 243,97"
"Pago título: 2230006650 5449 - CONDOMINIO HOTEL INT 22/12/2023 LQ 234,21 234,21"
"Pago título: 2230006668 5486 - ASSOCIACAO DO BRAGAN 22/12/2023 LQ 225,9 225,9"
"Pago título: 2230006686 5492 - BUONO GEL INDUSTRIA 22/12/2023 LQ 243,97 243,97"
"Pago título: 2230006734 5560 - WT NEGOCIOS IMOBILIA 22/12/2023 LQ 642,13 642,13"
"Pago título: 2230006740 5575 - FONTE GELO LTDA 22/12/2023 LQ 243,72 243,72"
"Pago título: 2230006746 5601 - ASSOCIACAO DOS PROPR 22/12/2023 LQ 2586,11 2586,11"
"Pago título: 2230006752 5606 - AROMA BIOENERGIA LTD 22/12/2023 LQ 281,36 281,36"
"Pago título: 2230006770 5622 - CLEUSA TERESINHA PIO 22/12/2023 LQ 223,53 223,53"
"Pago título: 2230006776 5628 - SAFRA INDUSTRIA E CO 22/12/2023 LQ 1268,66 1268,66"
"Pago título: 2230006794 5652 - CONDOMINIO D. PEDRO 22/12/2023 LQ 439,15 439,15"
"Pago título: 2230006800 5654 - FUNDICAO REGALI BRAS 22/12/2023 LQ 639,62 639,62"
"Pago título: 2230006836 5861 - ASSOCIACAO DESPORTIV 22/12/2023 LQ 238,81 238,81"
"Pago título: 2230006878 6366 - SOCIEDADE AGOSTINIAN 22/12/2023 LQ 336,99 336,99"
"Pago título: 2230006884 6490 - USINA IRB S.A. 22/12/2023 LQ 7219,82 7219,82"
"Pago título: 2230006896 6600 - TERRA AZUL MARKETING 22/12/2023 LQ 206,35 206,35"
"Pago título: 2230006944 6966 - TONINPAR EMPREENDIME 22/12/2023 LQ 482,57 482,57"
"Pago título: 2230006950 6995 - SPAL INDUSTRIA BRASI 22/12/2023 LQ 583,58 583,58"
"Pago título: 2230006956 7002 - RAPIDO LUXO CAMPINAS 22/12/2023 LQ 292,77 292,77"
"Pago título: 2230006962 7027 - ETIQUETTA BRANCA IND 22/12/2023 LQ 255,33 255,33"
"Pago título: 2230006968 7129 - POUSADA CHALES DO TH 22/12/2023 LQ 487,95 487,95"
"Pago título: 2230006986 7213 - AGUAS DE MAIRIPORA L 22/12/2023 LQ 975,89 975,89"
"Pago título: 2230006992 7226 - ASSOCIACAO DE MORADO 22/12/2023 LQ 1228,4 1228,4"
"Pago título: 2230006998 7252 - CRJP LOTEAMENTOS SPE 22/12/2023 LQ 536,74 536,74"
"Pago título: 2230007010 7306 - TRANSPORTADORA FREZZ 22/12/2023 LQ 383,34 383,34"
"Pago título: 2230007064 7351 - COMPANHIA DE SANEAME 22/12/2023 LQ 3205,79 3205,79"
"Pago título: 2230007070 7358 - FIVE12 2016 EMPREEND 22/12/2023 LQ 317,17 317,17"
"Pago título: 2230007076 7367 - CONDOMINIO RESIDENCI 22/12/2023 LQ 487,95 487,95"
"Pago título: 2230007094 7379 - AGROPLANTAS FLORES L 22/12/2023 LQ 336,42 336,42"
"Pago título: 2230007106 7689 - WICKBOLD & NOSSO PAO 22/12/2023 LQ 986,59 986,59"
"Pago título: 2230007112 7704 - ASS DOS PROPRIETARIO 22/12/2023 LQ 381,34 381,34"
"Pago título: 2230007118 7707 - SORVETES JUNDIA INDU 22/12/2023 LQ 847,37 847,37"
"Pago título: 2230007124 7711 - PAULO SETUBAL NETO 22/12/2023 LQ 257,64 257,64"
"Pago título: 2230007130 7715 - CHT BRASIL QUIMICA L 22/12/2023 LQ 379,04 379,04"
"Pago título: 2230007154 7724 - CONDOMINIO RESIDENCI 22/12/2023 LQ 295,53 295,53"
"Pago título: 2230007178 7733 - ASSOC PROP LOT FECH 22/12/2023 LQ 487,95 487,95"
"Pago título: 2230007184 7738 - AAK DO BRASIL INDUST 22/12/2023 LQ 565,1 565,1"
"Pago título: 2230007196 7740 - ASSOC. DOS MORADORES 22/12/2023 LQ 248,3 248,3"
"Pago título: 2230007214 7745 - AGUAS DE TUIUTI SPE 22/12/2023 LQ 5537,64 5537,64"
"Pago título: 9000007441 1134 - MUNICIPIO DE SUMARE 22/12/2023 LQ 220417,23 220417,23"
"Pago título: 9000007524 1035 - RAIZEN ENERGIA S/A 22/12/2023 LQ 33715,04 33715,04"
"Pago título: 9000007554 7754 - MAT EQUIPAMENTOS PAR 22/12/2023 LQ 569,6 569,6"
"Pago título: 9000007593 826 - DEPARTAMENTO AUTONOMO 22/12/2023 LQ 50000 50000"
"Pago título: 9000007720 7321 - COMPANHIA SANEAMENTO 22/12/2023 LQ 995,41 995,41"
"Pago título: 9000007819 1417 - DR. OETKER BRASIL LT 22/12/2023 LQ 244,95 244,95"
"Pago título: 9000007861 908 - PREFEITURA MUNICIPAL 22/12/2023 LQ 1351,91 1351,91"
"Pago título: 9000007876 4339 - JOATE DO BRASIL ADMI 22/12/2023 LQ 309,56 309,56"
"Pago título: 9000007877 3604 - TEMPO DISTRIBUIDORA 22/12/2023 LQ 376,68 376,68"
"Pago título: 9000007886 4217 - ASSOC DOS PROPRIETAR 22/12/2023 LQ 310,75 310,75"
"Pago título: 9000007891 2307 - AGROLINK IMPORTACAO 22/12/2023 LQ 293,35 293,35"
"Pago título: 9000007892 1705 - SHINAGAWA REFRATARIO 22/12/2023 LQ 2000,24 2000,24"
"Pago título: 9000007900 4212 - LUBRIZOL DO BRASIL A 22/12/2023 LQ 361,55 361,55"
"Pago título: 9000007915 2372 - BELENUS DO BRASIL LT 22/12/2023 LQ 294,76 294,76"
"Pago título: 9000007918 2426 - EMPREENDIMENTOS RODO 22/12/2023 LQ 262,74 262,74"
"Pago título: 9000007920 2907 - CLUBE FAZENDA SAO JO 22/12/2023 LQ 296,45 296,45"
"Pago título: 9000007933 5425 - SUPERMERCADO DELTA M 22/12/2023 LQ 250,23 250,23"
"Pago título: 9000007935 7634 - CINTIA MARIA DE SOUZ 22/12/2023 LQ 268,31 268,31"
"Pago título: 9000007936 929 - NSA SRA DE FATIMA IND 22/12/2023 LQ 254,21 254,21"
"Pago título: 9000007938 2599 - GAPLAN CAMINHOES LTD 22/12/2023 LQ 251,07 251,07"
"Pago título: 9000007939 2930 - JOSE TADEU COLETI E 22/12/2023 LQ 251,66 251,66"
"Pago título: 9000007940 3981 - O.S. DISTRIBUIDORA D 22/12/2023 LQ 255,41 255,41"
"Pago título: 9000007941 4504 - C R EMPREENDIMENTOS 22/12/2023 LQ 249,08 249,08"
"Pago título: 9000007946 5462 - SERVICO SOCIAL DA IN 22/12/2023 LQ 251,07 251,07"
"Pago título: 9000007947 5212 - SUPERMERCADO DELTA M 22/12/2023 LQ 130,38 130,38"
"Pago título: 9000007948 2244 - SEARA ALIMENTOS S/A 22/12/2023 LQ 438,45 438,45"
"Pago título: 9000007949 7713 - NATURA COSMETICOS S/ 22/12/2023 LQ 468,43 468,43"
"Pago título: 9000007950 3400 - S.ZANARDI EMPREENDIM 22/12/2023 LQ 225,42 225,42"
"Pago título: 9000007951 764 - CARLOS ALBERTO LOUREN 22/12/2023 LQ 285,74 285,74"
"Pago título: 9000007952 2821 - PAGUE MENOS COMERCIO 22/12/2023 LQ 275,11 275,11"
"Pago título: 9000007955 1200 - CLARO S.A. 22/12/2023 LQ 291,66 291,66"
"Pago título: 9000007957 2696 - ASSOCIACAO BOTHANICA 22/12/2023 LQ 233,06 233,06"
"Pago título: 9000007959 4396 - VIVENDA ASSOCIACAO L 22/12/2023 LQ 250,58 250,58"
"Pago título: 9000007962 6951 - JPGC ADMINISTRADORA 22/12/2023 LQ 208,84 208,84"
"Pago título: 9000007964 1076 - LOJAS CEM S/A 22/12/2023 LQ 234,47 234,47"
"Pago título: 9000007965 3931 - MARCOS ANTONIO POLET 22/12/2023 LQ 450,37 450,37"
"Pago título: 9000007966 2817 - W e W BOULEVARD COME 22/12/2023 LQ 206,57 206,57"
"Pago título: 9000007975 3785 - CAPITAL MIX CONCRETO 22/12/2023 LQ 312,53 312,53"
"Pago título: 9000007976 829 - SERVICO AUTONOMO DE A 22/12/2023 LQ 134529,66 134529,66"
"Pago título: 9000007979 7334 - PRO MODA TEXTIL LTDA 22/12/2023 LQ 194,44 194,44"
"Pago título: 9000007981 6670 - CONDOMINIO RESIDENCI 22/12/2023 LQ 194,15 194,15"
"Pago título: 9000007984 734 - GUSTAVO ADOLFO BAETA 29/12/2023 LQ 246,68 246,68"
