"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72453903110202314331.ret"
""
"Cadastrado título novo: 9000007778 1148 - ARCELOR MITTAL GONVA 30/11/2023 RG 557,79 0"
"Cadastrado título novo: 9000007779 2796 - BASALTO PEDREIRA E P 30/11/2023 RG 582,81 0"
"Cadastrado título novo: 9000007780 1303 - GALVANI MINERACAO E 30/11/2023 RG 1249,44 0"
"Cadastrado título novo: 9000007781 7769 - ASSUNCAO EMPREENDIME 30/11/2023 RG 543,07 0"
"Cadastrado título novo: 9000007782 39 - VPJ EVENTOS E COMERCIO 30/11/2023 RG 763,1 0"
"Cadastrado título novo: 9000007783 4169 - JEAF INCORP PART E E 30/11/2023 RG 1120,55 0"
"Cadastrado título novo: 9000007784 2089 - POSTO TROPICOS LTDA 30/11/2023 RG 618,42 0"
"Cadastrado título novo: 9000007785 3044 - ACAO EDUCACIONAL CLA 30/11/2023 RG 803,91 0"
"Cadastrado título novo: 9000007786 7320 - ASSOCIACAO SHOPPING 30/11/2023 RG 691,27 0"
"Cadastrado título novo: 9000007787 1565 - MANCHESTER QUIMICA D 30/11/2023 RG 784,57 0"
"Cadastrado título novo: 9000007788 2936 - RIO NEGRO PARTICIPAC 01/11/2023 RG 657,84 0"
"Cadastrado título novo: 9000007789 4653 - MUNICIPIO DE HOLAMBR 30/11/2023 RG 6349,7 0"
"Cadastrado título novo: 9000007790 4653 - MUNICIPIO DE HOLAMBR 30/11/2023 RG 565,96 0"
"Cadastrado título novo: 9000007791 4653 - MUNICIPIO DE HOLAMBR 22/12/2023 RG 565,96 0"
"Pago título: 2230004200 1086 - ENGENHO SAO PEDRO AG 31/10/2023 LQ 2149,33 2149,33"
"Pago título: 2230004206 1087 - TOYOTA DO BRASIL LTD 31/10/2023 LQ 2691,13 2691,13"
"Pago título: 2230004212 1091 - DEPARTAMENTO DE AGUA 31/10/2023 LQ 492,72 492,72"
"Pago título: 2230004218 1097 - TERRAR INDUSTRIA E C 31/10/2023 LQ 229,5 229,5"
"Pago título: 2230004224 1103 - ASSOCIACAO FAZENDA C 31/10/2023 LQ 929,53 929,53"
"Pago título: 2230004236 1110 - SERVICO AUTONOMO DE 31/10/2023 LQ 5361,71 5361,71"
"Pago título: 2230004242 1111 - CIA SANEAMENTO BASIC 31/10/2023 LQ 537248,28 537248,28"
"Pago título: 2230004248 1112 - CIA SANEAMENTO BASIC 31/10/2023 LQ 20238,79 20238,79"
"Pago título: 2230004260 1116 - CROWN  EMBALAGENS ME 31/10/2023 LQ 2111,47 2111,47"
"Pago título: 2230004266 1120 - MOTOROLA MOBILITY CO 31/10/2023 LQ 1127,15 1127,15"
"Pago título: 2230004278 1123 - CIA SANEAMENTO BASIC 31/10/2023 LQ 16853,47 16853,47"
"Pago título: 2230004296 1130 - BRASALIMENT INDUSTRI 31/10/2023 LQ 254,6 254,6"
"Pago título: 2230004308 1136 - VILLARES METALS S/A 31/10/2023 LQ 1898,6 1898,6"
"Pago título: 2230004314 1137 - SICAD DO BRASIL FITA 31/10/2023 LQ 265,81 265,81"
"Pago título: 2230004320 1139 - HOPI HARI S/A 31/10/2023 LQ 720,9 720,9"
"Pago título: 2230004332 1143 - CASTELO ALIMENTOS S/ 31/10/2023 LQ 1336,38 1336,38"
"Pago título: 2230004338 1144 - ASSOCIACAO PROPRIET. 31/10/2023 LQ 365,96 365,96"
"Pago título: 2230004356 1154 - GREENBRIER MAXION EQ 31/10/2023 LQ 592,31 592,31"
"Pago título: 2230004362 1158 - SI GROUP RESINAS S.A 31/10/2023 LQ 394,87 394,87"
"Pago título: 2230004368 1169 - MINERACAO JUNDU LTDA 31/10/2023 LQ 6480,43 6480,43"
"Pago título: 2230004380 1193 - TEXTIL CANATIBA LTDA 31/10/2023 LQ 869,22 869,22"
"Pago título: 2230004386 1194 - TEXTIL CANATIBA LTDA 31/10/2023 LQ 2301,52 2301,52"
"Pago título: 2230004392 1195 - TEXTIL CANATIBA LTDA 31/10/2023 LQ 2878,43 2878,43"
"Pago título: 2230004404 1221 - NORQUIMA PRODUTOS QU 31/10/2023 LQ 582,49 582,49"
"Pago título: 2230004416 1231 - COVOLAN INDUSTRIA TE 31/10/2023 LQ 11292,34 11292,34"
"Pago título: 2230004422 1243 - ASSOCIACAO PROPRIETA 31/10/2023 LQ 439,15 439,15"
"Pago título: 2230004428 1246 - CLUBE JUNDIAIENSE 31/10/2023 LQ 485,75 485,75"
"Pago título: 2230004446 1274 - GUAINUMBY TEXTIL LTD 31/10/2023 LQ 603,79 603,79"
"Pago título: 2230004452 1276 - INDUSTRIA E COMERCIO 31/10/2023 LQ 213,45 213,45"
"Pago título: 2230004458 1289 - ASGA S/A 31/10/2023 LQ 390,36 390,36"
"Pago título: 2230004464 1308 - INDUSTRIA DE BEBIDAS 31/10/2023 LQ 237,17 237,17"
"Pago título: 2230004470 1313 - KIKKOMAN DO BRASIL I 31/10/2023 LQ 352,42 352,42"
"Pago título: 2230004476 1323 - TEXTIL SUCCI LTDA-ME 31/10/2023 LQ 214,33 214,33"
"Pago título: 2230004494 1414 - CERVEJARIA ASHBY LTD 31/10/2023 LQ 210,03 210,03"
"Pago título: 2230004500 1415 - DPV PRODUTOS QUIMICO 31/10/2023 LQ 218,63 218,63"
"Pago título: 2230004512 1420 - MIRVI BRASIL LTDA 31/10/2023 LQ 626,27 626,27"
"Pago título: 2230004536 1429 - ASSOCIACAO ADMINISTR 31/10/2023 LQ 990,53 990,53"
"Pago título: 2230004542 1437 - CONDOMINIO EDIFICIO 31/10/2023 LQ 203,86 203,86"
"Pago título: 2230004554 1459 - CIA SANEAMENTO BASIC 31/10/2023 LQ 504,78 504,78"
"Pago título: 2230004560 1465 - BBC INDUSTRIA E COME 31/10/2023 LQ 450,44 450,44"
"Pago título: 2230004566 1477 - JETFIO INDUSTRIA TEX 31/10/2023 LQ 440,09 440,09"
"Pago título: 2230004584 1484 - DELTA INDUSTRIA CERA 31/10/2023 LQ 10926,41 10926,41"
"Pago título: 2230004596 1547 - SOCER BRASIL INDUSTR 31/10/2023 LQ 525,94 525,94"
"Pago título: 2230004614 1567 - RPR CAPTACAO E TRANS 31/10/2023 LQ 1216,88 1216,88"
"Pago título: 2230004626 1591 - TQA INDUSTRIA E COME 31/10/2023 LQ 414,75 414,75"
"Pago título: 2230004632 1592 - MICROSAL INDUSTRIA E 31/10/2023 LQ 990,04 990,04"
"Pago título: 2230004638 1603 - OLIVEIRA & LOPES LTD 31/10/2023 LQ 336,51 336,51"
"Pago título: 2230004644 1609 - GRANITEC IND E COM D 31/10/2023 LQ 285,05 285,05"
"Pago título: 2230004662 1638 - LEITESOL INDUSTRIA E 31/10/2023 LQ 369,11 369,11"
"Pago título: 2230004668 1649 - CONDOMINIO CASA GRAN 31/10/2023 LQ 210,79 210,79"
"Pago título: 2230004698 1689 - AJINOMOTO DO BRASIL 31/10/2023 LQ 609,95 609,95"
"Pago título: 2230004704 1692 - LALLEMAND SOLUCOES B 31/10/2023 LQ 488,65 488,65"
"Pago título: 2230004716 1701 - TINTURARIA E ESTAMPA 31/10/2023 LQ 343,64 343,64"
"Pago título: 2230004734 1742 - CONDOMINIO SERANILA 31/10/2023 LQ 263,49 263,49"
"Pago título: 2230004746 1749 - USINA PAULISTA DE BR 31/10/2023 LQ 376,83 376,83"
"Pago título: 2230004752 1750 - PREFEITURA MUNICIPAL 31/10/2023 LQ 574,87 574,87"
"Pago título: 2230004764 1789 - CENTRAIS DE ABASTECI 31/10/2023 LQ 796,48 796,48"
"Pago título: 2230004782 1813 - MAXLAV LAVANDERIA ES 31/10/2023 LQ 442,79 442,79"
"Pago título: 2230004788 1815 - TRIAGUA TRANSPORTE E 31/10/2023 LQ 1126,15 1126,15"
"Pago título: 2230004800 1829 - NHEEL QUIMICA LTDA 31/10/2023 LQ 1080,05 1080,05"
"Pago título: 2230004806 1830 - SUOMINEN BRASIL INDU 31/10/2023 LQ 333,52 333,52"
"Pago título: 2230004812 1846 - COMPANHIA NACIONAL D 31/10/2023 LQ 713,92 713,92"
"Pago título: 2230004818 1848 - PREFEITURA MUNICIPAL 31/10/2023 LQ 2815,44 2815,44"
"Pago título: 2230004824 1859 - CWS CABLE PARKS LTDA 31/10/2023 LQ 531,45 531,45"
"Pago título: 2230004836 1870 - MALIBER INDUSTRIA E 31/10/2023 LQ 248,85 248,85"
"Pago título: 2230004842 1885 - A PRESS TRANSPORTES 31/10/2023 LQ 281,06 281,06"
"Pago título: 2230004890 1979 - QUIMICA AMPARO LTDA 31/10/2023 LQ 829,51 829,51"
"Pago título: 2230004902 1993 - CABLENA DO BRASIL LT 31/10/2023 LQ 256,67 256,67"
"Pago título: 2230004908 2019 - BAERLOCHER DO BRASIL 31/10/2023 LQ 1372,32 1372,32"
"Pago título: 2230004914 2028 - TERMOTECNICA LTDA 31/10/2023 LQ 243,97 243,97"
"Pago título: 2230004920 2047 - ITARARE TRANSPORTE D 31/10/2023 LQ 240,63 240,63"
"Pago título: 2230004926 2069 - TRANSPORTES  21 LTDA 31/10/2023 LQ 234,21 234,21"
"Pago título: 2230004932 2074 - SALTORELLI TINTURARI 31/10/2023 LQ 1157,28 1157,28"
"Pago título: 2230004938 2082 - COLORFLEX ESTAMPARIA 31/10/2023 LQ 256,24 256,24"
"Pago título: 2230004944 2083 - HANIER ESPECIALIDADE 31/10/2023 LQ 476,45 476,45"
"Pago título: 2230004956 2094 - ASSOCIACAO DE PROPRI 31/10/2023 LQ 377,04 377,04"
"Pago título: 2230004968 2114 - MAXLAV LAVANDERIA ES 31/10/2023 LQ 392,8 392,8"
"Pago título: 2230004992 2168 - EMEPE INDUSTRIA GRAF 31/10/2023 LQ 268,37 268,37"
"Pago título: 2230005004 2172 - FARMINA PET FOODS BR 31/10/2023 LQ 416,12 416,12"
"Pago título: 2230005010 2175 - INDUSTRIA E COMERCIO 31/10/2023 LQ 876,26 876,26"
"Pago título: 2230005016 2176 - EVONIK BRASIL LTDA 31/10/2023 LQ 1756,95 1756,95"
"Pago título: 2230005022 2196 - ASSOCIACAO CIVIL PAR 31/10/2023 LQ 260,42 260,42"
"Pago título: 2230005034 2227 - COMSAPE EXTRACAO E C 31/10/2023 LQ 214,03 214,03"
"Pago título: 2230005040 2229 - AUDAX QUIMICA IND E 31/10/2023 LQ 262,54 262,54"
"Pago título: 2230005046 2239 - CERAMICA RAMOS LTDA 31/10/2023 LQ 512,22 512,22"
"Pago título: 2230005064 2284 - AGUA VIDA TRANSPORTE 31/10/2023 LQ 780,71 780,71"
"Pago título: 2230005070 2289 - ADVANCE INDUSTRIA TE 31/10/2023 LQ 3444,24 3444,24"
"Pago título: 2230005076 2293 - BRUNO NICOLETTI TECI 31/10/2023 LQ 283,05 283,05"
"Pago título: 2230005100 2324 - BASF S/A 31/10/2023 LQ 445,01 445,01"
"Pago título: 2230005118 2331 - STONE BUILDING INDUS 31/10/2023 LQ 745,76 745,76"
"Pago título: 2230005130 2348 - RAUL FERREIRA LEITE 31/10/2023 LQ 634,33 634,33"
"Pago título: 2230005142 2361 - TECELAGEM JOLITEX LT 31/10/2023 LQ 2288,13 2288,13"
"Pago título: 2230005148 2362 - ASSOCIACAO  PROPRIET 31/10/2023 LQ 229,26 229,26"
"Pago título: 2230005160 2392 - NEW PARQUE TENIS 31/10/2023 LQ 321,07 321,07"
"Pago título: 2230005166 2407 - FERRASPARI S/A INDUS 31/10/2023 LQ 235,25 235,25"
"Pago título: 2230005184 2457 - HYUNDAI MOTOR BRASIL 31/10/2023 LQ 1543,06 1543,06"
"Pago título: 2230005196 2464 - SPARTAN DO BRASIL PR 31/10/2023 LQ 684,59 684,59"
"Pago título: 2230005208 2474 - DE MARCHI INDUSTRIA 31/10/2023 LQ 668,73 668,73"
"Pago título: 2230005214 2478 - ASSOC DOS PROPRIETAR 31/10/2023 LQ 528,62 528,62"
"Pago título: 2230005220 2497 - CARVALHEIRA INDUSTRI 31/10/2023 LQ 3286,38 3286,38"
"Pago título: 2230005226 2528 - MULTILOG BRASIL S.A. 31/10/2023 LQ 219,58 219,58"
"Pago título: 2230005256 2575 - LUBRASIL LUBRIFICANT 31/10/2023 LQ 298,99 298,99"
"Pago título: 2230005262 2583 - FRESENIUS MEDICAL CA 31/10/2023 LQ 1614,29 1614,29"
"Pago título: 2230005268 2590 - DIERBERGER OLEOS ESS 31/10/2023 LQ 555,04 555,04"
"Pago título: 2230005280 2653 - TANQUE MATERIAS PARA 31/10/2023 LQ 219,24 219,24"
"Pago título: 2230005304 2684 - ANTONIO SERGIO LEITE 31/10/2023 LQ 487,95 487,95"
"Pago título: 2230005310 2686 - BOM PEIXE INDUSTRIA 31/10/2023 LQ 226,77 226,77"
"Pago título: 2230005316 2687 - ROTOCROM INDUSTRIA E 31/10/2023 LQ 203,76 203,76"
"Pago título: 2230005340 2740 - EUCATEX INDUSTRIA E 31/10/2023 LQ 1406,44 1406,44"
"Pago título: 2230005346 2745 - CONDOMINIO DO SHOPPI 31/10/2023 LQ 380,85 380,85"
"Pago título: 2230005352 2747 - SINTO BRASIL PRODUTO 31/10/2023 LQ 1041,76 1041,76"
"Pago título: 2230005358 2748 - QUALITY BENEFICIADOR 31/10/2023 LQ 636,26 636,26"
"Pago título: 2230005364 2750 - SERVICO AUTONOMO DE 31/10/2023 LQ 1664,01 1664,01"
"Pago título: 2230005376 2752 - PREFEITURA DO MUNICI 31/10/2023 LQ 950,85 950,85"
"Pago título: 2230005382 2773 - SOCIEDADE DE ARMAZEN 31/10/2023 LQ 470,18 470,18"
"Pago título: 2230005388 2776 - KARINA PISOS E REVES 31/10/2023 LQ 351,32 351,32"
"Pago título: 2230005412 2861 - KORIN AGROPECUARIA L 31/10/2023 LQ 2407,52 2407,52"
"Pago título: 2230005418 2881 - SERVICO DE AGUA E ES 31/10/2023 LQ 243,97 243,97"
"Pago título: 2230005424 2889 - I & M PAPEIS E EMBAL 31/10/2023 LQ 617,93 617,93"
"Pago título: 2230005430 2897 - REQUIPH METALURGICA 31/10/2023 LQ 336,88 336,88"
"Pago título: 2230005448 2910 - CHACARAS LONG ISLAND 31/10/2023 LQ 877,14 877,14"
"Pago título: 2230005460 2935 - CERAMICA ALMEIDA LTD 31/10/2023 LQ 219,58 219,58"
"Pago título: 2230005466 2943 - VTR VETOR EQUIPAMENT 31/10/2023 LQ 202,93 202,93"
"Pago título: 2230005508 2981 - VIVA PISOS E REVESTI 31/10/2023 LQ 512,34 512,34"
"Pago título: 2230005532 3032 - CONDOMINIO VILLAGE S 31/10/2023 LQ 717,28 717,28"
"Pago título: 2230005550 3059 - VIC 01 SBO EMPREENDI 31/10/2023 LQ 243,15 243,15"
"Pago título: 2230005556 3060 - ASSOCIACAO DOS PROPR 31/10/2023 LQ 951,49 951,49"
"Pago título: 2230005568 3091 - KARCHER INDUSTRIA E 31/10/2023 LQ 302,03 302,03"
"Pago título: 2230005574 3094 - RENATO PASSARIN & FI 31/10/2023 LQ 243,97 243,97"
"Pago título: 2230005580 3097 - CISOL DO BRASIL EXPO 31/10/2023 LQ 268,98 268,98"
"Pago título: 2230005586 3107 - RUY R. DA ROCHA PROD 31/10/2023 LQ 292,77 292,77"
"Pago título: 2230005592 3111 - BRASWELL PAPEL E CEL 31/10/2023 LQ 1319,79 1319,79"
"Pago título: 2230005628 3163 - RESIDENCIAL FAZENDA 31/10/2023 LQ 473,62 473,62"
"Pago título: 2230005634 3170 - MAURICIO ROBERTO FOR 31/10/2023 LQ 243,97 243,97"
"Pago título: 2230005640 3196 - CEDASA INDUSTRIA E C 31/10/2023 LQ 951,49 951,49"
"Pago título: 2230005646 3212 - PEDREIRA NOGUEIRENSE 31/10/2023 LQ 243,97 243,97"
"Pago título: 2230005658 3221 - LIMEIRENSE FERTILIZA 31/10/2023 LQ 485,72 485,72"
"Pago título: 2230005670 3253 - COPASIL QUIMICA INDU 31/10/2023 LQ 517,02 517,02"
"Pago título: 2230005688 3310 - ELDER COSTA RODRIGUE 31/10/2023 LQ 1083,71 1083,71"
"Pago título: 2230005700 3327 - INPAR PROJETO 86 SPE 31/10/2023 LQ 391,97 391,97"
"Pago título: 2230005718 3345 - SAO PAULO SECRETARIA 31/10/2023 LQ 909,99 909,99"
"Pago título: 2230005724 3352 - CP KELCO BRASIL S/A 31/10/2023 LQ 338,34 338,34"
"Pago título: 2230005730 3365 - MALIBER INDUSTRIA E 31/10/2023 LQ 555,63 555,63"
"Pago título: 2230005772 3384 - FRIGODELISS LTDA 31/10/2023 LQ 2735,94 2735,94"
"Pago título: 2230005784 3397 - PREFEITURA MUNICIPAL 31/10/2023 LQ 332,66 332,66"
"Pago título: 2230005790 3411 - PREFEITURA MUNICIPAL 31/10/2023 LQ 17605,62 17605,62"
"Pago título: 2230005796 3413 - TUIUTI ECO PARK EMPR 31/10/2023 LQ 603,33 603,33"
"Pago título: 2230005802 3423 - A. A. DE MELO & CIA 31/10/2023 LQ 240,52 240,52"
"Pago título: 2230005808 3439 - CSHG REAL ESTATE FUN 31/10/2023 LQ 439,15 439,15"
"Pago título: 2230005826 3453 - CERAMICA SAVANE LTDA 31/10/2023 LQ 534,01 534,01"
"Pago título: 2230005838 3471 - ALTO DA COLINA VERDE 31/10/2023 LQ 337,17 337,17"
"Pago título: 2230005850 3480 - MEDI HOUSE IND E COM 31/10/2023 LQ 388,09 388,09"
"Pago título: 2230005856 3491 - H2ORA DISTRIBUIDORA 31/10/2023 LQ 1232,15 1232,15"
"Pago título: 2230005862 3514 - CERAMICA GRESCA G3 L 31/10/2023 LQ 351,32 351,32"
"Pago título: 2230005874 3535 - JOFEGE FIACAO E TECE 31/10/2023 LQ 1778,71 1778,71"
"Pago título: 2230005892 3590 - AGUA DO CAMPO TRANSP 31/10/2023 LQ 1370,36 1370,36"
"Pago título: 2230005904 3594 - CPM CONCRETO DE PRE 31/10/2023 LQ 218,04 218,04"
"Pago título: 2230005910 3600 - RENAN SOUZA SPINA ME 31/10/2023 LQ 231,73 231,73"
"Pago título: 2230005922 3616 - CONCREMIX S/A 31/10/2023 LQ 230,44 230,44"
"Pago título: 2230005928 3622 - CONDOMINIO CAPELA DO 31/10/2023 LQ 977,8 977,8"
"Pago título: 2230005940 3637 - PICOLI & CARRARA COM 31/10/2023 LQ 585,53 585,53"
"Pago título: 2230005958 3662 - ASSOCIACAO RESIDENCI 31/10/2023 LQ 822,19 822,19"
"Pago título: 2230005964 3666 - RAUL FERREIRA LEITE 31/10/2023 LQ 561,14 561,14"
"Pago título: 2230005970 3670 - TRANS KOTHE TRANSPOR 31/10/2023 LQ 200,3 200,3"
"Pago título: 2230005982 3679 - CMR INDUSTRIA E COME 31/10/2023 LQ 343,79 343,79"
"Pago título: 2230005988 3683 - NOVAPORCELANATO INDU 31/10/2023 LQ 1317,45 1317,45"
"Pago título: 2230006012 3704 - I.S. COMERCIO DE AGU 31/10/2023 LQ 373,28 373,28"
"Pago título: 2230006018 3720 - J.L. PAULO & CIA LTD 31/10/2023 LQ 295,84 295,84"
"Pago título: 2230006048 3851 - USINA GRANELLI LTDA. 31/10/2023 LQ 2124,89 2124,89"
"Pago título: 2230006054 3853 - MONTE COR PROTECAO D 31/10/2023 LQ 221,25 221,25"
"Pago título: 2230006060 3857 - CRS MINERACAO INDUST 31/10/2023 LQ 1329,49 1329,49"
"Pago título: 2230006096 3929 - MINERACAO SAMAMBAIA 31/10/2023 LQ 202,19 202,19"
"Pago título: 2230006120 3992 - HOTEL FAZENDA HARAS 31/10/2023 LQ 570,9 570,9"
"Pago título: 2230006138 4059 - ATI GEL FRUTAS CONGE 31/10/2023 LQ 274,1 274,1"
"Pago título: 2230006144 4116 - TARTALIA EMPREENDIME 31/10/2023 LQ 634,33 634,33"
"Pago título: 2230006186 4288 - PTM AGRICOLA E PARTI 31/10/2023 LQ 629,04 629,04"
"Pago título: 2230006204 4356 - CONDOMINIO RESIDENCI 31/10/2023 LQ 292,77 292,77"
"Pago título: 2230006210 4358 - CONSTIC EMPREENDIMEN 31/10/2023 LQ 697,52 697,52"
"Pago título: 2230006216 4361 - RAUL FERREIRA LEITE 31/10/2023 LQ 536,74 536,74"
"Pago título: 2230006223 4385 - MATEUS CAVALCANTI IZ 30/11/2023 LQ 317,17 317,17"
"Pago título: 2230006228 4477 - LAZARO FERNANDES PER 31/10/2023 LQ 207,88 207,88"
"Pago título: 2230006234 4479 - PERFORM PARTICIPACOE 31/10/2023 LQ 263,24 263,24"
"Pago título: 2230006240 4481 - CLARIPEL INDUSTRIA D 31/10/2023 LQ 1621,71 1621,71"
"Pago título: 2230006246 4485 - PARQUE DOS EUCALIPTO 31/10/2023 LQ 287,64 287,64"
"Pago título: 2230006258 4512 - INSTITUTO DE ENSINO 31/10/2023 LQ 243,97 243,97"
"Pago título: 2230006264 4519 - IVO ZARZUR ADMINISTR 31/10/2023 LQ 11083,45 11083,45"
"Pago título: 2230006288 4600 - ALMEIDA PISOS E REVE 31/10/2023 LQ 365,96 365,96"
"Pago título: 2230006300 4631 - AGROPECUARIA CAPUAVA 31/10/2023 LQ 487,95 487,95"
"Pago título: 2230006336 4697 - MARFRIG GLOBAL FOODS 31/10/2023 LQ 592,16 592,16"
"Pago título: 2230006348 4762 - MINERACAO ANGICO LTD 31/10/2023 LQ 475,24 475,24"
"Pago título: 2230006360 4779 - FUNDACAO CENTRO DE A 31/10/2023 LQ 501,12 501,12"
"Pago título: 2230006384 4827 - BOM PEIXE INDUSTRIA 31/10/2023 LQ 312,29 312,29"
"Pago título: 2230006390 4829 - CLUBE RECREATIVO SUM 31/10/2023 LQ 222,02 222,02"
"Pago título: 2230006408 4862 - PSS DE CAMARGO SERVI 31/10/2023 LQ 585,53 585,53"
"Pago título: 2230006414 4869 - ASSOCIACAO DOS MORAD 31/10/2023 LQ 395,24 395,24"
"Pago título: 2230006420 4870 - ASSOCIACAO MELHORES 31/10/2023 LQ 417,19 417,19"
"Pago título: 2230006432 4891 - LOTEAMENTO IMPERIAL 31/10/2023 LQ 975,89 975,89"
"Pago título: 2230006444 4916 - CLUBE ATLETICO VALIN 31/10/2023 LQ 288,01 288,01"
"Pago título: 2230006486 5050 - CIA DE SANEAMENTO BA 31/10/2023 LQ 6052,06 6052,06"
"Pago título: 2230006510 5161 - MISTER GELO IND. DE 31/10/2023 LQ 360,37 360,37"
"Pago título: 2230006546 5303 - ASSOCIACAO DOS MORAD 31/10/2023 LQ 263,49 263,49"
"Pago título: 2230006564 5323 - ERCA INDUSTRIA E COM 31/10/2023 LQ 397,94 397,94"
"Pago título: 2230006576 5355 - CIA DE SANEAMENTO BA 31/10/2023 LQ 9396,35 9396,35"
"Pago título: 2230006600 5409 - TATIANA CRISTINA DE 31/10/2023 LQ 262,88 262,88"
"Pago título: 2230006612 5416 - ZARAPLAST S.A 31/10/2023 LQ 795,36 795,36"
"Pago título: 2230006618 5418 - SAMUEL SAMPAIO TOCAL 31/10/2023 LQ 604,15 604,15"
"Pago título: 2230006666 5486 - ASSOCIACAO DO BRAGAN 31/10/2023 LQ 225,9 225,9"
"Pago título: 2230006678 5491 - BREW CENTER CERVEJAS 31/10/2023 LQ 240,94 240,94"
"Pago título: 2230006684 5492 - BUONO GEL INDUSTRIA 31/10/2023 LQ 243,97 243,97"
"Pago título: 2230006732 5560 - WT NEGOCIOS IMOBILIA 31/10/2023 LQ 642,13 642,13"
"Pago título: 2230006738 5575 - FONTE GELO LTDA 31/10/2023 LQ 243,72 243,72"
"Pago título: 2230006744 5601 - ASSOCIACAO DOS PROPR 31/10/2023 LQ 2586,11 2586,11"
"Pago título: 2230006750 5606 - AROMA BIOENERGIA LTD 31/10/2023 LQ 281,36 281,36"
"Pago título: 2230006768 5622 - CLEUSA TERESINHA PIO 31/10/2023 LQ 223,53 223,53"
"Pago título: 2230006774 5628 - SAFRA INDUSTRIA E CO 31/10/2023 LQ 1268,66 1268,66"
"Pago título: 2230006780 5643 - MARCELO ALVES PEREIR 31/10/2023 LQ 285,45 285,45"
"Pago título: 2230006798 5654 - FUNDICAO REGALI BRAS 31/10/2023 LQ 639,62 639,62"
"Pago título: 2230006822 5803 - ASSOCIACAO DOS AMIGO 31/10/2023 LQ 365,96 365,96"
"Pago título: 2230006828 5805 - QUIBRITA MINERADORA 31/10/2023 LQ 350,92 350,92"
"Pago título: 2230006876 6366 - SOCIEDADE AGOSTINIAN 31/10/2023 LQ 336,99 336,99"
"Pago título: 2230006882 6490 - USINA IRB S.A. 31/10/2023 LQ 7219,82 7219,82"
"Pago título: 2230006894 6600 - TERRA AZUL MARKETING 31/10/2023 LQ 206,35 206,35"
"Pago título: 2230006918 6849 - ASSOCIACAO DOS MORAD 31/10/2023 LQ 707,52 707,52"
"Pago título: 2230006924 6911 - MAURO DA SILVA ARTUR 31/10/2023 LQ 243,97 243,97"
"Pago título: 2230006930 6918 - RAMOS & RIBEIRO EMPR 31/10/2023 LQ 342,54 342,54"
"Pago título: 2230006942 6966 - TONINPAR EMPREENDIME 31/10/2023 LQ 482,57 482,57"
"Pago título: 2230006948 6995 - SPAL INDUSTRIA BRASI 31/10/2023 LQ 583,58 583,58"
"Pago título: 2230006954 7002 - RAPIDO LUXO CAMPINAS 31/10/2023 LQ 292,77 292,77"
"Pago título: 2230006960 7027 - ETIQUETTA BRANCA IND 31/10/2023 LQ 255,33 255,33"
"Pago título: 2230006966 7129 - POUSADA CHALES DO TH 31/10/2023 LQ 487,95 487,95"
"Pago título: 2230006990 7226 - ASSOCIACAO DE MORADO 31/10/2023 LQ 1228,4 1228,4"
"Pago título: 2230006996 7252 - CRJP LOTEAMENTOS SPE 31/10/2023 LQ 536,74 536,74"
"Pago título: 2230007008 7306 - TRANSPORTADORA FREZZ 31/10/2023 LQ 383,34 383,34"
"Pago título: 2230007020 7321 - COMPANHIA DE SANEAME 31/10/2023 LQ 995,41 995,41"
"Pago título: 2230007026 7322 - CAMARGO COMPANHIA DE 31/10/2023 LQ 390,36 390,36"
"Pago título: 2230007062 7351 - COMPANHIA DE SANEAME 31/10/2023 LQ 3205,79 3205,79"
"Pago título: 2230007068 7358 - FIVE12 2016 EMPREEND 31/10/2023 LQ 317,17 317,17"
"Pago título: 2230007074 7367 - CONDOMINIO RESIDENCI 31/10/2023 LQ 487,95 487,95"
"Pago título: 2230007092 7379 - AGROPLANTAS FLORES L 31/10/2023 LQ 336,42 336,42"
"Pago título: 2230007098 7659 - LUIZ BASILIO REANI 31/10/2023 LQ 214,17 214,17"
"Pago título: 2230007104 7689 - WICKBOLD & NOSSO PAO 31/10/2023 LQ 986,59 986,59"
"Pago título: 2230007110 7704 - ASS DOS PROPRIETARIO 31/10/2023 LQ 381,34 381,34"
"Pago título: 2230007116 7707 - SORVETES JUNDIA INDU 31/10/2023 LQ 847,37 847,37"
"Pago título: 2230007128 7715 - CHT BRASIL QUIMICA L 31/10/2023 LQ 379,04 379,04"
"Pago título: 2230007152 7724 - CONDOMINIO RESIDENCI 31/10/2023 LQ 295,53 295,53"
"Pago título: 2230007194 7740 - ASSOC. DOS MORADORES 31/10/2023 LQ 248,3 248,3"
"Pago título: 2230007206 7744 - RHODIA BRASIL S.A. 31/10/2023 LQ 943,73 943,73"
"Pago título: 2230007212 7745 - AGUAS DE TUIUTI SPE 31/10/2023 LQ 5537,64 5537,64"
"Pago título: 9000007373 951 - SERVICO AUTONOMO DE A 31/10/2023 LQ 10000 10000"
"Pago título: 9000007439 1134 - MUNICIPIO DE SUMARE 31/10/2023 LQ 220417,23 220417,23"
"Pago título: 9000007474 896 - PREFEITURA MUNICIPAL 31/10/2023 LQ 1796,97 1796,97"
"Pago título: 9000007479 7752 - CONDOMINIO RESIDENCI 31/10/2023 LQ 219,57 219,57"
