"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72445013011202114703.ret"
""
"Cadastrado título novo: 9000006690 3606 - ANTONIO CHAVES DOS S 31/12/2021 RG 219,11 0"
"Pago título: 2118003496 3413 - TUIUTI ECO PARK EMP 30/11/2021 LQ 294,93 294,93"
"Pago título: 2118003504 3423 - A. A. DE MELO & CIA 30/11/2021 LQ 224,04 224,04"
"Pago título: 2118003536 3449 - CER MICA CARMELO FI 30/11/2021 LQ 829,17 829,17"
"Pago título: 2118003560 3471 - ALTO DA COLINA VERD 30/11/2021 LQ 252,88 252,88"
"Pago título: 2118003568 3480 - MEDI HOUSE IND E CO 30/11/2021 LQ 343,31 343,31"
"Pago título: 2118003592 3514 - CER MICA GRESCA G3 30/11/2021 LQ 263,49 263,49"
"Pago título: 2118003600 3535 - JOFEGE FIA  O E TEC 30/11/2021 LQ 1142,17 1142,17"
"Pago título: 2118003616 3590 -  GUA DO CAMPO TRANS 30/11/2021 LQ 411,41 411,41"
"Pago título: 2118003624 3608 - BIONOVIS S.A. - CIA 30/11/2021 LQ 215,81 215,81"
"Pago título: 2118003656 3637 - PICOLI & CARRARA CO 30/11/2021 LQ 439,15 439,15"
"Pago título: 2118003680 3662 - ASSOCIA  O RESIDENC 30/11/2021 LQ 616,64 616,64"
"Pago título: 2118003688 3666 - RAUL FERREIRA LEITE 30/11/2021 LQ 420,85 420,85"
"Pago título: 2118003696 3673 - PLATLOG IMPORTA  O, 30/11/2021 LQ 2144 2144"
"Pago título: 2118003704 3679 - CMR IND STRIA E COM 30/11/2021 LQ 392,99 392,99"
"Pago título: 2118003712 3683 - NOVAPORCELANATO IND 30/11/2021 LQ 988,09 988,09"
"Pago título: 2118003720 3696 -  GUAS DE CAMPINAS T 30/11/2021 LQ 312,89 312,89"
"Pago título: 2118003744 3704 - I.S. COM RCIO DE  G 30/11/2021 LQ 279,96 279,96"
"Pago título: 2118003752 3720 - J.L. PAULO & CIA LT 30/11/2021 LQ 209,34 209,34"
"Pago título: 2118003808 3857 - CRS MINERA  O IND S 30/11/2021 LQ 997,11 997,11"
"Pago título: 2118003832 3908 - TANSAN IND STRIA QU 30/11/2021 LQ 856,8 856,8"
"Pago título: 2118003840 3926 - HWT PROMO  ES ESPOR 30/11/2021 LQ 337,6 337,6"
"Pago título: 2118003856 3954 - MARCO ANTONIO TONOL 30/11/2021 LQ 365,96 365,96"
"Pago título: 2118003864 3961 - INSTITUTO EDUCACION 30/11/2021 LQ 356,61 356,61"
"Pago título: 2118003872 3971 - VIEIRA E RODRIGUES 30/11/2021 LQ 219,58 219,58"
"Pago título: 2118003888 3984 - BELEM TRANSPORTES E 30/11/2021 LQ 372,67 372,67"
"Pago título: 2118003896 3992 - HOTEL FAZENDA HARAS 30/11/2021 LQ 428,17 428,17"
"Pago título: 2118003912 4059 - ATI GEL FRUTAS CONG 30/11/2021 LQ 205,58 205,58"
"Pago título: 2118003920 4116 - TARTALIA EMPREENDIM 30/11/2021 LQ 475,75 475,75"
"Pago título: 2118003944 4131 - ASSOCIACAO DE AMIGO 30/11/2021 LQ 241,35 241,35"
"Pago título: 2118003952 4197 - ASSOCIA  O DOS PROP 30/11/2021 LQ 365,96 365,96"
"Pago título: 2118003976 4288 - PTM AGRICOLA E PART 30/11/2021 LQ 471,78 471,78"
"Pago título: 2118003992 4315 - AGE DO BRASIL INDUS 30/11/2021 LQ 219,58 219,58"
"Pago título: 2118004008 4330 - CPD LOCADORA DE VEI 30/11/2021 LQ 1097,88 1097,88"
"Pago título: 2118004016 4356 - CONDOMINIO RESIDENC 30/11/2021 LQ 219,58 219,58"
"Pago título: 2118004024 4358 - CONSTIC EMPREENDIME 30/11/2021 LQ 523,14 523,14"
"Pago título: 2118004032 4361 - RAUL FERREIRA LEITE 30/11/2021 LQ 402,55 402,55"
"Pago título: 2118004048 4385 - MATEUS CAVALCANTI I 30/11/2021 LQ 237,88 237,88"
"Pago título: 2118004064 4481 - CLARIPEL INDUSTRIA 30/11/2021 LQ 1308,92 1308,92"
"Pago título: 2118004080 4519 - IVO ZARZUR ADMINIST 30/11/2021 LQ 5271,63 5271,63"
"Pago título: 2118004088 4556 - ASSOCIA  O DE MELHO 30/11/2021 LQ 372 372"
"Pago título: 2118004104 4600 - ALMEIDA PISOS E REV 30/11/2021 LQ 274,47 274,47"
"Pago título: 2118004112 4631 - AGROPECU RIA CAPUAV 30/11/2021 LQ 365,96 365,96"
"Pago título: 2118004120 4641 - DYNATECH IND STRIAS 30/11/2021 LQ 394,42 394,42"
"Pago título: 2118004128 4653 - SERVI O DE  GUA E E 30/11/2021 LQ 424,47 424,47"
"Pago título: 2118004136 4654 - ASSOC DOS PROP DE L 30/11/2021 LQ 365,96 365,96"
"Pago título: 2118004144 4697 - MARFRIG GLOBAL FOOD 30/11/2021 LQ 326,66 326,66"
"Pago título: 2118004152 4762 - MINERA  O ANGICO LT 30/11/2021 LQ 283,44 283,44"
"Pago título: 2118004168 4779 - FUNDACAO CENTRO DE 30/11/2021 LQ 375,84 375,84"
"Pago título: 2118004176 4783 - CORREIAS MERC RIO S 30/11/2021 LQ 212,99 212,99"
"Pago título: 2118004184 4784 - ASSOCIA  O DOS PROP 30/11/2021 LQ 394,32 394,32"
"Pago título: 2118004200 4827 - BOM PEIXE INDUSTRIA 30/11/2021 LQ 234,21 234,21"
"Pago título: 2118004208 4830 - CONDOMINIO RESIDENC 30/11/2021 LQ 256,17 256,17"
"Pago título: 2118004224 4869 - ASSOCIA  O DOS MORA 30/11/2021 LQ 296,43 296,43"
"Pago título: 2118004232 4870 - ASSOCIA  O MELHORES 30/11/2021 LQ 312,9 312,9"
"Pago título: 2118004240 4891 - LOTEAMENTO IMPERIAL 30/11/2021 LQ 731,92 731,92"
"Pago título: 2118004264 4916 - CLUBE ATL TICO VALI 30/11/2021 LQ 216,01 216,01"
"Pago título: 2118004296 4992 - AGUA NOGUEIRENSE LT 30/11/2021 LQ 365,96 365,96"
"Pago título: 2118004304 5035 - CLOSURE SYSTEMS INT 30/11/2021 LQ 329,36 329,36"
"Pago título: 2118004320 5040 - CONDOM NIO GARNET 30/11/2021 LQ 397,43 397,43"
"Pago título: 2118004352 5079 - CONDOMINIO EDIFICIO 30/11/2021 LQ 219,58 219,58"
"Pago título: 2118004360 5082 - ELLOS EMPREENDIMENT 30/11/2021 LQ 296,43 296,43"
"Pago título: 2118004368 5161 - MISTER GELO IND. DE 30/11/2021 LQ 454,12 454,12"
"Pago título: 2118004376 5168 - NEMPOP IND STRIA QU 30/11/2021 LQ 496,79 496,79"
"Pago título: 2118004392 5261 - CIA DE SANEAMENTO B 30/11/2021 LQ 11345,15 11345,15"
"Pago título: 2118004408 5306 - ASSOCIACAO DE AMIGO 30/11/2021 LQ 274,47 274,47"
"Pago título: 2118004416 5323 - ERCA IND STRIA E CO 30/11/2021 LQ 463,56 463,56"
"Pago título: 2118004456 5404 - ASSOC DE CONGRESSOS 30/11/2021 LQ 539,47 539,47"
"Pago título: 2118004464 5409 - TATIANA CRISTINA DE 30/11/2021 LQ 212,08 212,08"
"Pago título: 2118004480 5416 - ZARAPLAST S.A 30/11/2021 LQ 561,75 561,75"
"Pago título: 2118004504 5442 - ASSOCIACAO DOS PROP 30/11/2021 LQ 307,87 307,87"
"Pago título: 2118004512 5443 - ASSOC DOS PROP E MO 30/11/2021 LQ 208,65 208,65"
"Pago título: 2118004520 5464 - INSTITUTO ADVENTIST 30/11/2021 LQ 342,8 342,8"
"Pago título: 2118004544 5487 - ASSOC DOS PROPR DE 30/11/2021 LQ 329,36 329,36"
"Pago título: 2118004576 5531 - MARILIZE PEZZO ROSS 30/11/2021 LQ 786,08 786,08"
"Pago título: 2118004584 5539 - SPEEDY INCORPORA  E 30/11/2021 LQ 315,91 315,91"
"Pago título: 2118004600 5553 - ASSOCIA  O MASTER D 30/11/2021 LQ 1212,27 1212,27"
"Pago título: 2118004616 5560 - WT NEG CIOS IMOBILI 30/11/2021 LQ 481,6 481,6"
"Pago título: 2118004640 5599 - COOPERATIVA PECU RI 30/11/2021 LQ 3716 3716"
"Pago título: 2118004648 5601 - ASSOCIA  O DOS PROP 30/11/2021 LQ 1939,58 1939,58"
"Pago título: 2118004656 5606 - AROMA BIOENERGIA LT 30/11/2021 LQ 211,02 211,02"
"Pago título: 2118004664 5628 - SAFRA INDUSTRIA E C 30/11/2021 LQ 1600,51 1600,51"
"Pago título: 2118004688 5652 - CONDOM NIO D. PEDRO 30/11/2021 LQ 527,33 527,33"
"Pago título: 2118004712 5694 - R. BOQUINO TRANSPOR 30/11/2021 LQ 567,3 567,3"
"Pago título: 2118004736 5773 - OWB INDUSTRIA DE AU 30/11/2021 LQ 230,15 230,15"
"Pago título: 2118004752 5803 - ASSOCIA  O DOS AMIG 30/11/2021 LQ 488,78 488,78"
"Pago título: 2118004760 5805 - QUIBRITA MINERADORA 30/11/2021 LQ 456,2 456,2"
"Pago título: 2118004768 5861 - ASSOCIA  O DESPORTI 30/11/2021 LQ 336,65 336,65"
"Pago título: 2118004776 5865 - CONDOMINIO VILLA UN 30/11/2021 LQ 468,55 468,55"
"Pago título: 2118004784 5870 - VILA HIPICA EMPREEN 30/11/2021 LQ 342,54 342,54"
"Pago título: 2118004800 5907 - TSI - EMPREENDIMENT 30/11/2021 LQ 248,85 248,85"
"Pago título: 2118004808 5938 - CLAUDETE APARECIDA 30/11/2021 LQ 289,83 289,83"
"Pago título: 2118004840 6366 - SOCIEDADE AGOSTINIA 30/11/2021 LQ 505,48 505,48"
"Pago título: 2118004848 6490 - USINA IRB S.A. 30/11/2021 LQ 10793,41 10793,41"
"Pago título: 2118004896 6849 - ASSOCIACAO DOS MORA 30/11/2021 LQ 895,55 895,55"
"Pago título: 2118004904 6889 - EXTRAMIX CONCRETO L 30/11/2021 LQ 376,46 376,46"
"Pago título: 2118004928 6918 - RAMOS & RIBEIRO EMP 30/11/2021 LQ 489,4 489,4"
"Pago título: 2118004936 6923 - PAULO CASTEJON GUER 30/11/2021 LQ 2788,6 2788,6"
"Pago título: 2118004952 6962 - BRAVO ARMAZ NS GERA 30/11/2021 LQ 209,15 209,15"
"Pago título: 2118004960 6966 - TONINPAR EMPREENDIM 30/11/2021 LQ 564,21 564,21"
"Pago título: 2118004968 6995 - SPAL IND STRIA BRAS 30/11/2021 LQ 688,28 688,28"
"Pago título: 2118004976 7002 - R PIDO LUXO CAMPINA 30/11/2021 LQ 421,1 421,1"
"Pago título: 2118004992 7011 - JS ESPUMAS FLEX VEI 30/11/2021 LQ 259,08 259,08"
"Pago título: 2118005008 7051 - IRM OS SEGEREN AGRO 30/11/2021 LQ 307,79 307,79"
"Pago título: 2118005024 7130 - MADERO INDUSTRIA E 30/11/2021 LQ 286,98 286,98"
"Pago título: 2118005032 7132 - REDE DOM PEDRO DE P 30/11/2021 LQ 573,96 573,96"
"Pago título: 2118005040 7159 - FLAVOUR MIX INDUSTR 30/11/2021 LQ 540,88 540,88"
"Pago título: 2118005064 7226 - ASSOCIA  O DE MORAD 30/11/2021 LQ 1303,27 1303,27"
"Pago título: 2118005072 7252 - CRJP LOTEAMENTOS SP 30/11/2021 LQ 508,44 508,44"
"Pago título: 2118005080 7294 - ASSOCIA  O DE PROPR 30/11/2021 LQ 249,86 249,86"
"Pago título: 2118005096 7306 - TRANSPORTADORA FREZ 30/11/2021 LQ 454,76 454,76"
"Pago título: 2118005112 7321 - COMPANHIA DE SANEAM 30/11/2021 LQ 605,83 605,83"
"Pago título: 2118005120 7322 - CAMARGO COMPANHIA D 30/11/2021 LQ 400,25 400,25"
"Pago título: 2118005208 7373 - LEVISSIMA DISTRIBUI 30/11/2021 LQ 1265,23 1265,23"
"Pago título: 2118005224 7444 - THAIS REGINA ROCHIT 30/11/2021 LQ 248,48 248,48"
"Pago título: 2118005240 7659 - LUIZ BAS LIO REANI 30/11/2021 LQ 321,25 321,25"
"Pago título: 9000005997 2359 - AGROPECUARIA TUIUTI 30/11/2021 LQ 3712,5 3712,5"
"Pago título: 9000006007 3951 - ARCELORMITTAL S.A. 30/11/2021 LQ 8980,46 8980,46"
"Pago título: 9000006015 828 - SERVICO AUTONOMO DE A 30/11/2021 LQ 49153,61 49153,61"
"Pago título: 9000006027 822 - AGUAS DE HOLAMBRA SAN 30/11/2021 LQ 9511,91 9511,91"
"Pago título: 9000006043 1173 - MASTERCOR BENEFICIAM 30/11/2021 LQ 224,74 224,74"
"Pago título: 9000006057 2655 - JOAO CARLOS LEME RIB 30/11/2021 LQ 588,98 588,98"
"Pago título: 9000006065 1862 - DOR RIO CONFECCAO LT 30/11/2021 LQ 395,99 395,99"
"Pago título: 9000006092 3491 - H2ORA DISTRIBUIDORA 30/11/2021 LQ 2213,14 2213,14"
"Pago título: 9000006126 7213 - AGUAS DE MAIRIPORA L 30/11/2021 LQ 975,89 975,89"
"Pago título: 9000006213 4862 - PSS DE CAMARGO SERVI 30/11/2021 LQ 434,48 434,48"
"Pago título: 9000006264 7689 - WICKBOLD e NOSSO PAO 30/11/2021 LQ 1065,9 1065,9"
"Pago título: 9000006349 3444 - ALOIZIO MERCADANTE O 30/11/2021 LQ 370,08 370,08"
"Pago título: 9000006405 2329 - NOVA MIX INDUSTRIAL 30/11/2021 LQ 598,63 598,63"
"Pago título: 9000006442 779 - MERI IDO 30/11/2021 LQ 354,22 354,22"
"Pago título: 9000006472 898 - SERVICO MUNICIPAL DE 30/11/2021 LQ 158486,31 158486,31"
"Pago título: 9000006482 7373 - LEVISSIMA DISTRIBUIC 30/11/2021 LQ 553,26 553,26"
"Pago título: 9000006503 1689 - AJINOMOTO DO BRASIL 30/11/2021 LQ 914,92 914,92"
"Pago título: 9000006519 2445 - SBW DO BRASILAGRIFLO 30/11/2021 LQ 588,39 588,39"
"Pago título: 9000006534 5654 - FUNDICAO REGALI BRAS 30/11/2021 LQ 1021,9 1021,9"
"Pago título: 9000006612 832 - SANEAMENTO BASICO VIN 30/11/2021 LQ 75683,15 75683,15"
"Pago título: 9000006648 3323 - HORTOLANDIA INCORPOR 30/11/2021 LQ 1945,03 1945,03"
"Pago título: 9000006650 6872 - ERICK VIOLIM FRANCO 30/11/2021 LQ 393,13 393,13"
"Pago título: 9000006651 2819 - ATRISEV COMERCIAL E 30/11/2021 LQ 456,27 456,27"
"Pago título: 9000006660 6565 - ASSOCIACAO DOS PROPR 30/11/2021 LQ 345,3 345,3"
"Pago título: 9000006662 1457 - CERAMICA IRMAOS OTTO 30/11/2021 LQ 613,92 613,92"
"Pago título: 9000006665 4217 - ASSOC DOS PROPRIETAR 30/11/2021 LQ 637,14 637,14"
"Pago título: 9000006666 2894 - BT DE OLIVEIRA CARNE 30/11/2021 LQ 318,87 318,87"
"Pago título: 9000006668 4765 - CLAUDIO HERCULES PAL 30/11/2021 LQ 627,18 627,18"
"Cadastrado título pago: 9000006671 3951 - ARCELORMITTAL S.A. 30/11/2021 LQ 9344,19 9344,19"
"Cadastrado título pago: 9000006672 2755 - RANCHO MINEIRO RESTA 30/11/2021 LQ 265,77 265,77"
"Pago título: 9000006673 1827 - POSTO E RESTAURANTE 30/11/2021 LQ 2277 2277"
"Pago título: 9000006677 1320 - AGRICIO SILVERIO DA 30/11/2021 LQ 364,36 364,36"
"Pago título: 9000006683 7130 - MADERO INDUSTRIA E C 30/11/2021 LQ 2132,63 2132,63"
