"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72450152612202224108.ret"
""
"Cadastrado título novo: 9000007333 2553 - UNIGRES CERAMICA LTD 31/01/2023 RG 228,56 0"
"Pago título: 2220006559 2949 - INSTITUTO ADVENTISTA 26/12/2022 LQ 335,22 335,22"
"Pago título: 2220006566 985 - CONDOMINIO FAZENDA DU 26/12/2022 LQ 335,06 335,06"
"Pago título: 2220006580 4771 - VID'AGUA DISTRIBUICA 26/12/2022 LQ 334,59 334,59"
"Pago título: 2220006594 7322 - CAMARGO COMPANHIA DE 26/12/2022 LQ 334,59 334,59"
"Pago título: 2220006608 3879 - CATALISE INDUSTRIA E 26/12/2022 LQ 334,59 334,59"
"Pago título: 2220006622 3480 - MEDI HOUSE IND E COM 26/12/2022 LQ 332,65 332,65"
"Pago título: 2220006657 3327 - INPAR PROJETO 86 SPE 26/12/2022 LQ 327,09 327,09"
"Pago título: 2220006671 2745 - CONDOMINIO DO SHOPPI 26/12/2022 LQ 326,44 326,44"
"Pago título: 2220006678 965 - IGARATIBA INDUSTRIA E 26/12/2022 LQ 324,15 324,15"
"Pago título: 2220006692 2094 - ASSOCIACAO DE PROPRI 26/12/2022 LQ 323,18 323,18"
"Pago título: 2220006706 1676 - CASSOL PRE  FABRICAD 26/12/2022 LQ 321,76 321,76"
"Pago título: 2220006741 852 - ECOFABRIL INDUSTRIA E 26/12/2022 LQ 318 318"
"Pago título: 2220006769 4600 - ALMEIDA PISOS E REVE 26/12/2022 LQ 313,68 313,68"
"Pago título: 2220006783 1144 - ASSOCIACAO PROPRIET. 26/12/2022 LQ 313,68 313,68"
"Pago título: 2220006797 5161 - MISTER GELO IND. DE 26/12/2022 LQ 313,13 313,13"
"Pago título: 2220006804 3679 - CMR INDUSTRIA E COME 26/12/2022 LQ 311 311"
"Pago título: 2220006860 2776 - KARINA PISOS E REVES 26/12/2022 LQ 301,13 301,13"
"Pago título: 2220006867 3514 - CERAMICA GRESCA G3 L 26/12/2022 LQ 301,13 301,13"
"Pago título: 2220006902 1701 - TINTURARIA E ESTAMPA 26/12/2022 LQ 294,55 294,55"
"Pago título: 2220006916 68 - ASSOCIACAO GREEN VILLA 26/12/2022 LQ 293,91 293,91"
"Pago título: 2220006965 523 - CONDOMINIO RESIDENCIA 26/12/2022 LQ 289,65 289,65"
"Pago título: 2220006979 3471 - ALTO DA COLINA VERDE 26/12/2022 LQ 289 289"
"Pago título: 2220006993 6366 - SOCIEDADE AGOSTINIAN 26/12/2022 LQ 288,85 288,85"
"Pago título: 2220007000 2897 - REQUIPH METALURGICA 26/12/2022 LQ 288,76 288,76"
"Pago título: 2220007021 7716 - EXTRAMIX CONCRETO LT 26/12/2022 LQ 288 288"
"Pago título: 2220007028 1830 - SUOMINEN BRASIL INDU 26/12/2022 LQ 285,87 285,87"
"Pago título: 2220007035 1705 - SAINT-GOBAIN DO BRAS 26/12/2022 LQ 285,75 285,75"
"Pago título: 2220007042 7358 - FIVE12 2016 EMPREEND 26/12/2022 LQ 284,77 284,77"
"Pago título: 2220007070 3 - CONDOMINIO RESIDENCIAL 26/12/2022 LQ 281,35 281,35"
"Pago título: 2220007077 5443 - ASSOC DOS PROP E MOR 26/12/2022 LQ 276,01 276,01"
"Pago título: 2220007084 2392 - NEW PARQUE TENIS 26/12/2022 LQ 275,2 275,2"
"Pago título: 2220007126 2375 - PRODUTOS ALIMENTICIO 26/12/2022 LQ 270,29 270,29"
"Pago título: 2220007133 4827 - BOM PEIXE INDUSTRIA 26/12/2022 LQ 267,67 267,67"
"Pago título: 2220007147 5354 - CONDOMINIO RESIDENCI 26/12/2022 LQ 262,49 262,49"
"Pago título: 2220007175 5442 - ASSOCIACAO DOS PROPR 26/12/2022 LQ 257,11 257,11"
"Pago título: 2220007189 1033 - CCS TECNOLOGIA E SER 26/12/2022 LQ 255,45 255,45"
"Pago título: 2220007203 3720 - J.L. PAULO & CIA LTD 26/12/2022 LQ 253,58 253,58"
"Pago título: 2220007224 1603 - OLIVEIRA & LOPES LTD 26/12/2022 LQ 251,13 251,13"
"Pago título: 2220007245 112 - LUME CERAMICA LTDA 26/12/2022 LQ 250,94 250,94"
"Pago título: 2220007259 3107 - RUY R. DA ROCHA PROD 26/12/2022 LQ 250,94 250,94"
"Pago título: 2220007266 73 - NARDINI PISOS E REVEST 26/12/2022 LQ 250,94 250,94"
"Pago título: 2220007273 4356 - CONDOMINIO RESIDENCI 26/12/2022 LQ 250,94 250,94"
"Pago título: 2220007294 183 - TEXTIL BASSETO LTDA 26/12/2022 LQ 248,81 248,81"
"Pago título: 2220007301 1564 - INDUSTRIA E COMERCIO 26/12/2022 LQ 248,63 248,63"
"Pago título: 2220007308 4916 - CLUBE ATLETICO VALIN 26/12/2022 LQ 246,87 246,87"
"Pago título: 2220007350 1266 - ASSOCIACAO COMUNITAR 26/12/2022 LQ 244,67 244,67"
"Pago título: 2220007357 563 - PLAZA INDUSTRIA E COM 26/12/2022 LQ 244,5 244,5"
"Pago título: 2220007364 1609 - GRANITEC IND E COM D 26/12/2022 LQ 244,32 244,32"
"Pago título: 2220007371 4783 - CORREIAS MERCURIO S/ 26/12/2022 LQ 243,41 243,41"
"Pago título: 2220007378 855 - LOG & PRINT GRAFICA E 26/12/2022 LQ 243 243"
"Pago título: 2220007385 2293 - BRUNO NICOLETTI TECI 26/12/2022 LQ 242,62 242,62"
"Pago título: 2220007399 5606 - AROMA BIOENERGIA LTD 26/12/2022 LQ 241,16 241,16"
"Pago título: 2220007406 1885 - A PRESS TRANSPORTES 26/12/2022 LQ 240,9 240,9"
"Pago título: 2220007413 604 - ASSOCIACAO RESIDENCIA 26/12/2022 LQ 239,96 239,96"
"Pago título: 2220007420 7150 - VIDA SAO DOMINGOS IN 26/12/2022 LQ 236,6 236,6"
"Pago título: 2220007427 6889 - EXTRAMIX CONCRETO LT 26/12/2022 LQ 236,58 236,58"
"Pago título: 2220007441 4059 - ATI GEL FRUTAS CONGE 26/12/2022 LQ 234,94 234,94"
"Pago título: 2220007448 3703 - ASSOCIACAO DOS PROP. 26/12/2022 LQ 234,21 234,21"
"Pago título: 2220007469 3097 - CISOL DO BRASIL EXPO 26/12/2022 LQ 230,55 230,55"
"Pago título: 2220007490 2168 - EMEPE INDUSTRIA GRAF 26/12/2022 LQ 230,03 230,03"
"Pago título: 2220007497 1137 - SICAD DO BRASIL FITA 26/12/2022 LQ 227,84 227,84"
"Pago título: 2220007518 5303 - ASSOCIACAO DOS MORAD 26/12/2022 LQ 225,85 225,85"
"Pago título: 2220007525 1742 - CONDOMINIO SERANILA 26/12/2022 LQ 225,85 225,85"
"Pago título: 2220007532 4479 - PERFORM PARTICIPACOE 26/12/2022 LQ 225,63 225,63"
"Pago título: 2220007560 202 - NOVA PLAST IND E COM 26/12/2022 LQ 224,64 224,64"
"Pago título: 2220007574 2196 - ASSOCIACAO CIVIL PAR 26/12/2022 LQ 223,22 223,22"
"Pago título: 2220007616 1993 - CABLENA DO BRASIL LT 26/12/2022 LQ 220 220"
"Pago título: 2220007623 2082 - COLORFLEX ESTAMPARIA 26/12/2022 LQ 219,63 219,63"
"Pago título: 2220007644 5575 - FONTE GELO LTDA 26/12/2022 LQ 218,83 218,83"
"Pago título: 2220007651 5350 - CONDOMINIO RESERVA D 26/12/2022 LQ 218,42 218,42"
"Pago título: 2220007658 1130 - BRASALIMENT INDUSTRI 26/12/2022 LQ 218,23 218,23"
"Pago título: 2220007679 1077 - DP & LF TRANSPORTES 26/12/2022 LQ 214,56 214,56"
"Pago título: 2220007686 1870 - MALIBER INDUSTRIA E 26/12/2022 LQ 213,3 213,3"
"Pago título: 2220007693 1652 - RICLAN S/A 26/12/2022 LQ 212,81 212,81"
"Pago título: 2220007721 1417 - INDUSTRIA DE PRODUTO 26/12/2022 LQ 209,95 209,95"
"Pago título: 2220007728 5798 - HM 31 EMPREENDIMENTO 26/12/2022 LQ 209,75 209,75"
"Pago título: 2220007742 680 - JOSE EDUARDO ANNICCHI 26/12/2022 LQ 209,12 209,12"
"Pago título: 2220007756 3212 - PEDREIRA NOGUEIRENSE 26/12/2022 LQ 209,12 209,12"
"Pago título: 2220007763 5436 - ANSELMO AGUAS E TRAN 26/12/2022 LQ 209,12 209,12"
"Pago título: 2220007770 2881 - SERVICO DE AGUA E ES 26/12/2022 LQ 209,12 209,12"
"Pago título: 2220007777 4512 - INSTITUTO DE ENSINO 26/12/2022 LQ 209,12 209,12"
"Pago título: 2220007791 5492 - BUONO GEL INDUSTRIA 26/12/2022 LQ 209,12 209,12"
"Pago título: 2220007798 2028 - TERMOTECNICA LTDA 26/12/2022 LQ 209,12 209,12"
"Pago título: 2220007812 3094 - RENATO PASSARIN & FI 26/12/2022 LQ 209,12 209,12"
"Pago título: 2220007819 3592 - CONDOMINIO LAGOS SHA 26/12/2022 LQ 208,91 208,91"
"Pago título: 2220007868 5491 - BREW CENTER CERVEJAS 26/12/2022 LQ 206,52 206,52"
"Pago título: 2220007875 7051 - IRMAOS SEGEREN AGROP 26/12/2022 LQ 206,52 206,52"
"Pago título: 2220007882 2047 - ITARARE TRANSPORTE D 26/12/2022 LQ 206,25 206,25"
"Pago título: 2220007889 3423 - A. A. DE MELO & CIA 26/12/2022 LQ 206,16 206,16"
"Pago título: 2220007903 7331 - KOLIBRI ADMINISTRACA 26/12/2022 LQ 204,94 204,94"
"Pago título: 2220007924 4132 - MRGM PARTICIPACOES E 26/12/2022 LQ 203,26 203,26"
"Pago título: 2220007938 1936 - IVO ZARZUR ADMINISTR 26/12/2022 LQ 202,8 202,8"
"Pago título: 2220007945 2407 - FERRASPARI S/A INDUS 26/12/2022 LQ 201,64 201,64"
"Pago título: 2220007952 5622 - CLEUSA TERESINHA PIO 26/12/2022 LQ 201,53 201,53"
"Pago título: 2220007959 4315 - AGE DO BRASIL INDUST 26/12/2022 LQ 200,75 200,75"
"Pago título: 2220007973 4674 - L'OCCITANE OPERA IND 26/12/2022 LQ 200,75 200,75"
"Pago título: 2220007987 3271 - ASSOCIACAO DOS PROPR 26/12/2022 LQ 200,75 200,75"
"Pago título: 9000006875 943 - RAIZEN ENERGIA S/A 26/12/2022 LQ 10581,41 10581,41"
"Pago título: 9000006891 1792 - ASSOC DE AMIGOS DO C 26/12/2022 LQ 342,96 342,96"
"Pago título: 9000006898 1112 - CIA SANEAMENTO BASIC 26/12/2022 LQ 17306,52 17306,52"
"Pago título: 9000006930 6935 - ALTO DO SION EMPREEN 26/12/2022 LQ 376,41 376,41"
"Pago título: 9000006936 1313 - KIKKOMAN DO BRASIL I 26/12/2022 LQ 350,36 350,36"
"Pago título: 9000006948 832 - SANEAMENTO BASICO VIN 26/12/2022 LQ 26250,27 26250,27"
"Pago título: 9000007036 3951 - ARCELORMITTAL S.A. 26/12/2022 LQ 5465,03 5465,03"
"Pago título: 9000007071 7733 - ASSOC PROP LOT FECH 26/12/2022 LQ 431,13 431,13"
"Pago título: 9000007087 1065 - CIA SANEAMENTO BASIC 26/12/2022 LQ 46888,91 46888,91"
"Pago título: 9000007119 6729 - ANTONIO RENAN FERRO 26/12/2022 LQ 401,05 401,05"
"Pago título: 9000007231 556 - CONDOMINIO VILLAGE VI 30/12/2022 LQ 248,67 248,67"
"Pago título: 9000007261 951 - SERVICO AUTONOMO DE A 26/12/2022 LQ 10000 10000"
"Pago título: 9000007285 4764 - ASSOCIACAO DOS PROPR 26/12/2022 LQ 1660,21 1660,21"
"Pago título: 9000007286 1745 - FURNAS CENTRAIS ELET 26/12/2022 LQ 1131,92 1131,92"
"Pago título: 9000007287 2902 - ARCOR DO BRASIL LTDA 26/12/2022 LQ 5839,66 5839,66"
"Pago título: 9000007288 591 - UMICORE BRASIL LTDA 26/12/2022 LQ 1002,17 1002,17"
"Pago título: 9000007306 3139 - RAIZEN ENERGIA S/A 26/12/2022 LQ 562,94 562,94"
"Pago título: 9000007308 583 - HOTEL BOURBON DE FOZ 26/12/2022 LQ 2382,56 2382,56"
"Pago título: 9000007309 5798 - HM 31 EMPREENDIMENTO 26/12/2022 LQ 216,09 216,09"
"Pago título: 9000007310 2267 - KSB BOMBAS HIDRAULIC 26/12/2022 LQ 1237,04 1237,04"
"Pago título: 9000007322 5514 - AGUAS DO MIRANTE 26/12/2022 LQ 4861,22 4861,22"
"Pago título: 9000007327 829 - SERVICO AUTONOMO DE A 26/12/2022 LQ 125631,61 125631,61"
"Pago título: 9000007328 7330 - LA VITA ALIMENTOS AG 26/12/2022 LQ 1118,8 1118,8"
