"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72454303011202324206.ret"
""
"Cadastrado título novo: 9000007875 2894 - BT DE OLIVEIRA CARNE 29/12/2023 RG 322,24 0"
"Cadastrado título novo: 9000007876 4339 - JOATE DO BRASIL ADMI 29/12/2023 RG 309,56 0"
"Cadastrado título novo: 9000007877 3604 - TEMPO DISTRIBUIDORA 29/12/2023 RG 376,68 0"
"Cadastrado título novo: 9000007878 2501 - AUTO POSTO E RESTAUR 29/12/2023 RG 310,92 0"
"Cadastrado título novo: 9000007879 5509 - IRON MOUNTAIN DO BRA 29/12/2023 RG 313,8 0"
"Cadastrado título novo: 9000007880 1601 - CONTECH PRODUTOS BIO 29/12/2023 RG 272,81 0"
"Cadastrado título novo: 9000007881 5309 - ASSOCIACAO RESIDENCI 29/12/2023 RG 266,77 0"
"Cadastrado título novo: 9000007882 3617 - HOSPITAL SAMARITANO 29/12/2023 RG 281,51 0"
"Cadastrado título novo: 9000007883 5075 - INDUSTRIA DE PRODUTO 29/12/2023 RG 297,17 0"
"Cadastrado título novo: 9000007884 6890 - SP TINTAS E COMERCIO 30/11/2023 RG 918,48 0"
"Cadastrado título novo: 9000007885 1215 - RAPIDO LUXO CAMPINAS 29/12/2023 RG 328,43 0"
"Pago título: 2230004585 1484 - DELTA INDUSTRIA CERA 30/11/2023 LQ 10926,41 10926,41"
"Pago título: 2230004597 1547 - SOCER BRASIL INDUSTR 30/11/2023 LQ 525,94 525,94"
"Pago título: 2230004615 1567 - RPR CAPTACAO E TRANS 30/11/2023 LQ 1216,88 1216,88"
"Pago título: 2230004627 1591 - TQA INDUSTRIA E COME 30/11/2023 LQ 414,75 414,75"
"Pago título: 2230004633 1592 - MICROSAL INDUSTRIA E 30/11/2023 LQ 990,04 990,04"
"Pago título: 2230004639 1603 - OLIVEIRA & LOPES LTD 30/11/2023 LQ 336,51 336,51"
"Pago título: 2230004645 1609 - GRANITEC IND E COM D 30/11/2023 LQ 285,05 285,05"
"Pago título: 2230004651 1618 - NAZATO PIRACICABA TR 30/11/2023 LQ 510,34 510,34"
"Pago título: 2230004663 1638 - LEITESOL INDUSTRIA E 30/11/2023 LQ 369,11 369,11"
"Pago título: 2230004669 1649 - CONDOMINIO CASA GRAN 30/11/2023 LQ 210,79 210,79"
"Pago título: 2230004675 1652 - RICLAN S/A 30/11/2023 LQ 248,27 248,27"
"Pago título: 2230004699 1689 - AJINOMOTO DO BRASIL 30/11/2023 LQ 609,95 609,95"
"Pago título: 2230004705 1692 - LALLEMAND SOLUCOES B 30/11/2023 LQ 488,65 488,65"
"Pago título: 2230004717 1701 - TINTURARIA E ESTAMPA 30/11/2023 LQ 343,64 343,64"
"Pago título: 2230004735 1742 - CONDOMINIO SERANILA 30/11/2023 LQ 263,49 263,49"
"Pago título: 2230004741 1743 - EDSON CHINARELLI TRA 30/11/2023 LQ 2615,38 2615,38"
"Pago título: 2230004753 1750 - PREFEITURA MUNICIPAL 30/11/2023 LQ 574,87 574,87"
"Pago título: 2230004759 1786 - AREIALEX EXTRACAO E 30/11/2023 LQ 609,84 609,84"
"Pago título: 2230004765 1789 - CENTRAIS DE ABASTECI 30/11/2023 LQ 796,48 796,48"
"Pago título: 2230004783 1813 - MAXLAV LAVANDERIA ES 30/11/2023 LQ 442,79 442,79"
"Pago título: 2230004795 1818 - MARLES INDUSTRIA TEX 30/11/2023 LQ 1020,68 1020,68"
"Pago título: 2230004801 1829 - NHEEL QUIMICA LTDA 30/11/2023 LQ 1080,05 1080,05"
"Pago título: 2230004807 1830 - SUOMINEN BRASIL INDU 30/11/2023 LQ 333,52 333,52"
"Pago título: 2230004813 1846 - COMPANHIA NACIONAL D 30/11/2023 LQ 713,92 713,92"
"Pago título: 2230004819 1848 - PREFEITURA MUNICIPAL 30/11/2023 LQ 2815,44 2815,44"
"Pago título: 2230004825 1859 - CWS CABLE PARKS LTDA 30/11/2023 LQ 531,45 531,45"
"Pago título: 2230004837 1870 - MALIBER INDUSTRIA E 30/11/2023 LQ 248,85 248,85"
"Pago título: 2230004843 1885 - A PRESS TRANSPORTES 30/11/2023 LQ 281,06 281,06"
"Pago título: 2230004849 1902 - KENJI EXTRACAO E COM 30/11/2023 LQ 386,75 386,75"
"Pago título: 2230004885 1976 - SOL INVEST EMPREENDI 30/11/2023 LQ 339,68 339,68"
"Pago título: 2230004891 1979 - QUIMICA AMPARO LTDA 30/11/2023 LQ 829,51 829,51"
"Pago título: 2230004903 1993 - CABLENA DO BRASIL LT 30/11/2023 LQ 256,67 256,67"
"Pago título: 2230004909 2019 - BAERLOCHER DO BRASIL 30/11/2023 LQ 1372,32 1372,32"
"Pago título: 2230004915 2028 - TERMOTECNICA LTDA 30/11/2023 LQ 243,97 243,97"
"Pago título: 2230004921 2047 - ITARARE TRANSPORTE D 30/11/2023 LQ 240,63 240,63"
"Pago título: 2230004927 2069 - TRANSPORTES  21 LTDA 30/11/2023 LQ 234,21 234,21"
"Pago título: 2230004933 2074 - SALTORELLI TINTURARI 30/11/2023 LQ 1157,28 1157,28"
"Pago título: 2230004939 2082 - COLORFLEX ESTAMPARIA 30/11/2023 LQ 256,24 256,24"
"Pago título: 2230004945 2083 - HANIER ESPECIALIDADE 30/11/2023 LQ 476,45 476,45"
"Pago título: 2230004957 2094 - ASSOCIACAO DE PROPRI 30/11/2023 LQ 377,04 377,04"
"Pago título: 2230004969 2114 - MAXLAV LAVANDERIA ES 30/11/2023 LQ 392,8 392,8"
"Pago título: 2230004993 2168 - EMEPE INDUSTRIA GRAF 30/11/2023 LQ 268,37 268,37"
"Pago título: 2230005005 2172 - FARMINA PET FOODS BR 30/11/2023 LQ 416,12 416,12"
"Pago título: 2230005011 2175 - INDUSTRIA E COMERCIO 30/11/2023 LQ 876,26 876,26"
"Pago título: 2230005017 2176 - EVONIK BRASIL LTDA 30/11/2023 LQ 1756,95 1756,95"
"Pago título: 2230005023 2196 - ASSOCIACAO CIVIL PAR 30/11/2023 LQ 260,42 260,42"
"Pago título: 2230005041 2229 - AUDAX QUIMICA IND E 30/11/2023 LQ 262,54 262,54"
"Pago título: 2230005047 2239 - CERAMICA RAMOS LTDA 30/11/2023 LQ 512,22 512,22"
"Pago título: 2230005065 2284 - AGUA VIDA TRANSPORTE 30/11/2023 LQ 780,71 780,71"
"Pago título: 2230005071 2289 - ADVANCE INDUSTRIA TE 30/11/2023 LQ 3444,24 3444,24"
"Pago título: 2230005077 2293 - BRUNO NICOLETTI TECI 30/11/2023 LQ 283,05 283,05"
"Pago título: 2230005089 2304 - LAZARO MELLO BRANDAO 30/11/2023 LQ 219,82 219,82"
"Pago título: 2230005101 2324 - BASF S/A 30/11/2023 LQ 445,01 445,01"
"Pago título: 2230005125 2337 - CERAMICA CARMELO FIO 30/11/2023 LQ 885,99 885,99"
"Pago título: 2230005131 2348 - RAUL FERREIRA LEITE 30/11/2023 LQ 634,33 634,33"
"Pago título: 2230005137 2359 - AGROPECUARIA TUIUTI 30/11/2023 LQ 4331,25 4331,25"
"Pago título: 2230005143 2361 - TECELAGEM JOLITEX LT 30/11/2023 LQ 2288,13 2288,13"
"Pago título: 2230005149 2362 - ASSOCIACAO  PROPRIET 30/11/2023 LQ 229,26 229,26"
"Pago título: 2230005161 2392 - NEW PARQUE TENIS 30/11/2023 LQ 321,07 321,07"
"Pago título: 2230005167 2407 - FERRASPARI S/A INDUS 30/11/2023 LQ 235,25 235,25"
"Pago título: 2230005173 2410 - COND CENTRO DE LOGIS 30/11/2023 LQ 1336,21 1336,21"
"Pago título: 2230005185 2457 - HYUNDAI MOTOR BRASIL 30/11/2023 LQ 1543,06 1543,06"
"Pago título: 2230005197 2464 - SPARTAN DO BRASIL PR 30/11/2023 LQ 684,59 684,59"
"Pago título: 2230005203 2469 - RICLAN S/A 30/11/2023 LQ 211,5 211,5"
"Pago título: 2230005209 2474 - DE MARCHI INDUSTRIA 30/11/2023 LQ 668,73 668,73"
"Pago título: 2230005215 2478 - ASSOC DOS PROPRIETAR 30/11/2023 LQ 528,62 528,62"
"Pago título: 2230005221 2497 - CARVALHEIRA INDUSTRI 30/11/2023 LQ 3286,38 3286,38"
"Pago título: 2230005227 2528 - MULTILOG BRASIL S.A. 30/11/2023 LQ 219,58 219,58"
"Pago título: 2230005257 2575 - LUBRASIL LUBRIFICANT 30/11/2023 LQ 298,99 298,99"
"Pago título: 2230005263 2583 - FRESENIUS MEDICAL CA 30/11/2023 LQ 1614,29 1614,29"
"Pago título: 2230005269 2590 - DIERBERGER OLEOS ESS 30/11/2023 LQ 555,04 555,04"
"Pago título: 2230005281 2653 - TANQUE MATERIAS PARA 30/11/2023 LQ 219,24 219,24"
"Pago título: 2230005305 2684 - ANTONIO SERGIO LEITE 30/11/2023 LQ 487,95 487,95"
"Pago título: 2230005311 2686 - BOM PEIXE INDUSTRIA 30/11/2023 LQ 226,77 226,77"
"Pago título: 2230005317 2687 - ROTOCROM INDUSTRIA E 30/11/2023 LQ 203,76 203,76"
"Pago título: 2230005341 2740 - EUCATEX INDUSTRIA E 30/11/2023 LQ 1406,44 1406,44"
"Pago título: 2230005347 2745 - CONDOMINIO DO SHOPPI 30/11/2023 LQ 380,85 380,85"
"Pago título: 2230005353 2747 - SINTO BRASIL PRODUTO 30/11/2023 LQ 1041,76 1041,76"
"Pago título: 2230005365 2750 - SERVICO AUTONOMO DE 30/11/2023 LQ 1664,01 1664,01"
"Pago título: 2230005377 2752 - PREFEITURA DO MUNICI 30/11/2023 LQ 950,85 950,85"
"Pago título: 2230005383 2773 - SOCIEDADE DE ARMAZEN 30/11/2023 LQ 470,18 470,18"
"Pago título: 2230005389 2776 - KARINA PISOS E REVES 30/11/2023 LQ 351,32 351,32"
"Pago título: 2230005407 2814 - REAL INDUSTRIA E COM 30/11/2023 LQ 339,32 339,32"
"Pago título: 2230005413 2861 - KORIN AGROPECUARIA L 30/11/2023 LQ 2407,52 2407,52"
"Pago título: 2230005419 2881 - SERVICO DE AGUA E ES 30/11/2023 LQ 243,97 243,97"
"Pago título: 2230005425 2889 - I & M PAPEIS E EMBAL 30/11/2023 LQ 617,93 617,93"
"Pago título: 2230005431 2897 - REQUIPH METALURGICA 30/11/2023 LQ 336,88 336,88"
"Pago título: 2230005461 2935 - CERAMICA ALMEIDA LTD 30/11/2023 LQ 219,58 219,58"
"Pago título: 2230005467 2943 - VTR VETOR EQUIPAMENT 30/11/2023 LQ 202,93 202,93"
"Pago título: 2230005473 2949 - INSTITUTO ADVENTISTA 30/11/2023 LQ 391,09 391,09"
"Pago título: 2230005479 2952 - EXTRACAO E COMERCIO 30/11/2023 LQ 593,92 593,92"
"Pago título: 2230005509 2981 - VIVA PISOS E REVESTI 30/11/2023 LQ 512,34 512,34"
"Pago título: 2230005515 2988 - K & G INDUSTRIA E CO 30/11/2023 LQ 268,63 268,63"
"Pago título: 2230005533 3032 - CONDOMINIO VILLAGE S 30/11/2023 LQ 717,28 717,28"
"Pago título: 2230005551 3059 - VIC 01 SBO EMPREENDI 30/11/2023 LQ 243,15 243,15"
"Pago título: 2230005569 3091 - KARCHER INDUSTRIA E 30/11/2023 LQ 302,03 302,03"
"Pago título: 2230005575 3094 - RENATO PASSARIN & FI 30/11/2023 LQ 243,97 243,97"
"Pago título: 2230005581 3097 - CISOL DO BRASIL EXPO 30/11/2023 LQ 268,98 268,98"
"Pago título: 2230005587 3107 - RUY R. DA ROCHA PROD 30/11/2023 LQ 292,77 292,77"
"Pago título: 2230005593 3111 - BRASWELL PAPEL E CEL 30/11/2023 LQ 1319,79 1319,79"
"Pago título: 2230005629 3163 - RESIDENCIAL FAZENDA 30/11/2023 LQ 473,62 473,62"
"Pago título: 2230005635 3170 - MAURICIO ROBERTO FOR 30/11/2023 LQ 243,97 243,97"
"Pago título: 2230005641 3196 - CEDASA INDUSTRIA E C 30/11/2023 LQ 951,49 951,49"
"Pago título: 2230005647 3212 - PEDREIRA NOGUEIRENSE 30/11/2023 LQ 243,97 243,97"
"Pago título: 2230005659 3221 - LIMEIRENSE FERTILIZA 30/11/2023 LQ 485,72 485,72"
"Pago título: 2230005671 3253 - COPASIL QUIMICA INDU 30/11/2023 LQ 517,02 517,02"
"Pago título: 2230005677 3262 - ASSOCIACAO DE AMIGOS 30/11/2023 LQ 750,09 750,09"
"Pago título: 2230005683 3271 - ASSOCIACAO DOS PROPR 30/11/2023 LQ 234,21 234,21"
"Pago título: 2230005689 3310 - ELDER COSTA RODRIGUE 30/11/2023 LQ 1083,71 1083,71"
"Pago título: 2230005719 3345 - SAO PAULO SECRETARIA 30/11/2023 LQ 909,99 909,99"
"Pago título: 2230005725 3352 - CP KELCO BRASIL S/A 30/11/2023 LQ 338,34 338,34"
"Pago título: 2230005731 3365 - MALIBER INDUSTRIA E 30/11/2023 LQ 555,63 555,63"
"Pago título: 2230005773 3384 - FRIGODELISS LTDA 30/11/2023 LQ 2735,94 2735,94"
"Pago título: 2230005785 3397 - PREFEITURA MUNICIPAL 30/11/2023 LQ 332,66 332,66"
"Pago título: 2230005797 3413 - TUIUTI ECO PARK EMPR 30/11/2023 LQ 603,33 603,33"
"Pago título: 2230005803 3423 - A. A. DE MELO & CIA 30/11/2023 LQ 240,52 240,52"
"Pago título: 2230005809 3439 - CSHG REAL ESTATE FUN 30/11/2023 LQ 439,15 439,15"
"Pago título: 2230005821 3449 - CERAMICA CARMELO FIO 30/11/2023 LQ 975,89 975,89"
"Pago título: 2230005827 3453 - CERAMICA SAVANE LTDA 30/11/2023 LQ 534,01 534,01"
"Pago título: 2230005839 3471 - ALTO DA COLINA VERDE 30/11/2023 LQ 337,17 337,17"
"Pago título: 2230005851 3480 - MEDI HOUSE IND E COM 30/11/2023 LQ 388,09 388,09"
"Pago título: 2230005857 3491 - H2ORA DISTRIBUIDORA 30/11/2023 LQ 1232,15 1232,15"
"Pago título: 2230005863 3514 - CERAMICA GRESCA G3 L 30/11/2023 LQ 351,32 351,32"
"Pago título: 2230005875 3535 - JOFEGE FIACAO E TECE 30/11/2023 LQ 1778,71 1778,71"
"Pago título: 2230005887 3547 - NEO RODAS S.A. 30/11/2023 LQ 224,46 224,46"
"Pago título: 2230005893 3590 - AGUA DO CAMPO TRANSP 30/11/2023 LQ 1370,36 1370,36"
"Pago título: 2230005911 3600 - RENAN SOUZA SPINA ME 30/11/2023 LQ 231,73 231,73"
"Pago título: 2230005923 3616 - CONCREMIX S/A 30/11/2023 LQ 230,44 230,44"
"Pago título: 2230005929 3622 - CONDOMINIO CAPELA DO 30/11/2023 LQ 977,8 977,8"
"Pago título: 2230005959 3662 - ASSOCIACAO RESIDENCI 30/11/2023 LQ 822,19 822,19"
"Pago título: 2230005965 3666 - RAUL FERREIRA LEITE 30/11/2023 LQ 561,14 561,14"
"Pago título: 2230005971 3670 - TRANS KOTHE TRANSPOR 30/11/2023 LQ 200,3 200,3"
"Pago título: 2230005977 3673 - PLATLOG IMPORTACAO, 30/11/2023 LQ 2254,75 2254,75"
"Pago título: 2230005983 3679 - CMR INDUSTRIA E COME 30/11/2023 LQ 343,79 343,79"
"Pago título: 2230005989 3683 - NOVAPORCELANATO INDU 30/11/2023 LQ 1317,45 1317,45"
"Pago título: 2230006019 3720 - J.L. PAULO & CIA LTD 30/11/2023 LQ 295,84 295,84"
"Pago título: 2230006049 3851 - USINA GRANELLI LTDA. 30/11/2023 LQ 2124,89 2124,89"
"Pago título: 2230006055 3853 - MONTE COR PROTECAO D 30/11/2023 LQ 221,25 221,25"
"Pago título: 2230006061 3857 - CRS MINERACAO INDUST 30/11/2023 LQ 1329,49 1329,49"
"Pago título: 2230006133 4014 - ASSOC DOS PROPRIETAR 30/11/2023 LQ 878,3 878,3"
"Pago título: 2230006139 4059 - ATI GEL FRUTAS CONGE 30/11/2023 LQ 274,1 274,1"
"Pago título: 2230006145 4116 - TARTALIA EMPREENDIME 30/11/2023 LQ 634,33 634,33"
"Pago título: 2230006151 4129 - TERRAPLANAGEM PARAIZ 30/11/2023 LQ 397,43 397,43"
"Pago título: 2230006157 4132 - MRGM PARTICIPACOES E 30/11/2023 LQ 237,14 237,14"
"Pago título: 2230006187 4288 - PTM AGRICOLA E PARTI 30/11/2023 LQ 629,04 629,04"
"Pago título: 2230006193 4315 - AGE DO BRASIL INDUST 30/11/2023 LQ 234,21 234,21"
"Pago título: 2230006205 4356 - CONDOMINIO RESIDENCI 30/11/2023 LQ 292,77 292,77"
"Pago título: 2230006211 4358 - CONSTIC EMPREENDIMEN 30/11/2023 LQ 697,52 697,52"
"Pago título: 2230006217 4361 - RAUL FERREIRA LEITE 30/11/2023 LQ 536,74 536,74"
"Pago título: 2230006229 4477 - LAZARO FERNANDES PER 30/11/2023 LQ 207,88 207,88"
"Pago título: 2230006235 4479 - PERFORM PARTICIPACOE 30/11/2023 LQ 263,24 263,24"
"Pago título: 2230006241 4481 - CLARIPEL INDUSTRIA D 30/11/2023 LQ 1621,71 1621,71"
"Pago título: 2230006247 4485 - PARQUE DOS EUCALIPTO 30/11/2023 LQ 287,64 287,64"
"Pago título: 2230006259 4512 - INSTITUTO DE ENSINO 30/11/2023 LQ 243,97 243,97"
"Pago título: 2230006265 4519 - IVO ZARZUR ADMINISTR 30/11/2023 LQ 11083,45 11083,45"
"Pago título: 2230006271 4556 - ASSOCIACAO DE MELHOR 30/11/2023 LQ 496 496"
"Pago título: 2230006283 4584 - CONJUNTO RESIDENCIAL 30/11/2023 LQ 220,55 220,55"
"Pago título: 2230006289 4600 - ALMEIDA PISOS E REVE 30/11/2023 LQ 365,96 365,96"
"Pago título: 2230006337 4697 - MARFRIG GLOBAL FOODS 30/11/2023 LQ 592,16 592,16"
"Pago título: 2230006361 4779 - FUNDACAO CENTRO DE A 30/11/2023 LQ 501,12 501,12"
"Pago título: 2230006385 4827 - BOM PEIXE INDUSTRIA 30/11/2023 LQ 312,29 312,29"
"Pago título: 2230006391 4829 - CLUBE RECREATIVO SUM 30/11/2023 LQ 222,02 222,02"
"Pago título: 2230006403 4840 - CIALENE INDUSTRIA E 30/11/2023 LQ 219,58 219,58"
"Pago título: 2230006409 4862 - PSS DE CAMARGO SERVI 30/11/2023 LQ 585,53 585,53"
"Pago título: 2230006415 4869 - ASSOCIACAO DOS MORAD 30/11/2023 LQ 395,24 395,24"
"Pago título: 2230006433 4891 - LOTEAMENTO IMPERIAL 30/11/2023 LQ 975,89 975,89"
"Pago título: 2230006445 4916 - CLUBE ATLETICO VALIN 30/11/2023 LQ 288,01 288,01"
"Pago título: 2230006451 4938 - MOMBUCA BENEFICIADOR 30/11/2023 LQ 219,58 219,58"
"Pago título: 2230006481 5040 - CONDOMINIO GARNET 30/11/2023 LQ 585,53 585,53"
"Pago título: 2230006487 5050 - CIA DE SANEAMENTO BA 30/11/2023 LQ 6052,06 6052,06"
"Pago título: 2230006511 5161 - MISTER GELO IND. DE 30/11/2023 LQ 360,37 360,37"
"Pago título: 2230006547 5303 - ASSOCIACAO DOS MORAD 30/11/2023 LQ 263,49 263,49"
"Pago título: 2230006565 5323 - ERCA INDUSTRIA E COM 30/11/2023 LQ 397,94 397,94"
"Pago título: 2230006577 5355 - CIA DE SANEAMENTO BA 30/11/2023 LQ 9396,35 9396,35"
"Pago título: 2230006601 5409 - TATIANA CRISTINA DE 30/11/2023 LQ 262,88 262,88"
"Pago título: 2230006613 5416 - ZARAPLAST S.A 30/11/2023 LQ 795,36 795,36"
"Pago título: 2230006619 5418 - SAMUEL SAMPAIO TOCAL 30/11/2023 LQ 604,15 604,15"
"Pago título: 2230006631 5436 - ANSELMO AGUAS E TRAN 30/11/2023 LQ 243,97 243,97"
"Pago título: 2230006667 5486 - ASSOCIACAO DO BRAGAN 30/11/2023 LQ 225,9 225,9"
"Pago título: 2230006679 5491 - BREW CENTER CERVEJAS 30/11/2023 LQ 240,94 240,94"
"Pago título: 2230006685 5492 - BUONO GEL INDUSTRIA 30/11/2023 LQ 243,97 243,97"
"Pago título: 2230006733 5560 - WT NEGOCIOS IMOBILIA 30/11/2023 LQ 642,13 642,13"
"Pago título: 2230006739 5575 - FONTE GELO LTDA 30/11/2023 LQ 243,72 243,72"
"Pago título: 2230006745 5601 - ASSOCIACAO DOS PROPR 30/11/2023 LQ 2586,11 2586,11"
"Pago título: 2230006751 5606 - AROMA BIOENERGIA LTD 30/11/2023 LQ 281,36 281,36"
"Pago título: 2230006769 5622 - CLEUSA TERESINHA PIO 30/11/2023 LQ 223,53 223,53"
"Pago título: 2230006775 5628 - SAFRA INDUSTRIA E CO 30/11/2023 LQ 1268,66 1268,66"
"Pago título: 2230006781 5643 - MARCELO ALVES PEREIR 30/11/2023 LQ 285,45 285,45"
"Pago título: 2230006793 5652 - CONDOMINIO D. PEDRO 30/11/2023 LQ 439,15 439,15"
"Pago título: 2230006799 5654 - FUNDICAO REGALI BRAS 30/11/2023 LQ 639,62 639,62"
"Pago título: 2230006823 5803 - ASSOCIACAO DOS AMIGO 30/11/2023 LQ 365,96 365,96"
"Pago título: 2230006829 5805 - QUIBRITA MINERADORA 30/11/2023 LQ 350,92 350,92"
"Pago título: 2230006877 6366 - SOCIEDADE AGOSTINIAN 30/11/2023 LQ 336,99 336,99"
"Pago título: 2230006883 6490 - USINA IRB S.A. 30/11/2023 LQ 7219,82 7219,82"
"Pago título: 2230006895 6600 - TERRA AZUL MARKETING 30/11/2023 LQ 206,35 206,35"
"Pago título: 2230006919 6849 - ASSOCIACAO DOS MORAD 30/11/2023 LQ 707,52 707,52"
"Pago título: 2230006931 6918 - RAMOS & RIBEIRO EMPR 30/11/2023 LQ 342,54 342,54"
"Pago título: 2230006943 6966 - TONINPAR EMPREENDIME 30/11/2023 LQ 482,57 482,57"
"Pago título: 2230006949 6995 - SPAL INDUSTRIA BRASI 30/11/2023 LQ 583,58 583,58"
"Pago título: 2230006955 7002 - RAPIDO LUXO CAMPINAS 30/11/2023 LQ 292,77 292,77"
"Pago título: 2230006961 7027 - ETIQUETTA BRANCA IND 30/11/2023 LQ 255,33 255,33"
"Pago título: 2230006967 7129 - POUSADA CHALES DO TH 30/11/2023 LQ 487,95 487,95"
"Pago título: 2230006973 7159 - FLAVOUR MIX INDUSTRI 30/11/2023 LQ 481,12 481,12"
"Pago título: 2230006985 7213 - AGUAS DE MAIRIPORA L 30/11/2023 LQ 975,89 975,89"
"Pago título: 2230006991 7226 - ASSOCIACAO DE MORADO 30/11/2023 LQ 1228,4 1228,4"
"Pago título: 2230006997 7252 - CRJP LOTEAMENTOS SPE 30/11/2023 LQ 536,74 536,74"
"Pago título: 2230007021 7321 - COMPANHIA DE SANEAME 30/11/2023 LQ 995,41 995,41"
"Pago título: 2230007027 7322 - CAMARGO COMPANHIA DE 30/11/2023 LQ 390,36 390,36"
"Pago título: 2230007063 7351 - COMPANHIA DE SANEAME 30/11/2023 LQ 3205,79 3205,79"
"Pago título: 2230007069 7358 - FIVE12 2016 EMPREEND 30/11/2023 LQ 317,17 317,17"
"Pago título: 2230007075 7367 - CONDOMINIO RESIDENCI 30/11/2023 LQ 487,95 487,95"
"Pago título: 2230007081 7372 - MUNICIPIO DE RIO DAS 30/11/2023 LQ 988,72 988,72"
"Pago título: 2230007093 7379 - AGROPLANTAS FLORES L 30/11/2023 LQ 336,42 336,42"
"Pago título: 2230007105 7689 - WICKBOLD & NOSSO PAO 30/11/2023 LQ 986,59 986,59"
"Pago título: 2230007111 7704 - ASS DOS PROPRIETARIO 30/11/2023 LQ 381,34 381,34"
"Pago título: 2230007117 7707 - SORVETES JUNDIA INDU 30/11/2023 LQ 847,37 847,37"
"Pago título: 2230007129 7715 - CHT BRASIL QUIMICA L 30/11/2023 LQ 379,04 379,04"
"Pago título: 2230007195 7740 - ASSOC. DOS MORADORES 30/11/2023 LQ 248,3 248,3"
"Pago título: 2230007207 7744 - RHODIA BRASIL S.A. 30/11/2023 LQ 943,73 943,73"
"Pago título: 2230007213 7745 - AGUAS DE TUIUTI SPE 30/11/2023 LQ 5537,64 5537,64"
"Pago título: 9000007374 951 - SERVICO AUTONOMO DE A 30/11/2023 LQ 10000 10000"
"Pago título: 9000007440 1134 - MUNICIPIO DE SUMARE 30/11/2023 LQ 220417,23 220417,23"
"Pago título: 9000007553 7754 - MAT EQUIPAMENTOS PAR 30/11/2023 LQ 569,6 569,6"
"Pago título: 9000007573 1052 - DEPARTAMENTO DE AGUA 30/11/2023 LQ 66810,61 66810,61"
"Pago título: 9000007585 7759 - THIAGO RODRIGO ROCHI 30/11/2023 LQ 1712,02 1712,02"
"Pago título: 9000007592 826 - DEPARTAMENTO AUTONOMO 30/11/2023 LQ 50000 50000"
"Pago título: 9000007646 5040 - CONDOMINIO GARNET 30/11/2023 LQ 1424,26 1424,26"
"Pago título: 9000007746 2032 - SEW - EURODRIVE BRAS 30/11/2023 LQ 801,64 801,64"
"Pago título: 9000007747 4405 - ROYAL PALM OPERADORA 30/11/2023 LQ 821,07 821,07"
"Pago título: 9000007755 353 - CONJUNTO RESIDENCIAL 30/11/2023 LQ 671,45 671,45"
"Pago título: 9000007758 7358 - FIVE12 2016 EMPREEND 30/11/2023 LQ 999,96 999,96"
"Pago título: 9000007760 4500 - ALSCO TOALHEIRO BRAS 30/11/2023 LQ 691,99 691,99"
"Pago título: 9000007762 2380 - ANTONIO BARBUTTI ME 30/11/2023 LQ 355,34 355,34"
"Pago título: 9000007765 5409 - TATIANA CRISTINA DE 30/11/2023 LQ 828,79 828,79"
"Pago título: 9000007781 7769 - ASSUNCAO EMPREENDIME 30/11/2023 LQ 543,07 543,07"
"Pago título: 9000007784 2089 - POSTO TROPICOS LTDA 30/11/2023 LQ 618,42 618,42"
"Pago título: 9000007785 3044 - ACAO EDUCACIONAL CLA 30/11/2023 LQ 803,91 803,91"
"Pago título: 9000007789 4653 - MUNICIPIO DE HOLAMBR 30/11/2023 LQ 6349,7 6349,7"
"Pago título: 9000007793 5436 - ANSELMO AGUAS E TRAN 30/11/2023 LQ 1020,54 1020,54"
"Pago título: 9000007795 7331 - KOLIBRI ADMINISTRACA 30/11/2023 LQ 505,04 505,04"
"Pago título: 9000007796 1024 - RAIZEN ENERGIA S/A 30/11/2023 LQ 32087,23 32087,23"
"Pago título: 9000007797 301 - CRIA SIM PRODUTOS DE 30/11/2023 LQ 998 998"
"Pago título: 9000007799 4132 - MRGM PARTICIPACOES E 30/11/2023 LQ 991,98 991,98"
"Pago título: 9000007804 3461 - CONFECCOES CAPRICHO 30/11/2023 LQ 1045,67 1045,67"
"Pago título: 9000007810 3177 - CONCREVIP CONCRETARI 30/11/2023 LQ 756,64 756,64"
"Pago título: 9000007811 3072 - BAKELS BRASIL INGRED 30/11/2023 LQ 655,09 655,09"
"Pago título: 9000007813 3547 - NEO RODAS S.A. 30/11/2023 LQ 938,88 938,88"
"Pago título: 9000007815 4845 - BARDUCHI BARDUCHI LT 30/11/2023 LQ 504,94 504,94"
"Pago título: 9000007816 6520 - FERREIRA DE FARIAS P 30/11/2023 LQ 466,11 466,11"
"Pago título: 9000007817 1417 - DR. OETKER BRASIL LT 30/11/2023 LQ 1024,6 1024,6"
"Pago título: 9000007818 1417 - DR. OETKER BRASIL LT 30/11/2023 LQ 244,95 244,95"
"Pago título: 9000007824 3653 - EMPRESA BRASILEIRA D 30/11/2023 LQ 830,51 830,51"
"Pago título: 9000007825 94 - SERVICO SOCIAL DA INDU 30/11/2023 LQ 475,96 475,96"
"Pago título: 9000007828 7370 - GRECO e GUERREIRO LT 30/11/2023 LQ 464,22 464,22"
"Pago título: 9000007833 7092 - VF 11 PALMAS DO PAIO 30/11/2023 LQ 845,77 845,77"
"Pago título: 9000007834 424 - MANN HUMMEL BRASIL LT 30/11/2023 LQ 633,36 633,36"
