"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72452623107202325548.ret"
""
"Cadastrado título novo: 9000007535 3579 - ADM ARMAZENS GERAIS 07/08/2023 RG 196,79 0"
"Pago título: 2230000597 3339 - ASSOCIACAO DE MELHOR 31/07/2023 LQ 4670,92 4670,92"
"Pago título: 2230000600 3361 - PESQUEIRO SANTO AGOS 31/07/2023 LQ 158,74 158,74"
"Pago título: 2230000601 3363 - RETIFICA ITATIBA LTD 31/07/2023 LQ 152,51 152,51"
"Pago título: 2230000606 3381 - SUBCOND. SHOPPING CE 31/07/2023 LQ 1448,94 1448,94"
"Pago título: 2230000607 3395 - SIND DOS TRABALHADOR 31/07/2023 LQ 292,77 292,77"
"Pago título: 2230000608 3399 - EDENA MARIA PECHIO S 31/07/2023 LQ 1083,04 1083,04"
"Pago título: 2230000610 3405 - VICMA CONSTRUCOES E 31/07/2023 LQ 383,46 383,46"
"Pago título: 2230000611 3409 - GEMINI IMPORTACAO E 31/07/2023 LQ 585,53 585,53"
"Pago título: 2230000620 3450 - ADIVALDO DIAS FURTAD 31/07/2023 LQ 140,21 140,21"
"Pago título: 2230000627 3478 - MAHEI HOTEIS E TURIS 31/07/2023 LQ 149,36 149,36"
"Pago título: 2230000628 3486 - ASSOCIACAO DOS PROP 31/07/2023 LQ 286,62 286,62"
"Pago título: 2230000630 3488 - STEFANINI MOTORS VEI 31/07/2023 LQ 145,89 145,89"
"Pago título: 2230000633 3497 - RUBENS CASCALDI FILH 31/07/2023 LQ 267,91 267,91"
"Pago título: 2230000638 3539 - A. R. SACARIAS EIREL 31/07/2023 LQ 356,21 356,21"
"Pago título: 2230000639 3542 - PAGUE MENOS COM DE P 31/07/2023 LQ 217,7 217,7"
"Pago título: 2230000642 3557 - SUPERMERCADOS CAVICC 31/07/2023 LQ 393,39 393,39"
"Pago título: 2230000644 3568 - FACCHINI S.A. 31/07/2023 LQ 170,44 170,44"
"Pago título: 2230000645 3573 - ESCOLA ASSOCIATIVA W 31/07/2023 LQ 318,26 318,26"
"Pago título: 2230000646 3574 - FUNDACAO VISCONDE DE 31/07/2023 LQ 691,57 691,57"
"Pago título: 2230000649 3595 - MOTEL ALPINO - ME 31/07/2023 LQ 263,49 263,49"
"Pago título: 2230000654 3613 - TREVO EMPREENDIMENTO 31/07/2023 LQ 169,4 169,4"
"Pago título: 2230000656 3624 - CONDOMINIO RESIDENCI 31/07/2023 LQ 234,21 234,21"
"Pago título: 2230000658 3630 - ABDELNOR II COMERCIO 31/07/2023 LQ 136,71 136,71"
"Pago título: 2230000662 3646 - MAGAZINE LUIZA S.A. 31/07/2023 LQ 1146,18 1146,18"
"Pago título: 2230000663 3648 - HOTEL ESTANCIA SANTA 31/07/2023 LQ 248,45 248,45"
"Pago título: 2230000666 3655 - ALPHAFER CONSTRUCOES 31/07/2023 LQ 303,19 303,19"
"Pago título: 2230000669 3665 - EXTRAMIX CONCRETO LT 31/07/2023 LQ 375,38 375,38"
"Pago título: 2230000670 3674 - ASSOCIACAO BENEFICEN 31/07/2023 LQ 155,18 155,18"
"Pago título: 2230000676 3702 - LUIZZI INDUSTRIA E C 31/07/2023 LQ 215,92 215,92"
"Pago título: 2230000682 3724 - PREFEITURA MUNICIPAL 31/07/2023 LQ 70,91 70,91"
"Pago título: 2230000683 3727 - INDUSTRIA DE BEBIDAS 31/07/2023 LQ 141,29 141,29"
"Pago título: 2230000686 3740 - FAREVA DESENV, FAB E 31/07/2023 LQ 280,73 280,73"
"Pago título: 2230000687 3741 - ARMANDO RAUCCI 31/07/2023 LQ 234,21 234,21"
"Pago título: 2230000690 3751 - MACARRONADA ITALIANA 31/07/2023 LQ 341,99 341,99"
"Pago título: 2230000695 3768 - VIMASTER INDUSTRIA E 31/07/2023 LQ 385,35 385,35"
"Pago título: 2230000696 3769 - CONDOMINIO RESIDENCI 31/07/2023 LQ 1094,15 1094,15"
"Pago título: 2230000709 3821 - FITESA NAO TECIDOS S 31/07/2023 LQ 329,36 329,36"
"Pago título: 2230000715 3849 - GOOD BOM SUPERMERCAD 31/07/2023 LQ 236,69 236,69"
"Pago título: 2230000716 3852 - MARPI EMPREENDIMENTO 31/07/2023 LQ 1616,77 1616,77"
"Pago título: 2230000717 3859 - FORESTO E FLORIAM CO 31/07/2023 LQ 393,99 393,99"
"Pago título: 2230000725 3896 - MAGGI COMERCIO DE CA 31/07/2023 LQ 218,82 218,82"
"Pago título: 2230000726 3900 - F & F LAVANDERIA LTD 31/07/2023 LQ 189,03 189,03"
"Pago título: 2230000731 3913 - ENSINO INFANTIL E FU 31/07/2023 LQ 215,61 215,61"
"Pago título: 2230000732 3914 - ANDRETA MOTORS LTDA. 31/07/2023 LQ 182,61 182,61"
"Pago título: 2230000735 3925 - RK EMPREENDIMENTOS I 31/07/2023 LQ 396,4 396,4"
"Pago título: 2230000737 3940 - RECUPERACAO E COMERC 31/07/2023 LQ 120,84 120,84"
"Pago título: 2230000739 3944 - VULKAN DO BRASIL LTD 31/07/2023 LQ 191,92 191,92"
"Pago título: 2230000741 3956 - COMERCIAL LIBERATO L 31/07/2023 LQ 101,89 101,89"
"Pago título: 2230000742 3970 - PAGUE MENOS COMERCIO 31/07/2023 LQ 175,72 175,72"
"Pago título: 2230000744 3979 - NASH - SERVICOS E CO 31/07/2023 LQ 263,49 263,49"
"Pago título: 2230000746 3988 - COMOTEC INDUSTRIA E 31/07/2023 LQ 216,07 216,07"
"Pago título: 2230000753 4039 - BRASCABOS COMPONENTE 31/07/2023 LQ 324,58 324,58"
"Pago título: 2230000756 4050 - JAGUAR INDUSTRIA E C 31/07/2023 LQ 518,18 518,18"
"Pago título: 2230000759 4057 - TEXTIL JAVANEZA LTDA 31/07/2023 LQ 210,94 210,94"
"Pago título: 2230000761 4063 - FLAMENGO FUTEBOL CLU 31/07/2023 LQ 392,75 392,75"
"Pago título: 2230000776 4175 - INBRASC - INDUSTRIA 31/07/2023 LQ 208,21 208,21"
"Pago título: 2230000782 4257 - TOPFORM INDUSTRIA PL 31/07/2023 LQ 292,77 292,77"
"Pago título: 2230000787 4326 - CATARINA MARA DE PAU 31/07/2023 LQ 145,89 145,89"
"Pago título: 2230000790 4343 - SUMERBOL SUPERMERCAD 31/07/2023 LQ 368,81 368,81"
"Pago título: 2230000792 4382 - NACIONAL TUBOS INDUS 31/07/2023 LQ 292,77 292,77"
"Pago título: 2230000794 4399 - TAUSTE SUPERMERCADOS 31/07/2023 LQ 421,14 421,14"
"Pago título: 2230000795 4400 - SUPERMERCADOS CAVICC 31/07/2023 LQ 177,52 177,52"
"Pago título: 2230000797 4403 - SAUVET INDUSTRIA FAR 31/07/2023 LQ 152,14 152,14"
"Pago título: 2230000800 4443 - CONDOMINIO CENTRO LO 31/07/2023 LQ 313,8 313,8"
"Pago título: 2230000804 4468 - FARO SAO THOME HOTEL 31/07/2023 LQ 332,63 332,63"
"Pago título: 2230000810 4502 - ASSOCIACAO EDUCACION 31/07/2023 LQ 119,18 119,18"
"Pago título: 2230000811 4503 - ASSOCIACAO IRMAS DA 31/07/2023 LQ 176,11 176,11"
"Pago título: 2230000813 4505 - CENTRO NACIONAL DE P 31/07/2023 LQ 6733,63 6733,63"
"Pago título: 2230000816 4526 - ATRIO HOTEIS S/A 31/07/2023 LQ 150,04 150,04"
"Pago título: 2230000817 4571 - SMARTECH EMPREENDIME 31/07/2023 LQ 345,7 345,7"
"Pago título: 2230000820 4612 - PAGUE MENOS COMERCIO 31/07/2023 LQ 439,14 439,14"
"Pago título: 2230000821 4613 - PAGUE MENOS COMERCIO 31/07/2023 LQ 615,87 615,87"
"Pago título: 2230000831 4745 - PAGUE MENOS COMERCIO 31/07/2023 LQ 189,36 189,36"
"Pago título: 2230000833 4764 - ASSOCIACAO DOS PROPR 31/07/2023 LQ 1463,83 1463,83"
"Pago título: 2230000834 4769 - PAGUE MENOS COMERCIO 31/07/2023 LQ 351,32 351,32"
"Pago título: 2230000838 4810 - ULMA PACKAGING LTDA 31/07/2023 LQ 339,76 339,76"
"Pago título: 2230000842 4822 - AGROPECUARIA MONTSUL 31/07/2023 LQ 525,53 525,53"
"Pago título: 2230000849 4853 - TRIPAMA COMERCIO DE 31/07/2023 LQ 292,77 292,77"
"Pago título: 2230000852 4885 - PAGUE MENOS COMERCIO 31/07/2023 LQ 439,14 439,14"
"Pago título: 2230000855 4915 - CLUBE FONTE SAO PAUL 31/07/2023 LQ 292,77 292,77"
"Pago título: 2230000856 4952 - SANDMIX MINERACAO LT 31/07/2023 LQ 232,74 232,74"
"Pago título: 2230000857 4962 - BORDEAUX TEXTIL - EI 31/07/2023 LQ 519,76 519,76"
"Pago título: 2230000858 4982 - GERALDO FRANCISCO BI 31/07/2023 LQ 146,38 146,38"
"Pago título: 2230000859 5007 - ARRICO AGRONEGOCIOS 31/07/2023 LQ 326,93 326,93"
"Pago título: 2230000867 5163 - MUNICIPIO DE HOLAMBR 31/07/2023 LQ 770,02 770,02"
"Pago título: 2230000868 5184 - AUTO POSTO PAVAO BON 31/07/2023 LQ 292,77 292,77"
"Pago título: 2230000869 5186 - SANTOS & SANTOS TRAN 31/07/2023 LQ 236,79 236,79"
"Pago título: 2230000874 5214 - NOVA PLAST IND E COM 31/07/2023 LQ 189,65 189,65"
"Pago título: 2230000876 5234 - VALICON SERVICOS PAR 31/07/2023 LQ 731,91 731,91"
"Pago título: 2230000877 5299 - DEOCLECIO BAGATINI 31/07/2023 LQ 468,43 468,43"
"Pago título: 2230000881 5333 - FIACAO FIDES LTDA. 31/07/2023 LQ 273,74 273,74"
"Pago título: 2230000882 5335 - J MENEZES TERRAPLENA 31/07/2023 LQ 156,08 156,08"
"Pago título: 2230000887 5398 - PAGUE MENOS COMERCIO 31/07/2023 LQ 223,82 223,82"
"Pago título: 2230000889 5405 - PAGUE MENOS COMERCIO 31/07/2023 LQ 226,27 226,27"
"Pago título: 2230000893 5423 - SOCIEDADE ESPORTIVA 31/07/2023 LQ 325,4 325,4"
"Pago título: 2230000894 5424 - SOLDI INCORPORADORA 31/07/2023 LQ 351,32 351,32"
"Pago título: 2230000896 5426 - SUPERMERCADOS CAVICC 31/07/2023 LQ 205,87 205,87"
"Pago título: 2230000897 5438 - ASSOCIACAO BENEFICIE 31/07/2023 LQ 223,82 223,82"
"Pago título: 2230000898 5444 - ASSOCIACAO HELVETIA 31/07/2023 LQ 585,53 585,53"
"Pago título: 2230000899 5445 - AUTO POSTO SALESCO L 31/07/2023 LQ 263,48 263,48"
"Pago título: 2230000915 5526 - PAGUE MENOS COMERCIO 31/07/2023 LQ 292,77 292,77"
"Pago título: 2230000920 5555 - ASSUNCAO EMPREENDIME 31/07/2023 LQ 319,85 319,85"
"Pago título: 2230000921 5556 - TUBERFIL INDUSTRIA E 31/07/2023 LQ 439,14 439,14"
"Pago título: 2230000924 5570 - SUPERMERCADO E RESTA 31/07/2023 LQ 195,67 195,67"
"Pago título: 2230000926 5578 - INDUSTRIAS MACHINA Z 31/07/2023 LQ 206,41 206,41"
"Pago título: 2230000927 5587 - KANIA INDUSTRIA E CO 31/07/2023 LQ 878,3 878,3"
"Pago título: 2230000934 5619 - BRIDGESTONE DO BRASI 31/07/2023 LQ 134,75 134,75"
"Pago título: 2230000935 5623 - CONDOMINIO DO SHOPPI 31/07/2023 LQ 529,53 529,53"
"Pago título: 2230000938 5632 - RODOVIARIO MORADA DO 31/07/2023 LQ 230,16 230,16"
"Pago título: 2230000939 5640 - LOLOPET ALIMENTOS NA 31/07/2023 LQ 322,89 322,89"
"Pago título: 2230000944 5849 - CREAM COLOR INDUSTRI 31/07/2023 LQ 215,51 215,51"
"Pago título: 2230000948 6144 - ANDREA CURY SHARP DE 31/07/2023 LQ 223,23 223,23"
"Pago título: 2230000953 6772 - JUAN JOSE DE LA FUEN 31/07/2023 LQ 35,14 35,14"
"Pago título: 2230000955 6876 - CONDOMINIO EDIFICIO 31/07/2023 LQ 219,49 219,49"
"Pago título: 2230000956 6889 - EXTRAMIX CONCRETO LT 31/07/2023 LQ 1580,94 1580,94"
"Pago título: 2230000957 6936 - ANHANGUERA COMERCIO 31/07/2023 LQ 193,4 193,4"
"Pago título: 2230000958 6947 - CASTELLA INDUSTRIA D 31/07/2023 LQ 312,82 312,82"
"Pago título: 2230000961 6962 - BRAVO ARMAZENS GERAI 31/07/2023 LQ 878,3 878,3"
"Pago título: 2230000972 7193 - GHG PARTICIPACOES LT 31/07/2023 LQ 365,96 365,96"
"Pago título: 2230000974 7297 - ROBERTO SUEHIRO YOKO 31/07/2023 LQ 190,59 190,59"
"Pago título: 2230000975 7302 - ASSOCIACAO  DOS PROP 31/07/2023 LQ 305,65 305,65"
"Pago título: 2230000976 7303 - BCAG BRASIL CHINA AR 31/07/2023 LQ 271,05 271,05"
"Pago título: 2230000983 7364 - GOODBOM SUPERMERCADO 31/07/2023 LQ 254,03 254,03"
"Pago título: 2230000990 7648 - MARCOS MONTANARO 31/07/2023 LQ 1024,68 1024,68"
"Pago título: 2230000995 7716 - EXTRAMIX CONCRETO LT 31/07/2023 LQ 1155,51 1155,51"
"Pago título: 2230000997 7726 - EXTRAMIX CONCRETO LT 31/07/2023 LQ 656,92 656,92"
"Pago título: 2230001001 7750 - CAPITAL MIX CONCRETO 31/07/2023 LQ 182,72 182,72"
"Pago título: 2230001016 264 - ENXUTO SUPERMERCADOS 31/07/2023 LQ 219,12 219,12"
"Pago título: 2230001018 266 - ESCOLA AMERICANA DE C 31/07/2023 LQ 211,75 211,75"
"Pago título: 2230001024 285 - CAPIVARI CLUBE 31/07/2023 LQ 291,87 291,87"
"Pago título: 2230001034 380 - CLUBE ATLETICO PIRACI 31/07/2023 LQ 219,57 219,57"
"Pago título: 2230001038 418 - RESIDENCIAL ALTO DOS 31/07/2023 LQ 246,46 246,46"
"Pago título: 2230001042 569 - ALCAR ABRASIVOS LTDA 31/07/2023 LQ 295,57 295,57"
"Pago título: 2230001044 574 - SINTER FUTURA LTDA 31/07/2023 LQ 275,84 275,84"
"Pago título: 2230001046 584 - INSTITUTO SECULAR IRM 31/07/2023 LQ 262,77 262,77"
"Pago título: 2230001048 635 - EUGENIO JOSE GALLI 31/07/2023 LQ 210,26 210,26"
"Pago título: 2230001050 734 - GUSTAVO ADOLFO BAETA 31/07/2023 LQ 202,19 202,19"
"Pago título: 2230001056 834 - BURIGOTTO S/A INDUSTR 31/07/2023 LQ 244,66 244,66"
"Pago título: 2230001058 840 - UNIFRAX BRASIL LTDA 31/07/2023 LQ 219,87 219,87"
"Pago título: 2230001064 1008 - CONDOMINIO RESIDENCI 31/07/2023 LQ 212,4 212,4"
"Pago título: 2230001066 1032 - CLUBE RECREATIVO FLO 31/07/2023 LQ 259,1 259,1"
"Pago título: 2230001070 1042 -  CENTRAL DE SERVICOS 31/07/2023 LQ 232,07 232,07"
"Pago título: 2230001074 1056 - BELENUS DO BRASIL LT 31/07/2023 LQ 256,17 256,17"
"Pago título: 2230001078 1124 - TAKATA BRASIL S/A 31/07/2023 LQ 262,57 262,57"
"Pago título: 2230001080 1135 - BRASMIX ENGENHARIA D 31/07/2023 LQ 240,87 240,87"
"Pago título: 2230001082 1152 - JESUS TITO DA SILVA 31/07/2023 LQ 207,11 207,11"
"Pago título: 2230001086 1185 - MINERADORA BARBARENS 31/07/2023 LQ 204,93 204,93"
"Pago título: 2230001088 1187 - FLORIDIANA TENIS CLU 31/07/2023 LQ 257,5 257,5"
"Pago título: 2230001090 1205 - LAR DOS VELHINHOS DE 31/07/2023 LQ 233,34 233,34"
"Pago título: 2230001094 1229 - ALBANO EMBALAGENS ES 31/07/2023 LQ 254,12 254,12"
"Pago título: 2230001096 1233 - GVS DO BRASIL LTDA 31/07/2023 LQ 220,19 220,19"
"Pago título: 2230001098 1336 - NAHSA COMERCIO DE MA 31/07/2023 LQ 241,5 241,5"
"Pago título: 2230001100 1340 - INDUSTRIA DE BEBIDAS 31/07/2023 LQ 213,33 213,33"
"Pago título: 2230001102 1476 - INNARA INDUSTRIA NAC 31/07/2023 LQ 297,82 297,82"
"Pago título: 2230001110 1585 - HORTEL HOTELARIA LTD 31/07/2023 LQ 226,6 226,6"
"Pago título: 2230001114 1604 - ASSOC ATLETICA PONTE 31/07/2023 LQ 202,8 202,8"
"Pago título: 2230001116 1605 - RONALDO MOISES 31/07/2023 LQ 219,57 219,57"
"Pago título: 2230001118 1623 - AUTO POSTO GIGIO LTD 31/07/2023 LQ 212,25 212,25"
"Pago título: 2230001122 1699 - JRPH RESORT HOTEL PR 31/07/2023 LQ 285,44 285,44"
"Pago título: 2230001126 1706 - SUPERMERCADOS CAVICC 31/07/2023 LQ 234,2 234,2"
"Pago título: 2230001130 1744 - INDUSTRIAS MARRUCCI 31/07/2023 LQ 271,77 271,77"
"Pago título: 2230001134 1856 - FERNANDO NAJI NAHAS 31/07/2023 LQ 296,5 296,5"
"Pago título: 2230001136 1860 - LEAL ROSA INDUSTRIA 31/07/2023 LQ 251,58 251,58"
"Pago título: 2230001138 1863 - TEXTIL ELIANA LTDA 31/07/2023 LQ 285,95 285,95"
"Pago título: 2230001140 1868 - FORMIGAO COMERCIO DE 31/07/2023 LQ 263,49 263,49"
"Pago título: 2230001142 1878 - SUPERMERCADOS CAVICC 31/07/2023 LQ 261,89 261,89"
"Pago título: 2230001148 1990 - PEDREIRA FAZENDA VEL 31/07/2023 LQ 259,88 259,88"
"Pago título: 2230001152 1998 - AUTO POSTO MORRO AZU 31/07/2023 LQ 248,85 248,85"
"Pago título: 2230001154 2004 - TECNO OIL INDUSTRIA 31/07/2023 LQ 262,76 262,76"
"Pago título: 2230001156 2026 - SERRA DO SOL EMPREEN 31/07/2023 LQ 292,76 292,76"
"Pago título: 2230001158 2042 - CATION INDUSTRIA E C 31/07/2023 LQ 200,66 200,66"
"Pago título: 2230001168 2117 - IPEL - ITIBANYL PROD 31/07/2023 LQ 212,98 212,98"
"Pago título: 2230001170 2119 - EDIFICIO CRUZEIRO DO 31/07/2023 LQ 222,8 222,8"
"Pago título: 2230001174 2186 - FRIGORIFICO BOM SABO 31/07/2023 LQ 227,39 227,39"
"Pago título: 2230001176 2204 - TAKEO OMORI 31/07/2023 LQ 250,31 250,31"
"Pago título: 2230001180 2257 - BALLAGRO AGRO TECNOL 31/07/2023 LQ 292,44 292,44"
"Pago título: 2230001186 2307 - AGROLINK IMPORTACAO 31/07/2023 LQ 293,35 293,35"
"Pago título: 2230001198 2449 - CONDOMINIO OSATO 31/07/2023 LQ 250,82 250,82"
"Pago título: 2230001202 2577 - ESPORTE CLUBE BARBAR 31/07/2023 LQ 237,75 237,75"
"Pago título: 2230001204 2579 - CLUBE DE REGATAS BAN 31/07/2023 LQ 247,25 247,25"
"Pago título: 2230001214 2739 - CRISTA INDUSTRIA E C 31/07/2023 LQ 218,36 218,36"
"Pago título: 2230001220 2801 - BRIGATTO INDUSTRIA D 31/07/2023 LQ 213,64 213,64"
"Pago título: 2230001222 2811 - ASSOCIACAO DOS PROPR 31/07/2023 LQ 228,28 228,28"
"Pago título: 2230001224 2816 - CENTRO SOCIAL HOLAND 31/07/2023 LQ 219,57 219,57"
"Pago título: 2230001228 2876 - PARTLINE PARTICIPACO 31/07/2023 LQ 235,32 235,32"
"Pago título: 2230001230 2914 - COSMOS INDUSTRIA E C 31/07/2023 LQ 268,97 268,97"
"Pago título: 2230001232 2930 - JOSE TADEU COLETI E 31/07/2023 LQ 237,09 237,09"
"Pago título: 2230001234 2938 - FRIBAL FRIGORIFICO B 31/07/2023 LQ 254,7 254,7"
"Pago título: 2230001236 2948 - ASSOCIACAO RESIDENCI 31/07/2023 LQ 292,76 292,76"
"Pago título: 2230001238 3049 - FRICOCK FRIGORIFICAC 31/07/2023 LQ 258,6 258,6"
"Pago título: 2230001240 3057 - NICOLETTI INDUSTRIA 31/07/2023 LQ 211,99 211,99"
"Pago título: 2230001244 3072 - BAKELS BRASIL INGRED 31/07/2023 LQ 272,5 272,5"
"Pago título: 2230001246 3101 - DS2 ENGENHARIA E COM 31/07/2023 LQ 204,74 204,74"
"Pago título: 2230001248 3102 - HOTEIS SANTA ROSA LT 31/07/2023 LQ 230,06 230,06"
"Pago título: 2230001254 3157 - ASSOCIACAO EVANGELIC 31/07/2023 LQ 222,22 222,22"
"Pago título: 2230001256 3185 - NELSON KOITI TIDA 31/07/2023 LQ 226,89 226,89"
"Pago título: 2230001264 3301 - COMERCIAL ANDRETA DE 31/07/2023 LQ 289,98 289,98"
"Pago título: 2230001276 3356 - PQA QUIMICA LTDA 31/07/2023 LQ 233,11 233,11"
"Pago título: 2230001278 3417 - CONDOMINIO RESIDENCI 31/07/2023 LQ 229,77 229,77"
"Pago título: 2230001280 3477 - OLINTO RODRIGUES DE 31/07/2023 LQ 292,76 292,76"
"Pago título: 2230001282 3484 - CLUBE RECREATIVO SAO 31/07/2023 LQ 292,76 292,76"
"Pago título: 2230001284 3494 - MANCHESTER QUIMICA D 31/07/2023 LQ 232,75 232,75"
"Pago título: 2230001286 3498 - RELAX MOTEL LTDA 31/07/2023 LQ 274,62 274,62"
"Pago título: 2230001290 3530 - VIDRADOS BS INDUSTRI 31/07/2023 LQ 237,68 237,68"
"Pago título: 2230001294 3545 - TEXTIL CARUARU LTDA. 31/07/2023 LQ 214,54 214,54"
"Pago título: 2230001298 3593 - T.H.R. INDUSTRIA E C 31/07/2023 LQ 263,49 263,49"
"Pago título: 2230001304 3640 - MAISON DE VILLE MOTE 31/07/2023 LQ 241,53 241,53"
"Pago título: 2230001306 3651 - CT AGROINDUSTRIA E C 31/07/2023 LQ 256,65 256,65"
"Pago título: 2230001308 3688 - ASSOC DOS PROPRIETAR 31/07/2023 LQ 266,41 266,41"
"Pago título: 2230001322 3776 - INDUSTRIA TEXTIL NOS 31/07/2023 LQ 278,74 278,74"
"Pago título: 2230001324 3802 - TRANSPORTADORA DE AG 31/07/2023 LQ 241,53 241,53"
"Pago título: 2230001328 3841 - CONSOLINE VEICULOS L 31/07/2023 LQ 263,49 263,49"
"Pago título: 2230001340 3981 - O.S. DISTRIBUIDORA D 31/07/2023 LQ 240,63 240,63"
"Pago título: 2230001344 4043 - CONDOMINIO ALTOS DO 31/07/2023 LQ 288,2 288,2"
"Pago título: 2230001348 4076 - ASSOCIACAODOS PROPRI 31/07/2023 LQ 247,02 247,02"
"Pago título: 2230001350 4134 - CONDOMINIO RESIDENCI 31/07/2023 LQ 260,47 260,47"
"Pago título: 2230001354 4217 - ASSOC DOS PROPRIETAR 31/07/2023 LQ 292,76 292,76"
"Pago título: 2230001356 4279 - BOREALIS BRASIL S.A. 31/07/2023 LQ 219,57 219,57"
"Pago título: 2230001358 4291 - LAR DOS VELHOS FLAMI 31/07/2023 LQ 255,55 255,55"
"Pago título: 2230001360 4350 - ASSOCIACAO DOS CONDO 31/07/2023 LQ 207,11 207,11"
"Pago título: 2230001364 4430 - INDUSTRIA E COMERCIO 31/07/2023 LQ 219,57 219,57"
"Pago título: 2230001372 4491 - NELSON ZUFFO 31/07/2023 LQ 292,76 292,76"
"Pago título: 2230001374 4536 - CONDOMINIO RESIDENCI 31/07/2023 LQ 259,89 259,89"
"Pago título: 2230001380 4642 - VINICOLA SALTON S/A 31/07/2023 LQ 228,97 228,97"
"Pago título: 2230001382 4689 - RIBEIRA EMPREENDIMEN 31/07/2023 LQ 219,57 219,57"
"Pago título: 2230001384 4690 - RODONAVES TRANSPORTE 31/07/2023 LQ 292,76 292,76"
"Pago título: 2230001386 4696 - NEWSUL S/A EMBALAGEN 31/07/2023 LQ 292,76 292,76"
"Pago título: 2230001394 4796 - CASA DOS MENORES DE 31/07/2023 LQ 215,18 215,18"
"Pago título: 2230001398 4846 - CONDOMINIO RESIDENCI 31/07/2023 LQ 292,76 292,76"
"Pago título: 2230001400 4873 - CONDOMINIO RESIDENCI 31/07/2023 LQ 248,85 248,85"
"Pago título: 2230001402 4961 - INDUSTRIA BRAIDO LTD 31/07/2023 LQ 219,57 219,57"
"Pago título: 2230001408 5019 - ASSOC DOS PROPRIETAR 31/07/2023 LQ 292,76 292,76"
"Pago título: 2230001420 5456 - EMPREENDIMENTO HOTEL 31/07/2023 LQ 219,57 219,57"
"Pago título: 2230001422 5488 - ASSOCIACAO DOS PROPR 31/07/2023 LQ 219,57 219,57"
"Pago título: 2230001426 5498 - CONDOMINIO A MONTANH 31/07/2023 LQ 237,87 237,87"
"Pago título: 2230001428 5529 - CAMPINAS EDUCACAO AS 31/07/2023 LQ 275,4 275,4"
"Pago título: 2230001430 5540 - SUPERMERCADOS CAVICC 31/07/2023 LQ 224,13 224,13"
"Pago título: 2230001434 5563 - ANDRADE & LATORRE EM 31/07/2023 LQ 219,57 219,57"
"Pago título: 2230001436 5571 - FENIX AGRO-PECUS IND 31/07/2023 LQ 208,39 208,39"
"Pago título: 2230001442 5605 - ASSOCIACAO MORADORES 31/07/2023 LQ 278,13 278,13"
"Pago título: 2230001446 5627 - SANCETUR - SANTA CEC 31/07/2023 LQ 272,49 272,49"
"Pago título: 2230001450 5636 - QUIBRITA MINERADORA 31/07/2023 LQ 276,97 276,97"
"Pago título: 2230001452 5648 - MAX GEAR INDUSTRIA E 31/07/2023 LQ 292,76 292,76"
"Pago título: 2230001454 5665 - ASSOCIACAO DEMOCRATI 31/07/2023 LQ 292,76 292,76"
"Pago título: 2230001462 6738 - VIDA NOVA ATIBAIA I 31/07/2023 LQ 219,57 219,57"
"Pago título: 2230001466 6875 - FUNDACAO CENTRO DE A 31/07/2023 LQ 212,77 212,77"
"Pago título: 2230001470 6994 - ESPORTE CLUBE PRIMAV 31/07/2023 LQ 281,05 281,05"
"Pago título: 2230001472 7017 - PRIMEIRA IGREJA PRES 31/07/2023 LQ 206,34 206,34"
"Pago título: 2230001480 7299 - UNIQUE GARDEN EMPREE 31/07/2023 LQ 219,57 219,57"
"Pago título: 2230001496 7719 - GL FOODS WORLDWIDE L 31/07/2023 LQ 292,76 292,76"
"Pago título: 2230001498 7737 - HIPERMIX BRASIL SP S 31/07/2023 LQ 256,46 256,46"
"Pago título: 2230001500 7743 - BELENUS DO BRASIL SA 31/07/2023 LQ 219,16 219,16"
"Pago título: 2230001520 275 - TEXTIL CARVALHO E FIL 31/07/2023 LQ 211,67 211,67"
"Pago título: 2230001526 384 - PRO-METAL BENEFICIAME 31/07/2023 LQ 200,17 200,17"
"Pago título: 2230001538 464 - NESTLE BRASIL LTDA 31/07/2023 LQ 231,47 231,47"
"Pago título: 2230001547 561 - JULIMAR LAVANDERIA LT 31/07/2023 LQ 234,62 234,62"
"Pago título: 2230001562 914 - IC TRANSPORTES LTDA 31/07/2023 LQ 231,62 231,62"
"Pago título: 2230001568 990 - ASTRA S/A INDUSTRIA E 31/07/2023 LQ 256,94 256,94"
"Pago título: 2230001571 1014 - MINERACAO DIBASE PED 31/07/2023 LQ 228,2 228,2"
"Pago título: 2230001580 1198 - ZUCOLLORS INDUSTRIA 31/07/2023 LQ 205,37 205,37"
"Pago título: 2230001583 1206 - NACIONAL GAS BUTANO 31/07/2023 LQ 235,23 235,23"
"Pago título: 2230001589 1317 - SUPERMERCADO TAQUARA 31/07/2023 LQ 210,17 210,17"
"Pago título: 2230001592 1482 - OLIVEIRA & OLIVEIRA 31/07/2023 LQ 240,3 240,3"
"Pago título: 2230001598 1554 - TRANSPORTADORA CONTA 31/07/2023 LQ 214,55 214,55"
"Pago título: 2230001604 1580 - ENGRATECH TECNOLOGIA 31/07/2023 LQ 219,57 219,57"
"Pago título: 2230001610 1718 - HOTELARIA BRASIL LTD 31/07/2023 LQ 243,15 243,15"
"Pago título: 2230001613 1763 - ASSOC DOS PROP DO LO 31/07/2023 LQ 243,97 243,97"
