"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72458203110202421250.ret"
""
"Cadastrado título novo: 9000008352 4280 - YARA BRASIL FERTILIZ 29/11/2024 RG 685,39 0"
"Cadastrado título novo: 9000008353 497 - ALCOOL FERREIRA S/A 29/11/2024 RG 1090,17 0"
"Cadastrado título novo: 9000008354 3857 - CRS MINERACAO INDUST 29/11/2024 RG 2074,99 0"
"Pago título: 2400002663 7834 - N.L.P.S.P.E. EMPREEN 31/10/2024 LQ 2074,25 2074,25"
"Pago título: 2400002667 1001 - CIA SANEAMENTO BASIC 31/10/2024 LQ 2063,86 2063,86"
"Pago título: 2400002691 203 - TINTURARIA E ESTAMPAR 31/10/2024 LQ 2014,57 2014,57"
"Pago título: 2400002695 970 - SERVICO AUTONOMO DE A 31/10/2024 LQ 2005,45 2005,45"
"Pago título: 2400002699 1143 - CASTELO ALIMENTOS S/ 31/10/2024 LQ 2004,58 2004,58"
"Pago título: 2400002703 3857 - CRS MINERACAO INDUST 31/10/2024 LQ 1994,23 1994,23"
"Pago título: 2400002707 3111 - BRASWELL PAPEL E CEL 31/10/2024 LQ 1979,69 1979,69"
"Pago título: 2400002723 5628 - SAFRA INDUSTRIA E CO 31/10/2024 LQ 1902,98 1902,98"
"Pago título: 2400002735 7226 - ASSOCIACAO DE MORADO 31/10/2024 LQ 1842,6 1842,6"
"Pago título: 2400002747 1145 - JOBEMA DISTRIBUIDORA 31/10/2024 LQ 1828,18 1828,18"
"Pago título: 2400002751 1567 - RPR CAPTACAO E TRANS 31/10/2024 LQ 1825,33 1825,33"
"Pago título: 2400002759 1004 - BRANYL COMERCIO E IN 31/10/2024 LQ 1799,34 1799,34"
"Pago título: 2400002763 892 - A. AZEVEDO INDUSTRIA 31/10/2024 LQ 1792,02 1792,02"
"Pago título: 2400002767 888 - INCOPISOS INDUSTRIA E 31/10/2024 LQ 1776,33 1776,33"
"Pago título: 2400002779 421 - MARTINREA HONSEL BRAS 31/10/2024 LQ 1734,67 1734,67"
"Pago título: 2400002787 281 - BIO SPRINGER DO BRASI 31/10/2024 LQ 1704,61 1704,61"
"Pago título: 2400002791 1120 - MOTOROLA MOBILITY CO 31/10/2024 LQ 1690,73 1690,73"
"Pago título: 2400002811 480 - PAPIRUS INDUSTRIA DE 31/10/2024 LQ 1631,34 1631,34"
"Pago título: 2400002819 7809 - FONTE CIDADE AZUL DE 31/10/2024 LQ 1628,22 1628,22"
"Pago título: 2400002823 3310 - ELDER COSTA RODRIGUE 31/10/2024 LQ 1625,56 1625,56"
"Pago título: 2400002831 2170 - ISOTERM INDUSTRIA E 31/10/2024 LQ 1623,13 1623,13"
"Pago título: 2400002835 191 - COOPERATIVA NOVA ESPE 31/10/2024 LQ 1621,77 1621,77"
"Pago título: 2400002839 312 - FIACAO ALPINA LTDA 31/10/2024 LQ 1592,79 1592,79"
"Pago título: 2400002847 2747 - SINTO BRASIL PRODUTO 31/10/2024 LQ 1562,64 1562,64"
"Pago título: 2400002855 939 - LEF PISOS E REVESTIME 31/10/2024 LQ 1539,91 1539,91"
"Pago título: 2400002871 7321 - COMPANHIA DE SANEAME 31/10/2024 LQ 1493,11 1493,11"
"Pago título: 2400002875 946 - HOTEL CAMPING ESTANCI 31/10/2024 LQ 1493,11 1493,11"
"Pago título: 2400002879 461 - J.R.M. - PARTICIPACOE 31/10/2024 LQ 1491,72 1491,72"
"Pago título: 2400002883 1429 - ASSOCIACAO ADMINISTR 31/10/2024 LQ 1485,79 1485,79"
"Pago título: 2400002887 1592 - MICROSAL INDUSTRIA E 31/10/2024 LQ 1485,06 1485,06"
"Pago título: 2400002895 7689 - WICKBOLD & NOSSO PAO 31/10/2024 LQ 1479,88 1479,88"
"Pago título: 2400002907 3449 - CERAMICA CARMELO FIO 31/10/2024 LQ 1463,84 1463,84"
"Pago título: 2400002919 4891 - LOTEAMENTO IMPERIAL 31/10/2024 LQ 1463,83 1463,83"
"Pago título: 2400002947 2752 - PREFEITURA DO MUNICI 31/10/2024 LQ 1426,28 1426,28"
"Pago título: 2400002951 1423 - TASA TINTURARIA AMER 31/10/2024 LQ 1402,72 1402,72"
"Pago título: 2400002955 909 - FLEX PARQUE EMPRESARI 31/10/2024 LQ 1401,63 1401,63"
"Pago título: 2400002959 1103 - ASSOCIACAO FAZENDA C 31/10/2024 LQ 1394,3 1394,3"
"Pago título: 2400002963 7798 - LIRIO DOS VALES EMPR 31/10/2024 LQ 1390,2 1390,2"
"Pago título: 2400002967 981 - PIRACAIA IND E COM EX 31/10/2024 LQ 1371,95 1371,95"
"Pago título: 2400002971 2337 - CERAMICA CARMELO FIO 31/10/2024 LQ 1328,98 1328,98"
"Pago título: 2400002995 2910 - CHACARAS LONG ISLAND 31/10/2024 LQ 1315,71 1315,71"
"Pago título: 2400002999 2175 - INDUSTRIA E COMERCIO 31/10/2024 LQ 1314,39 1314,39"
"Pago título: 2400003015 1193 - TEXTIL CANATIBA LTDA 31/10/2024 LQ 1303,83 1303,83"
"Pago título: 2400003019 223 - VIVA PISOS E REVESTIM 31/10/2024 LQ 1294,03 1294,03"
"Pago título: 2400003031 503 - FLAMBOIA ALIMENTOS LT 31/10/2024 LQ 1283,43 1283,43"
"Pago título: 2400003047 7707 - SORVETES JUNDIA INDU 31/10/2024 LQ 1271,05 1271,05"
"Pago título: 2400003063 7841 - COND CIVIL VOLUNTARI 31/10/2024 LQ 1251,31 1251,31"
"Pago título: 2400003075 7838 - BLUE STONE BRASIL LT 31/10/2024 LQ 1240,14 1240,14"
"Pago título: 2400003079 3662 - ASSOCIACAO RESIDENCI 31/10/2024 LQ 1233,28 1233,28"
"Pago título: 2400003103 5416 - ZARAPLAST S.A 31/10/2024 LQ 1193,04 1193,04"
"Pago título: 2400003107 411 - IOCHPE-MAXION S/A 31/10/2024 LQ 1188,94 1188,94"
"Pago título: 2400003119 2284 - AGUA VIDA TRANSPORTE 31/10/2024 LQ 1171,07 1171,07"
"Pago título: 2400003127 7880 - RR DISTRIBUIDORA DE 31/10/2024 LQ 1169,46 1169,46"
"Pago título: 2400003143 4786 - SEARA ALIMENTOS LTDA 31/10/2024 LQ 1134,47 1134,47"
"Pago título: 2400003147 455 - TBK MINERACAO LTDA 31/10/2024 LQ 1132,28 1132,28"
"Pago título: 2400003163 2139 - INDUSTRIAS ROMI S/A 31/10/2024 LQ 1123,26 1123,26"
"Pago título: 2400003175 2331 - STONE BUILDING INDUS 31/10/2024 LQ 1118,65 1118,65"
"Pago título: 2400003179 3345 - SAO PAULO SECRETARIA 31/10/2024 LQ 1114,03 1114,03"
"Pago título: 2400003187 356 - ESTANCIA ARVORE DA VI 31/10/2024 LQ 1110,27 1110,27"
"Pago título: 2400003191 25 - EXTRACAO E COMERCIO DE 31/10/2024 LQ 1106,51 1106,51"
"Pago título: 2400003207 5168 - NEWPOP INDUSTRIA QUI 31/10/2024 LQ 1097,88 1097,88"
"Pago título: 2400003219 1123 - CIA SANEAMENTO BASIC 31/10/2024 LQ 1087,85 1087,85"
"Pago título: 2400003223 1139 - HOPI HARI S/A 31/10/2024 LQ 1081,34 1081,34"
"Pago título: 2400003239 1846 - COMPANHIA NACIONAL D 31/10/2024 LQ 1070,89 1070,89"
"Pago título: 2400003255 7126 - ASSOCIACAO DOS PROPR 31/10/2024 LQ 1053,96 1053,96"
"Pago título: 2400003259 497 - ALCOOL FERREIRA S/A 31/10/2024 LQ 1047,75 1047,75"
"Pago título: 2400003275 2655 - JOAO CARLOS LEME RIB 31/10/2024 LQ 1030,72 1030,72"
"Pago título: 2400003283 2464 - SPARTAN DO BRASIL PR 31/10/2024 LQ 1026,89 1026,89"
"Pago título: 2400003295 2474 - DE MARCHI INDUSTRIA 31/10/2024 LQ 1003,09 1003,09"
"Pago título: 2400003315 5560 - WT NEGOCIOS IMOBILIA 31/10/2024 LQ 963,2 963,2"
"Pago título: 2400003319 2748 - QUALITY BENEFICIADOR 31/10/2024 LQ 954,39 954,39"
"Pago título: 2400003323 2348 - RAUL FERREIRA LEITE 31/10/2024 LQ 951,49 951,49"
"Pago título: 2400003327 4116 - TARTALIA EMPREENDIME 31/10/2024 LQ 951,49 951,49"
"Pago título: 2400003335 4288 - PTM AGRICOLA E PARTI 31/10/2024 LQ 943,56 943,56"
"Pago título: 2400003339 2889 - I & M PAPEIS E EMBAL 31/10/2024 LQ 926,89 926,89"
"Pago título: 2400003343 432 - ASSOCIACAO PROPRIETAR 31/10/2024 LQ 916,91 916,91"
"Pago título: 2400003347 1689 - AJINOMOTO DO BRASIL 31/10/2024 LQ 914,92 914,92"
"Pago título: 2400003355 924 - CONDOMINIO CHACARAS M 31/10/2024 LQ 909,86 909,86"
"Pago título: 2400003359 142 - SOCIEDADE DE MELHORAM 31/10/2024 LQ 909,77 909,77"
"Pago título: 2400003363 5418 - SAMUEL SAMPAIO TOCAL 31/10/2024 LQ 906,23 906,23"
"Pago título: 2400003367 1274 - GUAINUMBY TEXTIL LTD 31/10/2024 LQ 905,69 905,69"
"Pago título: 2400003371 3413 - TUIUTI ECO PARK EMPR 31/10/2024 LQ 905 905"
"Pago título: 2400003375 24 - ASSOCIACAO DOS PROPRIE 31/10/2024 LQ 902,56 902,56"
"Pago título: 2400003379 2952 - EXTRACAO E COMERCIO 31/10/2024 LQ 890,87 890,87"
"Pago título: 2400003383 1154 - GREENBRIER MAXION EQ 31/10/2024 LQ 888,46 888,46"
"Pago título: 2400003387 4697 - MARFRIG GLOBAL FOODS 31/10/2024 LQ 888,23 888,23"
"Pago título: 2400003395 3637 - PICOLI & CARRARA COM 31/10/2024 LQ 878,3 878,3"
"Pago título: 2400003403 297 - CERAMICA CRISTOFOLETT 31/10/2024 LQ 878,3 878,3"
"Pago título: 2400003415 4862 - PSS DE CAMARGO SERVI 31/10/2024 LQ 878,3 878,3"
"Pago título: 2400003423 6995 - SPAL INDUSTRIA BRASI 31/10/2024 LQ 875,37 875,37"
"Pago título: 2400003427 72 - ANTENOR MAXIMIANO PART 31/10/2024 LQ 869,52 869,52"
"Pago título: 2400003431 163 - SABARA QUIMICOS E ING 31/10/2024 LQ 864,05 864,05"
"Pago título: 2400003439 3992 - HOTEL FAZENDA HARAS 31/10/2024 LQ 856,34 856,34"
"Pago título: 2400003451 3666 - RAUL FERREIRA LEITE 31/10/2024 LQ 841,7 841,7"
"Pago título: 2400003463 3365 - MALIBER INDUSTRIA E 31/10/2024 LQ 833,45 833,45"
"Pago título: 2400003467 2590 - DIERBERGER OLEOS ESS 31/10/2024 LQ 832,56 832,56"
"Pago título: 2400003475 4784 - ASSOCIACAO DOS PROPR 31/10/2024 LQ 823,41 823,41"
"Pago título: 2400003491 4361 - RAUL FERREIRA LEITE 31/10/2024 LQ 805,11 805,11"
"Pago título: 2400003515 211 - FERNANDEZ S.A. INDUST 31/10/2024 LQ 793,68 793,68"
"Pago título: 2400003527 4641 - DYNATECH INDUSTRIAS 31/10/2024 LQ 788,85 788,85"
"Pago título: 2400003539 3253 - COPASIL QUIMICA INDU 31/10/2024 LQ 775,53 775,53"
"Pago título: 2400003543 2981 - VIVA PISOS E REVESTI 31/10/2024 LQ 768,51 768,51"
"Pago título: 2400003551 1618 - NAZATO PIRACICABA TR 31/10/2024 LQ 765,51 765,51"
"Pago título: 2400003567 4779 - FUNDACAO CENTRO DE A 31/10/2024 LQ 751,68 751,68"
"Pago título: 2400003571 152 - SOCIEDADE AMIGOS DO R 31/10/2024 LQ 750,22 750,22"
"Pago título: 2400003587 1692 - LALLEMAND SOLUCOES B 31/10/2024 LQ 732,97 732,97"
"Pago título: 2400003603 2684 - ANTONIO SERGIO LEITE 31/10/2024 LQ 731,92 731,92"
"Pago título: 2400003623 4197 - ASSOCIACAO DOS PROPR 31/10/2024 LQ 731,92 731,92"
"Pago título: 2400003627 2113 - ASSOCIACAO DOS PROPR 31/10/2024 LQ 731,08 731,08"
"Pago título: 2400003655 6966 - TONINPAR EMPREENDIME 31/10/2024 LQ 723,85 723,85"
"Pago título: 2400003659 7159 - FLAVOUR MIX INDUSTRI 31/10/2024 LQ 721,68 721,68"
"Pago título: 2400003667 2083 - HANIER ESPECIALIDADE 31/10/2024 LQ 714,67 714,67"
"Pago título: 2400003671 1459 - CIA SANEAMENTO BASIC 31/10/2024 LQ 713,94 713,94"
"Pago título: 2400003675 3961 - INSTITUTO EDUCACIONA 31/10/2024 LQ 713,23 713,23"
"Pago título: 2400003679 4762 - MINERACAO ANGICO LTD 31/10/2024 LQ 712,87 712,87"
"Pago título: 2400003691 3221 - LIMEIRENSE FERTILIZA 31/10/2024 LQ 706,42 706,42"
"Pago título: 2400003695 2773 - SOCIEDADE DE ARMAZEN 31/10/2024 LQ 705,26 705,26"
"Pago título: 2400003703 3660 - SO AGUA COMERCIAL E 31/10/2024 LQ 702,64 702,64"
"Pago título: 2400003707 1456 - ASSOC DOS PROP DO LO 31/10/2024 LQ 695,32 695,32"
"Pago título: 2400003719 7878 - CINEXPAN IND. E COME 31/10/2024 LQ 681,29 681,29"
"Pago título: 2400003731 500 - BIGNARDI IND E COM DE 31/10/2024 LQ 675,2 675,2"
"Pago título: 2400003751 7854 - ARKEMA COATEX BRASIL 31/10/2024 LQ 666,66 666,66"
"Pago título: 2400003755 1813 - MAXLAV LAVANDERIA ES 31/10/2024 LQ 664,18 664,18"
"Pago título: 2400003767 265 - ADERE PRODUTOS AUTO-A 31/10/2024 LQ 660,75 660,75"
"Pago título: 2400003771 1477 - JETFIO INDUSTRIA TEX 31/10/2024 LQ 660,14 660,14"
"Pago título: 2400003779 5487 - ASSOC DOS PROPR DE L 31/10/2024 LQ 658,73 658,73"
"Pago título: 2400003787 426 - RUY R. DA ROCHA PRODU 31/10/2024 LQ 658,73 658,73"
"Pago título: 2400003795 1243 - ASSOCIACAO PROPRIETA 31/10/2024 LQ 658,73 658,73"
"Pago título: 2400003811 917 - BMB BELGO MINEIRA BEK 31/10/2024 LQ 654,29 654,29"
"Pago título: 2400003819 2665 - ASSOC DOS PROPRIET D 31/10/2024 LQ 646,57 646,57"
"Pago título: 2400003851 1082 - LENA & CIA LTDA 31/10/2024 LQ 638,15 638,15"
"Pago título: 2400003883 2172 - FARMINA PET FOODS BR 31/10/2024 LQ 624,18 624,18"
"Pago título: 2400003887 1591 - TQA INDUSTRIA E COME 31/10/2024 LQ 622,13 622,13"
"Pago título: 2400003907 182 - UNIPEL INDUSTRIA E CO 31/10/2024 LQ 605,41 605,41"
"Pago título: 2400003931 4869 - ASSOCIACAO DOS MORAD 31/10/2024 LQ 592,85 592,85"
"Pago título: 2400003959 2949 - INSTITUTO ADVENTISTA 31/10/2024 LQ 586,64 586,64"
"Pago título: 2400003963 985 - CONDOMINIO FAZENDA DU 31/10/2024 LQ 586,36 586,36"
"Pago título: 2400003971 1289 - ASGA S/A 31/10/2024 LQ 585,53 585,53"
"Pago título: 2400003979 7322 - CAMARGO COMPANHIA DE 31/10/2024 LQ 585,53 585,53"
"Pago título: 2400003999 3480 - MEDI HOUSE IND E COM 31/10/2024 LQ 582,14 582,14"
"Pago título: 2400004031 7704 - ASS DOS PROPRIETARIO 31/10/2024 LQ 572,01 572,01"
"Pago título: 2400004039 2745 - CONDOMINIO DO SHOPPI 31/10/2024 LQ 571,27 571,27"
"Pago título: 2400004043 3397 - PREFEITURA MUNICIPAL 31/10/2024 LQ 569,42 569,42"
"Pago título: 2400004047 7715 - CHT BRASIL QUIMICA L 31/10/2024 LQ 568,55 568,55"
"Pago título: 2400004051 965 - IGARATIBA INDUSTRIA E 31/10/2024 LQ 567,27 567,27"
"Pago título: 2400004059 2094 - ASSOCIACAO DE PROPRI 31/10/2024 LQ 565,56 565,56"
"Pago título: 2400004067 3323 - HORTOLANDIA INCORPOR 31/10/2024 LQ 564,75 564,75"
"Pago título: 2400004087 2074 - SALTORELLI TINTURARI 31/10/2024 LQ 559,91 559,91"
"Pago título: 2400004095 852 - ECOFABRIL INDUSTRIA E 31/10/2024 LQ 556,5 556,5"
"Pago título: 2400004099 1085 - YAKULT S/A INDUSTRIA 31/10/2024 LQ 554,06 554,06"
"Pago título: 2400004103 851 - KROMBERG & SCHUBERT D 31/10/2024 LQ 553,69 553,69"
"Pago título: 2400004119 7843 - CERAMICA ALMEIDA LTD 31/10/2024 LQ 548,94 548,94"
"Pago título: 2400004123 1144 - ASSOCIACAO PROPRIET. 31/10/2024 LQ 548,94 548,94"
"Pago título: 2400004135 5161 - MISTER GELO IND. DE 31/10/2024 LQ 540,55 540,55"
"Pago título: 2400004147 5654 - FUNDICAO REGALI BRAS 31/10/2024 LQ 539,32 539,32"
"Pago título: 2400004171 1313 - KIKKOMAN DO BRASIL I 31/10/2024 LQ 528,63 528,63"
"Pago título: 2400004183 2776 - KARINA PISOS E REVES 31/10/2024 LQ 526,98 526,98"
"Pago título: 2400004187 3514 - CERAMICA GRESCA G3 L 31/10/2024 LQ 526,98 526,98"
"Pago título: 2400004191 5805 - QUIBRITA MINERADORA 31/10/2024 LQ 526,38 526,38"
"Pago título: 2400004199 166 - BRF - BRASIL FOODS S/ 31/10/2024 LQ 519,22 519,22"
"Pago título: 2400004203 3679 - CMR INDUSTRIA E COME 31/10/2024 LQ 515,68 515,68"
"Pago título: 2400004207 1701 - TINTURARIA E ESTAMPA 31/10/2024 LQ 515,46 515,46"
"Pago título: 2400004235 1976 - SOL INVEST EMPREENDI 31/10/2024 LQ 509,52 509,52"
"Pago título: 2400004259 6366 - SOCIEDADE AGOSTINIAN 31/10/2024 LQ 505,48 505,48"
"Pago título: 2400004263 2897 - REQUIPH METALURGICA 31/10/2024 LQ 505,32 505,32"
"Pago título: 2400004271 7379 - AGROPLANTAS FLORES L 31/10/2024 LQ 504,63 504,63"
"Pago título: 2400004275 1830 - SUOMINEN BRASIL INDU 31/10/2024 LQ 500,28 500,28"
"Pago título: 2400004283 33 - CONDOMINIO SHOPPING CE 31/10/2024 LQ 494,27 494,27"
"Pago título: 2400004287 3 - CONDOMINIO RESIDENCIAL 31/10/2024 LQ 492,37 492,37"
"Pago título: 2400004291 1990 - PEDREIRA FAZENDA VEL 31/10/2024 LQ 490,31 490,31"
"Pago título: 2400004311 7877 - ASSOCIACAO PARQUE RE 31/10/2024 LQ 475,75 475,75"
"Pago título: 2400004315 4385 - MATEUS CAVALCANTI IZ 31/10/2024 LQ 475,75 475,75"
"Pago título: 2400004319 2962 - CONDOMINIO VITORIA D 31/10/2024 LQ 474,28 474,28"
"Pago título: 2400004331 4827 - BOM PEIXE INDUSTRIA 31/10/2024 LQ 468,43 468,43"
"Pago título: 2400004339 997 - CEDASA INDUSTRIA E CO 31/10/2024 LQ 461,11 461,11"
"Pago título: 2400004355 2575 - LUBRASIL LUBRIFICANT 31/10/2024 LQ 448,49 448,49"
"Pago título: 2400004359 1033 - CCS TECNOLOGIA E SER 31/10/2024 LQ 447,04 447,04"
"Pago título: 2400004367 3720 - J.L. PAULO & CIA LTD 31/10/2024 LQ 443,76 443,76"
"Pago título: 2400004387 3971 - VIEIRA E RODRIGUES T 31/10/2024 LQ 439,15 439,15"
"Pago título: 2400004395 112 - LUME CERAMICA LTDA 31/10/2024 LQ 439,15 439,15"
"Pago título: 2400004403 3107 - RUY R. DA ROCHA PROD 31/10/2024 LQ 439,15 439,15"
"Pago título: 2400004407 73 - NARDINI PISOS E REVEST 31/10/2024 LQ 439,15 439,15"
"Pago título: 2400004427 183 - TEXTIL BASSETO LTDA 31/10/2024 LQ 435,41 435,41"
"Pago título: 2400004443 4916 - CLUBE ATLETICO VALIN 31/10/2024 LQ 432,02 432,02"
"Pago título: 2400004447 4485 - PARQUE DOS EUCALIPTO 31/10/2024 LQ 431,47 431,47"
"Pago título: 2400004471 1609 - GRANITEC IND E COM D 31/10/2024 LQ 427,57 427,57"
"Pago título: 2400004479 855 - LOG & PRINT GRAFICA E 31/10/2024 LQ 425,24 425,24"
"Pago título: 2400004483 2293 - BRUNO NICOLETTI TECI 31/10/2024 LQ 424,58 424,58"
"Pago título: 2400004491 5606 - AROMA BIOENERGIA LTD 31/10/2024 LQ 422,04 422,04"
"Pago título: 2400004495 1885 - A PRESS TRANSPORTES 31/10/2024 LQ 421,58 421,58"
"Pago título: 2400004499 896 - PREFEITURA MUNICIPAL 31/10/2024 LQ 413,61 413,61"
"Pago título: 2400004503 4059 - ATI GEL FRUTAS CONGE 31/10/2024 LQ 411,15 411,15"
"Pago título: 2400004519 3097 - CISOL DO BRASIL EXPO 31/10/2024 LQ 403,47 403,47"
"Pago título: 2400004523 2988 - K & G INDUSTRIA E CO 31/10/2024 LQ 402,95 402,95"
"Pago título: 2400004527 604 - ASSOCIACAO RESIDENCIA 31/10/2024 LQ 402,55 402,55"
"Pago título: 2400004531 2168 - EMEPE INDUSTRIA GRAF 31/10/2024 LQ 402,55 402,55"
"Pago título: 2400004539 1137 - SICAD DO BRASIL FITA 31/10/2024 LQ 398,72 398,72"
"Pago título: 2400004547 5303 - ASSOCIACAO DOS MORAD 31/10/2024 LQ 395,24 395,24"
"Pago título: 2400004555 4479 - PERFORM PARTICIPACOE 31/10/2024 LQ 394,86 394,86"
"Pago título: 2400004559 5409 - TATIANA CRISTINA DE 31/10/2024 LQ 394,32 394,32"
"Pago título: 2400004571 202 - NOVA PLAST IND E COM 31/10/2024 LQ 393,12 393,12"
"Pago título: 2400004579 2196 - ASSOCIACAO CIVIL PAR 31/10/2024 LQ 390,64 390,64"
"Pago título: 2400004591 2140 - INDUSTRIAS ROMI S/A 31/10/2024 LQ 387,42 387,42"
"Pago título: 2400004603 1993 - CABLENA DO BRASIL LT 31/10/2024 LQ 385,01 385,01"
"Pago título: 2400004607 2082 - COLORFLEX ESTAMPARIA 31/10/2024 LQ 384,36 384,36"
"Pago título: 2400004611 7027 - ETIQUETTA BRANCA IND 31/10/2024 LQ 382,99 382,99"
"Pago título: 2400004615 1130 - BRASALIMENT INDUSTRI 31/10/2024 LQ 381,9 381,9"
"Pago título: 2400004627 1870 - MALIBER INDUSTRIA E 31/10/2024 LQ 373,28 373,28"
"Pago título: 2400004631 7740 - ASSOC. DOS MORADORES 31/10/2024 LQ 372,45 372,45"
"Pago título: 2400004639 7879 - TECTEXTIL EMBALAGENS 31/10/2024 LQ 372,11 372,11"
"Pago título: 2400004647 3328 - EXPRESSO CAMPIBUS LT 31/10/2024 LQ 367,79 367,79"
"Pago título: 2400004655 680 - JOSE EDUARDO ANNICCHI 31/10/2024 LQ 365,96 365,96"
"Pago título: 2400004663 3212 - PEDREIRA NOGUEIRENSE 31/10/2024 LQ 365,96 365,96"
"Pago título: 2400004671 2881 - SERVICO DE AGUA E ES 31/10/2024 LQ 365,96 365,96"
"Pago título: 2400004675 4512 - INSTITUTO DE ENSINO 31/10/2024 LQ 365,96 365,96"
"Pago título: 2400004687 5982 - ASSOCIACAO DOS MORAD 31/10/2024 LQ 365,96 365,96"
"Pago título: 2400004691 5492 - BUONO GEL INDUSTRIA 31/10/2024 LQ 365,96 365,96"
"Pago título: 2400004695 2028 - TERMOTECNICA LTDA 31/10/2024 LQ 365,96 365,96"
"Pago título: 2400004699 3094 - RENATO PASSARIN & FI 31/10/2024 LQ 365,95 365,95"
"Pago título: 2400004707 5575 - FONTE GELO LTDA 31/10/2024 LQ 365,57 365,57"
"Pago título: 2400004715 3059 - VIC 01 SBO EMPREENDI 31/10/2024 LQ 364,72 364,72"
"Pago título: 2400004727 5491 - BREW CENTER CERVEJAS 31/10/2024 LQ 361,41 361,41"
"Pago título: 2400004731 2047 - ITARARE TRANSPORTE D 31/10/2024 LQ 360,95 360,95"
"Pago título: 2400004735 3423 - A. A. DE MELO & CIA 31/10/2024 LQ 360,78 360,78"
"Pago título: 2400004759 1308 - INDUSTRIA DE BEBIDAS 31/10/2024 LQ 355,75 355,75"
"Pago título: 2400004763 4132 - MRGM PARTICIPACOES E 31/10/2024 LQ 355,71 355,71"
"Pago título: 2400004775 2407 - FERRASPARI S/A INDUS 31/10/2024 LQ 352,87 352,87"
"Pago título: 2400004779 4315 - AGE DO BRASIL INDUST 31/10/2024 LQ 351,32 351,32"
"Pago título: 2400004799 349 - SOBAM CENTRO MEDICO H 31/10/2024 LQ 351,02 351,02"
"Pago título: 2400004803 4135 - ALCEBIADES FERREIRA 31/10/2024 LQ 348,99 348,99"
"Pago título: 2400004807 391 - CONDOMINIO EDIFICIO E 31/10/2024 LQ 348,5 348,5"
"Pago título: 2400004819 1097 - TERRAR INDUSTRIA E C 31/10/2024 LQ 344,25 344,25"
"Pago título: 2400004823 2362 - ASSOCIACAO  PROPRIET 31/10/2024 LQ 343,89 343,89"
"Pago título: 2400004831 521 - SPG PRINTS BRASIL LTD 31/10/2024 LQ 342,16 342,16"
"Pago título: 2400004835 7765 - ASS MOR DO LOTEAMENT 31/10/2024 LQ 342,02 342,02"
"Pago título: 2400004839 474 - VINGI INDUSTRIA TEXTI 31/10/2024 LQ 341,95 341,95"
"Pago título: 2400004843 1050 - CIA SANEAMENTO BASIC 31/10/2024 LQ 341,01 341,01"
"Pago título: 2400004847 2686 - BOM PEIXE INDUSTRIA 31/10/2024 LQ 340,16 340,16"
"Pago título: 2400004855 495 - NEUMAYER TEKFOR AUTOM 31/10/2024 LQ 339,32 339,32"
"Pago título: 2400004859 959 - ASK PRODUTOS QUIMICOS 31/10/2024 LQ 339,13 339,13"
"Pago título: 2400004863 5486 - ASSOCIACAO DO BRAGAN 31/10/2024 LQ 338,85 338,85"
"Pago título: 2400004867 7881 - MAG SAC EMBALAGENS L 31/10/2024 LQ 338,84 338,84"
"Pago título: 2400004879 5622 - CLEUSA TERESINHA PIO 31/10/2024 LQ 335,29 335,29"
"Pago título: 2400004887 4829 - CLUBE RECREATIVO SUM 31/10/2024 LQ 333,02 333,02"
"Pago título: 2400004891 3853 - MONTE COR PROTECAO D 31/10/2024 LQ 331,87 331,87"
"Pago título: 2400004895 7799 - CELLIER ALIMENTOS DO 31/10/2024 LQ 331,63 331,63"
"Pago título: 2400004907 2935 - CERAMICA ALMEIDA LTD 31/10/2024 LQ 329,62 329,62"
"Pago título: 2400004915 2528 - MULTILOG BRASIL S.A. 31/10/2024 LQ 329,36 329,36"
"Pago título: 2400004943 2653 - TANQUE MATERIAS PARA 31/10/2024 LQ 328,85 328,85"
"Pago título: 2400004947 3529 - TECELAGEM JOLITEX LT 31/10/2024 LQ 328,38 328,38"
"Pago título: 2400004951 1415 - DPV PRODUTOS QUIMICO 31/10/2024 LQ 327,94 327,94"
"Pago título: 2400004959 760 - LETICIA APARECIDA MAR 31/10/2024 LQ 326,2 326,2"
"Pago título: 2400004971 4887 - RAIZEN ENERGIA S.A. 31/10/2024 LQ 323,51 323,51"
"Pago título: 2400004987 1323 - TEXTIL SUCCI LTDA-ME 31/10/2024 LQ 321,49 321,49"
"Pago título: 2400004991 7659 - LUIZ BASILIO REANI 31/10/2024 LQ 321,25 321,25"
"Pago título: 2400004999 7851 - HIPERMIX JUNDIAI SER 31/10/2024 LQ 320,61 320,61"
"Pago título: 2400005003 1276 - INDUSTRIA E COMERCIO 31/10/2024 LQ 320,18 320,18"
"Pago título: 2400005007 186 - OBER S/A INDUSTRIA E 31/10/2024 LQ 319,85 319,85"
"Pago título: 2400005019 2301 - DRYLLER INDUSTRIA E 31/10/2024 LQ 317,63 317,63"
"Pago título: 2400005031 1414 - CERVEJARIA ASHBY LTD 31/10/2024 LQ 315,05 315,05"
"Pago título: 2400005043 135 - CONDOMINIO RESIDENCIA 31/10/2024 LQ 313,98 313,98"
"Pago título: 2400005047 4477 - LAZARO FERNANDES PER 31/10/2024 LQ 311,82 311,82"
"Pago título: 2400005075 1437 - CONDOMINIO EDIFICIO 31/10/2024 LQ 305,79 305,79"
