"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442073004202112930.ret"
""
"Cadastrado título novo: 9000005985 2249 - ASSOCIACAO CONDOMINI 31/05/2021 RG 590,05 0"
"Cadastrado título novo: 9000005986 5426 - SUPERMERCADOS CAVICC 30/06/2021 RG 205,87 0"
"Pago título: 2115000306 6017 - ZANARDI EMPREENDIME 30/04/2021 LQ 234,22 234,22"
"Pago título: 2115000321 7218 - PROGEREN ARQUITETUR 30/04/2021 LQ 203,23 203,23"
"Pago título: 2116000001 5 - AMCOR RIGID PLASTICS D 30/04/2021 LQ 216,44 216,44"
"Pago título: 2116000019 135 - CONDOMINIO RESIDENCI 30/04/2021 LQ 209,31 209,31"
"Pago título: 2116000025 155 - AUTO POSTO AMIGAO DA 30/04/2021 LQ 205,17 205,17"
"Pago título: 2116000043 286 - T.F.T. TECIDOS E FIO 30/04/2021 LQ 201,11 201,11"
"Pago título: 2116000049 289 - INDUSTRIA CERAMICA F 30/04/2021 LQ 209,83 209,83"
"Pago título: 2116000055 391 - CONDOMINIO EDIFICIO 30/04/2021 LQ 232,35 232,35"
"Pago título: 2116000067 470 - CBC INDUSTRIAS PESAD 30/04/2021 LQ 229,68 229,68"
"Pago título: 2116000073 473 - TECELAGEM CHUAHY LTD 30/04/2021 LQ 213,05 213,05"
"Pago título: 2116000085 495 - NEUMAYER TEKFOR AUTO 30/04/2021 LQ 226,19 226,19"
"Pago título: 2116000097 561 - JULIMAR LAVANDERIA L 30/04/2021 LQ 221,75 221,75"
"Pago título: 2116000109 890 - LABORATORIO TAYUYNA 30/04/2021 LQ 207,52 207,52"
"Pago título: 2116000121 1097 - TERRAR INDUSTRIA E 30/04/2021 LQ 229,51 229,51"
"Pago título: 2116000133 1415 - DPV PRODUTOS QUIMIC 30/04/2021 LQ 218,61 218,61"
"Pago título: 2116000139 1430 - ASSOCIACAO DOS MORA 30/04/2021 LQ 209,79 209,79"
"Pago título: 2116000145 1437 - CONDOMINIO EDIFICIO 30/04/2021 LQ 203,87 203,87"
"Pago título: 2116000163 1558 - CONDOMINIO CHACARAS 30/04/2021 LQ 209,83 209,83"
"Pago título: 2116000181 1832 - LANMAR IND STRIA ME 30/04/2021 LQ 215,19 215,19"
"Pago título: 2116000187 1892 - INBRA INDUSTRIAS QU 30/04/2021 LQ 206,17 206,17"
"Pago título: 2116000193 2227 - COMSAPE EXTRA AO E 30/04/2021 LQ 214,04 214,04"
"Pago título: 2116000211 2389 - JOFEGE CONCRETO LTD 30/04/2021 LQ 218,67 218,67"
"Pago título: 2116000223 2469 - RICLAN S/A 30/04/2021 LQ 211,51 211,51"
"Pago título: 2116000229 2528 - MULTILOG BRASIL S.A 30/04/2021 LQ 219,55 219,55"
"Pago título: 2116000235 2553 - UNIGRES CERAMICA LT 30/04/2021 LQ 219,77 219,77"
"Pago título: 2116000241 2610 - HELIO DE ATHAYDE VA 30/04/2021 LQ 218,68 218,68"
"Pago título: 2116000247 2653 - TANQUE MATERIAS PAR 30/04/2021 LQ 219,21 219,21"
"Pago título: 2116000253 2686 - BOM PEIXE INDUSTRIA 30/04/2021 LQ 226,77 226,77"
"Pago título: 2116000259 2687 - ROTOCROM INDUSTRIA 30/04/2021 LQ 201,55 201,55"
"Pago título: 2116000265 2935 - CER MICA ALMEIDA LT 30/04/2021 LQ 219,55 219,55"
"Pago título: 2116000271 2943 - VTR VETOR EQUIPAMEN 30/04/2021 LQ 202,94 202,94"
"Pago título: 2116000289 3221 - LIMEIRENSE FERTILIZ 30/04/2021 LQ 230,74 230,74"
"Pago título: 2116000307 3305 - HMY DO BRASIL LTDA 30/04/2021 LQ 212,06 212,06"
"Pago título: 2116000319 3424 - ASSOCIA  O DOS PROP 30/04/2021 LQ 219,25 219,25"
"Pago título: 2116000325 3461 - CONFEC  ES CAPRICHO 30/04/2021 LQ 208 208"
"Pago título: 2116000337 3518 - SANTISTA WORK SOLUT 30/04/2021 LQ 214,17 214,17"
"Pago título: 2116000343 3547 - NEO RODAS S.A. 30/04/2021 LQ 224,43 224,43"
"Pago título: 2116000349 3594 - CPM CONCRETO DE PR 30/04/2021 LQ 218,05 218,05"
"Pago título: 2116000355 3616 - CONCREMIX S/A 30/04/2021 LQ 230,46 230,46"
"Pago título: 2116000361 3670 - TRANS KOTHE TRANSPO 30/04/2021 LQ 200,3 200,3"
"Pago título: 2116000367 3853 - MONTE COR PROTE  O 30/04/2021 LQ 221,23 221,23"
"Pago título: 2116000385 4016 - ITA - AREIA COM RCI 30/04/2021 LQ 219,59 219,59"
"Pago título: 2116000415 4584 - CONJUNTO RESIDENCIA 30/04/2021 LQ 220,56 220,56"
"Pago título: 2116000427 4829 - CLUBE RECREATIVO SU 30/04/2021 LQ 221,99 221,99"
"Pago título: 2116000433 4840 - CIALENE INDUSTRIA E 30/04/2021 LQ 219,55 219,55"
"Pago título: 2116000445 4938 - MOMBUCA BENEFICIADO 30/04/2021 LQ 219,55 219,55"
"Pago título: 2116000457 5575 - FONTE GELO LTDA 30/04/2021 LQ 220,53 220,53"
"Pago título: 2116000463 5608 - ASSOCIA  O DE MORAD 30/04/2021 LQ 202 202"
"Pago título: 2117000001 202 - NOVA PLAST IND E COM 30/04/2021 LQ 224,65 224,65"
"Pago título: 2117000022 604 - ASSOCIA  O RESIDENCI 30/04/2021 LQ 210,18 210,18"
"Pago título: 2117000050 875 - RICHARD KLINGER INDU 30/04/2021 LQ 200,91 200,91"
"Pago título: 2117000071 1113 - PPC SANTANA EQUIPAM 30/04/2021 LQ 205,19 205,19"
"Pago título: 2117000078 1130 - BRASALIMENT INDUSTR 30/04/2021 LQ 205,79 205,79"
"Pago título: 2117000085 1137 - SICAD DO BRASIL FIT 30/04/2021 LQ 227,82 227,82"
"Pago título: 2117000092 1308 - INDUSTRIA DE BEBIDA 30/04/2021 LQ 203,31 203,31"
"Pago título: 2117000106 1652 - RICLAN S/A 30/04/2021 LQ 212,83 212,83"
"Pago título: 2117000113 1870 - MALIBER INDUSTRIA E 30/04/2021 LQ 213,32 213,32"
"Pago título: 2117000134 2028 - TERMOTECNICA LTDA 30/04/2021 LQ 209,11 209,11"
"Pago título: 2117000155 2082 - COLORFLEX ESTAMPARI 30/04/2021 LQ 224,87 224,87"
"Pago título: 2117000176 2196 - ASSOCIA AO CIVIL PA 30/04/2021 LQ 223,22 223,22"
"Pago título: 2117000183 2229 - AUDAX QUIMICA IND E 30/04/2021 LQ 225,05 225,05"
"Pago título: 2117000190 2362 - ASSOCIA  O  PROPRIE 30/04/2021 LQ 221,73 221,73"
"Pago título: 2117000197 2407 - FERRASPARI S/A INDU 30/04/2021 LQ 201,63 201,63"
"Pago título: 2117000218 3059 - VIC 01 SBO EMPREEND 30/04/2021 LQ 208,41 208,41"
"Pago título: 2117000232 3212 - PEDREIRA NOGUEIRENS 30/04/2021 LQ 209,12 209,12"
"Pago título: 2117000239 3214 - S.ZANARDI EMPREENDI 30/04/2021 LQ 222,93 222,93"
"Pago título: 2117000288 3474 - ASSOCIA  O FILOS FI 30/04/2021 LQ 203,29 203,29"
"Pago título: 2117000295 3592 - CONDOMINIO LAGOS SH 30/04/2021 LQ 208,94 208,94"
"Pago título: 2117000330 4512 - INSTITUTO DE ENSINO 30/04/2021 LQ 209,11 209,11"
"Pago título: 2117000337 4615 - RAIZEN ENERGIA S.A. 30/04/2021 LQ 211,8 211,8"
"Pago título: 2117000351 4805 - VILLA DYNDA PARTICI 30/04/2021 LQ 220,84 220,84"
"Pago título: 2117000358 5303 - ASSOCIA  O DOS MORA 30/04/2021 LQ 225,84 225,84"
"Pago título: 2117000400 5491 - BREW CENTER CERVEJA 30/04/2021 LQ 206,76 206,76"
"Pago título: 2117000407 5492 - BUONO GEL INDUSTRIA 30/04/2021 LQ 209,11 209,11"
"Pago título: 2118000009 12 - AGUAJATO TRANSPORTES 30/04/2021 LQ 1908,18 1908,18"
"Pago título: 2118000025 22 - HONDA AUTOMOVEIS DO B 30/04/2021 LQ 1170,6 1170,6"
"Pago título: 2118000033 24 - ASSOCIACAO DOS PROPRI 30/04/2021 LQ 384,29 384,29"
"Pago título: 2118000041 25 - EXTRACAO E COMERCIO D 30/04/2021 LQ 553,27 553,27"
"Pago título: 2118000049 26 - CERAMICA FORMIGRES LT 30/04/2021 LQ 546,95 546,95"
"Pago título: 2118000065 33 - CONDOMINIO SHOPPING C 30/04/2021 LQ 247,11 247,11"
"Pago título: 2118000073 34 - CONDOMINIO BOUGAINVIL 30/04/2021 LQ 228,33 228,33"
"Pago título: 2118000105 52 - ASSOCIACAO DOS PROPRI 30/04/2021 LQ 586,92 586,92"
"Pago título: 2118000145 68 - ASSOCIACAO GREEN VILL 30/04/2021 LQ 257,2 257,2"
"Pago título: 2118000169 73 - NARDINI PISOS E REVES 30/04/2021 LQ 219,54 219,54"
"Pago título: 2118000185 85 - ASSOCIACAO PROPRIETAR 30/04/2021 LQ 355,2 355,2"
"Pago título: 2118000193 94 - SERVICO SOCIAL DA IND 30/04/2021 LQ 365,95 365,95"
"Pago título: 2118000201 96 - TAGMA BRASIL IND STRI 30/04/2021 LQ 530,62 530,62"
"Pago título: 2118000209 98 - SOCIEDADE RESIDENCIAL 30/04/2021 LQ 10917,48 10917,48"
"Pago título: 2118000217 111 - ASSOCIACAO MORADORES 30/04/2021 LQ 585,55 585,55"
"Pago título: 2118000225 112 - LUME CERAMICA LTDA 30/04/2021 LQ 270,8 270,8"
"Pago título: 2118000241 136 - M RCIA REGINA PEZZEN 30/04/2021 LQ 329,38 329,38"
"Pago título: 2118000249 142 - SOCIEDADE DE MELHORA 30/04/2021 LQ 454,85 454,85"
"Pago título: 2118000257 149 - GREEN GOLF CLUB 30/04/2021 LQ 222,96 222,96"
"Pago título: 2118000265 152 - SOCIEDADE AMIGOS DO 30/04/2021 LQ 393,38 393,38"
"Pago título: 2118000273 157 - CONDOMINIO TECH TOWN 30/04/2021 LQ 873,82 873,82"
"Pago título: 2118000305 182 - UNIPEL INDUSTRIA E C 30/04/2021 LQ 325,18 325,18"
"Pago título: 2118000321 184 - TECELAGEM JOLITEX LT 30/04/2021 LQ 1428,71 1428,71"
"Pago título: 2118000329 191 - COOPERATIVA NOVA ESP 30/04/2021 LQ 847,96 847,96"
"Pago título: 2118000345 203 - TINTURARIA E ESTAMPA 30/04/2021 LQ 1007,3 1007,3"
"Pago título: 2118000369 219 - SI GROUP CRIOS RESIN 30/04/2021 LQ 1763,14 1763,14"
"Pago título: 2118000377 223 - VIVA PISOS E REVESTI 30/04/2021 LQ 775,54 775,54"
"Pago título: 2118000385 225 - AMPARO ATLETICO CLUB 30/04/2021 LQ 643,11 643,11"
"Pago título: 2118000409 237 - IPLASA - INDUSTRIA E 30/04/2021 LQ 439,15 439,15"
"Pago título: 2118000425 244 - CONFIBRA INDUSTRIA E 30/04/2021 LQ 642,24 642,24"
"Pago título: 2118000433 246 - 3M DO BRASIL LTDA 30/04/2021 LQ 1763,2 1763,2"
"Pago título: 2118000449 257 - PASTIFICIO SELMI S/A 30/04/2021 LQ 1856,99 1856,99"
"Pago título: 2118000457 262 - IND STRIA CAMPINEIRA 30/04/2021 LQ 296,4 296,4"
"Pago título: 2118000465 265 - ADERE PRODUTOS AUTO- 30/04/2021 LQ 391,01 391,01"
"Pago título: 2118000473 281 - BIO SPRINGER DO BRAS 30/04/2021 LQ 852,27 852,27"
"Pago título: 2118000481 293 - OMAMORI INDUSTRIA DE 30/04/2021 LQ 304,31 304,31"
"Pago título: 2118000513 324 - DEDINI S/A INDUSTRIA 30/04/2021 LQ 643,95 643,95"
"Pago título: 2118000521 332 - CBR BRANDS IND STRIA 30/04/2021 LQ 3112,04 3112,04"
"Pago título: 2118000529 335 - ANTONIO BORIN SA IND 30/04/2021 LQ 404,32 404,32"
"Pago título: 2118000537 342 - IPE AGRO AVICOLA LTD 30/04/2021 LQ 388,43 388,43"
"Pago título: 2118000545 349 - SOBAM CENTRO MEDICO 30/04/2021 LQ 397,54 397,54"
"Pago título: 2118000561 357 - CONDOMINIO VILLE DE 30/04/2021 LQ 1443,17 1443,17"
"Pago título: 2118000569 358 - ASSOCIA  O AMIGOS MA 30/04/2021 LQ 1219,32 1219,32"
"Pago título: 2118000585 372 - ASSOCIACAO MORAD PRO 30/04/2021 LQ 1282,7 1282,7"
"Pago título: 2118000593 375 - CAPUAVA S/A INDUSTRI 30/04/2021 LQ 816,33 816,33"
"Pago título: 2118000601 383 - EATON LTDA 30/04/2021 LQ 992,55 992,55"
"Pago título: 2118000609 390 - TOYOBO DO BRASIL LTD 30/04/2021 LQ 631,23 631,23"
"Pago título: 2118000617 400 - FRICOCK FRIGORIFICAC 30/04/2021 LQ 955,45 955,45"
"Pago título: 2118000625 407 - COMERCIO E INDUSTRIA 30/04/2021 LQ 254,34 254,34"
"Pago título: 2118000641 417 - EMBRAMACO EMPRESA BR 30/04/2021 LQ 2751,84 2751,84"
"Pago título: 2118000657 426 - RUY R. DA ROCHA PROD 30/04/2021 LQ 329,38 329,38"
"Pago título: 2118000665 432 - ASSOCIACAO PROPRIETA 30/04/2021 LQ 458,48 458,48"
"Pago título: 2118000697 452 - WHIRLPOOL S/A 30/04/2021 LQ 1030,46 1030,46"
"Pago título: 2118000705 455 - TBK MINERA  O LTDA 30/04/2021 LQ 651,42 651,42"
"Pago título: 2118000713 461 - J.R.M. - PARTICIPACO 30/04/2021 LQ 745,85 745,85"
"Pago título: 2118000721 476 - CLUBE DE CAMPO VALIN 30/04/2021 LQ 1920,78 1920,78"
"Pago título: 2118000737 480 - PAPIRUS INDUSTRIA DE 30/04/2021 LQ 2663,71 2663,71"
"Pago título: 2118000745 482 - TAVARES PINHEIRO IND 30/04/2021 LQ 530,62 530,62"
"Pago título: 2118000761 490 - SAINT-GOBAIN DO BRAS 30/04/2021 LQ 1050,83 1050,83"
"Pago título: 2118000769 491 - CATERPILLAR BRASIL L 30/04/2021 LQ 501,2 501,2"
"Pago título: 2118000777 497 -  LCOOL FERREIRA S/A 30/04/2021 LQ 643,22 643,22"
"Pago título: 2118000785 499 - SPAL INDUSTRIA BRASI 30/04/2021 LQ 2917,25 2917,25"
"Pago título: 2118000793 500 - BIGNARDI IND E COM D 30/04/2021 LQ 5302,64 5302,64"
"Pago título: 2118000801 503 - FLAMBOI  ALIMENTOS L 30/04/2021 LQ 661,26 661,26"
"Pago título: 2118000809 505 - ASSOCIACAO AMIGOS DO 30/04/2021 LQ 1120,48 1120,48"
"Pago título: 2118000817 507 - TINTURARIA UNIVERSO 30/04/2021 LQ 1622,11 1622,11"
"Pago título: 2118000833 529 - OWENS CORNING FIBERG 30/04/2021 LQ 2940,27 2940,27"
"Pago título: 2118000849 545 - SOCIEDADE DE PROPRIE 30/04/2021 LQ 296,28 296,28"
"Pago título: 2118000873 585 - TEKA - TECELAGEM KUE 30/04/2021 LQ 1618,72 1618,72"
"Pago título: 2118000889 821 - PREFEITURA MUNICIPAL 30/04/2021 LQ 3917,5 3917,5"
"Pago título: 2118000905 824 - UNIVERSIDADE DE SAO 30/04/2021 LQ 947,85 947,85"
"Pago título: 2118000929 829 - SERVICO AUT NOMO DE 30/04/2021 LQ 9435,58 9435,58"
"Pago título: 2118000937 831 - DEPARTAMENTO DE  GUA 30/04/2021 LQ 31800,07 31800,07"
"Pago título: 2118000961 842 - REGIMAR COMERCIAL S/ 30/04/2021 LQ 1957,22 1957,22"
"Pago título: 2118000969 844 - COIM BRASIL LTDA 30/04/2021 LQ 417,81 417,81"
"Pago título: 2118000985 851 - KROMBERG & SCHUBERT 30/04/2021 LQ 276,87 276,87"
"Pago título: 2118000993 852 - ECOFABRIL INDUSTRIA 30/04/2021 LQ 278,23 278,23"
"Pago título: 2118001025 861 - HUDTELFA TEXTILE TEC 30/04/2021 LQ 672,05 672,05"
"Pago título: 2118001033 863 - SENPAR TERRAS DE S O 30/04/2021 LQ 892,7 892,7"
"Pago título: 2118001049 868 - PREFEITURA MUNICIPAL 30/04/2021 LQ 2470,91 2470,91"
"Pago título: 2118001057 878 - PREFEITURA MUNICIPAL 30/04/2021 LQ 4469,31 4469,31"
"Pago título: 2118001065 882 - SERVI O AUT NOMO DE 30/04/2021 LQ 117153,11 117153,11"
"Pago título: 2118001073 885 - CP KELCO BRASIL S/A 30/04/2021 LQ 6754,57 6754,57"
"Pago título: 2118001089 888 - INCOPISOS INDUSTRIA 30/04/2021 LQ 1154,63 1154,63"
"Pago título: 2118001097 891 - TIMAVO DO BRASIL S/A 30/04/2021 LQ 3125,58 3125,58"
"Pago título: 2118001105 892 - A. AZEVEDO INDUSTRIA 30/04/2021 LQ 484,17 484,17"
"Pago título: 2118001113 895 - FRIGORIFICO ANGELELL 30/04/2021 LQ 1559,68 1559,68"
"Pago título: 2118001121 896 - PREFEITURA MUNICIPAL 30/04/2021 LQ 2040,84 2040,84"
"Pago título: 2118001129 898 - SERVICO MUNICIPAL DE 30/04/2021 LQ 162334,72 162334,72"
"Pago título: 2118001137 901 - GALVANI INDUSTRIA CO 30/04/2021 LQ 8991,7 8991,7"
"Pago título: 2118001161 909 - FLEX PARQUE EMPRESAR 30/04/2021 LQ 700,78 700,78"
"Pago título: 2118001177 919 - COMPANHIA DE DESENVO 30/04/2021 LQ 32951,75 32951,75"
"Pago título: 2118001185 920 - ELEKEIROZ S/A 30/04/2021 LQ 8353,11 8353,11"
"Pago título: 2118001233 938 - MIRACEMA NUODEX INDU 30/04/2021 LQ 349,23 349,23"
"Pago título: 2118001241 939 - LEF PISOS E REVESTIM 30/04/2021 LQ 769,93 769,93"
"Pago título: 2118001257 941 - RAIZEN ENERGIA S/A 30/04/2021 LQ 16893,18 16893,18"
"Pago título: 2118001289 946 - HOTEL CAMPING ESTANC 30/04/2021 LQ 746,52 746,52"
"Pago título: 2118001297 948 - QUINTA DA BARONEZA G 30/04/2021 LQ 2911,57 2911,57"
"Pago título: 2118001329 959 - ASK PRODUTOS QUIMICO 30/04/2021 LQ 216,48 216,48"
"Pago título: 2118001337 962 - SAO MARTINHO S.A. 30/04/2021 LQ 33958,9 33958,9"
"Pago título: 2118001369 976 - SOCIEDADE DE ABASTEC 30/04/2021 LQ 23493,6 23493,6"
"Pago título: 2118001385 981 - PIRACAIA IND E COM E 30/04/2021 LQ 753,93 753,93"
"Pago título: 2118001393 985 - CONDOMINIO FAZENDA D 30/04/2021 LQ 293,15 293,15"
"Pago título: 2118001425 1000 - CIA SANEAMENTO BASI 30/04/2021 LQ 16405,91 16405,91"
"Pago título: 2118001433 1001 - CIA SANEAMENTO BASI 30/04/2021 LQ 843,24 843,24"
"Pago título: 2118001441 1002 - CIA SANEAMENTO BASI 30/04/2021 LQ 1360,24 1360,24"
"Pago título: 2118001465 1033 - CCS TECNOLOGIA E SE 30/04/2021 LQ 223,52 223,52"
"Pago título: 2118001489 1047 - QUIMICA AMPARO LTDA 30/04/2021 LQ 5224,93 5224,93"
"Pago título: 2118001505 1050 - CIA SANEAMENTO BASI 30/04/2021 LQ 511,68 511,68"
"Pago título: 2118001513 1052 - DEPARTAMENTO DE  GU 30/04/2021 LQ 4541,53 4541,53"
"Pago título: 2118001521 1055 - CARTONIFICIO VALINH 30/04/2021 LQ 1388,87 1388,87"
"Pago título: 2118001529 1057 - CIA SANEAMENTO BASI 30/04/2021 LQ 36982,36 36982,36"
"Pago título: 2118001537 1058 - CIA SANEAMENTO BASI 30/04/2021 LQ 4362,39 4362,39"
"Pago título: 2118001545 1060 - CIA SANEAMENTO BASI 30/04/2021 LQ 4566,63 4566,63"
"Pago título: 2118001553 1063 - CIA SANEAMENTO BASI 30/04/2021 LQ 2859,8 2859,8"
"Pago título: 2118001561 1064 - CIA SANEAMENTO BASI 30/04/2021 LQ 9707,54 9707,54"
"Pago título: 2118001569 1065 - CIA SANEAMENTO BASI 30/04/2021 LQ 5801,77 5801,77"
"Pago título: 2118001577 1067 - CIA SANEAMENTO BASI 30/04/2021 LQ 6538,5 6538,5"
"Pago título: 2118001585 1070 - CIA SANEAMENTO BASI 30/04/2021 LQ 4655,63 4655,63"
"Pago título: 2118001593 1073 - CIA SANEAMENTO BASI 30/04/2021 LQ 8343,93 8343,93"
"Pago título: 2118001601 1074 - CIA SANEAMENTO BASI 30/04/2021 LQ 844,46 844,46"
"Pago título: 2118001609 1075 - TINTEX TINTURARIA T 30/04/2021 LQ 222,59 222,59"
"Pago título: 2118001617 1078 - DAE S/A  GUA E ESGO 30/04/2021 LQ 101943,33 101943,33"
"Pago título: 2118001625 1082 - LENA & CIA LTDA 30/04/2021 LQ 319,04 319,04"
"Pago título: 2118001633 1084 - COMPANHIA DE SANEAM 30/04/2021 LQ 14269,47 14269,47"
"Pago título: 2118001641 1086 - ENGENHO SAO PEDRO A 30/04/2021 LQ 1611,96 1611,96"
"Pago título: 2118001649 1087 - TOYOTA DO BRASIL LT 30/04/2021 LQ 1333,35 1333,35"
"Pago título: 2118001673 1096 - USINA ACUCAREIRA FU 30/04/2021 LQ 3546,68 3546,68"
"Pago título: 2118001681 1103 - ASSOCIACAO FAZENDA 30/04/2021 LQ 687,2 687,2"
"Pago título: 2118001697 1110 - SERVICO AUTONOMO DE 30/04/2021 LQ 3684,11 3684,11"
"Pago título: 2118001705 1111 - CIA SANEAMENTO BASI 30/04/2021 LQ 410433,1 410433,1"
"Pago título: 2118001713 1112 - CIA SANEAMENTO BASI 30/04/2021 LQ 23029,06 23029,06"
"Pago título: 2118001721 1116 - CROWN  EMBALAGENS M 30/04/2021 LQ 1530,51 1530,51"
"Pago título: 2118001729 1120 - MOTOROLA MOBILITY C 30/04/2021 LQ 845,33 845,33"
"Pago título: 2118001737 1122 - PPC SANTANA EQUIPAM 30/04/2021 LQ 291,76 291,76"
"Pago título: 2118001745 1123 - CIA SANEAMENTO BASI 30/04/2021 LQ 21391,9 21391,9"
"Pago título: 2118001777 1136 - VILLARES METALS S/A 30/04/2021 LQ 1423,93 1423,93"
"Pago título: 2118001785 1139 - HOPI HARI S/A 30/04/2021 LQ 540,68 540,68"
"Pago título: 2118001801 1143 - CASTELO ALIMENTOS S 30/04/2021 LQ 695,36 695,36"
"Pago título: 2118001809 1144 - ASSOCIACAO PROPRIET 30/04/2021 LQ 274,46 274,46"
"Pago título: 2118001825 1148 - ARCELOR MITTAL GONV 30/04/2021 LQ 394,17 394,17"
"Pago título: 2118001841 1154 - GREENBRIER MAXION E 30/04/2021 LQ 444,22 444,22"
"Pago título: 2118001857 1169 - MINERACAO JUNDU LTD 30/04/2021 LQ 12383,42 12383,42"
"Pago título: 2118001865 1193 - TEXTIL CANATIBA LTD 30/04/2021 LQ 780,34 780,34"
"Pago título: 2118001873 1194 - TEXTIL CANATIBA LTD 30/04/2021 LQ 1726,16 1726,16"
"Pago título: 2118001881 1195 - TEXTIL CANATIBA LTD 30/04/2021 LQ 1300,18 1300,18"
"Pago título: 2118001897 1221 - NORQUIMA PRODUTOS Q 30/04/2021 LQ 298,67 298,67"
"Pago título: 2118001913 1224 - SECRETARIA DA ADM P 30/04/2021 LQ 310 310"
"Pago título: 2118001921 1231 - COVOLAN IND STRIA T 30/04/2021 LQ 17031,52 17031,52"
"Pago título: 2118001929 1243 - ASSOCIACAO PROPRIET 30/04/2021 LQ 329,38 329,38"
"Pago título: 2118001953 1266 - ASSOCIA  O COMUNIT 30/04/2021 LQ 247,05 247,05"
"Pago título: 2118001961 1274 - GUAINUMBY TEXTIL LT 30/04/2021 LQ 452,81 452,81"
"Pago título: 2118001969 1289 - ASGA S/A 30/04/2021 LQ 292,74 292,74"
"Pago título: 2118001977 1313 - AZUMA KIRIN IND STR 30/04/2021 LQ 268,74 268,74"
"Pago título: 2118001985 1323 - TEXTIL SUCCI LTDA-M 30/04/2021 LQ 284,69 284,69"
"Pago título: 2118002001 1405 - ASSOCIACAO LOTEAMEN 30/04/2021 LQ 3204,95 3204,95"
"Pago título: 2118002017 1417 - IND STRIA DE PRODUT 30/04/2021 LQ 222,44 222,44"
"Pago título: 2118002025 1420 - MIRVI BRASIL LTDA 30/04/2021 LQ 335,42 335,42"
"Pago título: 2118002033 1423 - TASA TINTURARIA AME 30/04/2021 LQ 701,34 701,34"
"Pago título: 2118002041 1425 - TRANSPORTE E COMERC 30/04/2021 LQ 314,75 314,75"
"Pago título: 2118002065 1456 - ASSOC DOS PROP DO L 30/04/2021 LQ 347,67 347,67"
"Pago título: 2118002073 1459 - CIA SANEAMENTO BASI 30/04/2021 LQ 3140,23 3140,23"
"Pago título: 2118002081 1465 - BBC INDUSTRIA E COM 30/04/2021 LQ 311,72 311,72"
"Pago título: 2118002089 1477 - JETFIO INDUSTRIA TE 30/04/2021 LQ 316,69 316,69"
"Pago título: 2118002105 1484 - DELTA INDUSTRIA CER 30/04/2021 LQ 8194,77 8194,77"
"Pago título: 2118002121 1547 - SOCER BRASIL INDUST 30/04/2021 LQ 570,56 570,56"
"Pago título: 2118002145 1567 - RPR CAPTACAO E TRAN 30/04/2021 LQ 912,68 912,68"
"Pago título: 2118002153 1575 - SO AGUA COMERCIO E 30/04/2021 LQ 2195,01 2195,01"
"Pago título: 2118002161 1591 - TQA INDUSTRIA E COM 30/04/2021 LQ 311,03 311,03"
"Pago título: 2118002169 1592 - MICROSAL INDUSTRIA 30/04/2021 LQ 1164,77 1164,77"
"Pago título: 2118002177 1603 - OLIVEIRA & LOPES LT 30/04/2021 LQ 219,76 219,76"
"Pago título: 2118002185 1609 - GRANITEC IND E COM 30/04/2021 LQ 214,33 214,33"
"Pago título: 2118002193 1618 - NAZATO PIRACICABA T 30/04/2021 LQ 356,66 356,66"
"Pago título: 2118002209 1638 - LEITESOL INDUSTRIA 30/04/2021 LQ 764,25 764,25"
"Pago título: 2118002225 1675 - ASSOCIACAO DOS MORA 30/04/2021 LQ 315,72 315,72"
"Pago título: 2118002241 1692 - F+T DO BRASIL NUTRI 30/04/2021 LQ 1160,59 1160,59"
"Pago título: 2118002265 1705 - SAINT-GOBAIN DO BRA 30/04/2021 LQ 250,03 250,03"
"Pago título: 2118002281 1742 - CONDOMINIO SERANILA 30/04/2021 LQ 216,18 216,18"
"Pago título: 2118002321 1813 - MAXLAV LAVANDERIA E 30/04/2021 LQ 332,09 332,09"
"Pago título: 2118002345 1818 - MARLES INDUSTRIA TE 30/04/2021 LQ 765,52 765,52"
"Pago título: 2118002353 1829 - NHEEL QUIMICA LTDA 30/04/2021 LQ 347,69 347,69"
"Pago título: 2118002369 1846 - COMPANHIA NACIONAL 30/04/2021 LQ 819,06 819,06"
"Pago título: 2118002385 1859 - CWS CABLE PARKS LTD 30/04/2021 LQ 407,42 407,42"
"Pago título: 2118002401 1885 - A PRESS TRANSPORTES 30/04/2021 LQ 210,8 210,8"
"Pago título: 2118002409 1902 - KENJI EXTRACAO E CO 30/04/2021 LQ 294,42 294,42"
"Pago título: 2118002441 1976 - SOL INVEST EMPREEND 30/04/2021 LQ 254,77 254,77"
"Pago título: 2118002449 1979 - QUIMICA AMPARO LTDA 30/04/2021 LQ 622,12 622,12"
"Pago título: 2118002465 1990 - PEDREIRA FAZENDA VE 30/04/2021 LQ 599,69 599,69"
"Pago título: 2118002473 2019 - BAERLOCHER DO BRASI 30/04/2021 LQ 994,46 994,46"
"Pago título: 2118002481 2074 - SALTORELLI TINTURAR 30/04/2021 LQ 895,51 895,51"
"Pago título: 2118002489 2083 - HANIER ESPECIALIDAD 30/04/2021 LQ 357,31 357,31"
"Pago título: 2118002497 2088 - ASSOCIA  O DE PROPR 30/04/2021 LQ 534,29 534,29"
"Pago título: 2118002521 2114 - MAXLAV LAVANDERIA E 30/04/2021 LQ 294,57 294,57"
"Pago título: 2118002545 2168 - EMEPE INDUSTRIA GRA 30/04/2021 LQ 201,24 201,24"
