"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72444612910202112901.ret"
""
"Cadastrado título novo: 9000006654 2613 - PAULO BERENGUEL e CI 30/11/2021 RG 810,04 0"
"Cadastrado título novo: 9000006655 1673 - JATOBA S/A 30/11/2021 RG 375,17 0"
"Pago título: 2118003023 2814 - REAL INDUSTRIA E CO 29/10/2021 LQ 254,49 254,49"
"Pago título: 2118003031 2845 - SIND DO EMPREGADOS 29/10/2021 LQ 264,04 264,04"
"Pago título: 2118003039 2846 - AGUAS DAS TERRAS SO 29/10/2021 LQ 512,34 512,34"
"Pago título: 2118003047 2861 - KORIN AGROPECU RIA 29/10/2021 LQ 2011,08 2011,08"
"Pago título: 2118003055 2889 - I & M PAP IS E EMBA 29/10/2021 LQ 463,45 463,45"
"Pago título: 2118003063 2897 - REQUIPH METAL RGICA 29/10/2021 LQ 252,66 252,66"
"Pago título: 2118003071 2901 - A D RICARDO  GUA - 29/10/2021 LQ 427,66 427,66"
"Pago título: 2118003087 2910 - CHACARAS LONG ISLAN 29/10/2021 LQ 405,12 405,12"
"Pago título: 2118003103 2952 - EXTRA  O E COM RCIO 29/10/2021 LQ 890,87 890,87"
"Pago título: 2118003111 2956 - CENTER GIRO TRANSPO 29/10/2021 LQ 215,43 215,43"
"Pago título: 2118003127 2965 - JAGUARI COMERCIAL E 29/10/2021 LQ 938,75 938,75"
"Pago título: 2118003143 2981 - VIVA PISOS E REVEST 29/10/2021 LQ 384,25 384,25"
"Pago título: 2118003151 2988 - K & G IND STRIA E C 29/10/2021 LQ 201,47 201,47"
"Pago título: 2118003215 3094 - RENATO PASSARIN & F 29/10/2021 LQ 329,36 329,36"
"Pago título: 2118003223 3097 - CISOL DO BRASIL EXP 29/10/2021 LQ 201,64 201,64"
"Pago título: 2118003231 3107 - RUY R. DA ROCHA PRO 29/10/2021 LQ 219,58 219,58"
"Pago título: 2118003239 3111 - BRASWELL PAPEL E CE 29/10/2021 LQ 989,84 989,84"
"Pago título: 2118003247 3112 - SUELI TADOKORO MURA 29/10/2021 LQ 208,74 208,74"
"Pago título: 2118003287 3160 - VIA APPIA FESTAS E 29/10/2021 LQ 207,09 207,09"
"Pago título: 2118003295 3163 - RESIDENCIAL FAZENDA 29/10/2021 LQ 355,21 355,21"
"Pago título: 2118003311 3196 - CEDASA IND STRIA E 29/10/2021 LQ 713,62 713,62"
"Pago título: 2118003335 3253 - COPASIL QUIMICA IND 29/10/2021 LQ 387,77 387,77"
"Pago título: 2118003343 3262 - ASSOCIA  O DE AMIGO 29/10/2021 LQ 771,28 771,28"
"Pago título: 2118003359 3310 - ELDER COSTA RODRIGU 29/10/2021 LQ 866,2 866,2"
"Pago título: 2118003367 3328 - EXPRESSO CAMPIBUS L 29/10/2021 LQ 452,43 452,43"
"Pago título: 2118003383 3336 - CONDOM NIO RESIDENC 29/10/2021 LQ 438,44 438,44"
"Pago título: 2118003407 3365 - MALIBER INDUSTRIA E 29/10/2021 LQ 505,31 505,31"
"Pago título: 2118003431 3377 - COMERCIO DE  GUAS E 29/10/2021 LQ 274,47 274,47"
"Pago título: 2118003471 3384 - FRIGODELISS LTDA 29/10/2021 LQ 3168,13 3168,13"
"Pago título: 2118003495 3413 - TUIUTI ECO PARK EMP 29/10/2021 LQ 294,93 294,93"
"Pago título: 2118003503 3423 - A. A. DE MELO & CIA 29/10/2021 LQ 224,04 224,04"
"Pago título: 2118003535 3449 - CER MICA CARMELO FI 29/10/2021 LQ 829,17 829,17"
"Pago título: 2118003567 3480 - MEDI HOUSE IND E CO 29/10/2021 LQ 343,31 343,31"
"Pago título: 2118003591 3514 - CER MICA GRESCA G3 29/10/2021 LQ 263,49 263,49"
"Pago título: 2118003599 3535 - JOFEGE FIA  O E TEC 29/10/2021 LQ 1142,17 1142,17"
"Pago título: 2118003615 3590 -  GUA DO CAMPO TRANS 29/10/2021 LQ 411,41 411,41"
"Pago título: 2118003655 3637 - PICOLI & CARRARA CO 29/10/2021 LQ 439,15 439,15"
"Pago título: 2118003679 3662 - ASSOCIA  O RESIDENC 29/10/2021 LQ 616,64 616,64"
"Pago título: 2118003687 3666 - RAUL FERREIRA LEITE 29/10/2021 LQ 420,85 420,85"
"Pago título: 2118003703 3679 - CMR IND STRIA E COM 29/10/2021 LQ 392,99 392,99"
"Pago título: 2118003711 3683 - NOVAPORCELANATO IND 29/10/2021 LQ 988,09 988,09"
"Pago título: 2118003743 3704 - I.S. COM RCIO DE  G 29/10/2021 LQ 279,96 279,96"
"Pago título: 2118003751 3720 - J.L. PAULO & CIA LT 29/10/2021 LQ 209,34 209,34"
"Pago título: 2118003807 3857 - CRS MINERA  O IND S 29/10/2021 LQ 997,11 997,11"
"Pago título: 2118003831 3908 - TANSAN IND STRIA QU 29/10/2021 LQ 856,8 856,8"
"Pago título: 2118003839 3926 - HWT PROMO  ES ESPOR 29/10/2021 LQ 337,6 337,6"
"Pago título: 2118003863 3961 - INSTITUTO EDUCACION 29/10/2021 LQ 356,61 356,61"
"Pago título: 2118003887 3984 - BELEM TRANSPORTES E 29/10/2021 LQ 372,67 372,67"
"Pago título: 2118003895 3992 - HOTEL FAZENDA HARAS 29/10/2021 LQ 428,17 428,17"
"Pago título: 2118003903 4014 - ASSOC DOS PROPRIET 29/10/2021 LQ 658,73 658,73"
"Pago título: 2118003911 4059 - ATI GEL FRUTAS CONG 29/10/2021 LQ 205,58 205,58"
"Pago título: 2118003919 4116 - TARTALIA EMPREENDIM 29/10/2021 LQ 475,75 475,75"
"Pago título: 2118003943 4131 - ASSOCIACAO DE AMIGO 29/10/2021 LQ 241,35 241,35"
"Pago título: 2118003951 4197 - ASSOCIA  O DOS PROP 29/10/2021 LQ 365,96 365,96"
"Pago título: 2118003975 4288 - PTM AGRICOLA E PART 29/10/2021 LQ 471,78 471,78"
"Pago título: 2118003983 4306 - CONSTANTE DE OLIVEI 29/10/2021 LQ 883,79 883,79"
"Pago título: 2118003991 4315 - AGE DO BRASIL INDUS 29/10/2021 LQ 219,58 219,58"
"Pago título: 2118004007 4330 - CPD LOCADORA DE VEI 29/10/2021 LQ 1097,88 1097,88"
"Pago título: 2118004015 4356 - CONDOMINIO RESIDENC 29/10/2021 LQ 219,58 219,58"
"Pago título: 2118004023 4358 - CONSTIC EMPREENDIME 29/10/2021 LQ 523,14 523,14"
"Pago título: 2118004031 4361 - RAUL FERREIRA LEITE 29/10/2021 LQ 402,55 402,55"
"Pago título: 2118004047 4385 - MATEUS CAVALCANTI I 29/10/2021 LQ 237,88 237,88"
"Pago título: 2118004063 4481 - CLARIPEL INDUSTRIA 29/10/2021 LQ 1308,92 1308,92"
"Pago título: 2118004079 4519 - IVO ZARZUR ADMINIST 29/10/2021 LQ 5271,63 5271,63"
"Pago título: 2118004087 4556 - ASSOCIA  O DE MELHO 29/10/2021 LQ 372 372"
"Pago título: 2118004103 4600 - ALMEIDA PISOS E REV 29/10/2021 LQ 274,47 274,47"
"Pago título: 2118004111 4631 - AGROPECU RIA CAPUAV 29/10/2021 LQ 365,96 365,96"
"Pago título: 2118004119 4641 - DYNATECH IND STRIAS 29/10/2021 LQ 394,42 394,42"
"Pago título: 2118004135 4654 - ASSOC DOS PROP DE L 29/10/2021 LQ 365,96 365,96"
"Pago título: 2118004143 4697 - MARFRIG GLOBAL FOOD 29/10/2021 LQ 326,66 326,66"
"Pago título: 2118004151 4762 - MINERA  O ANGICO LT 29/10/2021 LQ 283,44 283,44"
"Pago título: 2118004167 4779 - FUNDACAO CENTRO DE 29/10/2021 LQ 375,84 375,84"
"Pago título: 2118004175 4783 - CORREIAS MERC RIO S 29/10/2021 LQ 212,99 212,99"
"Pago título: 2118004183 4784 - ASSOCIA  O DOS PROP 29/10/2021 LQ 394,32 394,32"
"Pago título: 2118004199 4827 - BOM PEIXE INDUSTRIA 29/10/2021 LQ 234,21 234,21"
"Pago título: 2118004223 4869 - ASSOCIA  O DOS MORA 29/10/2021 LQ 296,43 296,43"
"Pago título: 2118004231 4870 - ASSOCIA  O MELHORES 29/10/2021 LQ 312,9 312,9"
"Pago título: 2118004239 4891 - LOTEAMENTO IMPERIAL 29/10/2021 LQ 731,92 731,92"
"Pago título: 2118004263 4916 - CLUBE ATL TICO VALI 29/10/2021 LQ 216,01 216,01"
"Pago título: 2118004295 4992 - AGUA NOGUEIRENSE LT 29/10/2021 LQ 365,96 365,96"
"Pago título: 2118004303 5035 - CLOSURE SYSTEMS INT 29/10/2021 LQ 329,36 329,36"
"Pago título: 2118004319 5040 - CONDOM NIO GARNET 29/10/2021 LQ 397,43 397,43"
"Pago título: 2118004367 5161 - MISTER GELO IND. DE 29/10/2021 LQ 454,12 454,12"
"Pago título: 2118004391 5261 - CIA DE SANEAMENTO B 29/10/2021 LQ 11345,15 11345,15"
"Pago título: 2118004407 5306 - ASSOCIACAO DE AMIGO 29/10/2021 LQ 274,47 274,47"
"Pago título: 2118004455 5404 - ASSOC DE CONGRESSOS 29/10/2021 LQ 539,47 539,47"
"Pago título: 2118004463 5409 - TATIANA CRISTINA DE 29/10/2021 LQ 212,08 212,08"
"Pago título: 2118004479 5416 - ZARAPLAST S.A 29/10/2021 LQ 561,75 561,75"
"Pago título: 2118004487 5418 - SAMUEL SAMPAIO TOCA 29/10/2021 LQ 365,51 365,51"
"Pago título: 2118004511 5443 - ASSOC DOS PROP E MO 29/10/2021 LQ 208,65 208,65"
"Pago título: 2118004519 5464 - INSTITUTO ADVENTIST 29/10/2021 LQ 342,8 342,8"
"Pago título: 2118004543 5487 - ASSOC DOS PROPR DE 29/10/2021 LQ 329,36 329,36"
"Pago título: 2118004575 5531 - MARILIZE PEZZO ROSS 29/10/2021 LQ 786,08 786,08"
"Pago título: 2118004583 5539 - SPEEDY INCORPORA  E 29/10/2021 LQ 315,91 315,91"
"Pago título: 2118004591 5545 - COOPERATIVA VEILING 29/10/2021 LQ 319,48 319,48"
"Pago título: 2118004599 5553 - ASSOCIA  O MASTER D 29/10/2021 LQ 1212,27 1212,27"
"Pago título: 2118004615 5560 - WT NEG CIOS IMOBILI 29/10/2021 LQ 481,6 481,6"
"Pago título: 2118004647 5601 - ASSOCIA  O DOS PROP 29/10/2021 LQ 1939,58 1939,58"
"Pago título: 2118004655 5606 - AROMA BIOENERGIA LT 29/10/2021 LQ 211,02 211,02"
"Pago título: 2118004663 5628 - SAFRA INDUSTRIA E C 29/10/2021 LQ 1600,51 1600,51"
"Pago título: 2118004671 5643 - MARCELO ALVES PEREI 29/10/2021 LQ 214,09 214,09"
"Pago título: 2118004687 5652 - CONDOM NIO D. PEDRO 29/10/2021 LQ 527,33 527,33"
"Pago título: 2118004711 5694 - R. BOQUINO TRANSPOR 29/10/2021 LQ 567,3 567,3"
"Pago título: 2118004735 5773 - OWB INDUSTRIA DE AU 29/10/2021 LQ 230,15 230,15"
"Pago título: 2118004751 5803 - ASSOCIA  O DOS AMIG 29/10/2021 LQ 488,78 488,78"
"Pago título: 2118004759 5805 - QUIBRITA MINERADORA 29/10/2021 LQ 456,2 456,2"
"Pago título: 2118004767 5861 - ASSOCIA  O DESPORTI 29/10/2021 LQ 336,65 336,65"
"Pago título: 2118004783 5870 - VILA HIPICA EMPREEN 29/10/2021 LQ 342,54 342,54"
"Pago título: 2118004799 5907 - TSI - EMPREENDIMENT 29/10/2021 LQ 248,85 248,85"
"Pago título: 2118004807 5938 - CLAUDETE APARECIDA 29/10/2021 LQ 289,83 289,83"
"Pago título: 2118004815 5982 - ASSOCIA  O DOS MORA 29/10/2021 LQ 365,96 365,96"
"Pago título: 2118004847 6490 - USINA IRB S.A. 29/10/2021 LQ 10793,41 10793,41"
"Pago título: 2118004895 6849 - ASSOCIACAO DOS MORA 29/10/2021 LQ 895,55 895,55"
"Pago título: 2118004903 6889 - EXTRAMIX CONCRETO L 29/10/2021 LQ 376,46 376,46"
"Pago título: 2118004927 6918 - RAMOS & RIBEIRO EMP 29/10/2021 LQ 489,4 489,4"
"Pago título: 2118004935 6923 - PAULO CASTEJON GUER 29/10/2021 LQ 2788,6 2788,6"
"Pago título: 2118004951 6962 - BRAVO ARMAZ NS GERA 29/10/2021 LQ 209,15 209,15"
"Pago título: 2118004959 6966 - TONINPAR EMPREENDIM 29/10/2021 LQ 564,21 564,21"
"Pago título: 2118004967 6995 - SPAL IND STRIA BRAS 29/10/2021 LQ 688,28 688,28"
"Pago título: 2118004975 7002 - R PIDO LUXO CAMPINA 29/10/2021 LQ 421,1 421,1"
"Pago título: 2118004991 7011 - JS ESPUMAS FLEX VEI 29/10/2021 LQ 259,08 259,08"
"Pago título: 2118004999 7027 - ETIQUETTA BRANCA IN 29/10/2021 LQ 370,36 370,36"
"Pago título: 2118005007 7051 - IRM OS SEGEREN AGRO 29/10/2021 LQ 307,79 307,79"
"Pago título: 2118005015 7129 - POUSADA CHALES DO T 29/10/2021 LQ 588,28 588,28"
"Pago título: 2118005031 7132 - REDE DOM PEDRO DE P 29/10/2021 LQ 573,96 573,96"
"Pago título: 2118005039 7159 - FLAVOUR MIX INDUSTR 29/10/2021 LQ 540,88 540,88"
"Pago título: 2118005063 7226 - ASSOCIA  O DE MORAD 29/10/2021 LQ 1303,27 1303,27"
"Pago título: 2118005071 7252 - CRJP LOTEAMENTOS SP 29/10/2021 LQ 508,44 508,44"
"Pago título: 2118005079 7294 - ASSOCIA  O DE PROPR 29/10/2021 LQ 249,86 249,86"
"Pago título: 2118005087 7298 - J. ANDRADE EMPREEND 29/10/2021 LQ 470,63 470,63"
"Pago título: 2118005095 7306 - TRANSPORTADORA FREZ 29/10/2021 LQ 454,76 454,76"
"Pago título: 2118005111 7321 - COMPANHIA DE SANEAM 29/10/2021 LQ 605,83 605,83"
"Pago título: 2118005119 7322 - CAMARGO COMPANHIA D 29/10/2021 LQ 400,25 400,25"
"Pago título: 2118005207 7373 - LEVISSIMA DISTRIBUI 29/10/2021 LQ 1265,23 1265,23"
"Pago título: 2118005215 7379 - AGROPLANTAS FLORES 29/10/2021 LQ 319,35 319,35"
"Pago título: 2118005223 7444 - THAIS REGINA ROCHIT 29/10/2021 LQ 248,48 248,48"
"Pago título: 2118005239 7659 - LUIZ BAS LIO REANI 29/10/2021 LQ 321,25 321,25"
"Pago título: 9000005982 392 - CONDOMINIO SHOPPING C 29/10/2021 LQ 1162,72 1162,72"
"Pago título: 9000005996 2359 - AGROPECUARIA TUIUTI 29/10/2021 LQ 3712,5 3712,5"
"Pago título: 9000006006 3951 - ARCELORMITTAL S.A. 29/10/2021 LQ 8980,46 8980,46"
"Pago título: 9000006026 822 - AGUAS DE HOLAMBRA SAN 29/10/2021 LQ 9511,91 9511,91"
"Pago título: 9000006042 1173 - MASTERCOR BENEFICIAM 29/10/2021 LQ 224,71 224,71"
"Pago título: 9000006056 2655 - JOAO CARLOS LEME RIB 29/10/2021 LQ 588,98 588,98"
"Pago título: 9000006064 1862 - DOR RIO CONFECCAO LT 29/10/2021 LQ 395,99 395,99"
"Pago título: 9000006091 3491 - H2ORA DISTRIBUIDORA 29/10/2021 LQ 2213,14 2213,14"
"Pago título: 9000006106 3119 - FDC - EMPREENDIMENTO 29/10/2021 LQ 408,36 408,36"
"Pago título: 9000006125 7213 - AGUAS DE MAIRIPORA L 29/10/2021 LQ 975,89 975,89"
"Pago título: 9000006212 4862 - PSS DE CAMARGO SERVI 29/10/2021 LQ 434,48 434,48"
"Pago título: 9000006263 7689 - WICKBOLD e NOSSO PAO 29/10/2021 LQ 1065,9 1065,9"
"Pago título: 9000006348 3444 - ALOIZIO MERCADANTE O 29/10/2021 LQ 370,08 370,08"
"Pago título: 9000006404 2329 - NOVA MIX INDUSTRIAL 29/10/2021 LQ 598,63 598,63"
"Pago título: 9000006441 779 - MERI IDO 29/10/2021 LQ 354,22 354,22"
"Pago título: 9000006481 7373 - LEVISSIMA DISTRIBUIC 29/10/2021 LQ 553,26 553,26"
"Pago título: 9000006502 1689 - AJINOMOTO DO BRASIL 29/10/2021 LQ 914,92 914,92"
"Pago título: 9000006533 5654 - FUNDICAO REGALI BRAS 29/10/2021 LQ 1021,9 1021,9"
"Pago título: 9000006545 5524 - BCS INCORPORADORA E 29/10/2021 LQ 892,24 892,24"
"Pago título: 9000006565 3288 - SELIAL IND E COM, IM 29/10/2021 LQ 235,39 235,39"
"Pago título: 9000006574 5501 - FERREIRA EMPREENDIME 29/10/2021 LQ 329,49 329,49"
"Pago título: 9000006575 7345 - IGREJA DO NAZARENO-D 29/10/2021 LQ 130,62 130,62"
"Pago título: 9000006580 663 - MARCOS LUIS JEREMIAS 29/10/2021 LQ 153,24 153,24"
"Pago título: 9000006582 5849 - CREAM COLOR INDUSTRI 29/10/2021 LQ 432,65 432,65"
"Pago título: 9000006595 4779 - FUNDACAO CENTRO DE A 29/10/2021 LQ 387,19 387,19"
"Pago título: 9000006611 832 - SANEAMENTO BASICO VIN 29/10/2021 LQ 75683,15 75683,15"
"Pago título: 9000006634 2026 - SERRA DO SOL EMPREEN 29/10/2021 LQ 343,27 343,27"
"Pago título: 9000006635 226 - VELHOBOL CLUBE DE CAM 29/10/2021 LQ 559,35 559,35"
"Pago título: 9000006652 4013 - ANTONIO VITORINO BAR 29/10/2021 LQ 644,29 644,29"
