"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442913006202114245.ret"
""
"Cadastrado título novo: 9000006225 4046 - PAULO CESAR RODRIGUE 30/07/2021 RG 1031,89 0"
"Cadastrado título novo: 9000006226 6793 - SUPERMERCADOS DALBEN 30/07/2021 RG 451,11 0"
"Cadastrado título novo: 9000006227 1028 - CONDOMINIO EDIFICIO 30/07/2021 RG 457,55 0"
"Cadastrado título novo: 9000006228 3991 - HIGIBRAG TRANSPORTE 30/07/2021 RG 731,14 0"
"Cadastrado título novo: 9000006229 2688 - ARYZTA DO BRASIL ALI 30/07/2021 RG 334,93 0"
"Cadastrado título novo: 9000006230 3701 - ASSOCIACAO DE SOCIOS 30/07/2021 RG 1256,58 0"
"Cadastrado título novo: 9000006231 1935 - MINERGUITA MINERACAO 30/07/2021 RG 495,9 0"
"Cadastrado título novo: 9000006232 3229 - PLASTCOR DO BRASIL L 30/07/2021 RG 319,67 0"
"Pago título: 2111000481 2827 - DIDE ELETROMETAL RG 30/06/2021 LQ 173,43 173,43"
"Pago título: 2111000484 2835 - SULBR S MOLDES E PL 30/06/2021 LQ 192,5 192,5"
"Pago título: 2111000485 2841 - CER MICA DA MATA LT 30/06/2021 LQ 351,32 351,32"
"Pago título: 2111000486 2847 - PLASMONT IND STRIA 30/06/2021 LQ 151,59 151,59"
"Pago título: 2111000487 2849 - GERSON FERRAZZO & C 30/06/2021 LQ 414,27 414,27"
"Pago título: 2111000489 2857 - INTERCUF IND STRIA 30/06/2021 LQ 109,88 109,88"
"Pago título: 2111000490 2879 - COMPANHIA BRASILEIR 30/06/2021 LQ 1669,69 1669,69"
"Pago título: 2111000491 2885 - GOOD BOM SUPERMERCA 30/06/2021 LQ 296,76 296,76"
"Pago título: 2111000492 2886 - GOOD BOM SUPERMERCA 30/06/2021 LQ 242,08 242,08"
"Pago título: 2111000493 2888 - PAGUE MENOS COM RCI 30/06/2021 LQ 253,81 253,81"
"Pago título: 2111000495 2898 - QUIMIGEL INDUSTRIA, 30/06/2021 LQ 173,25 173,25"
"Pago título: 2111000496 2900 - HERO BRASIL S/A 30/06/2021 LQ 3978,01 3978,01"
"Pago título: 2111000497 2902 - ARCOR DO BRASIL LTD 30/06/2021 LQ 5393,46 5393,46"
"Pago título: 2111000499 2907 - CLUBE FAZENDA S O J 30/06/2021 LQ 242,99 242,99"
"Pago título: 2111000500 2909 - NEOVIA NUTRICAO E S 30/06/2021 LQ 1031,94 1031,94"
"Pago título: 2111000501 2911 - TEADIT JUNTAS LTDA 30/06/2021 LQ 259,08 259,08"
"Pago título: 2111000502 2913 - METALURGICA NAKAYON 30/06/2021 LQ 777,69 777,69"
"Pago título: 2111000503 2918 - PIB PARQUES INDUSTR 30/06/2021 LQ 105,16 105,16"
"Pago título: 2111000504 2921 - POSTO SEIS DE JULHO 30/06/2021 LQ 155,07 155,07"
"Pago título: 2111000508 2934 - PAGUE MENOS COM RCI 30/06/2021 LQ 198,32 198,32"
"Pago título: 2111000509 2936 - RIO NEGRO PARTICIPA 30/06/2021 LQ 292,77 292,77"
"Pago título: 2111000510 2939 - QUEIROZ GALVAO GOLD 30/06/2021 LQ 4466,85 4466,85"
"Pago título: 2111000511 2947 - PEDREIRA E PAVIMENT 30/06/2021 LQ 285,89 285,89"
"Pago título: 2111000513 2966 - ASSOCIACAO ESPORTIV 30/06/2021 LQ 277,09 277,09"
"Pago título: 2111000514 2968 - TCMEP3 EMPREENDIMEN 30/06/2021 LQ 307,41 307,41"
"Pago título: 2111000515 2969 - POLIMIX CONCRETO LT 30/06/2021 LQ 385,01 385,01"
"Pago título: 2111000516 2972 - EMPREENDIMENTOS IMO 30/06/2021 LQ 292,77 292,77"
"Pago título: 2111000519 3000 - TBI DO BRASIL IND, 30/06/2021 LQ 365,96 365,96"
"Pago título: 2111000520 3004 - EXTRAMIX CONCRETO L 30/06/2021 LQ 250,26 250,26"
"Pago título: 2111000523 3009 - SINDICATO DOS TRABS 30/06/2021 LQ 182,56 182,56"
"Pago título: 2111000524 3018 - COLOROBBIA BRASIL P 30/06/2021 LQ 745,31 745,31"
"Pago título: 2111000525 3021 - GODOY & BAPTISTELLA 30/06/2021 LQ 300,3 300,3"
"Pago título: 2111000527 3034 - PAGUE MENOS COM RCI 30/06/2021 LQ 124,27 124,27"
"Pago título: 2111000529 3050 - ENXUTO SUPERMERCADO 30/06/2021 LQ 274,53 274,53"
"Pago título: 2111000531 3064 - CBP COLCH ES LTDA 30/06/2021 LQ 439,13 439,13"
"Pago título: 2111000535 3084 - JESUS DE MARI ARTEF 30/06/2021 LQ 232,93 232,93"
"Pago título: 2111000536 3086 - SEW EURODRIVE BRASI 30/06/2021 LQ 799,5 799,5"
"Pago título: 2111000537 3087 - YASUO YOKONUKI 30/06/2021 LQ 190,06 190,06"
"Pago título: 2111000540 3113 - ASSOCIA  O DOS AMIG 30/06/2021 LQ 386,46 386,46"
"Pago título: 2111000542 3122 - CONCRELONGO SERVI O 30/06/2021 LQ 288,76 288,76"
"Pago título: 2111000544 3149 - HWASHIN FABRICANTE 30/06/2021 LQ 488,11 488,11"
"Pago título: 2111000545 3150 - QUARTZO MINERA  O L 30/06/2021 LQ 271,48 271,48"
"Pago título: 2111000547 3166 - T NIS CLUBE 30/06/2021 LQ 136,71 136,71"
"Pago título: 2111000549 3172 - LOG COMMERCIAL PROP 30/06/2021 LQ 198,51 198,51"
"Pago título: 2111000550 3179 - IND STRIA DE URNAS 30/06/2021 LQ 120,93 120,93"
"Pago título: 2111000551 3182 - COMFRIO SOLUCOES LO 30/06/2021 LQ 421,59 421,59"
"Pago título: 2111000552 3183 - SRS DO BRASIL COMER 30/06/2021 LQ 228,84 228,84"
"Pago título: 2111000553 3186 - ASSOC DOS PROPRIET 30/06/2021 LQ 84,37 84,37"
"Pago título: 2111000557 3222 - SUPERMIX CONCRETO S 30/06/2021 LQ 976 976"
"Pago título: 2111000558 3223 - SUPERMERCADOS CAVIC 30/06/2021 LQ 209,9 209,9"
"Pago título: 2111000559 3226 - PAGUE MENOS COM RCI 30/06/2021 LQ 684,55 684,55"
"Pago título: 2111000560 3228 - GOOD BOM SUPERMERCA 30/06/2021 LQ 212,09 212,09"
"Pago título: 2111000561 3229 - PLASTCOR DO BRASIL 30/06/2021 LQ 278,13 278,13"
"Pago título: 2111000563 3248 - PAGUE MENOS COM RCI 30/06/2021 LQ 767,33 767,33"
"Pago título: 2111000565 3252 - LICEU SALESIANO NOS 30/06/2021 LQ 185,69 185,69"
"Pago título: 2111000568 3264 - SOUVIE COM IND IMPO 30/06/2021 LQ 94,16 94,16"
"Pago título: 2111000570 3276 - PAGUE MENOS COM RCI 30/06/2021 LQ 358,25 358,25"
"Pago título: 2111000572 3282 - GASBALL ARMAZENADOR 30/06/2021 LQ 890,33 890,33"
"Pago título: 2111000575 3296 - FICCUS HOTEL LTDA - 30/06/2021 LQ 285,45 285,45"
"Pago título: 2111000577 3299 - RISCHIOTO IND STRIA 30/06/2021 LQ 258,73 258,73"
"Pago título: 2111000579 3314 - HOTEL PARAISO DOS A 30/06/2021 LQ 263,49 263,49"
"Pago título: 2111000580 3316 - CONCESSION RIA  DO 30/06/2021 LQ 601,78 601,78"
"Pago título: 2111000581 3317 - CONCESSION RIA  DO 30/06/2021 LQ 474,87 474,87"
"Pago título: 2111000582 3318 - CONCESSION RIA  DO 30/06/2021 LQ 273,74 273,74"
"Pago título: 2111000583 3326 - KADANT SOUTH AMERIC 30/06/2021 LQ 292,77 292,77"
"Pago título: 2111000587 3363 - RETIFICA ITATIBA LT 30/06/2021 LQ 152,51 152,51"
"Pago título: 2111000590 3376 - SANTA RITA DE C SSI 30/06/2021 LQ 1874,59 1874,59"
"Pago título: 2111000591 3381 - SUBCOND. SHOPPING C 30/06/2021 LQ 1448,94 1448,94"
"Pago título: 2111000592 3395 - SIND DOS TRABALHADO 30/06/2021 LQ 292,77 292,77"
"Pago título: 2111000593 3401 - AUTO SUECO S O PAUL 30/06/2021 LQ 1307,49 1307,49"
"Pago título: 2111000605 3442 - YAGUAR EMPREENDIMEN 30/06/2021 LQ 292,77 292,77"
"Pago título: 2111000607 3457 - EMBRALIXO - EMPRESA 30/06/2021 LQ 150,8 150,8"
"Pago título: 2111000610 3469 - RESTAURANTE E CHURR 30/06/2021 LQ 177,08 177,08"
"Pago título: 2111000617 3497 - RUBENS CASCALDI FIL 30/06/2021 LQ 40,1 40,1"
"Pago título: 2111000619 3510 - IUZ QUIM IND STRIA 30/06/2021 LQ 143,95 143,95"
"Pago título: 2111000621 3526 - FREEART SERAL BRASI 30/06/2021 LQ 127,24 127,24"
"Pago título: 2111000622 3539 - A. R. SACARIAS EIRE 30/06/2021 LQ 356,21 356,21"
"Pago título: 2111000623 3542 - PAGUE MENOS COM DE 30/06/2021 LQ 217,7 217,7"
"Pago título: 2111000626 3557 - SUPERMERCADOS CAVIC 30/06/2021 LQ 393,39 393,39"
"Pago título: 2111000629 3573 - ESCOLA ASSOCIATIVA 30/06/2021 LQ 318,26 318,26"
"Pago título: 2111000630 3574 - FUNDA  O VISCONDE D 30/06/2021 LQ 691,57 691,57"
"Pago título: 2111000631 3579 - ADM ARMAZ NS GERAIS 30/06/2021 LQ 192,5 192,5"
"Pago título: 2111000635 3604 - TEMPO DISTRIBUIDORA 30/06/2021 LQ 164,34 164,34"
"Pago título: 2111000637 3613 - TREVO EMPREENDIMENT 30/06/2021 LQ 169,4 169,4"
"Pago título: 2111000641 3630 - ABDELNOR II COM RCI 30/06/2021 LQ 136,79 136,79"
"Pago título: 2111000642 3634 - CELLERA FARMAC UTIC 30/06/2021 LQ 370,3 370,3"
"Pago título: 2111000645 3648 - HOTEL EST NCIA SANT 30/06/2021 LQ 248,45 248,45"
"Pago título: 2111000646 3653 - EMPRESA BRASILEIRA 30/06/2021 LQ 365,96 365,96"
"Pago título: 2111000651 3665 - EXTRAMIX CONCRETO L 30/06/2021 LQ 375,38 375,38"
"Pago título: 2111000652 3674 - ASSOCIA  O BENEFICE 30/06/2021 LQ 155,18 155,18"
"Pago título: 2111000653 3681 - PHMV SERVI OS DE DI 30/06/2021 LQ 136,7 136,7"
"Pago título: 2111000655 3684 - SOCIEDADE REGIONAL 30/06/2021 LQ 253,63 253,63"
"Pago título: 2111000658 3690 - BRASMOLDE INDUSTRIA 30/06/2021 LQ 202,13 202,13"
"Pago título: 2111000661 3708 - CELIO TADASHI AKAI 30/06/2021 LQ 43,92 43,92"
"Pago título: 2111000666 3724 - PREFEITURA MUNICIPA 30/06/2021 LQ 70,91 70,91"
"Pago título: 2111000667 3727 - IND STRIA DE BEBIDA 30/06/2021 LQ 141,29 141,29"
"Pago título: 2111000668 3730 - CONDOM NIO PIAZZA D 30/06/2021 LQ 377,31 377,31"
"Pago título: 2111000670 3740 - FAREVA DESENV, FAB 30/06/2021 LQ 280,73 280,73"
"Pago título: 2111000671 3741 - ARMANDO RAUCCI 30/06/2021 LQ 234,21 234,21"
"Pago título: 2111000672 3742 - TENDA ATACADO LTDA. 30/06/2021 LQ 194,41 194,41"
"Pago título: 2111000674 3751 - MACARRONADA ITALIAN 30/06/2021 LQ 341,99 341,99"
"Pago título: 2111000675 3752 - LUCIANO MONIZ FRANC 30/06/2021 LQ 131,75 131,75"
"Pago título: 2111000678 3762 - LAT CINIO FAZENDA S 30/06/2021 LQ 257,63 257,63"
"Pago título: 2111000680 3769 - CONDOM NIO RESIDENC 30/06/2021 LQ 1094,16 1094,16"
"Pago título: 2111000681 3773 - N CTAR BRIX IND STR 30/06/2021 LQ 216,03 216,03"
"Pago título: 2111000688 3800 - TEKDIESEL COM RCIO 30/06/2021 LQ 210,31 210,31"
"Pago título: 2111000692 3814 - CL NICA PIERRO LTDA 30/06/2021 LQ 109,91 109,91"
"Pago título: 2111000693 3820 - ASSOCIA  O DE AMIGO 30/06/2021 LQ 581,44 581,44"
"Pago título: 2111000694 3821 - FITESA N O TECIDOS 30/06/2021 LQ 329,36 329,36"
"Pago título: 2111000695 3823 - SOLVEN SOLVENTES E 30/06/2021 LQ 322,05 322,05"
"Pago título: 2111000700 3849 - GOOD BOM SUPERMERCA 30/06/2021 LQ 236,69 236,69"
"Pago título: 2111000702 3859 - FORESTO E FLORIAM C 30/06/2021 LQ 393,99 393,99"
"Pago título: 2111000703 3869 - LOGBRAS CABRE VA EM 30/06/2021 LQ 256,17 256,17"
"Pago título: 2111000704 3872 - ADATA INTEGRATION B 30/06/2021 LQ 1912,47 1912,47"
"Pago título: 2111000708 3880 - CONSORCIO BDP OAS-C 30/06/2021 LQ 895,87 895,87"
"Pago título: 2111000709 3894 - LUXOTTICA BRASIL PR 30/06/2021 LQ 1295,69 1295,69"
"Pago título: 2111000711 3897 - BAGLEY DO BRASIL AL 30/06/2021 LQ 299,04 299,04"
"Pago título: 2111000716 3910 - R. C. A. SERVI OS D 30/06/2021 LQ 221,28 221,28"
"Pago título: 2111000717 3913 - ENSINO INFANTIL E F 30/06/2021 LQ 215,61 215,61"
"Pago título: 2111000718 3914 - ANDRETA MOTORS LTDA 30/06/2021 LQ 182,61 182,61"
"Pago título: 2111000722 3934 - GITEX - GASPARINI I 30/06/2021 LQ 160,64 160,64"
"Pago título: 2111000726 3944 - VULKAN DO BRASIL LT 30/06/2021 LQ 191,92 191,92"
"Pago título: 2111000729 3956 - COMERCIAL LIBERATO 30/06/2021 LQ 101,89 101,89"
"Pago título: 2111000730 3970 - PAGUE MENOS COM RCI 30/06/2021 LQ 175,71 175,71"
"Pago título: 2111000736 3988 - COMOTEC IND STRIA E 30/06/2021 LQ 216,07 216,07"
"Pago título: 2111000741 4030 - EMBRASATEC INDUSTRI 30/06/2021 LQ 396,83 396,83"
"Pago título: 2111000743 4039 - BRASCABOS COMPONENT 30/06/2021 LQ 324,58 324,58"
"Pago título: 2111000745 4046 - PAULO C SAR RODRIGU 30/06/2021 LQ 296,43 296,43"
"Pago título: 2111000746 4054 - CONDOMINIO PALAZZO 30/06/2021 LQ 271,57 271,57"
"Pago título: 2111000748 4057 - TEXTIL JAVANEZA LTD 30/06/2021 LQ 210,94 210,94"
"Pago título: 2111000754 4077 - RUY MARCO ANTONIO 30/06/2021 LQ 372,4 372,4"
"Pago título: 2111000759 4120 - A & S TECHNOLOGIES 30/06/2021 LQ 307,41 307,41"
"Pago título: 2111000760 4128 - BISPHARMA EMBALAGEN 30/06/2021 LQ 209,4 209,4"
"Pago título: 2111000766 4212 - LUBRIZOL DO BRASIL 30/06/2021 LQ 337,26 337,26"
"Pago título: 2111000767 4240 - UNIMIL IND E COM DE 30/06/2021 LQ 309,64 309,64"
"Pago título: 2111000769 4257 - TOPFORM IND STRIA P 30/06/2021 LQ 292,77 292,77"
"Pago título: 2111000771 4308 - COMERCIAL ZARAGOZA 30/06/2021 LQ 182,61 182,61"
"Pago título: 2111000772 4309 - ANDAIMES METAX EQUI 30/06/2021 LQ 303,2 303,2"
"Pago título: 2111000774 4326 - CATARINA MARA DE PA 30/06/2021 LQ 145,89 145,89"
"Pago título: 2111000776 4339 - JOATE DO BRASIL ADM 30/06/2021 LQ 288,76 288,76"
"Pago título: 2111000777 4343 - SUMERBOL SUPERMERCA 30/06/2021 LQ 368,81 368,81"
"Pago título: 2111000781 4399 - TAUSTE SUPERMERCADO 30/06/2021 LQ 421,14 421,14"
"Pago título: 2111000782 4400 - SUPERMERCADOS CAVIC 30/06/2021 LQ 177,52 177,52"
"Pago título: 2111000784 4403 - SAUVET INDUSTRIA FA 30/06/2021 LQ 152,14 152,14"
"Pago título: 2111000785 4405 - ROYAL PALM OPERADOR 30/06/2021 LQ 361,8 361,8"
"Pago título: 2111000786 4442 - LUIZ CARLOS BERTOS 30/06/2021 LQ 95,95 95,95"
"Pago título: 2111000787 4443 - CONDOMINIO CENTRO L 30/06/2021 LQ 313,8 313,8"
"Pago título: 2111000790 4464 - ASSOCIA  O PARA A G 30/06/2021 LQ 309,64 309,64"
"Pago título: 2111000791 4468 - FARO S O THOM  HOTE 30/06/2021 LQ 332,63 332,63"
"Pago título: 2111000792 4483 - SUPERMIX CONCRETO S 30/06/2021 LQ 289,19 289,19"
"Pago título: 2111000794 4500 - ALSCO TOALHEIRO BRA 30/06/2021 LQ 304,92 304,92"
"Pago título: 2111000796 4502 - ASSOCIACAO EDUCACIO 30/06/2021 LQ 119,18 119,18"
"Pago título: 2111000797 4503 - ASSOCIACAO IRMAS DA 30/06/2021 LQ 176,11 176,11"
"Pago título: 2111000798 4504 - C R EMPREENDIMENTOS 30/06/2021 LQ 232,35 232,35"
"Pago título: 2111000802 4526 - ATRIO HOT IS S/A 30/06/2021 LQ 150,04 150,04"
"Pago título: 2111000805 4612 - PAGUE MENOS COMERCI 30/06/2021 LQ 439,13 439,13"
"Pago título: 2111000806 4613 - PAGUE MENOS COMERCI 30/06/2021 LQ 615,87 615,87"
"Pago título: 2111000812 4715 - ACD EMPREENDIMENTOS 30/06/2021 LQ 175,06 175,06"
"Pago título: 2111000814 4736 - USIMIX CONCRETO USI 30/06/2021 LQ 292,77 292,77"
"Pago título: 2111000816 4745 - PAGUE MENOS COMERCI 30/06/2021 LQ 189,36 189,36"
"Pago título: 2111000818 4764 - ASSOCIA  O DOS PROP 30/06/2021 LQ 2320,17 2320,17"
"Pago título: 2111000819 4769 - PAGUE MENOS COM RCI 30/06/2021 LQ 351,32 351,32"
"Pago título: 2111000821 4781 - GABRIEL BORDON DE A 30/06/2021 LQ 307,41 307,41"
"Pago título: 2111000823 4810 - ULMA PACKAGING LTDA 30/06/2021 LQ 339,76 339,76"
"Pago título: 2111000825 4833 - FACE EMPREENDIMENTO 30/06/2021 LQ 322,05 322,05"
"Pago título: 2111000834 4884 - OTTO BAUMGART INDUS 30/06/2021 LQ 732,48 732,48"
"Pago título: 2111000835 4885 - PAGUE MENOS COMERCI 30/06/2021 LQ 439,13 439,13"
"Pago título: 2111000836 4889 - ENGEP AMBIENTAL LTD 30/06/2021 LQ 292,77 292,77"
"Pago título: 2111000837 4915 - CLUBE FONTE S O PAU 30/06/2021 LQ 292,77 292,77"
"Pago título: 2111000838 4952 - SANDMIX MINERACAO L 30/06/2021 LQ 232,74 232,74"
"Pago título: 2111000839 4962 - BORDEAUX TEXTIL - E 30/06/2021 LQ 249,05 249,05"
"Pago título: 2111000842 5046 - CONSORCIO BP OAS-CE 30/06/2021 LQ 1881,17 1881,17"
"Pago título: 2111000843 5075 - IND STRIA DE PRODUT 30/06/2021 LQ 277,2 277,2"
"Pago título: 2111000844 5080 - ALEGRO HOTEL BY TAU 30/06/2021 LQ 224,34 224,34"
"Pago título: 2111000846 5152 - MD04AT EMPREENDIMEN 30/06/2021 LQ 129,96 129,96"
"Pago título: 2111000847 5162 - MOACIR ANTONIO DIDO 30/06/2021 LQ 367,39 367,39"
"Pago título: 2111000849 5184 - AUTO POSTO PAV O BO 30/06/2021 LQ 292,77 292,77"
"Pago título: 2111000851 5188 - WEIR DO BRASIL LTDA 30/06/2021 LQ 143,61 143,61"
"Pago título: 2111000853 5214 - NOVA PLAST IND E CO 30/06/2021 LQ 189,65 189,65"
"Pago título: 2111000854 5215 - COMPANHIA AGR COLA 30/06/2021 LQ 2554,68 2554,68"
"Pago título: 2111000855 5234 - VALICON SERVI OS PA 30/06/2021 LQ 662,36 662,36"
"Pago título: 2111000861 5333 - FIA  O FIDES LTDA. 30/06/2021 LQ 273,74 273,74"
"Pago título: 2111000863 5337 - FUZETTO IND STRIA E 30/06/2021 LQ 307,57 307,57"
"Pago título: 2111000864 5350 - CONDOMINIO RESERVA 30/06/2021 LQ 23,81 23,81"
"Pago título: 2111000868 5398 - PAGUE MENOS COMERCI 30/06/2021 LQ 190,44 190,44"
"Pago título: 2111000869 5401 - MARZO VITORINO - IN 30/06/2021 LQ 147,27 147,27"
"Pago título: 2111000873 5417 - TCP SALTO INDUSTRIA 30/06/2021 LQ 673,37 673,37"
"Pago título: 2111000875 5425 - SUPERMERCADO DELTA 30/06/2021 LQ 233,42 233,42"
"Pago título: 2111000877 5444 - ASSOCIA  O HELVETIA 30/06/2021 LQ 585,53 585,53"
"Pago título: 2111000880 5454 - HEALTH NUTRI  O E S 30/06/2021 LQ 276,47 276,47"
"Pago título: 2111000882 5458 - 2F EMPREND PARTICIP 30/06/2021 LQ 215,77 215,77"
"Pago título: 2111000883 5459 - SANDRO CAMARGO 30/06/2021 LQ 257,63 257,63"
"Pago título: 2111000884 5462 - SERVICO SOCIAL DA I 30/06/2021 LQ 234,21 234,21"
"Pago título: 2111000896 5526 - PAGUE MENOS COM RCI 30/06/2021 LQ 292,77 292,77"
"Pago título: 2111000897 5527 - RENOVIAS CONCESSION 30/06/2021 LQ 398,16 398,16"
"Pago título: 2111000903 5563 - ANDRADE & LATORRE E 30/06/2021 LQ 397,43 397,43"
"Pago título: 2111000904 5565 - WHITE MARTINS GASES 30/06/2021 LQ 180,34 180,34"
"Pago título: 2111000905 5570 - SUPERMERCADO E REST 30/06/2021 LQ 156,73 156,73"
"Pago título: 2111000906 5571 - FENIX AGRO-PECUS IN 30/06/2021 LQ 231,1 231,1"
"Pago título: 2111000908 5578 - INDUSTRIAS MACHINA 30/06/2021 LQ 206,41 206,41"
"Pago título: 2111000909 5591 - M.V.S MINERA  O VAL 30/06/2021 LQ 93,45 93,45"
"Pago título: 2111000910 5596 - PARMIGIANI & HACHMA 30/06/2021 LQ 397,43 397,43"
"Pago título: 2111000914 5613 - AMPHENOL TFC DO BRA 30/06/2021 LQ 731,92 731,92"
"Pago título: 2111000921 5632 - RODOVIARIO MORADA D 30/06/2021 LQ 230,16 230,16"
"Pago título: 2111000922 5640 - LOLOPET ALIMENTOS N 30/06/2021 LQ 322,89 322,89"
"Pago título: 2111000923 5641 - PARAMOUNT INDUSTRIA 30/06/2021 LQ 155,36 155,36"
"Pago título: 2111000925 5777 - HOSPITAL SANTA ELIS 30/06/2021 LQ 378,37 378,37"
"Pago título: 2111000933 6936 - ANHANGUERA COM RCIO 30/06/2021 LQ 361,78 361,78"
"Pago título: 2111000935 7070 - REDE DOM PEDRO DE P 30/06/2021 LQ 370,57 370,57"
"Pago título: 2111000939 7201 - CONDOMINIO EDIFICIO 30/06/2021 LQ 349,25 349,25"
"Pago título: 2111000940 7297 - ROBERTO SUEHIRO YOK 30/06/2021 LQ 363,43 363,43"
"Pago título: 2111000942 7332 - AGRIVALLE BRASIL IN 30/06/2021 LQ 202,73 202,73"
"Pago título: 2111000944 7334 - PRO MODA TEXTIL LTD 30/06/2021 LQ 124,99 124,99"
"Pago título: 2111000946 7364 - GOODBOM SUPERMERCAD 30/06/2021 LQ 299,88 299,88"
"Pago título: 2111000948 7624 - LUIS ANT NIO FERRET 30/06/2021 LQ 33,25 33,25"
"Pago título: 2113000006 156 - EMBRASATEC INDUSTRIA 30/06/2021 LQ 201,81 201,81"
"Pago título: 2113000009 176 - SERVI O SOCIAL DO CO 30/06/2021 LQ 238,79 238,79"
"Pago título: 2113000015 275 - TEXTIL CARVALHO E FI 30/06/2021 LQ 211,68 211,68"
"Pago título: 2113000018 285 - CAPIVARI CLUBE 30/06/2021 LQ 203,37 203,37"
"Pago título: 2113000021 377 - XERIUM TECHNOLOGIES 30/06/2021 LQ 251,04 251,04"
"Pago título: 2113000024 384 - PRO-METAL BENEFICIAM 30/06/2021 LQ 200,18 200,18"
"Pago título: 2113000030 424 - MANN HUMMEL BRASIL L 30/06/2021 LQ 227,4 227,4"
"Pago título: 2113000039 581 - ATACADAO S/A 30/06/2021 LQ 218,82 218,82"
"Pago título: 2113000042 584 - INSTITUTO SECULAR IR 30/06/2021 LQ 237,97 237,97"
"Pago título: 2113000045 611 - ALEKSANDAR TOMIC 30/06/2021 LQ 243,97 243,97"
"Pago título: 2113000048 613 - PAULO AGNELO MALZONI 30/06/2021 LQ 243,97 243,97"
"Pago título: 2113000051 701 - ADERITO MARIO DA COS 30/06/2021 LQ 258,06 258,06"
"Pago título: 2113000057 737 - ROSILAINE DIONIZIO D 30/06/2021 LQ 226,32 226,32"
"Pago título: 2113000063 914 - IC TRANSPORTES LTDA 30/06/2021 LQ 231,63 231,63"
"Pago título: 2113000069 990 - ASTRA S/A INDUSTRIA 30/06/2021 LQ 256,95 256,95"
"Pago título: 2113000072 1014 - CASCALHO - EXTRA  O 30/06/2021 LQ 220,03 220,03"
"Pago título: 2113000075 1028 - CONDOMINIO EDIFICIO 30/06/2021 LQ 218,77 218,77"
"Pago título: 2113000087 1187 - FLORIDIANA TENIS CL 30/06/2021 LQ 212,17 212,17"
"Pago título: 2113000096 1317 - SUPERMERCADO TAQUAR 30/06/2021 LQ 210,17 210,17"
"Pago título: 2113000099 1482 - OLIVEIRA & OLIVEIRA 30/06/2021 LQ 259,82 259,82"
"Pago título: 2113000105 1565 - MANCHESTER QUIMICA 30/06/2021 LQ 248,85 248,85"
"Pago título: 2113000108 1612 - SILVIO VALDIR BERTO 30/06/2021 LQ 203,96 203,96"
"Pago título: 2113000111 1671 - VITTIA FERTILIZANTE 30/06/2021 LQ 226,48 226,48"
"Pago título: 2113000114 1690 - CONCREBASE SERVICOS 30/06/2021 LQ 200,2 200,2"
"Pago título: 2113000117 1699 - JRPH RESORT HOTEL P 30/06/2021 LQ 209,81 209,81"
"Pago título: 2113000120 1718 - HOTELARIA BRASIL LT 30/06/2021 LQ 243,14 243,14"
"Pago título: 2113000123 1763 - ASSOC DOS PROP DO L 30/06/2021 LQ 243,97 243,97"
"Pago título: 2113000129 1838 - MARGARETH CASTILHO 30/06/2021 LQ 228,14 228,14"
"Pago título: 2113000135 1868 - FORMIGAO COMERCIO D 30/06/2021 LQ 204,78 204,78"
"Pago título: 2113000138 1871 - PREFEITURA MUNICIPA 30/06/2021 LQ 234,21 234,21"
"Pago título: 2113000141 1922 - TING INDUSTRIA E CO 30/06/2021 LQ 203,12 203,12"
"Pago título: 2113000144 1935 - MINERGUITA MINERA 30/06/2021 LQ 237,11 237,11"
"Pago título: 2113000147 2030 - GLOBALPACK INDUSTRI 30/06/2021 LQ 255,29 255,29"
"Pago título: 2113000150 2034 - MARCOS ANTONIO SOLI 30/06/2021 LQ 212,7 212,7"
"Pago título: 2113000162 2076 - PH FIT - FITAS E IN 30/06/2021 LQ 260,43 260,43"
"Pago título: 2113000165 2169 - ASSOCIA  O DE PROPR 30/06/2021 LQ 219,58 219,58"
"Pago título: 2113000168 2184 - CABLENA DO BRASIL L 30/06/2021 LQ 261,8 261,8"
"Pago título: 2113000171 2209 - AUTO POSTO 1500 DO 30/06/2021 LQ 204,93 204,93"
"Pago título: 2113000174 2219 - IRMAOS PARAZZI LTDA 30/06/2021 LQ 218,47 218,47"
"Pago título: 2113000180 2280 - TINTURARIA SANTA AD 30/06/2021 LQ 223,76 223,76"
"Pago título: 2113000183 2305 - FRESKIMASSAS INDUST 30/06/2021 LQ 214,7 214,7"
"Pago título: 2113000189 2372 - BELENUS DO BRASIL L 30/06/2021 LQ 241,65 241,65"
"Pago título: 2113000192 2376 - MARILIA FERNANDES D 30/06/2021 LQ 263,48 263,48"
"Pago título: 2113000195 2435 - ASSOCIA  O DO SENHO 30/06/2021 LQ 214,52 214,52"
"Pago título: 2113000198 2439 - GRAMADO MALL 30/06/2021 LQ 226,41 226,41"
"Pago título: 2113000207 2492 - PRENSA JUNDIA  S/A 30/06/2021 LQ 222,34 222,34"
"Pago título: 2113000213 2517 - M. TORETI 30/06/2021 LQ 237,74 237,74"
"Pago título: 2113000216 2582 - TEXTIL OMBORGO LTDA 30/06/2021 LQ 213,6 213,6"
"Pago título: 2113000219 2597 - TATU PREMOLDADOS LT 30/06/2021 LQ 248,85 248,85"
