"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448112907202212850.ret"
""
"Cadastrado título novo: 9000006977 521 - SPG PRINTS BRASIL LTD 31/08/2022 RG 237,31 0"
"Cadastrado título novo: 9000006978 7722 - ASSOC DE PROP DO LOT 30/09/2022 RG 207,04 0"
"Cadastrado título novo: 9000006979 7722 - ASSOC DE PROP DO LOT 31/10/2022 RG 207,05 0"
"Cadastrado título novo: 9000006980 7722 - ASSOC DE PROP DO LOT 30/11/2022 RG 207,05 0"
"Cadastrado título novo: 9000006981 5417 - TCP SALTO INDUSTRIAL 31/08/2022 RG 700,64 0"
"Cadastrado título novo: 9000006982 2239 - CERAMICA RAMOS LTDA 31/08/2022 RG 467,14 0"
"Pago título: 2220002441 1850 - DP & LF TRANSPORTES 29/07/2022 LQ 204,94 204,94"
"Pago título: 2220002445 4895 - VYLLA EMPREENDIMENTO 29/07/2022 LQ 204,94 204,94"
"Pago título: 2220002457 3415 - CONDOMINIO EDIFICIO 29/07/2022 LQ 202,52 202,52"
"Pago título: 2220002465 239 - AMCOR PACKAGING DO BR 29/07/2022 LQ 201,28 201,28"
"Pago título: 2220002469 3856 - BRASPARK ADMINISTRAD 29/07/2022 LQ 201,02 201,02"
"Pago título: 2220002487 301 - CRIA SIM PRODUTOS DE 29/07/2022 LQ 238,58 238,58"
"Pago título: 2220002492 1774 - MINERACAO SAARA EXTR 29/07/2022 LQ 237,45 237,45"
"Pago título: 2220002497 4053 - ASSOCIACAO DOS PROPR 29/07/2022 LQ 237,14 237,14"
"Pago título: 2220002502 3803 - ASSOCIACAO ALPHAVILL 29/07/2022 LQ 235,21 235,21"
"Pago título: 2220002507 7011 - JS ESPUMAS FLEXIVEIS 29/07/2022 LQ 235,08 235,08"
"Pago título: 2220002517 7294 - ASSOCIACAO DE PROPRI 29/07/2022 LQ 234,21 234,21"
"Pago título: 2220002522 86 - PROMOCAO DO ENSINO DE 29/07/2022 LQ 234,21 234,21"
"Pago título: 2220002532 2832 - THERMAS DAS AGUAS DE 29/07/2022 LQ 234,21 234,21"
"Pago título: 2220002537 3615 - IMOBILIARIA HELVETIA 29/07/2022 LQ 234,21 234,21"
"Pago título: 2220002552 2800 - CHENDEL PARTICIPACOE 29/07/2022 LQ 232,75 232,75"
"Pago título: 2220002557 894 - DAUNE TRAVESSEIROS DE 29/07/2022 LQ 230,76 230,76"
"Pago título: 2220002562 3285 - ASSSOCIACAO VILLAGE 29/07/2022 LQ 230,26 230,26"
"Pago título: 2220002572 2280 - TINTURARIA SANTA ADE 29/07/2022 LQ 228,81 228,81"
"Pago título: 2220002597 5861 - ASSOCIACAO DESPORTIV 29/07/2022 LQ 226,28 226,28"
"Pago título: 2220002607 2338 - WALDIR VIANNA ME 29/07/2022 LQ 225,09 225,09"
"Pago título: 2220002612 890 - LABORATORIO TAYUYNA L 29/07/2022 LQ 224,46 224,46"
"Pago título: 2220002627 1430 - ASSOCIACAO DOS MORAD 29/07/2022 LQ 222,5 222,5"
"Pago título: 2220002647 5250 - PEDREIRA MOGIANA LTD 29/07/2022 LQ 219,57 219,57"
"Pago título: 2220002652 1832 - LANMAR INDUSTRIA MET 29/07/2022 LQ 219,33 219,33"
"Pago título: 2220002672 969 - PRALANA INDUSTRIA E C 29/07/2022 LQ 217,75 217,75"
"Pago título: 2220002677 3288 - SELIAL IND E COM, IM 29/07/2022 LQ 217,38 217,38"
"Pago título: 2220002682 4327 - CEETEPS CENTRO ESTAD 29/07/2022 LQ 216,65 216,65"
"Pago título: 2220002687 3399 - EDENA MARIA PECHIO S 29/07/2022 LQ 216,61 216,61"
"Pago título: 2220002692 5274 - AMETEK DO BRASIL LTD 29/07/2022 LQ 216,33 216,33"
"Pago título: 2220002707 3984 - BELEM TRANSPORTES E 29/07/2022 LQ 215,61 215,61"
"Pago título: 2220002747 4136 - STORAGE ADMINISTRACA 29/07/2022 LQ 210,79 210,79"
"Pago título: 2220002767 779 - MERI IDO 29/07/2022 LQ 209,3 209,3"
"Pago título: 2220002772 953 - MAHLE COMPRESSORES DO 29/07/2022 LQ 206,82 206,82"
"Pago título: 2220002777 3945 - BRASA BURGER IND E C 29/07/2022 LQ 206,27 206,27"
"Pago título: 2220002782 617 - JOAO BOZZA JUNIOR 29/07/2022 LQ 204,94 204,94"
"Pago título: 2220002792 3424 - ASSOCIACAO DOS PROP. 29/07/2022 LQ 204,94 204,94"
"Pago título: 2220002802 3656 - FAZENDA TOZAN DO BRA 29/07/2022 LQ 204,93 204,93"
"Pago título: 2220002807 1572 - ETAPA EDUCACIONAL LT 29/07/2022 LQ 204,82 204,82"
"Pago título: 2220002812 5007 - ARRICO AGRONEGOCIOS 29/07/2022 LQ 204,74 204,74"
"Pago título: 2220002832 413 - INDUSTRIAS ROMI S/A 29/07/2022 LQ 202,87 202,87"
"Pago título: 2220002837 2367 - INDUSTRIA DE FRIOS X 29/07/2022 LQ 202,64 202,64"
"Pago título: 2220002842 3259 - BAG CLEANER COMERCIO 29/07/2022 LQ 202,32 202,32"
"Pago título: 2220002858 391 - CONDOMINIO EDIFICIO E 29/07/2022 LQ 232,33 232,33"
"Pago título: 2220002864 3616 - CONCREMIX S/A 29/07/2022 LQ 230,44 230,44"
"Pago título: 2220002870 1097 - TERRAR INDUSTRIA E C 29/07/2022 LQ 229,5 229,5"
"Pago título: 2220002876 2362 - ASSOCIACAO  PROPRIET 29/07/2022 LQ 229,26 229,26"
"Pago título: 2220002882 5870 - VILA HIPICA EMPREEND 29/07/2022 LQ 228,36 228,36"
"Pago título: 2220002894 521 - SPG PRINTS BRASIL LTD 29/07/2022 LQ 228,11 228,11"
"Pago título: 2220002900 474 - VINGI INDUSTRIA TEXTI 29/07/2022 LQ 227,97 227,97"
"Pago título: 2220002906 2686 - BOM PEIXE INDUSTRIA 29/07/2022 LQ 226,77 226,77"
"Pago título: 2220002912 495 - NEUMAYER TEKFOR AUTOM 29/07/2022 LQ 226,22 226,22"
"Pago título: 2220002918 959 - ASK PRODUTOS QUIMICOS 29/07/2022 LQ 226,08 226,08"
"Pago título: 2220002936 3547 - NEO RODAS S.A. 29/07/2022 LQ 224,46 224,46"
"Pago título: 2220002942 1113 - PPC SANTANA EQUIPAME 29/07/2022 LQ 223,29 223,29"
"Pago título: 2220002948 4829 - CLUBE RECREATIVO SUM 29/07/2022 LQ 222,02 222,02"
"Pago título: 2220002954 3853 - MONTE COR PROTECAO D 29/07/2022 LQ 221,25 221,25"
"Pago título: 2220002960 4584 - CONJUNTO RESIDENCIAL 29/07/2022 LQ 220,55 220,55"
"Pago título: 2220002978 2528 - MULTILOG BRASIL S.A. 29/07/2022 LQ 219,58 219,58"
"Pago título: 2220002990 4840 - CIALENE INDUSTRIA E 29/07/2022 LQ 219,58 219,58"
"Pago título: 2220002996 3124 - BARREIRENSE PRODUTOS 29/07/2022 LQ 219,58 219,58"
"Pago título: 2220003002 2935 - CERAMICA ALMEIDA LTD 29/07/2022 LQ 219,58 219,58"
"Pago título: 2220003008 3890 - V. BARROS PARTICIPAC 29/07/2022 LQ 219,58 219,58"
"Pago título: 2220003014 4938 - MOMBUCA BENEFICIADOR 29/07/2022 LQ 219,58 219,58"
"Pago título: 2220003020 3160 - VIA APPIA FESTAS E E 29/07/2022 LQ 219,57 219,57"
"Pago título: 2220003032 2653 - TANQUE MATERIAS PARA 29/07/2022 LQ 219,24 219,24"
"Pago título: 2220003038 1415 - DPV PRODUTOS QUIMICO 29/07/2022 LQ 218,63 218,63"
"Pago título: 2220003044 3594 - CPM CONCRETO DE PRE 29/07/2022 LQ 218,04 218,04"
"Pago título: 2220003056 5 - AMCOR RIGID PLASTICS DO 29/07/2022 LQ 216,43 216,43"
"Pago título: 2220003062 3516 - JOSE JORGE BERARDINE 29/07/2022 LQ 214,7 214,7"
"Pago título: 2220003080 7659 - LUIZ BASILIO REANI 29/07/2022 LQ 214,17 214,17"
"Pago título: 2220003086 2227 - COMSAPE EXTRACAO E C 29/07/2022 LQ 214,03 214,03"
"Pago título: 2220003092 1276 - INDUSTRIA E COMERCIO 29/07/2022 LQ 213,45 213,45"
"Pago título: 2220003098 186 - OBER S/A INDUSTRIA E 29/07/2022 LQ 213,23 213,23"
"Pago título: 2220003104 473 - TECELAGEM CHUAHY LTDA 29/07/2022 LQ 213,04 213,04"
"Pago título: 2220003116 975 - BANN QUIMICA LTDA 29/07/2022 LQ 211,58 211,58"
"Pago título: 2220003122 2469 - RICLAN S/A 29/07/2022 LQ 211,5 211,5"
"Pago título: 2220003128 1649 - CONDOMINIO CASA GRAN 29/07/2022 LQ 210,79 210,79"
"Pago título: 2220003134 1414 - CERVEJARIA ASHBY LTD 29/07/2022 LQ 210,03 210,03"
"Pago título: 2220003140 289 - INDUSTRIA CERAMICA FR 29/07/2022 LQ 209,82 209,82"
"Pago título: 2220003146 1558 - CONDOMINIO CHACARAS 29/07/2022 LQ 209,82 209,82"
"Pago título: 2220003158 5773 - OWB INDUSTRIA DE AUT 29/07/2022 LQ 208,44 208,44"
"Pago título: 2220003218 2687 - ROTOCROM INDUSTRIA E 29/07/2022 LQ 203,76 203,76"
"Pago título: 2220003272 875 - RICHARD KLINGER INDUS 29/07/2022 LQ 200,03 200,03"
"Pago título: 2220003278 1111 - CIA SANEAMENTO BASIC 29/07/2022 LQ 445448,28 445448,28"
"Pago título: 2220003285 898 - SERVICO MUNICIPAL DE 29/07/2022 LQ 250944,29 250944,29"
"Pago título: 2220003299 1078 - DAE S/A AGUA E ESGOT 29/07/2022 LQ 117709,08 117709,08"
"Pago título: 2220003320 882 - SERVICO AUTONOMO DE A 29/07/2022 LQ 79458,34 79458,34"
"Pago título: 2220003334 1052 - DEPARTAMENTO DE AGUA 29/07/2022 LQ 63071,83 63071,83"
"Pago título: 2220003341 828 - SERVICO AUTONOMO DE A 29/07/2022 LQ 56971,89 56971,89"
"Pago título: 2220003355 919 - COMPANHIA DE DESENVOL 29/07/2022 LQ 44433,2 44433,2"
"Pago título: 2220003362 831 - DEPARTAMENTO DE AGUAS 29/07/2022 LQ 41817,17 41817,17"
"Pago título: 2220003369 976 - SOCIEDADE DE ABASTECI 29/07/2022 LQ 40244,64 40244,64"
"Pago título: 2220003376 1035 - RAIZEN ENERGIA S/A 29/07/2022 LQ 40054,06 40054,06"
"Pago título: 2220003390 832 - SANEAMENTO BASICO VIN 29/07/2022 LQ 33837,13 33837,13"
"Pago título: 2220003411 966 - SERVICO DE AGUA E ESG 29/07/2022 LQ 25495,14 25495,14"
"Pago título: 2220003418 962 - SAO MARTINHO S.A. 29/07/2022 LQ 25062,6 25062,6"
"Pago título: 2220003425 1057 - CIA SANEAMENTO BASIC 29/07/2022 LQ 21427,84 21427,84"
"Pago título: 2220003459 1084 - COMPANHIA DE SANEAME 29/07/2022 LQ 17626,67 17626,67"
"Pago título: 2220003460 1084 - COMPANHIA DE SANEAME 29/07/2022 LQ 17626,64 17626,64"
"Pago título: 2220003474 5261 - CIA DE SANEAMENTO BA 29/07/2022 LQ 17302,09 17302,09"
"Pago título: 2220003481 1000 - CIA SANEAMENTO BASIC 29/07/2022 LQ 17077,28 17077,28"
"Pago título: 2220003495 944 - PREFEITURA MUNICIPAL 29/07/2022 LQ 14520,42 14520,42"
"Pago título: 2220003509 1067 - CIA SANEAMENTO BASIC 29/07/2022 LQ 12207,24 12207,24"
"Pago título: 2220003516 1073 - CIA SANEAMENTO BASIC 29/07/2022 LQ 11381,69 11381,69"
"Pago título: 2220003523 822 - AGUAS DE HOLAMBRA SAN 29/07/2022 LQ 10430,32 10430,32"
"Pago título: 2220003537 1058 - CIA SANEAMENTO BASIC 29/07/2022 LQ 10002,41 10002,41"
"Pago título: 2220003544 920 - ELEKEIROZ S/A 29/07/2022 LQ 9546,42 9546,42"
"Pago título: 2220003551 1484 - DELTA INDUSTRIA CERA 29/07/2022 LQ 9365,49 9365,49"
"Pago título: 2220003558 1123 - CIA SANEAMENTO BASIC 29/07/2022 LQ 9250,96 9250,96"
"Pago título: 2220003572 986 - PREFEITURA MUNICIPAL 29/07/2022 LQ 8845,9 8845,9"
"Pago título: 2220003579 821 - PREFEITURA MUNICIPAL 29/07/2022 LQ 8131 8131"
"Pago título: 2220003586 5355 - CIA DE SANEAMENTO BA 29/07/2022 LQ 7296,85 7296,85"
"Pago título: 2220003593 1064 - CIA SANEAMENTO BASIC 29/07/2022 LQ 6687,95 6687,95"
"Pago título: 2220003600 885 - CP KELCO BRASIL S/A 29/07/2022 LQ 6233,33 6233,33"
"Pago título: 2220003607 6490 - USINA IRB S.A. 29/07/2022 LQ 6192,84 6192,84"
"Pago título: 2220003614 500 - BIGNARDI IND E COM DE 29/07/2022 LQ 6060,2 6060,2"
"Pago título: 2220003628 1070 - CIA SANEAMENTO BASIC 29/07/2022 LQ 5748,27 5748,27"
"Pago título: 2220003635 845 - THYSSENKRUPP METALURG 29/07/2022 LQ 5652,76 5652,76"
"Pago título: 2220003642 1060 - CIA SANEAMENTO BASIC 29/07/2022 LQ 5577,77 5577,77"
"Pago título: 2220003663 868 - PREFEITURA MUNICIPAL 29/07/2022 LQ 4782,14 4782,14"
"Pago título: 2220003675 5514 - AGUAS DO MIRANTE 26/12/2022 LQ 4534,63 4534,63"
"Pago título: 2220003677 1110 - SERVICO AUTONOMO DE 29/07/2022 LQ 4522,93 4522,93"
"Pago título: 2220003712 2359 - AGROPECUARIA TUIUTI 29/07/2022 LQ 3712,49 3712,49"
"Pago título: 2220003719 1405 - ASSOCIACAO LOTEAMENT 29/07/2022 LQ 3662,78 3662,78"
"Pago título: 2220003726 1063 - CIA SANEAMENTO BASIC 29/07/2022 LQ 3662,16 3662,16"
"Pago título: 2220003733 891 - TIMAVO DO BRASIL S/A 29/07/2022 LQ 3572,06 3572,06"
"Pago título: 2220003740 417 - EMBRAMACO EMPRESA BRA 29/07/2022 LQ 3536,5 3536,5"
"Pago título: 2220003747 1195 - TEXTIL CANATIBA LTDA 29/07/2022 LQ 3448,55 3448,55"
"Pago título: 2220003754 499 - SPAL INDUSTRIA BRASIL 29/07/2022 LQ 3333,99 3333,99"
"Pago título: 2220003761 948 - QUINTA DA BARONEZA GO 29/07/2022 LQ 3327,5 3327,5"
"Pago título: 2220003768 1169 - MINERACAO JUNDU LTDA 29/07/2022 LQ 3238,69 3238,69"
"Pago título: 2220003789 332 - CBR BRANDS INDUSTRIA 29/07/2022 LQ 2969,93 2969,93"
"Pago título: 2220003796 2289 - ADVANCE INDUSTRIA TE 29/07/2022 LQ 2952,21 2952,21"
"Pago título: 2220003810 160 - ASSOCIACAO RESIDENCIA 29/07/2022 LQ 2850,29 2850,29"
"Pago título: 2220003824 7351 - COMPANHIA DE SANEAME 29/07/2022 LQ 2747,82 2747,82"
"Pago título: 2220003831 1575 - SO AGUA COMERCIO E S 29/07/2022 LQ 2508,55 2508,55"
"Pago título: 2220003838 3384 - FRIGODELISS LTDA 29/07/2022 LQ 2464,29 2464,29"
"Pago título: 2220003845 1848 - PREFEITURA MUNICIPAL 29/07/2022 LQ 2413,23 2413,23"
"Pago título: 2220003887 476 - CLUBE DE CAMPO VALINH 29/07/2022 LQ 2254,76 2254,76"
"Pago título: 2220003894 842 - REGIMAR COMERCIAL S/A 29/07/2022 LQ 2236,8 2236,8"
"Pago título: 2220003901 206 - ROUSSELOT GELATINAS D 29/07/2022 LQ 2226,34 2226,34"
"Pago título: 2220003908 5601 - ASSOCIACAO DOS PROPR 29/07/2022 LQ 2216,66 2216,66"
"Pago título: 2220003915 1075 - TINTEX TINTURARIA TE 29/07/2022 LQ 2183,9 2183,9"
"Pago título: 2220003922 12 - AGUAJATO TRANSPORTES L 29/07/2022 LQ 2180,75 2180,75"
"Pago título: 2220003929 219 - SI GROUP CRIOS RESINA 29/07/2022 LQ 2133,8 2133,8"
"Pago título: 2220003957 1074 - CIA SANEAMENTO BASIC 29/07/2022 LQ 2066,32 2066,32"
"Pago título: 2220003964 2861 - KORIN AGROPECUARIA L 29/07/2022 LQ 2063,59 2063,59"
"Pago título: 2220003971 1194 - TEXTIL CANATIBA LTDA 29/07/2022 LQ 1972,73 1972,73"
"Pago título: 2220003985 917 - BMB BELGO MINEIRA BEK 29/07/2022 LQ 1961,79 1961,79"
"Pago título: 2220003992 2361 - TECELAGEM JOLITEX LT 29/07/2022 LQ 1961,25 1961,25"
"Pago título: 2220003999 906 - TINTURARIA E ESTAMPAR 29/07/2022 LQ 1934,34 1934,34"
"Pago título: 2220004006 839 - BUTILAMIL INDUSTRIAS 29/07/2022 LQ 1933,31 1933,31"
"Pago título: 2220004020 1002 - CIA SANEAMENTO BASIC 29/07/2022 LQ 1918,74 1918,74"
"Pago título: 2220004027 1459 - CIA SANEAMENTO BASIC 29/07/2022 LQ 1910,84 1910,84"
"Pago título: 2220004034 480 - PAPIRUS INDUSTRIA DE 29/07/2022 LQ 1853,08 1853,08"
"Pago título: 2220004041 585 - TEKA - TECELAGEM KUEN 29/07/2022 LQ 1849,98 1849,98"
"Pago título: 2220004048 5076 - CLUBE DE CAMPO FAZEN 29/07/2022 LQ 1848,61 1848,61"
"Pago título: 2220004055 1086 - ENGENHO SAO PEDRO AG 29/07/2022 LQ 1842,28 1842,28"
"Pago título: 2220004062 895 - FRIGORIFICO ANGELELLI 29/07/2022 LQ 1840,99 1840,99"
"Pago título: 2220004076 880 - MD PAPEIS LTDA 29/07/2022 LQ 1814,51 1814,51"
"Pago título: 2220004083 1116 - CROWN  EMBALAGENS ME 29/07/2022 LQ 1809,83 1809,83"
"Pago título: 2220004104 6923 - PAULO CASTEJON GUERR 29/07/2022 LQ 1752,42 1752,42"
"Pago título: 2220004111 257 - PASTIFICIO SELMI S/A 29/07/2022 LQ 1725,7 1725,7"
"Pago título: 2220004117 43 - CONDOMINIO RESIDENCIAL 30/06/2022 LQ 1693,87 1744,11"
"Pago título: 2220004118 43 - CONDOMINIO RESIDENCIAL 29/07/2022 LQ 1693,86 1693,86"
"Pago título: 2220004119 43 - CONDOMINIO RESIDENCIAL 31/08/2022 LQ 1693,86 1693,86"
"Pago título: 2220004120 43 - CONDOMINIO RESIDENCIAL 30/09/2022 LQ 1693,86 1693,86"
"Pago título: 2220004121 43 - CONDOMINIO RESIDENCIAL 31/10/2022 LQ 1693,86 1693,86"
"Pago título: 2220004122 43 - CONDOMINIO RESIDENCIAL 30/11/2022 LQ 1693,86 1693,86"
"Pago título: 2220004123 43 - CONDOMINIO RESIDENCIAL 26/12/2022 LQ 1693,86 1693,86"
"Pago título: 2220004146 1001 - CIA SANEAMENTO BASIC 29/07/2022 LQ 1642,23 1642,23"
"Pago título: 2220004153 184 - TECELAGEM JOLITEX LTD 29/07/2022 LQ 1632,83 1632,83"
"Pago título: 2220004160 1136 - VILLARES METALS S/A 29/07/2022 LQ 1627,37 1627,37"
"Pago título: 2220004174 1055 - CARTONIFICIO VALINHO 29/07/2022 LQ 1582,47 1582,47"
"Pago título: 2220004195 3535 - JOFEGE FIACAO E TECE 29/07/2022 LQ 1524,61 1524,61"
"Pago título: 2220004209 2750 - SERVICO AUTONOMO DE 29/07/2022 LQ 1485,9 1485,9"
"Pago título: 2220004216 372 - ASSOCIACAO MORAD PROP 29/07/2022 LQ 1465,92 1465,92"
"Pago título: 2220004223 4481 - CLARIPEL INDUSTRIA D 29/07/2022 LQ 1405,93 1405,93"
"Pago título: 2220004230 22 - HONDA AUTOMOVEIS DO BR 29/07/2022 LQ 1400,95 1400,95"
"Pago título: 2220004244 5553 - ASSOCIACAO MASTER DA 29/07/2022 LQ 1385,46 1385,46"
"Pago título: 2220004251 2583 - FRESENIUS MEDICAL CA 29/07/2022 LQ 1383,68 1383,68"
"Pago título: 2220004258 3701 - ASSOCIACAO DE SOCIOS 29/07/2022 LQ 1380,19 1380,19"
"Pago título: 2220004265 98 - SOCIEDADE RESIDENCIAL 29/07/2022 LQ 1371,79 1371,79"
"Pago título: 2220004279 903 - MINASA TRADING INTERN 29/07/2022 LQ 1334,7 1334,7"
"Pago título: 2220004286 955 - PREFEITURA DO MUNICIP 29/07/2022 LQ 1317,32 1317,32"
"Pago título: 2220004293 2497 - CARVALHEIRA INDUSTRI 29/07/2022 LQ 1314,02 1314,02"
"Pago título: 2220004300 505 - ASSOCIACAO AMIGOS DO 29/07/2022 LQ 1280,55 1280,55"
"Pago título: 2220004307 1054 - CIA SANEAMENTO BASIC 29/07/2022 LQ 1273,94 1273,94"
"Pago título: 2220004314 462 - AD'ORO S/A 29/07/2022 LQ 1268,24 1268,24"
"Pago título: 2220004321 923 - EMS S/A 29/07/2022 LQ 1260,99 1260,99"
"Pago título: 2220004335 507 - TINTURARIA UNIVERSO L 29/07/2022 LQ 1242,63 1242,63"
"Pago título: 2220004356 7321 - COMPANHIA DE SANEAME 29/07/2022 LQ 1198,11 1198,11"
"Pago título: 2220004363 2019 - BAERLOCHER DO BRASIL 29/07/2022 LQ 1196,14 1196,14"
"Pago título: 2220004370 490 - SAINT-GOBAIN DO BRASI 29/07/2022 LQ 1189,85 1189,85"
"Pago título: 2220004377 452 - WHIRLPOOL S/A 29/07/2022 LQ 1177,67 1177,67"
"Pago título: 2220004391 1143 - CASTELO ALIMENTOS S/ 29/07/2022 LQ 1151,82 1151,82"
"Pago título: 2220004398 203 - TINTURARIA E ESTAMPAR 29/07/2022 LQ 1151,18 1151,18"
"Pago título: 2220004412 3111 - BRASWELL PAPEL E CEL 29/07/2022 LQ 1131,25 1131,25"
"Pago título: 2220004419 3683 - NOVAPORCELANATO INDU 29/07/2022 LQ 1129,24 1129,24"
"Pago título: 2220004426 5628 - SAFRA INDUSTRIA E CO 29/07/2022 LQ 1127,15 1127,15"
"Pago título: 2220004433 7373 - LEVISSIMA DISTRIBUIC 29/07/2022 LQ 1104,15 1104,15"
"Pago título: 2220004454 383 - EATON LTDA 29/07/2022 LQ 1082,97 1082,97"
"Pago título: 2220004468 3491 - H2ORA DISTRIBUIDORA 29/07/2022 LQ 1070,48 1070,48"
"Pago título: 2220004475 1050 - CIA SANEAMENTO BASIC 29/07/2022 LQ 1069,92 1069,92"
"Pago título: 2220004503 1145 - JOBEMA DISTRIBUIDORA 29/07/2022 LQ 1044,68 1044,68"
"Pago título: 2220004510 1567 - RPR CAPTACAO E TRANS 29/07/2022 LQ 1043,04 1043,04"
"Pago título: 2220004517 157 - CONDOMINIO TECH TOWN 29/07/2022 LQ 1042,13 1042,13"
"Pago título: 2220004531 1004 - BRANYL COMERCIO E IN 29/07/2022 LQ 1028,19 1028,19"
"Pago título: 2220004545 5599 - COOPERATIVA PECUARIA 29/07/2022 LQ 1018,44 1018,44"
"Pago título: 2220004559 888 - INCOPISOS INDUSTRIA E 29/07/2022 LQ 1003,77 1003,77"
"Pago título: 2220004573 2074 - SALTORELLI TINTURARI 29/07/2022 LQ 991,96 991,96"
"Pago título: 2220004608 1815 - TRIAGUA TRANSPORTE E 29/07/2022 LQ 965,27 965,27"
"Pago título: 2220004622 2965 - JAGUARI COMERCIAL E 29/07/2022 LQ 953,99 953,99"
"Pago título: 2220004629 375 - CAPUAVA S/A INDUSTRIA 29/07/2022 LQ 932,98 932,98"
"Pago título: 2220004636 3310 - ELDER COSTA RODRIGUE 29/07/2022 LQ 932,29 932,29"
"Pago título: 2220004664 191 - COOPERATIVA NOVA ESPE 29/07/2022 LQ 926,73 926,73"
"Pago título: 2220004671 2747 - SINTO BRASIL PRODUTO 29/07/2022 LQ 916,78 916,78"
"Pago título: 2220004678 312 - FIACAO ALPINA LTDA 29/07/2022 LQ 910,16 910,16"
"Pago título: 2220004692 5531 - MARILIZE PEZZO ROSSI 29/07/2022 LQ 898,38 898,38"
"Pago título: 2220004713 939 - LEF PISOS E REVESTIME 29/07/2022 LQ 879,95 879,95"
"Pago título: 2220004727 1818 - MARLES INDUSTRIA TEX 29/07/2022 LQ 874,87 874,87"
"Pago título: 2220004734 1592 - MICROSAL INDUSTRIA E 29/07/2022 LQ 873,93 873,93"
"Pago título: 2220004741 1638 - LEITESOL INDUSTRIA E 29/07/2022 LQ 873,47 873,47"
"Pago título: 2220004748 861 - HUDTELFA TEXTILE TECH 29/07/2022 LQ 867,19 867,19"
"Pago título: 2220004762 946 - HOTEL CAMPING ESTANCI 29/07/2022 LQ 853,21 853,21"
"Pago título: 2220004769 461 - J.R.M. - PARTICIPACOE 29/07/2022 LQ 852,41 852,41"
"Pago título: 2220004776 1429 - ASSOCIACAO ADMINISTR 29/07/2022 LQ 849,02 849,02"
"Pago título: 2220004783 7689 - WICKBOLD & NOSSO PAO 29/07/2022 LQ 845,64 845,64"
"Pago título: 2220004804 3449 - CERAMICA CARMELO FIO 29/07/2022 LQ 836,48 836,48"
"Pago título: 2220004818 4891 - LOTEAMENTO IMPERIAL 29/07/2022 LQ 836,48 836,48"
"Pago título: 2220004832 400 - FRICOCK FRIGORIFICACA 29/07/2022 LQ 825,15 825,15"
"Pago título: 2220004839 3196 - CEDASA INDUSTRIA E C 29/07/2022 LQ 815,57 815,57"
"Pago título: 2220004860 1423 - TASA TINTURARIA AMER 29/07/2022 LQ 801,55 801,55"
"Pago título: 2220004881 981 - PIRACAIA IND E COM EX 29/07/2022 LQ 783,97 783,97"
"Pago título: 2220004888 211 - FERNANDEZ S.A. INDUST 29/07/2022 LQ 771,95 771,95"
"Pago título: 2220004902 2337 - CERAMICA CARMELO FIO 29/07/2022 LQ 759,42 759,42"
"Pago título: 2220004916 2329 - NOVA MIX INDUSTRIAL 29/07/2022 LQ 756,09 756,09"
"Pago título: 2220004944 2175 - INDUSTRIA E COMERCIO 29/07/2022 LQ 751,08 751,08"
"Pago título: 2220004965 1193 - TEXTIL CANATIBA LTDA 29/07/2022 LQ 745,05 745,05"
"Pago título: 2220004979 223 - VIVA PISOS E REVESTIM 29/07/2022 LQ 739,45 739,45"
"Pago título: 2220004986 324 - DEDINI S/A INDUSTRIAS 29/07/2022 LQ 735,92 735,92"
"Pago título: 2220004993 225 - AMPARO ATLETICO CLUBE 29/07/2022 LQ 734,99 734,99"
"Pago título: 2220005000 503 - FLAMBOIA ALIMENTOS LT 29/07/2022 LQ 733,39 733,39"
"Pago título: 2220005014 7707 - SORVETES JUNDIA INDU 29/07/2022 LQ 729,64 729,64"
"Pago título: 2220005021 390 - TOYOBO DO BRASIL LTDA 29/07/2022 LQ 721,41 721,41"
"Pago título: 2220005056 5416 - ZARAPLAST S.A 29/07/2022 LQ 701,61 701,61"
"Pago título: 2220005063 7324 - THEIA EMPREENDIMENTO 29/07/2022 LQ 700,97 700,97"
"Pago título: 2220005070 1420 - MIRVI BRASIL LTDA 29/07/2022 LQ 696,67 696,67"
"Pago título: 2220005077 371 - CONDOMINIO ITAEMBU 29/07/2022 LQ 693,23 693,23"
"Pago título: 2220005098 1789 - CENTRAIS DE ABASTECI 29/07/2022 LQ 682,69 682,69"
"Pago título: 2220005105 52 - ASSOCIACAO DOS PROPRIE 29/07/2022 LQ 670,76 670,76"
"Pago título: 2220005112 2284 - AGUA VIDA TRANSPORTE 29/07/2022 LQ 669,18 669,18"
"Pago título: 2220005168 455 - TBK MINERACAO LTDA 29/07/2022 LQ 647,01 647,01"
"Pago título: 2220005175 7715 - CHT BRASIL QUIMICA L 29/07/2022 LQ 645,8 645,8"
"Pago título: 2220005182 2139 - INDUSTRIAS ROMI S/A 29/07/2022 LQ 641,86 641,86"
"Pago título: 2220005231 26 - CERAMICA FORMIGRES LTD 29/07/2022 LQ 625,13 625,13"
"Pago título: 2220005238 1139 - HOPI HARI S/A 29/07/2022 LQ 617,91 617,91"
"Pago título: 2220005252 5404 - ASSOC DE CONGRESSOS 29/07/2022 LQ 616,54 616,54"
