"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448993009202214600.ret"
""
"Cadastrado título novo: 9000007117 6729 - ANTONIO RENAN FERRO 31/10/2022 RG 401,05 0"
"Cadastrado título novo: 9000007118 6729 - ANTONIO RENAN FERRO 30/11/2022 RG 401,05 0"
"Cadastrado título novo: 9000007119 6729 - ANTONIO RENAN FERRO 26/12/2022 RG 401,05 0"
"Cadastrado título novo: 9000007121 5035 - CLOSURE SYSTEMS INTE 31/10/2022 RG 1186,79 0"
"Cadastrado título novo: 9000007122 78 - RESTAURANTE IRMAOS MAR 31/10/2022 RG 383,11 0"
"Pago título: 2220004612 1815 - TRIAGUA TRANSPORTE E 30/11/2022 LQ 965,27 965,27"
"Pago título: 2220004613 1815 - TRIAGUA TRANSPORTE E 26/12/2022 LQ 965,27 965,27"
"Pago título: 2220004617 3908 - TANSAN INDUSTRIA QUI 30/09/2022 LQ 963,23 963,23"
"Pago título: 2220004624 2965 - JAGUARI COMERCIAL E 30/09/2022 LQ 953,99 953,99"
"Pago título: 2220004631 375 - CAPUAVA S/A INDUSTRIA 30/09/2022 LQ 932,98 932,98"
"Pago título: 2220004638 3310 - ELDER COSTA RODRIGUE 30/09/2022 LQ 932,29 932,29"
"Pago título: 2220004666 191 - COOPERATIVA NOVA ESPE 30/09/2022 LQ 926,73 926,73"
"Pago título: 2220004673 2747 - SINTO BRASIL PRODUTO 30/09/2022 LQ 916,78 916,78"
"Pago título: 2220004680 312 - FIACAO ALPINA LTDA 30/09/2022 LQ 910,16 910,16"
"Pago título: 2220004694 5531 - MARILIZE PEZZO ROSSI 30/09/2022 LQ 898,38 898,38"
"Pago título: 2220004715 939 - LEF PISOS E REVESTIME 30/09/2022 LQ 879,95 879,95"
"Pago título: 2220004729 1818 - MARLES INDUSTRIA TEX 30/09/2022 LQ 874,87 874,87"
"Pago título: 2220004736 1592 - MICROSAL INDUSTRIA E 30/09/2022 LQ 873,93 873,93"
"Pago título: 2220004743 1638 - LEITESOL INDUSTRIA E 30/09/2022 LQ 873,47 873,47"
"Pago título: 2220004764 946 - HOTEL CAMPING ESTANCI 30/09/2022 LQ 853,21 853,21"
"Pago título: 2220004771 461 - J.R.M. - PARTICIPACOE 30/09/2022 LQ 852,41 852,41"
"Pago título: 2220004778 1429 - ASSOCIACAO ADMINISTR 30/09/2022 LQ 849,02 849,02"
"Pago título: 2220004785 7689 - WICKBOLD & NOSSO PAO 30/09/2022 LQ 845,64 845,64"
"Pago título: 2220004806 3449 - CERAMICA CARMELO FIO 30/09/2022 LQ 836,48 836,48"
"Pago título: 2220004820 4891 - LOTEAMENTO IMPERIAL 30/09/2022 LQ 836,48 836,48"
"Pago título: 2220004834 400 - FRICOCK FRIGORIFICACA 30/09/2022 LQ 825,15 825,15"
"Pago título: 2220004841 3196 - CEDASA INDUSTRIA E C 30/09/2022 LQ 815,57 815,57"
"Pago título: 2220004862 1423 - TASA TINTURARIA AMER 30/09/2022 LQ 801,55 801,55"
"Pago título: 2220004869 909 - FLEX PARQUE EMPRESARI 30/09/2022 LQ 800,93 800,93"
"Pago título: 2220004876 1103 - ASSOCIACAO FAZENDA C 30/09/2022 LQ 796,74 796,74"
"Pago título: 2220004883 981 - PIRACAIA IND E COM EX 30/09/2022 LQ 783,97 783,97"
"Pago título: 2220004890 211 - FERNANDEZ S.A. INDUST 30/09/2022 LQ 771,95 771,95"
"Pago título: 2220004904 2337 - CERAMICA CARMELO FIO 30/09/2022 LQ 759,42 759,42"
"Pago título: 2220004918 2329 - NOVA MIX INDUSTRIAL 30/09/2022 LQ 756,09 756,09"
"Pago título: 2220004946 2175 - INDUSTRIA E COMERCIO 30/09/2022 LQ 751,08 751,08"
"Pago título: 2220004967 1193 - TEXTIL CANATIBA LTDA 30/09/2022 LQ 745,05 745,05"
"Pago título: 2220004981 223 - VIVA PISOS E REVESTIM 30/09/2022 LQ 739,45 739,45"
"Pago título: 2220004988 324 - DEDINI S/A INDUSTRIAS 30/09/2022 LQ 735,92 735,92"
"Pago título: 2220004995 225 - AMPARO ATLETICO CLUBE 30/09/2022 LQ 734,99 734,99"
"Pago título: 2220005002 503 - FLAMBOIA ALIMENTOS LT 30/09/2022 LQ 733,39 733,39"
"Pago título: 2220005016 7707 - SORVETES JUNDIA INDU 30/09/2022 LQ 729,64 729,64"
"Pago título: 2220005023 390 - TOYOBO DO BRASIL LTDA 30/09/2022 LQ 721,41 721,41"
"Pago título: 2220005044 1979 - QUIMICA AMPARO LTDA 30/09/2022 LQ 711 711"
"Pago título: 2220005051 3662 - ASSOCIACAO RESIDENCI 30/09/2022 LQ 704,73 704,73"
"Pago título: 2220005058 5416 - ZARAPLAST S.A 30/09/2022 LQ 701,61 701,61"
"Pago título: 2220005065 7324 - THEIA EMPREENDIMENTO 30/09/2022 LQ 700,97 700,97"
"Pago título: 2220005072 1420 - MIRVI BRASIL LTDA 30/09/2022 LQ 696,67 696,67"
"Pago título: 2220005100 1789 - CENTRAIS DE ABASTECI 30/09/2022 LQ 682,69 682,69"
"Pago título: 2220005114 2284 - AGUA VIDA TRANSPORTE 30/09/2022 LQ 669,18 669,18"
"Pago título: 2220005149 5168 - NEMPOP INDUSTRIA QUI 30/09/2022 LQ 657,16 657,16"
"Pago título: 2220005177 7715 - CHT BRASIL QUIMICA L 30/09/2022 LQ 645,8 645,8"
"Pago título: 2220005233 26 - CERAMICA FORMIGRES LTD 30/09/2022 LQ 625,13 625,13"
"Pago título: 2220005247 7704 - ASS DOS PROPRIETARIO 30/09/2022 LQ 617,9 617,9"
"Pago título: 2220005282 1846 - COMPANHIA NACIONAL D 30/09/2022 LQ 611,93 611,93"
"Pago título: 2220005289 2088 - ASSOCIACAO DE PROPRI 30/09/2022 LQ 610,63 610,63"
"Pago título: 2220005296 6849 - ASSOCIACAO DOS MORAD 30/09/2022 LQ 606,45 606,45"
"Pago título: 2220005303 482 - TAVARES PINHEIRO INDU 30/09/2022 LQ 606,44 606,44"
"Pago título: 2220005324 497 - ALCOOL FERREIRA S/A 30/09/2022 LQ 598,71 598,71"
"Pago título: 2220005331 4358 - CONSTIC EMPREENDIMEN 30/09/2022 LQ 597,87 597,87"
"Pago título: 2220005338 244 - CONFIBRA INDUSTRIA E 30/09/2022 LQ 594,27 594,27"
"Pago título: 2220005345 2655 - JOAO CARLOS LEME RIB 30/09/2022 LQ 588,98 588,98"
"Pago título: 2220005359 2464 - SPARTAN DO BRASIL PR 30/09/2022 LQ 586,79 586,79"
"Pago título: 2220005380 2474 - DE MARCHI INDUSTRIA 30/09/2022 LQ 573,19 573,19"
"Pago título: 2220005422 163 - SABARA QUIMICOS E ING 30/09/2022 LQ 555,44 555,44"
"Pago título: 2220005429 892 - A. AZEVEDO INDUSTRIA 30/09/2022 LQ 553,36 553,36"
"Pago título: 2220005436 5560 - WT NEGOCIOS IMOBILIA 30/09/2022 LQ 550,4 550,4"
"Pago título: 2220005450 2348 - RAUL FERREIRA LEITE 30/09/2022 LQ 543,71 543,71"
"Pago título: 2220005457 4116 - TARTALIA EMPREENDIME 30/09/2022 LQ 543,71 543,71"
"Pago título: 2220005471 4288 - PTM AGRICOLA E PARTI 30/09/2022 LQ 539,18 539,18"
"Pago título: 2220005478 6995 - SPAL INDUSTRIA BRASI 30/09/2022 LQ 532,77 532,77"
"Pago título: 2220005485 2889 - I & M PAPEIS E EMBAL 30/09/2022 LQ 529,65 529,65"
"Pago título: 2220005506 432 - ASSOCIACAO PROPRIETAR 30/09/2022 LQ 523,95 523,95"
"Pago título: 2220005513 1689 - AJINOMOTO DO BRASIL 30/09/2022 LQ 522,81 522,81"
"Pago título: 2220005527 924 - CONDOMINIO CHACARAS M 30/09/2022 LQ 519,92 519,92"
"Pago título: 2220005534 142 - SOCIEDADE DE MELHORAM 30/09/2022 LQ 519,87 519,87"
"Pago título: 2220005541 1274 - GUAINUMBY TEXTIL LTD 30/09/2022 LQ 517,54 517,54"
"Pago título: 2220005548 3413 - TUIUTI ECO PARK EMPR 30/09/2022 LQ 517,14 517,14"
"Pago título: 2220005555 24 - ASSOCIACAO DOS PROPRIE 30/09/2022 LQ 515,75 515,75"
"Pago título: 2220005562 2952 - EXTRACAO E COMERCIO 30/09/2022 LQ 509,07 509,07"
"Pago título: 2220005569 1154 - GREENBRIER MAXION EQ 30/09/2022 LQ 507,69 507,69"
"Pago título: 2220005576 4697 - MARFRIG GLOBAL FOODS 30/09/2022 LQ 507,56 507,56"
"Pago título: 2220005583 237 - IPLASA - INDUSTRIA E 30/09/2022 LQ 501,89 501,89"
"Pago título: 2220005590 3637 - PICOLI & CARRARA COM 30/09/2022 LQ 501,89 501,89"
"Pago título: 2220005604 989 - A P LOSA & CIA LTDA 30/09/2022 LQ 501,89 501,89"
"Pago título: 2220005611 4862 - PSS DE CAMARGO SERVI 30/09/2022 LQ 501,89 501,89"
"Pago título: 2220005639 2457 - HYUNDAI MOTOR BRASIL 30/09/2022 LQ 491,02 491,02"
"Pago título: 2220005667 7252 - CRJP LOTEAMENTOS SPE 30/09/2022 LQ 481,91 481,91"
"Pago título: 2220005674 3666 - RAUL FERREIRA LEITE 30/09/2022 LQ 480,97 480,97"
"Pago título: 2220005681 4784 - ASSOCIACAO DOS PROPR 30/09/2022 LQ 480,45 480,45"
"Pago título: 2220005688 844 - COIM BRASIL LTDA 30/09/2022 LQ 477,53 477,53"
"Pago título: 2220005695 3365 - MALIBER INDUSTRIA E 30/09/2022 LQ 476,26 476,26"
"Pago título: 2220005702 2590 - DIERBERGER OLEOS ESS 30/09/2022 LQ 475,75 475,75"
"Pago título: 2220005709 5539 - SPEEDY INCORPORACOES 30/09/2022 LQ 463,31 463,31"
"Pago título: 2220005730 2478 - ASSOC DOS PROPRIETAR 30/09/2022 LQ 462,04 462,04"
"Pago título: 2220005737 4361 - RAUL FERREIRA LEITE 30/09/2022 LQ 460,06 460,06"
"Pago título: 2220005744 3453 - CERAMICA SAVANE LTDA 30/09/2022 LQ 457,72 457,72"
"Pago título: 2220005765 1618 - NAZATO PIRACICABA TR 30/09/2022 LQ 452,33 452,33"
"Pago título: 2220005786 1148 - ARCELOR MITTAL GONVA 30/09/2022 LQ 450,46 450,46"
"Pago título: 2220005800 2239 - CERAMICA RAMOS LTDA 30/09/2022 LQ 448,98 448,98"
"Pago título: 2220005807 2385 - SOLENIS ESPECIALIDAD 30/09/2022 LQ 446,46 446,46"
"Pago título: 2220005821 3253 - COPASIL QUIMICA INDU 30/09/2022 LQ 443,16 443,16"
"Pago título: 2220005828 2981 - VIVA PISOS E REVESTI 30/09/2022 LQ 439,15 439,15"
"Pago título: 2220005835 7129 - POUSADA CHALES DO TH 30/09/2022 LQ 438,11 438,11"
"Pago título: 2220005856 7159 - FLAVOUR MIX INDUSTRI 30/09/2022 LQ 432,25 432,25"
"Pago título: 2220005870 4779 - FUNDACAO CENTRO DE A 30/09/2022 LQ 429,53 429,53"
"Pago título: 2220005877 152 - SOCIEDADE AMIGOS DO R 30/09/2022 LQ 428,69 428,69"
"Pago título: 2220005884 4556 - ASSOCIACAO DE MELHOR 30/09/2022 LQ 425,15 425,15"
"Pago título: 2220005891 1091 - DEPARTAMENTO DE AGUA 30/09/2022 LQ 422,33 422,33"
"Pago título: 2220005919 1692 - LALLEMAND SOLUCOES B 30/09/2022 LQ 418,84 418,84"
"Pago título: 2220005926 3954 - MARCO ANTONIO TONOLI 30/09/2022 LQ 418,24 418,24"
"Pago título: 2220005947 2684 - ANTONIO SERGIO LEITE 30/09/2022 LQ 418,24 418,24"
"Pago título: 2220005954 4654 - ASSOC DOS PROP DE LO 30/09/2022 LQ 418,24 418,24"
"Pago título: 2220005968 94 - SERVICO SOCIAL DA INDU 30/09/2022 LQ 418,24 418,24"
"Pago título: 2220005975 4631 - AGROPECUARIA CAPUAVA 30/09/2022 LQ 418,24 418,24"
"Pago título: 2220006038 2906 - TRANSPORTADORA H2O L 30/09/2022 LQ 414,04 414,04"
"Pago título: 2220006045 6966 - TONINPAR EMPREENDIME 30/09/2022 LQ 413,63 413,63"
"Pago título: 2220006052 2083 - HANIER ESPECIALIDADE 30/09/2022 LQ 408,38 408,38"
"Pago título: 2220006066 4762 - MINERACAO ANGICO LTD 30/09/2022 LQ 407,35 407,35"
"Pago título: 2220006073 938 - MIRACEMA NUODEX INDUS 30/09/2022 LQ 407,01 407,01"
"Pago título: 2220006087 3163 - RESIDENCIAL FAZENDA 30/09/2022 LQ 405,96 405,96"
"Pago título: 2220006094 2773 - SOCIEDADE DE ARMAZEN 30/09/2022 LQ 403,01 403,01"
"Pago título: 2220006108 1465 - BBC INDUSTRIA E COME 30/09/2022 LQ 400,99 400,99"
"Pago título: 2220006122 1456 - ASSOC DOS PROP DO LO 30/09/2022 LQ 397,33 397,33"
"Pago título: 2220006129 1862 - DOR RIO CONFECCAO LT 30/09/2022 LQ 395,98 395,98"
"Pago título: 2220006136 932 - GREMIO RECR EMPREGADO 30/09/2022 LQ 395,69 395,69"
"Pago título: 2220006157 1477 - JETFIO INDUSTRIA TEX 30/09/2022 LQ 386,16 386,16"
"Pago título: 2220006171 2324 - BASF S/A 30/09/2022 LQ 381,43 381,43"
"Pago título: 2220006185 1813 - MAXLAV LAVANDERIA ES 30/09/2022 LQ 379,53 379,53"
"Pago título: 2220006206 265 - ADERE PRODUTOS AUTO-A 30/09/2022 LQ 377,81 377,81"
"Pago título: 2220006213 136 - MARCIA REGINA PEZZENT 30/09/2022 LQ 376,41 376,41"
"Pago título: 2220006220 5487 - ASSOC DOS PROPR DE L 30/09/2022 LQ 376,41 376,41"
"Pago título: 2220006234 4280 - YARA BRASIL FERTILIZ 30/09/2022 LQ 376,41 376,41"
"Pago título: 2220006241 426 - RUY R. DA ROCHA PRODU 30/09/2022 LQ 376,41 376,41"
"Pago título: 2220006255 1243 - ASSOCIACAO PROPRIETA 30/09/2022 LQ 376,41 376,41"
"Pago título: 2220006262 5580 - IRMAOS SEGEREN AGROP 30/09/2022 LQ 376,41 376,41"
"Pago título: 2220006276 545 - SOCIEDADE DE PROPRIET 30/09/2022 LQ 376,36 376,36"
"Pago título: 2220006290 2665 - ASSOC DOS PROPRIET D 30/09/2022 LQ 372,59 372,59"
"Pago título: 2220006304 335 - ANTONIO BORIN SA IND 30/09/2022 LQ 367,15 367,15"
"Pago título: 2220006332 1082 - LENA & CIA LTDA 30/09/2022 LQ 364,66 364,66"
"Pago título: 2220006346 69 - PLASTEK DO BRASIL INDU 30/09/2022 LQ 363,24 363,24"
"Pago título: 2220006360 1425 - TRANSPORTE E COMERCI 30/09/2022 LQ 359,68 359,68"
"Pago título: 2220006374 3696 - AGUAS DE CAMPINAS TR 30/09/2022 LQ 357,59 357,59"
"Pago título: 2220006388 5323 - ERCA INDUSTRIA E COM 30/09/2022 LQ 357,42 357,42"
"Pago título: 2220006395 2172 - FARMINA PET FOODS BR 30/09/2022 LQ 356,68 356,68"
"Pago título: 2220006402 3221 - LIMEIRENSE FERTILIZA 30/09/2022 LQ 356,28 356,28"
"Pago título: 2220006409 1591 - TQA INDUSTRIA E COME 30/09/2022 LQ 355,5 355,5"
"Pago título: 2220006430 931 - CENTRO CULTURAL E REC 30/09/2022 LQ 353,34 353,34"
"Pago título: 2220006437 5654 - FUNDICAO REGALI BRAS 30/09/2022 LQ 352,26 352,26"
"Pago título: 2220006444 17 - LEDERVIN INDUSTRIA E C 30/09/2022 LQ 351,32 351,32"
"Pago título: 2220006479 182 - UNIPEL INDUSTRIA E CO 30/09/2022 LQ 345,95 345,95"
"Pago título: 2220006486 293 - OMAMORI INDUSTRIA DE 30/09/2022 LQ 344,85 344,85"
"Pago título: 2220006521 4869 - ASSOCIACAO DOS MORAD 30/09/2022 LQ 338,77 338,77"
"Pago título: 2220006542 5938 - CLAUDETE APARECIDA G 30/09/2022 LQ 338,04 338,04"
"Pago título: 2220006549 2114 - MAXLAV LAVANDERIA ES 30/09/2022 LQ 336,68 336,68"
"Pago título: 2220006556 2949 - INSTITUTO ADVENTISTA 30/09/2022 LQ 335,22 335,22"
"Pago título: 2220006563 985 - CONDOMINIO FAZENDA DU 30/09/2022 LQ 335,06 335,06"
"Pago título: 2220006577 4771 - VID'AGUA DISTRIBUICA 30/09/2022 LQ 334,59 334,59"
"Pago título: 2220006591 7322 - CAMARGO COMPANHIA DE 30/09/2022 LQ 334,59 334,59"
"Pago título: 2220006612 1122 - PPC SANTANA EQUIPAME 30/09/2022 LQ 333,42 333,42"
"Pago título: 2220006619 3480 - MEDI HOUSE IND E COM 30/09/2022 LQ 332,65 332,65"
"Pago título: 2220006626 1902 - KENJI EXTRACAO E COM 30/09/2022 LQ 331,5 331,5"
"Pago título: 2220006654 3327 - INPAR PROJETO 86 SPE 30/09/2022 LQ 327,09 327,09"
"Pago título: 2220006668 2745 - CONDOMINIO DO SHOPPI 30/09/2022 LQ 326,44 326,44"
"Pago título: 2220006675 965 - IGARATIBA INDUSTRIA E 30/09/2022 LQ 324,15 324,15"
"Pago título: 2220006689 2094 - ASSOCIACAO DE PROPRI 30/09/2022 LQ 323,18 323,18"
"Pago título: 2220006703 1676 - CASSOL PRE  FABRICAD 30/09/2022 LQ 321,76 321,76"
"Pago título: 2220006717 3704 - I.S. COMERCIO DE AGU 30/09/2022 LQ 319,95 319,95"
"Pago título: 2220006738 852 - ECOFABRIL INDUSTRIA E 30/09/2022 LQ 318 318"
"Pago título: 2220006745 851 - KROMBERG & SCHUBERT D 30/09/2022 LQ 316,39 316,39"
"Pago título: 2220006759 5803 - ASSOCIACAO DOS AMIGO 30/09/2022 LQ 313,68 313,68"
"Pago título: 2220006766 4600 - ALMEIDA PISOS E REVE 30/09/2022 LQ 313,68 313,68"
"Pago título: 2220006773 5306 - ASSOCIACAO DE AMIGOS 30/09/2022 LQ 313,68 313,68"
"Pago título: 2220006780 1144 - ASSOCIACAO PROPRIET. 30/09/2022 LQ 313,68 313,68"
"Pago título: 2220006794 5161 - MISTER GELO IND. DE 30/09/2022 LQ 313,13 313,13"
"Pago título: 2220006801 3679 - CMR INDUSTRIA E COME 30/09/2022 LQ 311 311"
"Pago título: 2220006864 3514 - CERAMICA GRESCA G3 L 30/09/2022 LQ 301,13 301,13"
"Pago título: 2220006913 68 - ASSOCIACAO GREEN VILLA 30/09/2022 LQ 293,91 293,91"
"Pago título: 2220006941 2814 - REAL INDUSTRIA E COM 30/09/2022 LQ 290,85 290,85"
"Pago título: 2220006955 3352 - CP KELCO BRASIL S/A 30/09/2022 LQ 290 290"
"Pago título: 2220006983 3323 - HORTOLANDIA INCORPOR 30/09/2022 LQ 288,94 288,94"
"Pago título: 2220006990 6366 - SOCIEDADE AGOSTINIAN 30/09/2022 LQ 288,85 288,85"
"Pago título: 2220006997 2897 - REQUIPH METALURGICA 30/09/2022 LQ 288,76 288,76"
"Pago título: 2220007018 7716 - EXTRAMIX CONCRETO LT 30/09/2022 LQ 288 288"
"Pago título: 2220007025 1830 - SUOMINEN BRASIL INDU 30/09/2022 LQ 285,87 285,87"
"Pago título: 2220007032 1705 - SAINT-GOBAIN DO BRAS 30/09/2022 LQ 285,75 285,75"
"Pago título: 2220007046 7710 - WLM PART E COMERCIO 30/09/2022 LQ 284,39 284,39"
"Pago título: 2220007067 3 - CONDOMINIO RESIDENCIAL 30/09/2022 LQ 281,35 281,35"
"Pago título: 2220007074 5443 - ASSOC DOS PROP E MOR 30/09/2022 LQ 276,01 276,01"
"Pago título: 2220007088 3053 - JR GOMES IMOBILIARIA 30/09/2022 LQ 271,86 271,86"
"Pago título: 2220007095 3139 - RAIZEN ENERGIA S/A 30/09/2022 LQ 271,86 271,86"
"Pago título: 2220007102 4385 - MATEUS CAVALCANTI IZ 30/09/2022 LQ 271,86 271,86"
"Pago título: 2220007123 2375 - PRODUTOS ALIMENTICIO 30/09/2022 LQ 270,29 270,29"
"Pago título: 2220007130 4827 - BOM PEIXE INDUSTRIA 30/09/2022 LQ 267,67 267,67"
"Pago título: 2220007186 1033 - CCS TECNOLOGIA E SER 30/09/2022 LQ 255,45 255,45"
"Pago título: 2220007193 149 - GREEN GOLF CLUB 30/09/2022 LQ 254,83 254,83"
"Pago título: 2220007200 3720 - J.L. PAULO & CIA LTD 30/09/2022 LQ 253,58 253,58"
"Pago título: 2220007221 1603 - OLIVEIRA & LOPES LTD 30/09/2022 LQ 251,13 251,13"
"Pago título: 2220007242 112 - LUME CERAMICA LTDA 30/09/2022 LQ 250,94 250,94"
"Pago título: 2220007249 5079 - CONDOMINIO EDIFICIO 30/09/2022 LQ 250,94 250,94"
"Pago título: 2220007256 3107 - RUY R. DA ROCHA PROD 30/09/2022 LQ 250,94 250,94"
"Pago título: 2220007263 73 - NARDINI PISOS E REVEST 30/09/2022 LQ 250,94 250,94"
"Pago título: 2220007284 1173 - MASTERCOR BENEFICIAM 30/09/2022 LQ 250,74 250,74"
"Pago título: 2220007291 183 - TEXTIL BASSETO LTDA 30/09/2022 LQ 248,81 248,81"
"Pago título: 2220007305 4916 - CLUBE ATLETICO VALIN 30/09/2022 LQ 246,87 246,87"
"Pago título: 2220007326 2956 - CENTER GIRO TRANSPOR 30/09/2022 LQ 246,21 246,21"
"Pago título: 2220007347 1266 - ASSOCIACAO COMUNITAR 30/09/2022 LQ 244,67 244,67"
"Pago título: 2220007354 563 - PLAZA INDUSTRIA E COM 30/09/2022 LQ 244,5 244,5"
"Pago título: 2220007361 1609 - GRANITEC IND E COM D 30/09/2022 LQ 244,32 244,32"
"Pago título: 2220007368 4783 - CORREIAS MERCURIO S/ 30/09/2022 LQ 243,41 243,41"
"Pago título: 2220007375 855 - LOG & PRINT GRAFICA E 30/09/2022 LQ 243 243"
"Pago título: 2220007382 2293 - BRUNO NICOLETTI TECI 30/09/2022 LQ 242,62 242,62"
"Pago título: 2220007396 5606 - AROMA BIOENERGIA LTD 30/09/2022 LQ 241,16 241,16"
"Pago título: 2220007403 1885 - A PRESS TRANSPORTES 30/09/2022 LQ 240,9 240,9"
"Pago título: 2220007410 604 - ASSOCIACAO RESIDENCIA 30/09/2022 LQ 239,96 239,96"
"Pago título: 2220007424 6889 - EXTRAMIX CONCRETO LT 30/09/2022 LQ 236,58 236,58"
"Pago título: 2220007438 4059 - ATI GEL FRUTAS CONGE 30/09/2022 LQ 234,94 234,94"
"Pago título: 2220007466 3097 - CISOL DO BRASIL EXPO 30/09/2022 LQ 230,55 230,55"
"Pago título: 2220007473 2988 - K & G INDUSTRIA E CO 30/09/2022 LQ 230,26 230,26"
"Pago título: 2220007487 2168 - EMEPE INDUSTRIA GRAF 30/09/2022 LQ 230,03 230,03"
"Pago título: 2220007494 1137 - SICAD DO BRASIL FITA 30/09/2022 LQ 227,84 227,84"
"Pago título: 2220007515 5303 - ASSOCIACAO DOS MORAD 30/09/2022 LQ 225,85 225,85"
"Pago título: 2220007529 4479 - PERFORM PARTICIPACOE 30/09/2022 LQ 225,63 225,63"
"Pago título: 2220007543 5409 - TATIANA CRISTINA DE 30/09/2022 LQ 225,32 225,32"
"Pago título: 2220007557 202 - NOVA PLAST IND E COM 30/09/2022 LQ 224,64 224,64"
"Pago título: 2220007571 2196 - ASSOCIACAO CIVIL PAR 30/09/2022 LQ 223,22 223,22"
"Pago título: 2220007585 3214 - S.ZANARDI EMPREENDIM 30/09/2022 LQ 222,92 222,92"
"Pago título: 2220007592 2140 - INDUSTRIAS ROMI S/A 30/09/2022 LQ 221,38 221,38"
"Pago título: 2220007613 1993 - CABLENA DO BRASIL LT 30/09/2022 LQ 220 220"
"Pago título: 2220007620 2082 - COLORFLEX ESTAMPARIA 30/09/2022 LQ 219,63 219,63"
"Pago título: 2220007634 7027 - ETIQUETTA BRANCA IND 30/09/2022 LQ 218,85 218,85"
"Pago título: 2220007641 5575 - FONTE GELO LTDA 30/09/2022 LQ 218,83 218,83"
"Pago título: 2220007648 5350 - CONDOMINIO RESERVA D 30/09/2022 LQ 218,42 218,42"
"Pago título: 2220007655 1130 - BRASALIMENT INDUSTRI 30/09/2022 LQ 218,23 218,23"
"Pago título: 2220007662 3540 - COMERCIAL DE ALIMENT 30/09/2022 LQ 217,7 217,7"
"Pago título: 2220007683 1870 - MALIBER INDUSTRIA E 30/09/2022 LQ 213,3 213,3"
"Pago título: 2220007690 1652 - RICLAN S/A 30/09/2022 LQ 212,81 212,81"
"Pago título: 2220007697 4615 - RAIZEN ENERGIA S.A. 30/09/2022 LQ 211,82 211,82"
"Pago título: 2220007704 1750 - PREFEITURA MUNICIPAL 30/09/2022 LQ 210,7 210,7"
"Pago título: 2220007739 680 - JOSE EDUARDO ANNICCHI 30/09/2022 LQ 209,12 209,12"
"Pago título: 2220007753 3212 - PEDREIRA NOGUEIRENSE 30/09/2022 LQ 209,12 209,12"
"Pago título: 2220007760 5436 - ANSELMO AGUAS E TRAN 30/09/2022 LQ 209,12 209,12"
"Pago título: 2220007767 2881 - SERVICO DE AGUA E ES 30/09/2022 LQ 209,12 209,12"
"Pago título: 2220007774 4512 - INSTITUTO DE ENSINO 30/09/2022 LQ 209,12 209,12"
"Pago título: 2220007795 2028 - TERMOTECNICA LTDA 30/09/2022 LQ 209,12 209,12"
"Pago título: 2220007802 3170 - MAURICIO ROBERTO FOR 30/09/2022 LQ 209,12 209,12"
"Pago título: 2220007809 3094 - RENATO PASSARIN & FI 30/09/2022 LQ 209,12 209,12"
"Pago título: 2220007816 3592 - CONDOMINIO LAGOS SHA 30/09/2022 LQ 208,91 208,91"
"Pago título: 2220007837 3059 - VIC 01 SBO EMPREENDI 30/09/2022 LQ 208,41 208,41"
"Pago título: 2220007851 5486 - ASSOCIACAO DO BRAGAN 30/09/2022 LQ 206,84 206,84"
"Pago título: 2220007865 5491 - BREW CENTER CERVEJAS 30/09/2022 LQ 206,52 206,52"
"Pago título: 2220007872 7051 - IRMAOS SEGEREN AGROP 30/09/2022 LQ 206,52 206,52"
"Pago título: 2220007886 3423 - A. A. DE MELO & CIA 30/09/2022 LQ 206,16 206,16"
"Pago título: 2220007900 7331 - KOLIBRI ADMINISTRACA 30/09/2022 LQ 204,94 204,94"
"Pago título: 2220007921 4132 - MRGM PARTICIPACOES E 30/09/2022 LQ 203,26 203,26"
"Pago título: 2220007935 1936 - IVO ZARZUR ADMINISTR 30/09/2022 LQ 202,8 202,8"
"Pago título: 2220007942 2407 - FERRASPARI S/A INDUS 30/09/2022 LQ 201,64 201,64"
"Pago título: 2220007949 5622 - CLEUSA TERESINHA PIO 30/09/2022 LQ 201,53 201,53"
"Pago título: 2220007956 4315 - AGE DO BRASIL INDUST 30/09/2022 LQ 200,75 200,75"
"Pago título: 2220007963 5449 - CONDOMINIO HOTEL INT 30/09/2022 LQ 200,75 200,75"
"Pago título: 2220007970 4674 - L'OCCITANE OPERA IND 30/09/2022 LQ 200,75 200,75"
"Pago título: 2220007977 2069 - TRANSPORTES  21 LTDA 30/09/2022 LQ 200,75 200,75"
"Pago título: 9000006750 3947 - A. FRIEDBERG DO BRAS 30/09/2022 LQ 301,24 301,24"
"Pago título: 9000006776 2602 - BIRICA EMPREENDIMENT 30/09/2022 LQ 777,4 777,4"
"Pago título: 9000006788 4992 - AGUA NOGUEIRENSE LTD 30/09/2022 LQ 744,87 744,87"
"Pago título: 9000006872 943 - RAIZEN ENERGIA S/A 30/09/2022 LQ 10581,41 10581,41"
"Pago título: 9000006895 1112 - CIA SANEAMENTO BASIC 30/09/2022 LQ 17306,52 17306,52"
"Pago título: 9000006927 6935 - ALTO DO SION EMPREEN 30/09/2022 LQ 376,41 376,41"
"Pago título: 9000006933 1313 - KIKKOMAN DO BRASIL I 30/09/2022 LQ 350,36 350,36"
"Pago título: 9000006944 4887 - RAIZEN ENERGIA S.A. 30/09/2022 LQ 431,34 431,34"
