"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72443353007202114046.ret"
""
"Cadastrado título novo: 9000006337 6876 - CONDOMINIO EDIFICIO 31/08/2021 RG 442,04 0"
"Cadastrado título novo: 9000006338 5490 - CARMONA CERVEJARIA A 31/08/2021 RG 430,66 0"
"Cadastrado título novo: 9000006339 7069 - SANTO GEROLAMO BERTO 31/08/2021 RG 355,77 0"
"Cadastrado título novo: 9000006340 4845 - BARDUCHI BARDUCHI LT 31/08/2021 RG 222,5 0"
"Cadastrado título novo: 9000006341 329 - SILCON AMBIENTAL LTDA 31/08/2021 RG 225,34 0"
"Cadastrado título novo: 9000006342 2467 - DANIEL PICCOLOMINI O 31/08/2021 RG 578,58 0"
"Pago título: 2118001028 861 - HUDTELFA TEXTILE TEC 30/07/2021 LQ 672,03 672,03"
"Pago título: 2118001036 863 - SENPAR TERRAS DE S O 30/07/2021 LQ 892,67 892,67"
"Pago título: 2118001052 868 - PREFEITURA MUNICIPAL 30/07/2021 LQ 2470,93 2470,93"
"Pago título: 2118001068 882 - SERVI O AUT NOMO DE 30/07/2021 LQ 117153,09 117153,09"
"Pago título: 2118001076 885 - CP KELCO BRASIL S/A 30/07/2021 LQ 6754,61 6754,61"
"Pago título: 2118001092 888 - INCOPISOS INDUSTRIA 30/07/2021 LQ 1154,67 1154,67"
"Pago título: 2118001100 891 - TIMAVO DO BRASIL S/A 30/07/2021 LQ 3125,55 3125,55"
"Pago título: 2118001108 892 - A. AZEVEDO INDUSTRIA 30/07/2021 LQ 484,19 484,19"
"Pago título: 2118001116 895 - FRIGORIFICO ANGELELL 30/07/2021 LQ 1559,67 1559,67"
"Pago título: 2118001132 898 - SERVICO MUNICIPAL DE 30/07/2021 LQ 162334,71 162334,71"
"Pago título: 2118001148 903 - MINASA TRADING INTER 30/07/2021 LQ 1167,86 1167,86"
"Pago título: 2118001164 909 - FLEX PARQUE EMPRESAR 30/07/2021 LQ 700,82 700,82"
"Pago título: 2118001172 917 - BMB BELGO MINEIRA BE 30/07/2021 LQ 916,62 916,62"
"Pago título: 2118001180 919 - COMPANHIA DE DESENVO 30/07/2021 LQ 32951,79 32951,79"
"Pago título: 2118001188 920 - ELEKEIROZ S/A 30/07/2021 LQ 8353,12 8353,12"
"Pago título: 2118001236 938 - MIRACEMA NUODEX INDU 30/07/2021 LQ 349,2 349,2"
"Pago título: 2118001244 939 - LEF PISOS E REVESTIM 30/07/2021 LQ 769,96 769,96"
"Pago título: 2118001260 941 - RAIZEN ENERGIA S/A 30/07/2021 LQ 16893,22 16893,22"
"Pago título: 2118001284 944 - PREFEITURA MUNICIPAL 30/07/2021 LQ 21344,03 21344,03"
"Pago título: 2118001292 946 - HOTEL CAMPING ESTANC 30/07/2021 LQ 746,56 746,56"
"Pago título: 2118001300 948 - QUINTA DA BARONEZA G 30/07/2021 LQ 2911,56 2911,56"
"Pago título: 2118001332 959 - ASK PRODUTOS QUIMICO 30/07/2021 LQ 216,52 216,52"
"Pago título: 2118001340 962 - SAO MARTINHO S.A. 30/07/2021 LQ 33958,94 33958,94"
"Pago título: 2118001348 965 - IGARATIBA INDUSTRIA 30/07/2021 LQ 287,63 287,63"
"Pago título: 2118001356 966 - SERVICO DE AGUA E ES 30/07/2021 LQ 23635,42 23635,42"
"Pago título: 2118001372 976 - SOCIEDADE DE ABASTEC 30/07/2021 LQ 23493,63 23493,63"
"Pago título: 2118001388 981 - PIRACAIA IND E COM E 30/07/2021 LQ 753,96 753,96"
"Pago título: 2118001396 985 - CONDOMINIO FAZENDA D 30/07/2021 LQ 293,18 293,18"
"Pago título: 2118001428 1000 - CIA SANEAMENTO BASI 30/07/2021 LQ 16405,88 16405,88"
"Pago título: 2118001436 1001 - CIA SANEAMENTO BASI 30/07/2021 LQ 843,24 843,24"
"Pago título: 2118001444 1002 - CIA SANEAMENTO BASI 30/07/2021 LQ 1360,24 1360,24"
"Pago título: 2118001452 1004 - BRANYL COMERCIO E I 30/07/2021 LQ 1039,39 1039,39"
"Pago título: 2118001468 1033 - CCS TECNOLOGIA E SE 30/07/2021 LQ 223,52 223,52"
"Pago título: 2118001492 1047 - QUIMICA AMPARO LTDA 30/07/2021 LQ 5224,9 5224,9"
"Pago título: 2118001508 1050 - CIA SANEAMENTO BASI 30/07/2021 LQ 511,69 511,69"
"Pago título: 2118001516 1052 - DEPARTAMENTO DE  GU 30/07/2021 LQ 4541,51 4541,51"
"Pago título: 2118001524 1055 - CARTONIFICIO VALINH 30/07/2021 LQ 1388,88 1388,88"
"Pago título: 2118001532 1057 - CIA SANEAMENTO BASI 30/07/2021 LQ 36982,34 36982,34"
"Pago título: 2118001540 1058 - CIA SANEAMENTO BASI 30/07/2021 LQ 4362,4 4362,4"
"Pago título: 2118001548 1060 - CIA SANEAMENTO BASI 30/07/2021 LQ 4566,64 4566,64"
"Pago título: 2118001556 1063 - CIA SANEAMENTO BASI 30/07/2021 LQ 2859,79 2859,79"
"Pago título: 2118001564 1064 - CIA SANEAMENTO BASI 30/07/2021 LQ 9707,52 9707,52"
"Pago título: 2118001572 1065 - CIA SANEAMENTO BASI 30/07/2021 LQ 5801,77 5801,77"
"Pago título: 2118001580 1067 - CIA SANEAMENTO BASI 30/07/2021 LQ 6538,48 6538,48"
"Pago título: 2118001588 1070 - CIA SANEAMENTO BASI 30/07/2021 LQ 4655,64 4655,64"
"Pago título: 2118001596 1073 - CIA SANEAMENTO BASI 30/07/2021 LQ 8343,9 8343,9"
"Pago título: 2118001604 1074 - CIA SANEAMENTO BASI 30/07/2021 LQ 844,45 844,45"
"Pago título: 2118001612 1075 - TINTEX TINTURARIA T 30/07/2021 LQ 222,59 222,59"
"Pago título: 2118001620 1078 - DAE S/A  GUA E ESGO 30/07/2021 LQ 101943,34 101943,34"
"Pago título: 2118001644 1086 - ENGENHO SAO PEDRO A 30/07/2021 LQ 1612 1612"
"Pago título: 2118001660 1090 - CITROSUCO S/A AGROI 30/07/2021 LQ 1716,94 1716,94"
"Pago título: 2118001684 1103 - ASSOCIACAO FAZENDA 30/07/2021 LQ 687,22 687,22"
"Pago título: 2118001700 1110 - SERVICO AUTONOMO DE 30/07/2021 LQ 3684,15 3684,15"
"Pago título: 2118001708 1111 - CIA SANEAMENTO BASI 30/07/2021 LQ 410433,13 410433,13"
"Pago título: 2118001716 1112 - CIA SANEAMENTO BASI 30/07/2021 LQ 23029,06 23029,06"
"Pago título: 2118001724 1116 - CROWN  EMBALAGENS M 30/07/2021 LQ 1530,5 1530,5"
"Pago título: 2118001740 1122 - PPC SANTANA EQUIPAM 30/07/2021 LQ 291,74 291,74"
"Pago título: 2118001748 1123 - CIA SANEAMENTO BASI 30/07/2021 LQ 21391,91 21391,91"
"Pago título: 2118001780 1136 - VILLARES METALS S/A 30/07/2021 LQ 1423,95 1423,95"
"Pago título: 2118001788 1139 - HOPI HARI S/A 30/07/2021 LQ 540,67 540,67"
"Pago título: 2118001796 1140 - VIA VAREJO S/A 30/07/2021 LQ 301,06 301,06"
"Pago título: 2118001804 1143 - CASTELO ALIMENTOS S 30/07/2021 LQ 695,34 695,34"
"Pago título: 2118001812 1144 - ASSOCIACAO PROPRIET 30/07/2021 LQ 274,47 274,47"
"Pago título: 2118001844 1154 - GREENBRIER MAXION E 30/07/2021 LQ 444,23 444,23"
"Pago título: 2118001860 1169 - MINERACAO JUNDU LTD 30/07/2021 LQ 12383,46 12383,46"
"Pago título: 2118001868 1193 - TEXTIL CANATIBA LTD 30/07/2021 LQ 780,38 780,38"
"Pago título: 2118001876 1194 - TEXTIL CANATIBA LTD 30/07/2021 LQ 1726,14 1726,14"
"Pago título: 2118001884 1195 - TEXTIL CANATIBA LTD 30/07/2021 LQ 1300,15 1300,15"
"Pago título: 2118001900 1221 - NORQUIMA PRODUTOS Q 30/07/2021 LQ 298,7 298,7"
"Pago título: 2118001932 1243 - ASSOCIACAO PROPRIET 30/07/2021 LQ 329,36 329,36"
"Pago título: 2118001956 1266 - ASSOCIA  O COMUNIT 30/07/2021 LQ 247,02 247,02"
"Pago título: 2118001964 1274 - GUAINUMBY TEXTIL LT 30/07/2021 LQ 452,85 452,85"
"Pago título: 2118001980 1313 - AZUMA KIRIN IND STR 30/07/2021 LQ 268,75 268,75"
"Pago título: 2118001988 1323 - TEXTIL SUCCI LTDA-M 30/07/2021 LQ 284,65 284,65"
"Pago título: 2118002004 1405 - ASSOCIACAO LOTEAMEN 30/07/2021 LQ 3204,93 3204,93"
"Pago título: 2118002012 1414 - CERVEJARIA ASHBY LT 30/07/2021 LQ 222,64 222,64"
"Pago título: 2118002020 1417 - IND STRIA DE PRODUT 30/07/2021 LQ 222,42 222,42"
"Pago título: 2118002028 1420 - MIRVI BRASIL LTDA 30/07/2021 LQ 335,43 335,43"
"Pago título: 2118002036 1423 - TASA TINTURARIA AME 30/07/2021 LQ 701,36 701,36"
"Pago título: 2118002044 1425 - TRANSPORTE E COMERC 30/07/2021 LQ 314,72 314,72"
"Pago título: 2118002052 1429 - ASSOCIACAO ADMINIST 30/07/2021 LQ 742,9 742,9"
"Pago título: 2118002068 1456 - ASSOC DOS PROP DO L 30/07/2021 LQ 347,66 347,66"
"Pago título: 2118002076 1459 - CIA SANEAMENTO BASI 30/07/2021 LQ 3140,21 3140,21"
"Pago título: 2118002084 1465 - BBC INDUSTRIA E COM 30/07/2021 LQ 311,76 311,76"
"Pago título: 2118002108 1484 - DELTA INDUSTRIA CER 30/07/2021 LQ 8194,81 8194,81"
"Pago título: 2118002124 1547 - SOCER BRASIL INDUST 30/07/2021 LQ 570,6 570,6"
"Pago título: 2118002140 1564 - IND STRIA E COM RCI 30/07/2021 LQ 217,55 217,55"
"Pago título: 2118002148 1567 - RPR CAPTACAO E TRAN 30/07/2021 LQ 912,66 912,66"
"Pago título: 2118002164 1591 - TQA INDUSTRIA E COM 30/07/2021 LQ 311,07 311,07"
"Pago título: 2118002172 1592 - MICROSAL INDUSTRIA 30/07/2021 LQ 1164,8 1164,8"
"Pago título: 2118002180 1603 - OLIVEIRA & LOPES LT 30/07/2021 LQ 219,74 219,74"
"Pago título: 2118002188 1609 - GRANITEC IND E COM 30/07/2021 LQ 214,35 214,35"
"Pago título: 2118002196 1618 - NAZATO PIRACICABA T 30/07/2021 LQ 356,68 356,68"
"Pago título: 2118002212 1638 - LEITESOL INDUSTRIA 30/07/2021 LQ 764,29 764,29"
"Pago título: 2118002220 1666 - VOTORANTIM CIMENTOS 30/07/2021 LQ 334,9 334,9"
"Pago título: 2118002228 1675 - ASSOCIACAO DOS MORA 30/07/2021 LQ 315,7 315,7"
"Pago título: 2118002236 1676 - CASSOL PRE  FABRICA 30/07/2021 LQ 281,54 281,54"
"Pago título: 2118002260 1701 - TINTURARIA E ESTAMP 30/07/2021 LQ 257,73 257,73"
"Pago título: 2118002276 1713 - JACOBS DOUWE EGBERT 30/07/2021 LQ 309,24 309,24"
"Pago título: 2118002284 1742 - CONDOMINIO SERANILA 30/07/2021 LQ 216,21 216,21"
"Pago título: 2118002308 1789 - CENTRAIS DE ABASTEC 30/07/2021 LQ 775,52 775,52"
"Pago título: 2118002324 1813 - MAXLAV LAVANDERIA E 30/07/2021 LQ 332,09 332,09"
"Pago título: 2118002348 1818 - MARLES INDUSTRIA TE 30/07/2021 LQ 765,51 765,51"
"Pago título: 2118002356 1829 - NHEEL QUIMICA LTDA 30/07/2021 LQ 347,66 347,66"
"Pago título: 2118002372 1846 - COMPANHIA NACIONAL 30/07/2021 LQ 819,09 819,09"
"Pago título: 2118002380 1848 - PREFEITURA MUNICIPA 30/07/2021 LQ 2111,58 2111,58"
"Pago título: 2118002388 1859 - CWS CABLE PARKS LTD 30/07/2021 LQ 407,43 407,43"
"Pago título: 2118002404 1885 - A PRESS TRANSPORTES 30/07/2021 LQ 210,79 210,79"
"Pago título: 2118002429 1965 - ASSOC DE PROPRIET R 31/08/2021 LQ 512,34 512,34"
"Pago título: 2118002444 1976 - SOL INVEST EMPREEND 30/07/2021 LQ 254,76 254,76"
"Pago título: 2118002452 1979 - QUIMICA AMPARO LTDA 30/07/2021 LQ 622,13 622,13"
"Pago título: 2118002460 1985 - CONJUNTO RESIDENCIA 30/07/2021 LQ 338,32 338,32"
"Pago título: 2118002468 1990 - PEDREIRA FAZENDA VE 30/07/2021 LQ 599,71 599,71"
"Pago título: 2118002476 2019 - BAERLOCHER DO BRASI 30/07/2021 LQ 994,48 994,48"
"Pago título: 2118002484 2074 - SALTORELLI TINTURAR 30/07/2021 LQ 895,5 895,5"
"Pago título: 2118002492 2083 - HANIER ESPECIALIDAD 30/07/2021 LQ 357,34 357,34"
"Pago título: 2118002500 2088 - ASSOCIA  O DE PROPR 30/07/2021 LQ 534,3 534,3"
"Pago título: 2118002524 2114 - MAXLAV LAVANDERIA E 30/07/2021 LQ 294,6 294,6"
"Pago título: 2118002548 2168 - EMEPE INDUSTRIA GRA 30/07/2021 LQ 201,28 201,28"
"Pago título: 2118002556 2170 - ISOTERM INDUSTRIA E 30/07/2021 LQ 811,56 811,56"
"Pago título: 2118002564 2172 - FARMINA PET FOODS B 30/07/2021 LQ 330,67 330,67"
"Pago título: 2118002580 2175 - INDUSTRIA E COMERCI 30/07/2021 LQ 685,46 685,46"
"Pago título: 2118002588 2176 - EVONIK BRASIL LTDA 30/07/2021 LQ 2600,51 2600,51"
"Pago título: 2118002612 2239 - CERAMICA RAMOS LTDA 30/07/2021 LQ 458,03 458,03"
"Pago título: 2118002636 2284 -  GUA VIDA TRANSPORT 30/07/2021 LQ 585,53 585,53"
"Pago título: 2118002652 2293 - BRUNO NICOLETTI TEC 30/07/2021 LQ 212,29 212,29"
"Pago título: 2118002700 2337 - CERAMICA CARMELO FI 30/07/2021 LQ 791,72 791,72"
"Pago título: 2118002708 2348 - RAUL FERREIRA LEITE 30/07/2021 LQ 475,75 475,75"
"Pago título: 2118002724 2361 - TECELAGEM JOLITEX L 30/07/2021 LQ 496,76 496,76"
"Pago título: 2118002748 2392 - NEW PARQUE TENIS 30/07/2021 LQ 240,8 240,8"
"Pago título: 2118002764 2457 - HYUNDAI MOTOR BRASI 30/07/2021 LQ 920,24 920,24"
"Pago título: 2118002772 2458 - SENPAR TERRAS DE S 30/07/2021 LQ 322,41 322,41"
"Pago título: 2118002780 2464 - SPARTAN DO BRASIL P 30/07/2021 LQ 629,25 629,25"
"Pago título: 2118002788 2474 - DE MARCHI INDUSTRIA 30/07/2021 LQ 501,55 501,55"
"Pago título: 2118002796 2478 - ASSOC DOS PROPRIET 30/07/2021 LQ 320,45 320,45"
"Pago título: 2118002828 2559 - CONDOMINIO RESIDENC 30/07/2021 LQ 265,32 265,32"
"Pago título: 2118002836 2575 - LUBRASIL LUBRIFICAN 30/07/2021 LQ 224,24 224,24"
"Pago título: 2118002844 2583 - FRESENIUS MEDICAL C 30/07/2021 LQ 1562,01 1562,01"
"Pago título: 2118002854 2590 - DIERBERGER  LEOS ES 30/09/2021 LQ 480,32 480,32"
"Pago título: 2118002876 2675 - CORR PLASTIK LTDA 30/07/2021 LQ 215,92 215,92"
"Pago título: 2118002884 2684 - ANTONIO SERGIO LEIT 30/07/2021 LQ 365,96 365,96"
"Pago título: 2118002916 2740 - EUCATEX IND STRIA E 30/07/2021 LQ 1027,74 1027,74"
"Pago título: 2118002924 2743 - SORVETES JUNDI  IND 30/07/2021 LQ 1027,97 1027,97"
"Pago título: 2118002932 2745 - CONDOM NIO DO SHOPP 30/07/2021 LQ 429,65 429,65"
"Pago título: 2118002940 2747 - SINTO BRASIL PRODUT 30/07/2021 LQ 761,63 761,63"
"Pago título: 2118002948 2748 - QUALITY BENEFICIADO 30/07/2021 LQ 477,2 477,2"
"Pago título: 2118002956 2750 - SERVICO AUTONOMO DE 30/07/2021 LQ 1165,23 1165,23"
"Pago título: 2118002980 2757 - CARAVITA EMPRESA DE 30/07/2021 LQ 847,23 847,23"
"Pago título: 2118002988 2773 - SOCIEDADE DE ARMAZE 30/07/2021 LQ 352,63 352,63"
"Pago título: 2118002996 2776 - KARINA PISOS E REVE 30/07/2021 LQ 263,49 263,49"
"Pago título: 2118003012 2783 - PIRELLI PNEUS LTDA 30/07/2021 LQ 560,6 560,6"
"Pago título: 2118003020 2814 - REAL INDUSTRIA E CO 30/07/2021 LQ 254,49 254,49"
"Pago título: 2118003028 2845 - SIND DO EMPREGADOS 30/07/2021 LQ 264,04 264,04"
"Pago título: 2118003036 2846 - AGUAS DAS TERRAS SO 30/07/2021 LQ 512,34 512,34"
"Pago título: 2118003044 2861 - KORIN AGROPECU RIA 30/07/2021 LQ 2011,08 2011,08"
"Pago título: 2118003052 2889 - I & M PAP IS E EMBA 30/07/2021 LQ 463,45 463,45"
"Pago título: 2118003060 2897 - REQUIPH METAL RGICA 30/07/2021 LQ 252,66 252,66"
"Pago título: 2118003068 2901 - A D RICARDO  GUA - 30/07/2021 LQ 427,66 427,66"
"Pago título: 2118003084 2910 - CHACARAS LONG ISLAN 30/07/2021 LQ 405,12 405,12"
"Pago título: 2118003100 2952 - EXTRA  O E COM RCIO 30/07/2021 LQ 890,87 890,87"
"Pago título: 2118003108 2956 - CENTER GIRO TRANSPO 30/07/2021 LQ 215,43 215,43"
"Pago título: 2118003124 2965 - JAGUARI COMERCIAL E 30/07/2021 LQ 938,75 938,75"
"Pago título: 2118003140 2981 - VIVA PISOS E REVEST 30/07/2021 LQ 384,25 384,25"
"Pago título: 2118003148 2988 - K & G IND STRIA E C 30/07/2021 LQ 201,47 201,47"
"Pago título: 2118003212 3094 - RENATO PASSARIN & F 30/07/2021 LQ 329,36 329,36"
"Pago título: 2118003220 3097 - CISOL DO BRASIL EXP 30/07/2021 LQ 201,64 201,64"
"Pago título: 2118003228 3107 - RUY R. DA ROCHA PRO 30/07/2021 LQ 219,58 219,58"
"Pago título: 2118003236 3111 - BRASWELL PAPEL E CE 30/07/2021 LQ 989,84 989,84"
"Pago título: 2118003244 3112 - SUELI TADOKORO MURA 30/07/2021 LQ 208,74 208,74"
"Pago título: 2118003268 3139 - RAIZEN ENERGIA S/A 30/07/2021 LQ 237,88 237,88"
"Pago título: 2118003284 3160 - VIA APPIA FESTAS E 30/07/2021 LQ 207,09 207,09"
"Pago título: 2118003292 3163 - RESIDENCIAL FAZENDA 30/07/2021 LQ 355,21 355,21"
"Pago título: 2118003308 3196 - CEDASA IND STRIA E 30/07/2021 LQ 713,62 713,62"
"Pago título: 2118003332 3253 - COPASIL QUIMICA IND 30/07/2021 LQ 387,77 387,77"
"Pago título: 2118003340 3262 - ASSOCIA  O DE AMIGO 30/07/2021 LQ 771,28 771,28"
"Pago título: 2118003356 3310 - ELDER COSTA RODRIGU 30/07/2021 LQ 866,2 866,2"
"Pago título: 2118003380 3336 - CONDOM NIO RESIDENC 30/07/2021 LQ 438,44 438,44"
"Pago título: 2118003404 3365 - MALIBER INDUSTRIA E 30/07/2021 LQ 505,31 505,31"
"Pago título: 2118003428 3377 - COMERCIO DE  GUAS E 30/07/2021 LQ 274,47 274,47"
"Pago título: 2118003468 3384 - FRIGODELISS LTDA 30/07/2021 LQ 3168,13 3168,13"
"Pago título: 2118003476 3389 - CONDOM NIO RESIDENC 30/07/2021 LQ 618,17 618,17"
"Pago título: 2118003484 3411 - PREFEITURA MUNICIPA 30/07/2021 LQ 18932,76 18932,76"
"Pago título: 2118003492 3413 - TUIUTI ECO PARK EMP 30/07/2021 LQ 294,93 294,93"
"Pago título: 2118003500 3423 - A. A. DE MELO & CIA 30/07/2021 LQ 224,04 224,04"
"Pago título: 2118003532 3449 - CER MICA CARMELO FI 30/07/2021 LQ 829,17 829,17"
"Pago título: 2118003540 3453 - CER MICA SAVANE LTD 30/07/2021 LQ 453,72 453,72"
"Pago título: 2118003564 3480 - MEDI HOUSE IND E CO 30/07/2021 LQ 343,31 343,31"
"Pago título: 2118003588 3514 - CER MICA GRESCA G3 30/07/2021 LQ 263,49 263,49"
"Pago título: 2118003596 3535 - JOFEGE FIA  O E TEC 30/07/2021 LQ 1142,17 1142,17"
"Pago título: 2118003652 3637 - PICOLI & CARRARA CO 30/07/2021 LQ 439,15 439,15"
"Pago título: 2118003676 3662 - ASSOCIA  O RESIDENC 30/07/2021 LQ 616,64 616,64"
"Pago título: 2118003684 3666 - RAUL FERREIRA LEITE 30/07/2021 LQ 420,85 420,85"
"Pago título: 2118003692 3673 - PLATLOG IMPORTA  O, 30/07/2021 LQ 2144 2144"
"Pago título: 2118003700 3679 - CMR IND STRIA E COM 30/07/2021 LQ 392,99 392,99"
"Pago título: 2118003708 3683 - NOVAPORCELANATO IND 30/07/2021 LQ 988,09 988,09"
"Pago título: 2118003740 3704 - I.S. COM RCIO DE  G 30/07/2021 LQ 279,96 279,96"
"Pago título: 2118003748 3720 - J.L. PAULO & CIA LT 30/07/2021 LQ 209,34 209,34"
"Pago título: 2118003796 3851 - USINA GRANELLI LTDA 30/07/2021 LQ 1587,98 1587,98"
"Pago título: 2118003804 3857 - CRS MINERA  O IND S 30/07/2021 LQ 997,11 997,11"
"Pago título: 2118003812 3879 - CATALISE IND STRIA 30/07/2021 LQ 292,76 292,76"
"Pago título: 2118003820 3899 - ASSOCIA  O RESIDENC 30/07/2021 LQ 761,69 761,69"
"Pago título: 2118003828 3908 - TANSAN IND STRIA QU 30/07/2021 LQ 856,8 856,8"
"Pago título: 2118003860 3961 - INSTITUTO EDUCACION 30/07/2021 LQ 356,61 356,61"
"Pago título: 2118003868 3971 - VIEIRA E RODRIGUES 30/07/2021 LQ 219,58 219,58"
"Pago título: 2118003884 3984 - BELEM TRANSPORTES E 30/07/2021 LQ 372,67 372,67"
"Pago título: 2118003892 3992 - HOTEL FAZENDA HARAS 30/07/2021 LQ 428,17 428,17"
"Pago título: 2118003908 4059 - ATI GEL FRUTAS CONG 30/07/2021 LQ 205,58 205,58"
"Pago título: 2118003916 4116 - TARTALIA EMPREENDIM 30/07/2021 LQ 475,75 475,75"
"Pago título: 2118003940 4131 - ASSOCIACAO DE AMIGO 30/07/2021 LQ 241,35 241,35"
"Pago título: 2118003948 4197 - ASSOCIA  O DOS PROP 30/07/2021 LQ 365,96 365,96"
"Pago título: 2118003972 4288 - PTM AGRICOLA E PART 30/07/2021 LQ 471,78 471,78"
"Pago título: 2118003980 4306 - CONSTANTE DE OLIVEI 30/07/2021 LQ 883,79 883,79"
"Pago título: 2118003988 4315 - AGE DO BRASIL INDUS 30/07/2021 LQ 219,58 219,58"
"Pago título: 2118004004 4330 - CPD LOCADORA DE VEI 30/07/2021 LQ 1097,88 1097,88"
"Pago título: 2118004012 4356 - CONDOMINIO RESIDENC 30/07/2021 LQ 219,58 219,58"
"Pago título: 2118004020 4358 - CONSTIC EMPREENDIME 30/07/2021 LQ 523,14 523,14"
"Pago título: 2118004028 4361 - RAUL FERREIRA LEITE 30/07/2021 LQ 402,55 402,55"
"Pago título: 2118004036 4378 - OSMAR DONIZETE DA S 30/07/2021 LQ 365,96 365,96"
"Pago título: 2118004044 4385 - MATEUS CAVALCANTI I 30/07/2021 LQ 237,88 237,88"
"Pago título: 2118004060 4481 - CLARIPEL INDUSTRIA 30/07/2021 LQ 1308,92 1308,92"
"Pago título: 2118004076 4519 - IVO ZARZUR ADMINIST 30/07/2021 LQ 5271,63 5271,63"
"Pago título: 2118004084 4556 - ASSOCIA  O DE MELHO 30/07/2021 LQ 372 372"
"Pago título: 2118004100 4600 - ALMEIDA PISOS E REV 30/07/2021 LQ 274,47 274,47"
"Pago título: 2118004108 4631 - AGROPECU RIA CAPUAV 30/07/2021 LQ 365,96 365,96"
"Pago título: 2118004116 4641 - DYNATECH IND STRIAS 30/07/2021 LQ 394,42 394,42"
"Pago título: 2118004132 4654 - ASSOC DOS PROP DE L 30/07/2021 LQ 365,96 365,96"
"Pago título: 2118004140 4697 - MARFRIG GLOBAL FOOD 30/07/2021 LQ 326,66 326,66"
"Pago título: 2118004148 4762 - MINERA  O ANGICO LT 30/07/2021 LQ 283,44 283,44"
"Pago título: 2118004164 4779 - FUNDACAO CENTRO DE 30/07/2021 LQ 375,84 375,84"
"Pago título: 2118004172 4783 - CORREIAS MERC RIO S 30/07/2021 LQ 212,99 212,99"
"Pago título: 2118004180 4784 - ASSOCIA  O DOS PROP 30/07/2021 LQ 394,32 394,32"
"Pago título: 2118004196 4827 - BOM PEIXE INDUSTRIA 30/07/2021 LQ 234,21 234,21"
"Pago título: 2118004220 4869 - ASSOCIA  O DOS MORA 30/07/2021 LQ 296,43 296,43"
"Pago título: 2118004228 4870 - ASSOCIA  O MELHORES 30/07/2021 LQ 312,9 312,9"
"Pago título: 2118004236 4891 - LOTEAMENTO IMPERIAL 30/07/2021 LQ 731,92 731,92"
"Pago título: 2118004260 4916 - CLUBE ATL TICO VALI 30/07/2021 LQ 216,01 216,01"
"Pago título: 2118004292 4992 - AGUA NOGUEIRENSE LT 30/07/2021 LQ 365,96 365,96"
"Pago título: 2118004316 5040 - CONDOM NIO GARNET 30/07/2021 LQ 397,43 397,43"
"Pago título: 2118004356 5082 - ELLOS EMPREENDIMENT 30/07/2021 LQ 296,43 296,43"
"Pago título: 2118004364 5161 - MISTER GELO IND. DE 30/07/2021 LQ 454,12 454,12"
"Pago título: 2118004372 5168 - NEMPOP IND STRIA QU 30/07/2021 LQ 496,79 496,79"
"Pago título: 2118004388 5261 - CIA DE SANEAMENTO B 30/07/2021 LQ 11345,15 11345,15"
"Pago título: 2118004404 5306 - ASSOCIACAO DE AMIGO 30/07/2021 LQ 274,47 274,47"
"Pago título: 2118004412 5323 - ERCA IND STRIA E CO 30/07/2021 LQ 463,56 463,56"
"Pago título: 2118004452 5404 - ASSOC DE CONGRESSOS 30/07/2021 LQ 539,47 539,47"
"Pago título: 2118004460 5409 - TATIANA CRISTINA DE 30/07/2021 LQ 212,08 212,08"
"Pago título: 2118004476 5416 - ZARAPLAST S.A 30/07/2021 LQ 561,75 561,75"
"Pago título: 2118004508 5443 - ASSOC DOS PROP E MO 30/07/2021 LQ 208,65 208,65"
"Pago título: 2118004516 5464 - INSTITUTO ADVENTIST 30/07/2021 LQ 342,8 342,8"
"Pago título: 2118004540 5487 - ASSOC DOS PROPR DE 30/07/2021 LQ 329,36 329,36"
"Pago título: 2118004548 5504 - LUIZ GUILHERME SART 30/07/2021 LQ 365,96 365,96"
"Pago título: 2118004556 5514 -  GUAS DO MIRANTE 30/07/2021 LQ 294,6 294,6"
"Pago título: 2118004572 5531 - MARILIZE PEZZO ROSS 30/07/2021 LQ 786,08 786,08"
"Pago título: 2118004580 5539 - SPEEDY INCORPORA  E 30/07/2021 LQ 315,91 315,91"
"Pago título: 2118004596 5553 - ASSOCIA  O MASTER D 30/07/2021 LQ 1212,27 1212,27"
"Pago título: 2118004612 5560 - WT NEG CIOS IMOBILI 30/07/2021 LQ 481,6 481,6"
"Pago título: 2118004636 5599 - COOPERATIVA PECU RI 30/07/2021 LQ 3716 3716"
"Pago título: 2118004644 5601 - ASSOCIA  O DOS PROP 30/07/2021 LQ 1939,58 1939,58"
"Pago título: 2118004652 5606 - AROMA BIOENERGIA LT 30/07/2021 LQ 211,02 211,02"
"Pago título: 2118004660 5628 - SAFRA INDUSTRIA E C 30/07/2021 LQ 1600,51 1600,51"
"Pago título: 2118004708 5694 - R. BOQUINO TRANSPOR 30/07/2021 LQ 567,3 567,3"
"Pago título: 2118004732 5773 - OWB INDUSTRIA DE AU 30/07/2021 LQ 230,15 230,15"
"Pago título: 2118004748 5803 - ASSOCIA  O DOS AMIG 30/07/2021 LQ 488,78 488,78"
"Pago título: 2118004772 5865 - CONDOMINIO VILLA UN 30/07/2021 LQ 468,55 468,55"
