"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72457743009202421819.ret"
""
"Cadastrado título novo: 9000008246 5565 - WHITE MARTINS GASES 31/10/2024 RG 590,29 0"
"Cadastrado título novo: 9000008247 3701 - ASSOCIACAO DE SOCIOS 31/10/2024 RG 2274,67 0"
"Pago título: 2400000707 4504 - C R EMPREENDIMENTOS 30/09/2024 LQ 232,35 232,35"
"Pago título: 2400000708 2771 - GOOD BOM SUPERMERCAD 30/09/2024 LQ 231,38 231,38"
"Pago título: 2400000712 124 - SMART ADMINISTRACAO D 30/09/2024 LQ 230,16 230,16"
"Pago título: 2400000720 1021 - INDUSTRIA E COMERCIO 30/09/2024 LQ 225,35 225,35"
"Pago título: 2400000723 405 - PIRAENTUR PIRACICABA 30/09/2024 LQ 224,04 224,04"
"Pago título: 2400000727 5378 - JD AGRICULTURA E PAR 30/09/2024 LQ 223,64 223,64"
"Pago título: 2400000729 6144 - ANDREA CURY SHARP DE 30/09/2024 LQ 223,23 223,23"
"Pago título: 2400000731 4845 - BARDUCHI BARDUCHI LT 30/09/2024 LQ 222,5 222,5"
"Pago título: 2400000733 3084 - JESUS DE MARI ARTEFA 30/09/2024 LQ 222,34 222,34"
"Pago título: 2400000734 2755 - RANCHO MINEIRO RESTA 30/09/2024 LQ 222,21 222,21"
"Pago título: 2400000745 6876 - CONDOMINIO EDIFICIO 30/09/2024 LQ 219,49 219,49"
"Pago título: 2400000752 7872 - SHINAGAWA REFRATARIO 30/09/2024 LQ 217,29 217,29"
"Pago título: 2400000757 731 - AUGUSTA MARTINS FIORI 30/09/2024 LQ 216,27 216,27"
"Pago título: 2400000758 3988 - COMOTEC INDUSTRIA E 30/09/2024 LQ 216,07 216,07"
"Pago título: 2400000760 3702 - LUIZZI INDUSTRIA E C 30/09/2024 LQ 215,92 215,92"
"Pago título: 2400000761 3913 - ENSINO INFANTIL E FU 30/09/2024 LQ 215,61 215,61"
"Pago título: 2400000762 5849 - CREAM COLOR INDUSTRI 30/09/2024 LQ 215,51 215,51"
"Pago título: 2400000767 1889 - IMBRAMIL INDUSTRIA E 30/09/2024 LQ 213,24 213,24"
"Pago título: 2400000770 3228 - GOOD BOM SUPERMERCAD 30/09/2024 LQ 212,09 212,09"
"Pago título: 2400000773 4057 - TEXTIL JAVANEZA LTDA 30/09/2024 LQ 210,94 210,94"
"Pago título: 2400000777 1839 - TEXTIL PBS LTDA 30/09/2024 LQ 208,29 208,29"
"Pago título: 2400000778 4175 - INBRASC - INDUSTRIA 30/09/2024 LQ 208,21 208,21"
"Pago título: 2400000779 3329 - NICEPEL PRODUTOS QUI 30/09/2024 LQ 207,9 207,9"
"Pago título: 2400000785 2788 - MARCOS GUILHERME ELT 30/09/2024 LQ 205,82 205,82"
"Pago título: 2400000794 3234 - MAX TENNENBAUM & CIA 30/09/2024 LQ 199,63 199,63"
"Pago título: 2400000806 5485 - ASSOC DA INSTITUIDOR 30/09/2024 LQ 193,95 193,95"
"Pago título: 2400000807 6936 - ANHANGUERA COMERCIO 30/09/2024 LQ 193,4 193,4"
"Pago título: 2400000808 7728 - FWL ADMINISTRADORA D 30/09/2024 LQ 193,16 193,16"
"Pago título: 2400000809 1851 - RIVIJUN HOTEIS E TUR 30/09/2024 LQ 193,03 193,03"
"Pago título: 2400000812 2835 - SULBRAS MOLDES E PLA 30/09/2024 LQ 192,5 192,5"
"Pago título: 2400000814 3579 - ADM ARMAZENS GERAIS 30/09/2024 LQ 192,5 192,5"
"Pago título: 2400000816 3283 - TECNOROAD RODAS E PN 30/09/2024 LQ 191,99 191,99"
"Pago título: 2400000824 5214 - NOVA PLAST IND E COM 30/09/2024 LQ 189,65 189,65"
"Pago título: 2400000827 5508 - INDUSTRIA E COMERCIO 30/09/2024 LQ 187,69 187,69"
"Pago título: 2400000829 1755 - COOPERATIVA DOS PROD 30/09/2024 LQ 187,58 187,58"
"Pago título: 2400000832 3252 - LICEU SALESIANO NOSS 30/09/2024 LQ 185,69 185,69"
"Pago título: 2400000833 7750 - CAPITAL MIX CONCRETO 30/09/2024 LQ 182,72 182,72"
"Pago título: 2400000835 3914 - ANDRETA MOTORS LTDA. 30/09/2024 LQ 182,61 182,61"
"Pago título: 2400000839 70 - DS SIQUEIRA & LIMA HOT 30/09/2024 LQ 180,64 180,64"
"Pago título: 2400000845 193 - ENGOMAGEM TEXTIL WHIT 30/09/2024 LQ 176,18 176,18"
"Pago título: 2400000846 4503 - ASSOCIACAO IRMAS DA 30/09/2024 LQ 176,11 176,11"
"Pago título: 2400000849 1557 - SOCIEDADE DE INSTRUC 30/09/2024 LQ 175,06 175,06"
"Pago título: 2400000850 4715 - ACD EMPREENDIMENTOS 30/09/2024 LQ 175,06 175,06"
"Pago título: 2400000851 3257 - CONDOMINIO RESIDENCI 30/09/2024 LQ 175,06 175,06"
"Pago título: 2400000853 2234 - CONDOMINIO EDIFICIO 30/09/2024 LQ 174,71 174,71"
"Pago título: 2400000857 2677 - ARACAJU PARTICIPACOE 30/09/2024 LQ 173,39 173,39"
"Pago título: 2400000860 2898 - QUIMIGEL INDUSTRIA, 30/09/2024 LQ 173,25 173,25"
"Pago título: 2400000861 2648 - PLASTICOS MB LTDA 30/09/2024 LQ 172,88 172,88"
"Pago título: 2400000863 2787 - GOOD BOM SUPERMERCAD 30/09/2024 LQ 172,16 172,16"
"Pago título: 2400000864 3568 - FACCHINI S.A. 30/09/2024 LQ 170,44 170,44"
"Pago título: 2400000865 35 - VALE DAS AGUAS COUNTRY 30/09/2024 LQ 169,4 169,4"
"Pago título: 2400000867 3613 - TREVO EMPREENDIMENTO 30/09/2024 LQ 169,4 169,4"
"Pago título: 2400000868 2498 - BEMARCO ESTRUTURAS L 30/09/2024 LQ 169,4 169,4"
"Pago título: 2400000876 3284 - SAUIPE MOTEL LTDA 30/09/2024 LQ 164 164"
"Pago título: 2400000879 1877 - METACAULIM DO BRASIL 30/09/2024 LQ 161,45 161,45"
"Pago título: 2400000881 3934 - GITEX - GASPARINI IN 30/09/2024 LQ 160,64 160,64"
"Pago título: 2400000882 2617 - HOSPITAL DE ITATIBA 30/09/2024 LQ 160,58 160,58"
"Pago título: 2400000887 3361 - PESQUEIRO SANTO AGOS 30/09/2024 LQ 158,74 158,74"
"Pago título: 2400000888 3559 - LABOR GROUP EMPREEND 30/09/2024 LQ 157,73 157,73"
"Pago título: 2400000891 5335 - J MENEZES TERRAPLENA 30/09/2024 LQ 156,08 156,08"
"Pago título: 2400000894 2921 - POSTO SEIS DE JULHO 30/09/2024 LQ 155,07 155,07"
"Pago título: 2400000896 1386 - ASSOCIACAO DAS FILHA 30/09/2024 LQ 153,16 153,16"
"Pago título: 2400000898 2084 - FUNDACAO DE SAUDE DO 30/09/2024 LQ 152,83 152,83"
"Pago título: 2400000899 3363 - RETIFICA ITATIBA LTD 30/09/2024 LQ 152,51 152,51"
"Pago título: 2400000900 4403 - SAUVET INDUSTRIA FAR 04/10/2024 LQ 152,14 152,14"
"Pago título: 2400000904 3478 - MAHEI HOTEIS E TURIS 30/09/2024 LQ 149,36 149,36"
"Pago título: 2400000905 339 - LITOGRAFIA BANDEIRANT 30/09/2024 LQ 148,84 148,84"
"Pago título: 2400000908 5401 - MARZO VITORINO - IND 30/09/2024 LQ 147,27 147,27"
"Pago título: 2400000909 2685 - INDUSTRIA MECANICA S 30/09/2024 LQ 147 147"
"Pago título: 2400000914 4326 - CATARINA MARA DE PAU 30/09/2024 LQ 145,89 145,89"
"Pago título: 2400000915 3488 - STEFANINI MOTORS VEI 30/09/2024 LQ 145,89 145,89"
"Pago título: 2400000921 3510 - IUZ QUIM INDUSTRIA Q 30/09/2024 LQ 143,95 143,95"
"Pago título: 2400000922 1391 - TREBOL BRASIL LTDA 30/09/2024 LQ 143,93 143,93"
"Pago título: 2400000924 5188 - WEIR DO BRASIL LTDA. 30/09/2024 LQ 143,61 143,61"
"Pago título: 2400000926 2482 - AUTO POSTO CACARECO 30/09/2024 LQ 143,11 143,11"
"Pago título: 2400000928 3727 - INDUSTRIA DE BEBIDAS 30/09/2024 LQ 141,29 141,29"
"Pago título: 2400000934 230 - TRANSPORTADORA RODOME 30/09/2024 LQ 139,86 139,86"
"Pago título: 2400000935 866 - TEXTIL ASSEF MALUF LT 30/09/2024 LQ 139,26 139,26"
"Pago título: 2400000936 2163 - CONDOMINIO EDIFICIO 30/09/2024 LQ 138,67 138,67"
"Pago título: 2400000939 3110 - PLACIDO PAPALARDI 30/09/2024 LQ 137,35 137,35"
"Pago título: 2400000941 3630 - ABDELNOR II COMERCIO 30/09/2024 LQ 136,71 136,71"
"Pago título: 2400000942 3166 - TENIS CLUBE 30/09/2024 LQ 136,71 136,71"
"Pago título: 2400000943 2758 - GOOD BOM SUPERMERCAD 30/09/2024 LQ 136,71 136,71"
"Pago título: 2400000946 1025 - CONDOMINIO SOLAR DOS 30/09/2024 LQ 135,79 135,79"
"Pago título: 2400000947 110 - SUNTECH SUPPLIES IND 30/09/2024 LQ 134,97 134,97"
"Pago título: 2400000948 5619 - BRIDGESTONE DO BRASI 30/09/2024 LQ 134,75 134,75"
"Pago título: 2400000952 3117 - ASSOCIACAO DE EDUCAC 30/09/2024 LQ 131,39 131,39"
"Pago título: 2400000954 1823 - B. A. BARBOSA SUPERM 30/09/2024 LQ 129,71 129,71"
"Pago título: 2400000957 343 - CENTRO EDUCACIONAL DE 30/09/2024 LQ 124,25 124,25"
"Pago título: 2400000958 5212 - SUPERMERCADO DELTA M 30/09/2024 LQ 121,62 121,62"
"Pago título: 2400000960 3940 - RECUPERACAO E COMERC 30/09/2024 LQ 120,84 120,84"
"Pago título: 2400000965 1837 - AUTO POSTO ALVORADA 30/09/2024 LQ 118,35 118,35"
"Pago título: 2400000967 2542 - COOPERATIVA DE PRODU 30/09/2024 LQ 115,67 115,67"
"Pago título: 2400000970 2130 - SINEIO LUCIO SERAFIM 30/09/2024 LQ 111,52 111,52"
"Pago título: 2400000979 2918 - PIB PARQUES INDUSTRI 30/09/2024 LQ 105,16 105,16"
"Pago título: 2400000981 3956 - COMERCIAL LIBERATO L 30/09/2024 LQ 101,89 101,89"
"Pago título: 2400000985 1027 - GRAFICA EDITORA GUTE 30/09/2024 LQ 97,16 97,16"
"Pago título: 2400000989 3264 - SOUVIE COM IND IMPOR 30/09/2024 LQ 94,16 94,16"
"Pago título: 2400000990 2708 - MAILA COSMETICOS S/A 30/09/2024 LQ 92,9 92,9"
"Pago título: 2400000997 1098 - INDUSTRIAS TEXTEIS N 30/09/2024 LQ 80,97 80,97"
"Pago título: 2400000999 4242 - NEW COLOR PLASTIC IN 30/09/2024 LQ 77,11 77,11"
"Pago título: 2400001000 3724 - PREFEITURA MUNICIPAL 30/09/2024 LQ 70,91 70,91"
"Pago título: 2400001011 5263 - ANHANGUERA EDUCACION 30/09/2024 LQ 299,07 299,07"
"Pago título: 2400001015 1476 - INNARA INDUSTRIA NAC 30/09/2024 LQ 297,82 297,82"
"Pago título: 2400001017 1856 - FERNANDO NAJI NAHAS 30/09/2024 LQ 296,5 296,5"
"Pago título: 2400001021 569 - ALCAR ABRASIVOS LTDA 30/09/2024 LQ 295,57 295,57"
"Pago título: 2400001025 2307 - AGROLINK IMPORTACAO 30/09/2024 LQ 293,35 293,35"
"Pago título: 2400001037 4696 - NEWSUL S/A EMBALAGEN 30/09/2024 LQ 292,76 292,76"
"Pago título: 2400001039 2089 - POSTO TROPICOS LTDA 30/09/2024 LQ 292,76 292,76"
"Pago título: 2400001041 5665 - ASSOCIACAO DEMOCRATI 30/09/2024 LQ 292,76 292,76"
"Pago título: 2400001043 5019 - ASSOC DOS PROPRIETAR 30/09/2024 LQ 292,76 292,76"
"Pago título: 2400001045 4690 - RODONAVES TRANSPORTE 30/09/2024 LQ 292,76 292,76"
"Pago título: 2400001049 4818 - NOTRE DAME INTERMEDI 30/09/2024 LQ 292,76 292,76"
"Pago título: 2400001050 4818 - NOTRE DAME INTERMEDI 31/10/2024 LQ 292,77 292,77"
"Pago título: 2400001051 2948 - ASSOCIACAO RESIDENCI 30/09/2024 LQ 292,76 292,76"
"Pago título: 2400001057 5648 - MAX GEAR INDUSTRIA E 30/09/2024 LQ 292,76 292,76"
"Pago título: 2400001059 3830 - CONDOMINIO RESIDENCI 30/09/2024 LQ 292,76 292,76"
"Pago título: 2400001063 2026 - SERRA DO SOL EMPREEN 30/09/2024 LQ 292,76 292,76"
"Pago título: 2400001067 5435 - ASSOCIACAO DOS PROPR 30/09/2024 LQ 292,76 292,76"
"Pago título: 2400001069 4846 - CONDOMINIO RESIDENCI 30/09/2024 LQ 292,76 292,76"
"Pago título: 2400001079 2257 - BALLAGRO AGRO TECNOL 30/09/2024 LQ 292,44 292,44"
"Pago título: 2400001083 285 - CAPIVARI CLUBE 30/09/2024 LQ 291,87 291,87"
"Pago título: 2400001085 4563 - RESIDENCIAL AUREA 30/09/2024 LQ 291,77 291,77"
"Pago título: 2400001087 3301 - COMERCIAL ANDRETA DE 30/09/2024 LQ 289,98 289,98"
"Pago título: 2400001093 1863 - TEXTIL ELIANA LTDA 30/09/2024 LQ 285,95 285,95"
"Pago título: 2400001095 1699 - JRPH RESORT HOTEL PR 30/09/2024 LQ 285,44 285,44"
"Pago título: 2400001103 3776 - INDUSTRIA TEXTIL NOS 30/09/2024 LQ 278,74 278,74"
"Pago título: 2400001107 5605 - ASSOCIACAO MORADORES 30/09/2024 LQ 278,13 278,13"
"Pago título: 2400001109 5636 - QUIBRITA MINERADORA 30/09/2024 LQ 276,97 276,97"
"Pago título: 2400001119 3498 - RELAX MOTEL LTDA 30/09/2024 LQ 274,62 274,62"
"Pago título: 2400001125 5627 - SANCETUR - SANTA CEC 30/09/2024 LQ 272,49 272,49"
"Pago título: 2400001126 5627 - SANCETUR - SANTA CEC 31/10/2024 LQ 272,5 272,5"
"Pago título: 2400001131 1744 - INDUSTRIAS MARRUCCI 30/09/2024 LQ 271,77 271,77"
"Pago título: 2400001133 2914 - COSMOS INDUSTRIA E C 30/09/2024 LQ 268,97 268,97"
"Pago título: 2400001135 3688 - ASSOC DOS PROPRIETAR 30/09/2024 LQ 266,41 266,41"
"Pago título: 2400001143 7852 - CAPITAL MIX CONCRETO 30/09/2024 LQ 263,81 263,81"
"Pago título: 2400001149 1868 - FORMIGAO COMERCIO DE 30/09/2024 LQ 263,49 263,49"
"Pago título: 2400001155 5550 - ASSOCIACAO DE PROPRI 30/09/2024 LQ 263,49 263,49"
"Pago título: 2400001156 5550 - ASSOCIACAO DE PROPRI 31/10/2024 LQ 263,49 263,49"
"Pago título: 2400001157 7848 - LUQUE EMPREENDIMENTO 30/09/2024 LQ 263,49 263,49"
"Pago título: 2400001163 2004 - TECNO OIL INDUSTRIA 30/09/2024 LQ 262,76 262,76"
"Pago título: 2400001169 4489 - SANATORIO ISMAEL 30/09/2024 LQ 261,29 261,29"
"Pago título: 2400001173 4536 - CONDOMINIO RESIDENCI 30/09/2024 LQ 259,89 259,89"
"Pago título: 2400001183 1187 - FLORIDIANA TENIS CLU 30/09/2024 LQ 257,5 257,5"
"Pago título: 2400001185 7786 - MUNICIPIO DE ELIAS F 30/09/2024 LQ 257,45 257,45"
"Pago título: 2400001189 3651 - CT AGROINDUSTRIA E C 30/09/2024 LQ 256,65 256,65"
"Pago título: 2400001197 7249 - JCVI INCORPORACOES E 30/09/2024 LQ 256,17 256,17"
"Pago título: 2400001199 4291 - LAR DOS VELHOS FLAMI 30/09/2024 LQ 255,55 255,55"
"Pago título: 2400001203 1769 - KREBSFER INDUSTRIAL 30/09/2024 LQ 255,3 255,3"
"Pago título: 2400001205 2938 - FRIBAL FRIGORIFICO B 30/09/2024 LQ 254,7 254,7"
"Pago título: 2400001207 1229 - ALBANO EMBALAGENS ES 30/09/2024 LQ 254,12 254,12"
"Pago título: 2400001209 3320 - SAVEGNAGO SUPERMERCA 30/09/2024 LQ 252,75 252,75"
"Pago título: 2400001219 2449 - CONDOMINIO OSATO 30/09/2024 LQ 250,82 250,82"
"Pago título: 2400001225 3759 - HOTEL FAZENDA DONA C 30/09/2024 LQ 250,31 250,31"
"Pago título: 2400001226 3759 - HOTEL FAZENDA DONA C 31/10/2024 LQ 250,32 250,32"
"Pago título: 2400001229 3270 - ASSOCIACAO DOS MORAD 30/09/2024 LQ 248,85 248,85"
"Pago título: 2400001233 1998 - AUTO POSTO MORRO AZU 30/09/2024 LQ 248,85 248,85"
"Pago título: 2400001237 2579 - CLUBE DE REGATAS BAN 30/09/2024 LQ 247,25 247,25"
"Pago título: 2400001239 4076 - ASSOCIACAODOS PROPRI 30/09/2024 LQ 247,02 247,02"
"Pago título: 2400001241 418 - RESIDENCIAL ALTO DOS 30/09/2024 LQ 246,46 246,46"
"Pago título: 2400001247 834 - BURIGOTTO S/A INDUSTR 30/09/2024 LQ 244,66 244,66"
"Pago título: 2400001253 3802 - TRANSPORTADORA DE AG 30/09/2024 LQ 241,53 241,53"
"Pago título: 2400001257 1336 - NAHSA COMERCIO DE MA 30/09/2024 LQ 241,5 241,5"
"Pago título: 2400001263 1135 - BRASMIX ENGENHARIA D 30/09/2024 LQ 240,87 240,87"
"Pago título: 2400001265 3245 - A & J LAVANDERIA LTD 30/09/2024 LQ 240,63 240,63"
"Pago título: 2400001267 3981 - O.S. DISTRIBUIDORA D 30/09/2024 LQ 240,63 240,63"
"Pago título: 2400001273 5498 - CONDOMINIO A MONTANH 30/09/2024 LQ 237,87 237,87"
"Pago título: 2400001275 2577 - ESPORTE CLUBE BARBAR 30/09/2024 LQ 237,75 237,75"
"Pago título: 2400001279 2930 - JOSE TADEU COLETI E 30/09/2024 LQ 237,09 237,09"
"Pago título: 2400001283 2876 - PARTLINE PARTICIPACO 30/09/2024 LQ 235,32 235,32"
"Pago título: 2400001293 1205 - LAR DOS VELHINHOS DE 30/09/2024 LQ 233,34 233,34"
"Pago título: 2400001295 3356 - PQA QUIMICA LTDA 30/09/2024 LQ 233,11 233,11"
"Pago título: 2400001297 3494 - MANCHESTER QUIMICA D 30/09/2024 LQ 232,75 232,75"
"Pago título: 2400001299 1042 -  CENTRAL DE SERVICOS 30/09/2024 LQ 232,07 232,07"
"Pago título: 2400001301 1550 - CONCRELONGO SERVICOS 30/09/2024 LQ 231 231"
"Pago título: 2400001303 6793 - SUPERMERCADOS DALBEN 30/09/2024 LQ 230,29 230,29"
"Pago título: 2400001305 3102 - HOTEIS SANTA ROSA LT 30/09/2024 LQ 230,06 230,06"
"Pago título: 2400001307 3417 - CONDOMINIO RESIDENCI 30/09/2024 LQ 229,77 229,77"
"Pago título: 2400001309 3242 - SAVEGNAGO SUPERMERCA 30/09/2024 LQ 229,52 229,52"
"Pago título: 2400001317 2811 - ASSOCIACAO DOS PROPR 30/09/2024 LQ 228,28 228,28"
"Pago título: 2400001323 1585 - HORTEL HOTELARIA LTD 30/09/2024 LQ 226,6 226,6"
"Pago título: 2400001325 7804 - ASSOC DOS PROP DE LO 30/09/2024 LQ 226,48 226,48"
"Pago título: 2400001331 2119 - EDIFICIO CRUZEIRO DO 30/09/2024 LQ 222,8 222,8"
"Pago título: 2400001339 1233 - GVS DO BRASIL LTDA 30/09/2024 LQ 220,19 220,19"
"Pago título: 2400001343 840 - UNIFRAX BRASIL LTDA 30/09/2024 LQ 219,87 219,87"
"Pago título: 2400001365 7752 - CONDOMINIO RESIDENCI 30/09/2024 LQ 219,57 219,57"
"Pago título: 2400001375 5488 - ASSOCIACAO DOS PROPR 30/09/2024 LQ 219,57 219,57"
"Pago título: 2400001377 4430 - INDUSTRIA E COMERCIO 30/09/2024 LQ 219,57 219,57"
"Pago título: 2400001379 4961 - INDUSTRIA BRAIDO LTD 30/09/2024 LQ 219,57 219,57"
"Pago título: 2400001381 4012 - CONDOMINIO RESIDENCI 30/09/2024 LQ 219,57 219,57"
"Pago título: 2400001387 5456 - EMPREENDIMENTO HOTEL 30/09/2024 LQ 219,57 219,57"
"Pago título: 2400001393 5563 - ANDRADE & LATORRE EM 30/09/2024 LQ 219,57 219,57"
"Pago título: 2400001395 4689 - RIBEIRA EMPREENDIMEN 30/09/2024 LQ 219,57 219,57"
"Pago título: 2400001409 1076 - LOJAS CEM S/A 30/09/2024 LQ 218,72 218,72"
"Pago título: 2400001411 2739 - CRISTA INDUSTRIA E C 30/09/2024 LQ 218,36 218,36"
"Pago título: 2400001413 482 - TAVARES PINHEIRO INDU 30/09/2024 LQ 218,07 218,07"
"Pago título: 2400001425 3545 - TEXTIL CARUARU LTDA. 30/09/2024 LQ 214,54 214,54"
"Pago título: 2400001431 1340 - INDUSTRIA DE BEBIDAS 30/09/2024 LQ 213,33 213,33"
"Pago título: 2400001437 6875 - FUNDACAO CENTRO DE A 30/09/2024 LQ 212,77 212,77"
"Pago título: 2400001441 1623 - AUTO POSTO GIGIO LTD 30/09/2024 LQ 212,25 212,25"
"Pago título: 2400001445 3057 - NICOLETTI INDUSTRIA 30/09/2024 LQ 211,99 211,99"
"Pago título: 2400001455 2769 - ASSOCIACAO DE AMIGOS 30/09/2024 LQ 208,59 208,59"
"Pago título: 2400001457 5571 - FENIX AGRO-PECUS IND 30/09/2024 LQ 208,39 208,39"
"Pago título: 2400001459 1219 - FLINT INDUSTRIA TEXT 30/09/2024 LQ 207,35 207,35"
"Pago título: 2400001461 1152 - JESUS TITO DA SILVA 30/09/2024 LQ 207,11 207,11"
"Pago título: 2400001463 4350 - ASSOCIACAO DOS CONDO 30/09/2024 LQ 207,11 207,11"
"Pago título: 2400001475 1185 - MINERADORA BARBARENS 30/09/2024 LQ 204,93 204,93"
"Pago título: 2400001483 3101 - DS2 ENGENHARIA E COM 30/09/2024 LQ 204,74 204,74"
"Pago título: 2400001491 277 - LINHASITA INDUSTRIA D 30/09/2024 LQ 202,97 202,97"
"Pago título: 2400001493 1604 - ASSOC ATLETICA PONTE 30/09/2024 LQ 202,8 202,8"
"Pago título: 2400001495 734 - GUSTAVO ADOLFO BAETA 30/09/2024 LQ 202,19 202,19"
"Pago título: 2400001501 2042 - CATION INDUSTRIA E C 30/09/2024 LQ 200,66 200,66"
"Pago título: 2400001509 1809 - ASSOCIACAO RESIDENCI 30/09/2024 LQ 264,36 264,36"
"Pago título: 2400001515 7870 - SIKA S/A 30/09/2024 LQ 264,25 264,25"
"Pago título: 2400001518 4137 - ALBERT SABIN HOSPITA 30/09/2024 LQ 264,24 264,24"
"Pago título: 2400001521 2376 - MARILIA FERNANDES DE 30/09/2024 LQ 263,48 263,48"
"Pago título: 2400001527 2184 - CABLENA DO BRASIL LT 30/09/2024 LQ 261,81 261,81"
"Pago título: 2400001533 3241 - ESPACO BARTO EVENTOS 30/09/2024 LQ 259,93 259,93"
"Pago título: 2400001557 2030 - GLOBALPACK INDUSTRIA 30/09/2024 LQ 255,3 255,3"
"Pago título: 2400001563 4109 - COND CENTRO DE LOGIS 30/09/2024 LQ 254,22 254,22"
"Pago título: 2400001569 5618 - ASSOCIACAO DE PROPRI 30/09/2024 LQ 253,73 253,73"
"Pago título: 2400001587 2597 - TATU PREMOLDADOS LTD 30/09/2024 LQ 248,85 248,85"
"Pago título: 2400001596 2963 - FIBRILA TEXTILE LTDA 30/09/2024 LQ 246,78 246,78"
"Pago título: 2400001611 613 - PAULO AGNELO MALZONI 30/09/2024 LQ 243,97 243,97"
"Pago título: 2400001614 5011 - ASSOCIACAO DOS MORAD 30/09/2024 LQ 243,97 243,97"
"Pago título: 2400001617 1763 - ASSOC DOS PROP DO LO 30/09/2024 LQ 243,97 243,97"
"Pago título: 2400001629 7855 - ASSOC. DOS MOR. DO R 04/10/2024 LQ 243,97 243,97"
"Pago título: 2400001635 5551 - ASSOCIACAO DOS MORAD 30/09/2024 LQ 243,97 243,97"
"Pago título: 2400001659 4582 - CAMPEAO 80 POSTOS DE 30/09/2024 LQ 243,97 243,97"
"Pago título: 2400001668 1718 - HOTELARIA BRASIL LTD 30/09/2024 LQ 243,15 243,15"
"Pago título: 2400001677 3065 - ELETROMEI INDUSTRIA 30/09/2024 LQ 240,56 240,56"
"Pago título: 2400001683 3177 - CONCREVIP CONCRETARI 30/09/2024 LQ 239,99 239,99"
"Pago título: 2400001692 5283 - ARTHI COMERCIAL LTDA 30/09/2024 LQ 239,44 239,44"
"Pago título: 2400001695 7331 - KOLIBRI ADMINISTRACA 30/09/2024 LQ 239,1 239,1"
"Pago título: 2400001696 7331 - KOLIBRI ADMINISTRACA 31/10/2024 LQ 239,09 239,09"
"Pago título: 2400001697 7331 - KOLIBRI ADMINISTRACA 29/11/2024 LQ 239,09 239,09"
"Pago título: 2400001707 1905 - ITUPEVA HOTEIS, CONV 30/09/2024 LQ 238,18 238,18"
"Pago título: 2400001710 4419 - MIDAS INCORPORADORA 30/09/2024 LQ 237,77 237,77"
"Pago título: 2400001713 2517 - M. TORETI 30/09/2024 LQ 237,74 237,74"
"Pago título: 2400001716 1935 - MINERGUITA MINERACAO 30/09/2024 LQ 237,12 237,12"
"Pago título: 2400001725 3678 - ASSOC DOS PROPR DO L 30/09/2024 LQ 234,74 234,74"
"Pago título: 2400001728 561 - JULIMAR LAVANDERIA LT 30/09/2024 LQ 234,62 234,62"
"Pago título: 2400001731 3211 - DENILSON BISPO 30/09/2024 LQ 234,22 234,22"
"Pago título: 2400001734 2974 - ASSOCIACAO DE MORADO 30/09/2024 LQ 234,22 234,22"
"Pago título: 2400001737 7748 - CHURRASCARIA TREVISA 30/09/2024 LQ 234,22 234,22"
"Pago título: 2400001746 444 - VIRONDA CONFECCOES LT 30/09/2024 LQ 233,68 233,68"
"Pago título: 2400001749 4694 - WALDIR PARISE E OUTR 30/09/2024 LQ 233,09 233,09"
"Pago título: 2400001761 6791 - ASSOCIACAO DOS PROPR 30/09/2024 LQ 231,61 231,61"
"Pago título: 2400001764 3815 - CONDOMINIO AMABILIS 30/09/2024 LQ 231,56 231,56"
"Pago título: 2400001770 464 - NESTLE BRASIL LTDA 30/09/2024 LQ 231,47 231,47"
"Pago título: 2400001794 2666 - FUCHS GEWURZE DO BRA 30/09/2024 LQ 228,42 228,42"
"Pago título: 2400001797 1014 - MINERACAO DIBASE PED 30/09/2024 LQ 228,2 228,2"
"Pago título: 2400001800 4034 - LUCI AREIA LTDA. ME 30/09/2024 LQ 226,61 226,61"
"Pago título: 2400001803 3030 - TEXTIL GL LTDA 30/09/2024 LQ 226,6 226,6"
"Pago título: 2400001806 2439 - GRAMADO MALL 30/09/2024 LQ 226,4 226,4"
"Pago título: 2400001815 737 - ROSILAINE DIONIZIO DA 30/09/2024 LQ 225,47 225,47"
"Pago título: 2400001818 4777 - ASSOCIACAO DOS FUNCI 30/09/2024 LQ 225,44 225,44"
"Pago título: 2400001827 4875 - HIDROALL DO BRASIL L 30/09/2024 LQ 220,58 220,58"
"Pago título: 2400001836 1838 - MARGARETH CASTILHO D 30/09/2024 LQ 219,81 219,81"
"Pago título: 2400001839 7370 - GRECO & GUERREIRO LT 30/09/2024 LQ 219,77 219,77"
"Pago título: 2400001845 2875 - ASSOCIACAO DE MORADO 30/09/2024 LQ 219,57 219,57"
"Pago título: 2400001848 2169 - ASSOCIACAO DE PROPRI 30/09/2024 LQ 219,57 219,57"
"Pago título: 2400001851 1580 - ENGRATECH TECNOLOGIA 30/09/2024 LQ 219,57 219,57"
"Pago título: 2400001860 2696 - ASSOCIACAO BOTHANICA 30/09/2024 LQ 219,57 219,57"
"Pago título: 2400001863 3315 - ASSOCIACAO DOS PROP 30/09/2024 LQ 219,57 219,57"
"Pago título: 2400001875 2219 - IRMAOS PARAZZI LTDA 30/09/2024 LQ 218,46 218,46"
"Pago título: 2400001878 6886 - CONDOMINIO RESIDENCI 30/09/2024 LQ 217,52 217,52"
